, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 762.7384914298905, 720.7501388054677, 745.1287431169428, 749.7261717762422, 829.7295930842607, 722.7614898153182, 814.4134049709895, 457.84099171139786,
2, 883.6816385343762, 816.3009724330734, 764.9462893668835, 758.5759162770391, 991.4530627256676, 865.636480678913, 932.1641549226912, 1117.239997723874,
3, 929.0067969413764, 800.5534564695092, 837.3580724452019, 853.3047141495987, 1302.7284161789528, 869.5988520825883, 1161.0385245409645, 2772.5260699401892,
4, 1266.209685809405, 837.2074157726332, 723.494720861412, 1142.3247661447488, 2807.0475989317297, 930.7505626262655, 1948.5103050782914, 4525.754942459659,
5, 2535.651197312395, 1661.4772332362652, 564.3454330885033, 3239.6468799080308, 4062.8605168351437, 1234.5315608817189, 3038.553572978289, 5417.423486511722,
6, 4210.526353276353, 3512.7021603808025, 835.0725672147657, 6510.686316519917, 5061.131701631702, 2442.4352162745245, 4572.248917395886, 5801.006944444444,
7, 5395.4158004158, 4761.263325281803, 1392.5641240950872, 7842.45739991003, 5168.6343434343435, 3949.355260380361, 5501.375054945054, 5937.133366756364,
8, 6711.490384615385, 5193.960231495558, 2773.190104694545, 8334.632051194461, 5588.434343434344, 5030.249923584715, 6488.988235294118, 6186.934137200669,
9, 8828.181818181818, 5618.220136380164, 4133.799847243268, 7798.972524326125, 6022.299922299922, 5983.795634920634, 6397.088883596623, 6271.4755683996045,
10, 9617.573099415204, 5545.511901396839, 5168.5195444186975, 7157.4704541951505, 5369.854836112163, 7602.397243598105, 5601.094402798601, 7120.954281402666,
11, 11127.271867612293, 5261.014804642389, 6855.790474390475, 7739.096680709949, 6532.581663434605, 10235.954308243958, 5111.820859447458, 8285.326725190087,
12, 9930.61870100784, 5163.081816804205, 7397.071432488582, 7416.349140199252, 8348.272893772893, 11593.47888471178, 5740.957206012379, 9517.327204079631,
13, 11371.812943262412, 5492.599157006593, 8314.701858424529, 7519.310844977124, 7624.813199665831, 11113.358160178983, 5890.6153026284055, 10626.071169878644,
14, 12951.269841269841, 5802.105113514817, 8339.306838352564, 7079.426019401537, 8008.074978354978, 10580.701391998806, 6370.592063492064, 12439.065646440346,
15, 12251.077272727274, 5794.227494435389, 8619.235586695302, 7160.487906995624, 8234.165674366912, 10624.928144078145, 6764.605580693817, 14212.921721076436,
16, 10322.383620689656, 5828.143848308554, 8868.507390583316, 7700.044454703368, 8617.201912037457, 11287.13256942121, 7072.650312891114, 15986.062765214816,
17, 11616.14010989011, 6160.5203298536635, 8049.086376179375, 8183.143431293654, 8984.266760009617, 10924.162407407408, 6611.217042606516, 17146.476904815492,
18, 12064.57037037037, 6712.940384243261, 7976.323078073916, 7828.045813625159, 10043.62139991791, 11782.29046163896, 6459.831746031747, 18401.264991263106,
19, 12767.440029985008, 7113.283263798012, 8763.27716829634, 7847.875840512507, 11034.057186073522, 10955.083890108419, 6851.007915695416, 19399.47263975688,
