, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, -177.27737226277372, -241.50768003096832, -240.1781782223126, -260.9950406441009, -170.09476977462592, -245.71458023317518, -209.80604805949565, -65.0933090190689,
2, -135.43979057591622, -126.3084680510515, -184.88045308234425, -212.40976283846877, -42.15997684038614, -147.23523211857307, -75.42659092187999, -12.141709056980318,
3, -98.18483412322274, -65.03268744039487, -146.75798045735343, -149.17827562230568, -24.660529250033484, -156.01820847204823, -33.64788225736375, -3.319427016722526,
4, -50.74301675977654, -45.80634788919384, -94.87678296992058, -139.04207033169894, -15.735613106068708, -71.19877414335868, -22.667662230242875, -1.9773187701065158,
5, -35.05263157894737, -60.65796543547863, -65.73266562817943, -304.50010481166146, -14.448487432965043, -26.326703369428998, -23.4811805446016, -0.35022672785807246,
6, -54.77777777777778, -62.03251358812359, -83.36880348679692, -390.13841746488805, -14.97729930996789, -15.022597544829946, -26.120994412946267, -0.5974668542810135,
7, -40.48913043478261, -44.317742120508335, -53.30269869188504, -296.1866088278994, -22.3964630519332, -7.425074240444549, -13.703745077897622, -0.32996097701980054,
8, -47.5875, -39.07073135651567, -47.02309183733176, -215.50496323087685, -42.64566666666666, -4.857161788719347, -50.639678701085984, -0.3268935061634261,
9, -28.047619047619047, -50.3386313145948, -34.570108565078655, -432.42772617819054, -65.71610154418303, -5.0410160770294485, -30.031094978826378, -0.3615455020920502,
10, -100.36363636363636, -39.219223921048716, -32.18235876313604, -315.236844505244, -36.872087912087906, -6.976880723239363, -25.82367704399619, -0.23466666666666666,
11, -80.6969696969697, -39.127215196457804, -28.143856909617103, -247.89234151863465, -44.18082251082251, -13.644951721217444, -27.103972341152588, -0.28284584980237154,
12, -56.333333333333336, -30.705123557190337, -20.85922456941065, -250.50674791554047, -14.870433188658955, -13.007597040165042, -11.688446035991014, -0.38299656881433475,
13, -70.22857142857143, -42.592461207908734, -29.84187701187701, -171.12853641456581, -23.931472950783295, -11.213409813068738, -39.10239160210495, -0.7723529411764705,
14, -35.236559139784944, -32.75036906891559, -65.63528263539368, -169.09225396825397, -34.563165522501905, -9.408136775400955, -32.82419022362107, -2.682775119617225,
15, -56.68131868131868, -31.60117377962312, -76.68180564186821, -191.5910848268988, -42.79504545454545, -10.197276177983955, -13.447220986706501, -0.5260273972602739,
16, -65.0958904109589, -26.556110921915312, -43.529965141178614, -148.04410373760487, -56.80735785953177, -13.209640982377204, -15.305082610878362, -0.999043062200957,
17, -41.353846153846156, -46.18375472996216, -39.47392110413019, -156.21102454932515, -43.66964186176143, -15.776349251024175, -14.608104715192999, 0.0,
18, -42.67857142857143, -37.70856936096594, -47.68173892716421, -135.53964888642307, -33.818441395697036, -20.234259894387282, -22.906819982874513, 0.0,
19, -50.05343511450382, -22.299689705317565, -57.89203599631348, -132.55249996698305, -67.03667909649826, -13.243523766382708, -25.30871310339825, 0.0,
20, -72.232, -20.710104336142074, -31.48618985961565, -113.66023233026291, -48.569204555645236, -12.921510837769196, -25.174174153273437, 0.0,
21, -49.14529914529915, -22.759846341990006, -37.96601727426059, -139.04977130960341, -28.973954545454546, -11.59808736932724, -26.50671709906332, -0.038475499092558985,
22, -61.83653846153846, -22.474171573107743, -18.10415067240283, -97.33564104501343, -28.46766866386431, -21.313110954726717, -21.984458362621385, -0.5103825136612021,
23, -46.031007751937985, -17.781879532965693, -27.905087338220653, -123.87551562712221, -19.203901905904306, -24.123996405355378, -25.288611645634788, -0.055438596491228065,
24, -39.85128205128205, -20.73091329856892, -30.170940095883015, -128.49538359615045, -29.70510578451755, -19.282722797747258, -32.993015037593985, -0.25836909871244634,
25, -37.44516129032258, -26.374858317205554, -41.136120029289174, -92.21346507789997, -18.255976539589444, -21.987448658041394, -17.68326733612842, -0.06585365853658537,
26, -23.48201438848921, -22.555673113075606, -33.974662260965644, -76.61959873362957, -51.8995518207283, -18.5952605068205, -28.065751337962602, -0.05901639344262295,
27, -33.844919786096256, -18.102448363511684, -45.29878860081625, -74.17129864824717, -26.730085478909007, -20.60391286209211, -22.395285461414495, -0.16218181818181818,
28, -31.52127659574468, -30.2973375399501, -23.283054510091187, -69.38316986669928, -41.15587719298246, -21.472651901319644, -22.195614293353913, -0.07380073800738007,
29, -31.403508771929825, -25.875559030247253, -43.36635863889187, -67.89982677236033, -20.952541045161734, -16.519932183399675, -30.03005953148566, -0.15706806282722513,
30, -26.974489795918366, -20.126910371108785, -36.856259254407796, -76.9441317057069, -33.4206169050173, -21.084225612575125, -29.123728915489437, 0.0,
31, -30.22972972972973, -26.60946234386596, -48.52519487983281, -63.3021616003511, -26.301948389569276, -35.6130722447961, -21.183015498496413, -0.04659498207885305,
32, -22.74418604651163, -20.9723199008096, -53.147269841269846, -70.73741013599815, -14.262770562770564, -36.03782855243682, -30.292096438808006, 0.0,
33, -34.99438202247191, -18.91403269015419, -33.17319985569985, -68.67098830421065, -31.06896421225833, -37.28227552017874, -62.954809145446006, -0.26,
34, -16.194570135746606, -17.082458711933526, -36.252285127489735, -51.18531492270905, -22.662440754906502, -43.27867712760161, -41.326087875911426, 0.0,
35, -24.38095238095238, -24.69683183618275, -42.375550220610634, -53.29750307894144, -30.406094861602583, -33.42555411483447, -56.51328316781259, 0.0,
36, -20.925465838509318, -31.5338914531508, -45.61466241669082, -59.84117505963862, -31.68335496157032, -24.468659312090274, -28.427305865470128, 0.0,
37, -38.396694214876035, -20.08812806293421, -41.944582074674855, -60.20593192946764, -42.16836152311562, -25.57381951381951, -35.70263343962302, 0.0,
38, -21.75862068965517, -20.712535521774914, -44.96938148996973, -62.61574081091324, -15.014824758732322, -37.077843404513104, -47.65834322455684, -0.17391304347826086,
39, -30.816326530612244, -35.526485513065474, -41.10837943219775, -72.35077825239927, -25.599744806290726, -28.310688616094296, -29.944720054502664, -1.6666666666666667,
40, -29.86, -29.388485242525263, -55.94098005698006, -54.55407044257574, -12.679326673080741, -22.62642657192076, -55.73595588235294, 0.0,
41, -31.64, -22.005441011791056, -69.287219470352, -64.62298612427715, -29.545738107941293, -20.323586199942937, -36.10236284771277, 0.0,
