, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 155.5222378825712, 158.00171384547227, 160.69061293717112, 160.0748361625678, 166.3097155590328, 157.1190173288753, 172.69133547241864, 282.844994471091,
2, 228.56263305727478, 208.56098634406914, 161.10752780104465, 184.52247586331083, 268.1504581469381, 201.55444011411652, 246.09564787903756, 741.4131206245884,
3, 306.1316802536232, 300.68845829647785, 283.26004344700516, 296.09721615252346, 353.2566238033217, 325.9065012159372, 323.2828048574187, 1918.19921563831,
4, 438.97721650303356, 452.6855790757548, 364.9678168349951, 428.7322484115688, 474.18086490239267, 435.40181458911485, 479.0752666809981, 3747.9483761712736,
5, 564.8536603648831, 691.2198170068798, 412.76602325993554, 532.3348135916307, 636.6047900211813, 551.0785749966437, 591.0928087264817, 4106.049713825398,
6, 659.7848413161123, 886.069871716207, 615.2333802027971, 635.2258877241404, 723.9318152662066, 630.3277391881772, 832.8724333490472, 4481.191625172569,
7, 823.0194823380049, 1549.4813308510998, 994.527583567924, 727.321885791998, 987.3434836540237, 759.7003445076582, 873.2168941171407, 4861.1455207653835,
8, 815.0196523685139, 1413.0254206016825, 1459.958933587532, 813.7224852432362, 1313.0280262218594, 736.6245821636796, 810.1211369147362, 6004.409266409267,
9, 778.4897199531509, 1723.64701752244, 1725.7778205808609, 1168.8858917616044, 1778.9761771308774, 972.4175037924099, 1031.116562694952, 8526.950216450216,
10, 1135.6182214139783, 2661.4976141218476, 1976.8868151507672, 1496.667968288395, 1956.0310407496684, 1453.598124976841, 1157.5110640915264, 10225.590068413072,
11, 1727.8329313463692, 3237.3548190335086, 1938.3041850580878, 1824.0604936352968, 1863.210782252488, 1327.5828503890098, 1660.1688687398353, 11541.583295404465,
12, 1939.9567604667125, 3734.4010371033337, 1838.8474350704123, 1737.9399890946097, 1975.8043490789782, 1616.6845122911996, 1695.7343534855318, 12393.898287011558,
13, 2329.3100635385786, 3846.0025910364143, 2149.885695391723, 1681.2272999719232, 2323.7076972174627, 1603.7705822063026, 1637.2419172447585, 13583.584547698678,
14, 2169.9456908831908, 3948.100595165997, 2082.016456833368, 1576.7956528390557, 2621.3481707950987, 1938.160743828375, 1484.780156511096, 14472.01821789322,
15, 2631.4374622383943, 4387.466742113315, 2134.725616881862, 1703.859266077113, 2940.5686787226628, 2273.502910438421, 1649.0805893991783, 14324.8015216835,
16, 2900.9485291014244, 4625.132497807317, 1895.5774841181671, 1487.8389243532356, 3306.603505416643, 2387.7917845222296, 1937.5308159213841, 15249.867994698518,
17, 3152.848602158819, 5604.90849422495, 2061.966151214125, 1564.0521792372524, 3708.053029662923, 2773.363136934622, 2140.1107047894707, 15401.316683316682,
18, 3634.3071753192858, 5990.63557468563, 1885.4197043354816, 1813.8472563599353, 3850.551152794288, 3006.3987275439245, 2408.9214490825157, 15708.876481744903,
19, 3998.6542436340296, 6553.764062544095, 2075.510157708598, 1917.8060419273068, 3915.0177939348155, 3227.220288199228, 2651.9877553750625, 16826.411024033438,
20, 4117.98393730212, 7934.963716883671, 2463.815398127, 2315.6627474847733, 4122.97448014219, 3418.443457700056, 2748.76050141679, 16786.91774184421,
21, 4277.574479697115, 8885.815343756583, 2384.667280663974, 2454.5563998036946, 4254.975068577712, 3631.682613194407, 2946.0545465974824, 18361.697746697748,
22, 4483.690868686833, 9672.204548311165, 3114.3605355846876, 2617.61665242437, 4259.434165946443, 3885.6810316623096, 3024.5128175193595, 17955.386923832506,
23, 4595.295463341089, 10523.693026448038, 3043.5136690697163, 2753.5020617067676, 4341.743018242373, 3879.314280753117, 3233.1403960253842, 19368.78148796655,
24, 5083.8217745883085, 11018.402685271643, 3520.559125952801, 2442.765439221416, 4486.299786170527, 4010.3829798331644, 3144.543868970388, 19935.58313509692,
25, 5595.79385626489, 12067.749679991613, 3534.2013655084593, 2952.0532361933124, 4707.245059518237, 4042.8790157900503, 3509.0197162175236, 20128.88279153384,
26, 5901.133514982462, 12382.598847826888, 3613.138849811619, 3000.874580969351, 5237.253690793879, 4152.9070017481445, 3817.439601285193, 20739.402597402594,
27, 6264.599975792787, 12271.199863237462, 3614.1140449236423, 2977.4458494959727, 5217.615109344945, 4145.0882619548975, 4189.279108410521, 21468.468717995842,
28, 6277.2394578465755, 12974.5263592855, 3648.4178519081133, 3141.393228667887, 5230.622239076713, 4396.104230112351, 4579.7556511522125, 21321.87158554435,
29, 7285.621111879135, 12837.0365007865, 3718.438590601624, 2960.838657063693, 5145.891447526502, 4386.117482923489, 4885.8111798409755, 21848.218595130358,
30, 7417.664743575435, 12852.36503726925, 4081.3919670544005, 2968.504273802878, 5950.382960888988, 4409.2507690925695, 4785.55274189463, 22372.080732817016,
31, 8551.069552057284, 12831.725584760066, 4113.295580420586, 2827.3944134045964, 6784.50847261872, 4525.072960601919, 4891.975744349563, 21435.761484168004,
32, 9054.62132195986, 12996.657816710105, 4300.348887338362, 2713.6120578743576, 7443.756896181896, 4711.525147234124, 5507.772506521085, 22333.397030092667,
33, 10440.492900601515, 12871.691283443333, 4392.241775561628, 2996.9669154262438, 8212.510028752502, 4770.693132961409, 5867.101569913027, 22231.54335701892,
34, 11321.901684249076, 13049.051333517902, 4608.952212789853, 3039.3510930318016, 8564.426605165096, 5089.413513620064, 6081.607057764917, 23598.772534717005,
35, 10588.605814500943, 13419.47944426678, 4676.463135008637, 3256.356946236842, 9600.660477246991, 5537.176455798192, 6718.945214879085, 24015.028958805742,
36, 11052.619484956469, 13291.585361147861, 4688.735927720229, 3476.897911897431, 10560.067171582752, 5808.997073280115, 6819.527172775811, 23580.165081783638,
37, 11749.363721491502, 12964.927115987462, 4534.094336016516, 3626.3211638483526, 10652.794655612244, 5540.859488957065, 7511.264152063656, 22486.86892309878,
38, 12521.882691668723, 13706.836904530737, 4575.856557164139, 3635.5566298771637, 10985.969826765275, 5973.553870611271, 7259.911065946598, 21978.39080538423,
39, 12245.869643992315, 12851.649519442388, 4712.017928193096, 3737.4532917031074, 10403.975506902501, 6653.131773794758, 7830.094431387566, 21494.596344654732,
40, 13187.346753213016, 13654.258312447788, 4520.041291395078, 3989.4121866190458, 11901.258793740359, 6691.670625046128, 8394.054170898833, 22769.368221085053,
41, 13389.161587810746, 12905.440525705231, 4804.769642471666, 4007.5902922675245, 12659.581092263674, 7083.2782047664605, 8383.046490922152, 23306.266974079073,
42, 13948.870055770056, 13120.125330215062, 5031.919781439089, 4379.464769008496, 13017.788749880225, 7538.369806535762, 9276.187639885315, 23225.08355916893,
43, 14212.000619172495, 13377.340505239443, 5089.026994978229, 4147.714915688366, 12655.891667346277, 7853.762804747648, 10228.890135630505, 23166.305866914954,
44, 14651.714798169267, 14090.556878655934, 5089.702829949433, 4341.865191094132, 13134.927563213836, 8385.135726052249, 10291.966461138929, 23895.747002242926,
45, 14683.80238095238, 13800.029041671116, 5325.640256202853, 4354.234381671267, 12880.562855093884, 8731.839042410998, 10789.329491659557, 22531.29730610334,
46, 14849.257263837435, 13750.50682128931, 5717.632711805236, 4145.324861126655, 12699.25430508209, 8708.6200468331, 11069.687703320145, 22266.869968714476,
47, 14697.190776831048, 13987.859298960797, 5698.500300036349, 4392.674824857294, 13071.378762340124, 8501.071040560117, 11137.138769914332, 22713.125541125544,
48, 14351.00024769491, 13828.496300211415, 5414.47327871534, 4491.4538368150115, 12934.041312207748, 9293.474479654458, 11151.678401856278, 22166.646450456818,
49, 14669.96710097484, 13925.40390386058, 5736.546284657352, 4365.689445870111, 13483.824474767669, 9622.759115619443, 11354.181549117182, 22505.164894725873,
50, 15379.849934246356, 13872.471337181862, 5737.269696969697, 4541.444218413337, 13082.367723588468, 9569.20253509169, 11142.118555259354, 22519.322238781257,
51, 15326.377032520324, 14193.622760594724, 6025.242735073234, 4535.114670885267, 12891.984031739787, 9800.683486101538, 11277.488899241833, 22752.95205920206,
52, 15925.877534323115, 14230.509402436908, 5870.091956829696, 4604.372218557054, 12012.44195156695, 10428.689383267443, 12294.832480280178, 22761.214136740455,
53, 15975.55914857766, 13920.36323573042, 5630.16946641957, 4604.376679743298, 12953.678306024734, 10190.933528745236, 11825.024434233452, 21861.263309117683,
54, 15839.147136475198, 14289.42872931666, 5961.347735962522, 4929.045003173383, 12715.170006337012, 9364.131267455057, 12154.043211970451, 21892.76965560434,
55, 16218.117616611862, 14116.750790741577, 5919.576016623321, 4711.550348904258, 12609.093693693692, 10335.512018549221, 12463.618611861186, 21962.67946748592,
56, 15607.527331666204, 14750.491670963947, 5989.785228305091, 4756.632738918979, 12264.909134225336, 11546.80268358912, 12420.38496213396, 21910.645411741134,
57, 16252.76970888394, 14558.370395992673, 6126.010510883465, 4934.25832563362, 13223.749049958675, 10979.24364353531, 11863.138084641798, 22610.384422085142,
58, 16269.535087719298, 15020.880253046413, 6193.994402709775, 4957.514521629852, 12825.554728558089, 10536.80426742532, 12814.58351671811, 21780.554580384785,
59, 16047.721620401586, 14277.634280353794, 6935.114518547887, 4820.0004138487, 13162.407890847137, 11782.710993355342, 12365.583155311038, 22676.323537809105,
60, 16527.69046892483, 14972.118038565208, 6599.44928866661, 4982.290512519065, 13031.497027386506, 12177.769995808789, 11562.740071205424, 22254.239509200812,
61, 16560.562205329905, 15344.981036935913, 6780.759860036745, 5243.701061395173, 13074.112704618863, 11892.853579753579, 12425.604761904762, 22140.134755236137,
62, 16680.77544047699, 15675.585053472969, 7233.911605838644, 5179.277606330432, 13246.658371786421, 11826.459818078127, 12567.319612812387, 23149.844574780058,
63, 16723.83327425941, 15705.856304996592, 7514.201555626243, 5100.890177314655, 12613.18040343989, 12273.897192325061, 11935.305264922872, 23368.35611148111,
64, 16994.18837497785, 16391.326751204462, 7842.448698421268, 5352.110179843612, 13820.110761979575, 11583.037416609106, 12676.76601679319, 22625.767846339986,
65, 17034.82980986571, 16164.477223177968, 7627.428901845125, 5290.768997367594, 13128.660691214469, 11786.780929666547, 12702.8253098772, 24021.534615384615,
66, 16981.37310423495, 15698.79079281899, 7804.744314343242, 5115.374706606512, 13372.152243589744, 11818.333069950637, 12395.094522203679, 22790.732415500453,
67, 17543.010604054525, 15640.954434697855, 7770.21074046074, 5315.261760047742, 12852.955148423005, 12529.669463608818, 12724.995536440607, 23044.94011324042,
68, 17079.281109667125, 16173.918378325508, 7714.507817445128, 5606.971877886448, 13678.176282051281, 12450.879969602063, 13069.47061301861, 23279.441638411197,
69, 17800.045936853003, 16280.140546021144, 7671.39111795266, 5257.93496358518, 13436.035627530364, 12605.405296964522, 12415.455731500071, 23816.913486694793,
70, 17597.965791878833, 16541.145759955547, 7866.361747215155, 5432.662650080264, 12954.620531822144, 12794.6466358358, 12863.775279887981, 22805.019849525,
71, 17303.57060407849, 16559.069877553142, 8164.812450674288, 5405.486452325716, 13068.58659310838, 13140.548165718146, 12839.653355957767, 24539.346785937174,
72, 18322.279744793108, 16195.670262565767, 8135.386448302952, 5525.303125493645, 13229.51507238775, 13490.512415464265, 12660.636002847565, 24030.186769005846,
73, 18670.70659322944, 15949.492283244923, 8226.921646378638, 5760.379629112169, 13594.391577320584, 12823.034174130806, 12198.474462679003, 25003.922932330825,
74, 19029.654882154882, 16369.29377115787, 8436.096279131718, 5711.966080508603, 13517.727037322376, 13585.557035121741, 12559.245694873323, 24819.34065934066,
75, 18871.937874727442, 16422.259126188354, 8495.172072733734, 5472.427261229625, 13796.606654381287, 12381.739502659093, 12755.541994190022, 24495.37838491296,
76, 18463.032150329953, 16565.7320060844, 8073.698231240254, 5715.744162956135, 13064.889277124263, 12682.160028860028, 12688.091484040593, 25463.604324104323,
77, 18789.46033178436, 16452.100860850616, 8094.328783916217, 5536.416608249305, 14028.236192508872, 13215.98116883117, 12886.086048216837, 23057.778947081777,
78, 18883.387924721857, 17147.514559855783, 7999.21720059663, 5440.230287469449, 14024.89748333689, 13614.853973217552, 12491.937332255347, 22833.27070126296,
79, 19216.475016797995, 17331.4888653484, 8369.13907492418, 5591.909326123612, 13577.560825057906, 13617.74174211836, 12546.41378903273, 24593.298444976077,
80, 19252.868347338936, 16836.404175794614, 8551.192750841088, 5627.7747190082155, 13702.086720867208, 13579.829299433415, 12567.646094693353, 24841.878548807428,
81, 19095.559503916633, 17374.00005750101, 8863.856174482982, 5785.657206727374, 13363.382296466973, 12944.178384270668, 12581.697942772586, 25181.53579059829,
82, 19178.31897405427, 17677.99362742138, 8870.469228874228, 5872.347098152682, 13736.895279654655, 12951.84266591252, 13127.376373626374, 23719.192268830015,
83, 19500.86596829326, 17467.020577461757, 9016.544150682306, 5892.747832023311, 13106.266590970814, 13305.105060573358, 12973.252912327724, 23308.838299101626,
84, 19754.00447215924, 17623.2153054221, 8906.687519011364, 5946.842239960593, 13704.409470533083, 12765.3568443763, 12728.04543883493, 24019.609315317037,
85, 20304.86631748314, 17665.823047924976, 8964.641822532878, 5864.3006081160465, 13444.368953131492, 11833.83190216919, 12740.728178546193, 25093.885668276973,
86, 19644.619770838235, 18284.759167233882, 8452.138646961525, 5771.551790524874, 13814.974399229835, 13264.8274673389, 12962.006957750811, 24182.918034233822,
87, 20120.082102820943, 18443.52086191155, 9264.47237503326, 5936.8975946383125, 13162.85529666412, 12441.737991368795, 12893.3944275705, 24486.277795031056,
88, 19519.535236699554, 17537.395576862673, 9395.216849642422, 5939.219119168329, 12914.284269323673, 13426.747679167622, 13015.446863593921, 24844.79290953691,
89, 20639.73632931433, 18056.92437284407, 9824.381953752662, 5989.389121362691, 14086.0716991342, 11635.503479905057, 12540.576275126987, 25289.172867513615,
90, 19990.17014112759, 18265.694737729886, 9740.474207844385, 5800.21681381429, 13881.730163476876, 12893.673076923076, 12551.951367781154, 25770.546947568684,
91, 19612.710247841827, 17845.842515250457, 9420.615817494177, 5920.748206715225, 13482.564614889958, 13181.985827664399, 12542.989786385097, 26128.30371383003,
92, 20141.99287337327, 18610.693364949646, 10461.38477332211, 6149.416025602795, 14494.11439516798, 12586.949315166794, 13200.255749825938, 24651.801547265943,
93, 20077.145786199097, 18438.91366129785, 10125.635009566435, 6224.009450117503, 14156.750151296084, 13240.507793555691, 13141.96036750135, 24252.026733500417,
94, 20258.31893496367, 18608.142107959447, 9796.029998753027, 6191.531231969687, 14226.791126905324, 12736.085146687197, 12628.722365723444, 26058.943756449946,
95, 20164.666756510032, 18923.256195886563, 10704.974233324145, 6169.047477340575, 14140.686510483525, 13350.238389126142, 13353.488833884961, 26058.917933277964,
96, 20713.86842105263, 18877.205986631794, 10449.933587493668, 6094.219781159818, 14385.014864864865, 13509.983230269363, 12610.769738780642, 26445.19818722944,
97, 20418.857791924675, 19301.743551348853, 10412.926499812525, 6289.798272637259, 13516.613592211079, 12853.989981754105, 13125.822371205484, 27013.557896019298,
98, 19611.71091475611, 18896.068558563413, 10789.579077300594, 6331.88371944848, 13794.429536679536, 12824.246014402264, 12588.98472456197, 25959.058571569003,
99, 20602.109430672193, 19165.042414020565, 11484.139361513458, 6269.219204967086, 14582.40679466231, 13300.784378339227, 12807.825539355143, 25487.97752525252,
100, 20174.532604359338, 19407.141781990027, 10963.74413877018, 6248.236098859232, 14438.44517159685, 13326.4908230684, 13094.560087128142, 27422.879968860994,
101, 21151.429634353743, 19219.096260798462, 11021.88236086878, 6228.043910415818, 14060.90529100529, 13250.291001935726, 13105.110924922341, 26073.69047619048,
102, 21428.215889692616, 19528.723457623964, 11297.87379347808, 6294.446229340014, 14396.09502646459, 14163.45986296433, 12777.254613807247, 27142.97420508744,
103, 21187.93947233676, 19017.807225055403, 10875.674534363594, 6197.714769157384, 14751.103163417118, 13343.666666666668, 12642.696166345326, 26956.372309063485,
104, 20825.855235711308, 19494.026580215268, 11187.01681894879, 6190.817364065109, 14937.11875, 13469.888308394406, 12917.462528155074, 27697.89869936827,
105, 21251.186872421342, 19860.859838557208, 11131.087388694745, 6395.845959102214, 14641.844104308391, 13068.881912079252, 13445.117805865619, 26195.965232554,
106, 21582.775891341258, 19440.025057616214, 11355.194018386897, 6383.401046322024, 14364.002361673414, 13436.030628897826, 13260.181953013764, 25979.347065819842,
107, 21215.78756180307, 19981.719256288663, 11945.499695282726, 6454.824030129632, 14822.955915474298, 13507.33859170978, 13046.602926367495, 26249.39879611755,
108, 20916.69361902837, 19062.70453311498, 11615.64684703373, 6311.556480165629, 14874.631461131463, 13505.809763839343, 13319.471317067899, 25484.677150435768,
109, 21413.68783371472, 20388.22652969703, 11428.50625430809, 6464.15326162925, 14287.291464541466, 13852.703887615653, 13436.119807957162, 27341.695259042033,
110, 21979.898568514433, 19869.394758840084, 11980.549561767428, 6529.830253931165, 14542.117038407509, 13544.872741452371, 13838.684897240248, 27960.41095313027,
111, 21345.24294512076, 20671.81109413462, 12016.482289832433, 6625.765226373382, 13542.826333431924, 13731.69694055944, 13151.427628493757, 25570.157214070256,
112, 21875.390194050433, 19310.223137554458, 12211.565561434452, 6567.168014012321, 14795.272782675482, 14171.29754784689, 13653.31829262347, 27061.2775829827,
113, 21623.925578006223, 19656.47042547883, 12171.873433170604, 6462.979880893565, 14589.805243115125, 14057.58698155692, 13526.922412908825, 26695.16148303325,
114, 21421.043900973025, 19534.668826759687, 12318.630345120751, 6541.6683617016215, 15499.250845317583, 13104.402652277728, 13651.919317019183, 27556.242751090253,
115, 21274.678729954183, 19938.634720244067, 12152.192126539834, 6604.8054995386365, 15201.659044715449, 13390.152057137351, 13176.117963314357, 26963.904640618002,
116, 21789.924452667285, 20195.60954101007, 11751.788404866373, 6481.33016514881, 14580.881254686577, 14083.702921814813, 13465.897435897437, 26269.318156543013,
117, 22121.582491582492, 20476.458899234185, 11840.851164734418, 6625.6716747868195, 14213.592279478227, 14086.330803594901, 14165.990553306343, 26879.159888735554,
118, 21291.713292169752, 20311.935314394177, 12258.909937025419, 6440.021950018912, 14699.92485847486, 13698.716282604088, 14385.894389027624, 27298.960996304748,
119, 21378.33612604889, 20180.39216987837, 12398.700894748607, 6534.0799490104255, 15241.598007562488, 14296.28549239526, 13801.491689533597, 26841.84920634921,
120, 21566.61523981322, 19863.523196012837, 12461.23792413307, 6412.389864422355, 15016.595547923871, 13950.04292929293, 13906.065367238183, 27916.58321941217,
121, 21735.57209114741, 19653.822074543852, 12356.575609354615, 6279.976556414365, 16084.440323565324, 14008.412290016064, 14049.27070494567, 26627.95942275042,
122, 22431.283427329912, 19810.259928766587, 12027.035491493509, 6647.890906975915, 14957.081038031154, 14120.439020762551, 13939.871985881642, 28102.12420421141,
