, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 1471.432664756447, 1434.4929135376062, 1456.0986580164908, 1468.067065910825, 1454.5803413506476, 1465.6327185674709, 1487.8318676759495, 844.2882917735212,
2, 1532.842105263158, 1429.3466616194514, 1367.3164006012853, 1541.9439814582045, 1682.776913903877, 1597.6353223908482, 1820.3353545260957, 2176.680983985706,
3, 1837.027027027027, 1965.90585599209, 1776.77693419926, 1878.807974691396, 1983.4233772767068, 1999.6263634917154, 1919.397778387672, 2625.646409508567,
4, 2270.8333333333335, 2078.853908534181, 2274.785973960102, 2152.778706778332, 2212.1131058691262, 2406.6028563645173, 2168.3219427159183, 2914.6476467869506,
5, 2251.8808777429467, 2220.8395280873233, 2669.4707007125453, 2300.5303837442625, 2397.4913196070993, 2716.3212346303235, 2291.080511189556, 3400.167522330962,
6, 2326.065573770492, 2367.716079305017, 2885.161577150521, 2443.5062981253186, 2671.262622105568, 3022.3214234104753, 2404.5107925615853, 3959.9694729850403,
7, 2419.6363636363635, 2572.8822191653608, 3127.5171609234408, 2662.3073002124556, 3132.3344401868108, 3197.8724262971623, 2514.380569125741, 4479.807922079064,
8, 2480.579150579151, 2815.5481741538924, 3268.232288881762, 2752.7154778850377, 3510.8307120512445, 3444.1114807160966, 2590.3005658245174, 5136.347438523041,
9, 2492.568093385214, 3243.0782502913926, 3437.6269088644485, 3007.250832170922, 3845.3195287428325, 4116.964628721673, 2599.3222735929767, 5812.8556779551245,
10, 2653.875, 3694.768649752212, 3624.8470097409327, 3171.018128157499, 4232.984068363472, 4837.060171825868, 2715.469610659777, 6123.19588468296,
11, 2937.8367346938776, 4317.658633725334, 4138.345374411412, 3381.833371014373, 4660.655581366189, 5380.585473462827, 2792.4671810418586, 6336.100430821744,
12, 3442.274678111588, 5136.950791472913, 4626.976515466835, 3578.398413036334, 5216.615553780282, 5879.712076485518, 2889.7992096442363, 6633.920341961299,
13, 3985.181818181818, 5628.409993539457, 5098.877191265735, 3843.921960876972, 5514.6069095100775, 6339.342745293239, 3113.1616731420577, 6818.12018865126,
