, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 20.699925539836187, 18.791842970335317, 22.10595604782788, 19.03339034577291, 32.80374454582831, 29.16647189968362, 25.407939254595863, 448.2592055868802,
2, 96.579476861167, 167.91858271028087, 67.67544281486768, 45.202772967093516, 441.67608091010044, 121.6879465468844, 349.058719967685, 2457.8630658011157,
3, 619.506726457399, 432.2377002039003, 123.55686703565475, 82.3703293537941, 913.842933914529, 118.72419151745157, 822.8634042580601, 6545.204471656469,
4, 1048.1572481572482, 805.6833843581569, 242.8755391594012, 418.7232090888363, 1871.9754696162668, 349.03521000048585, 1716.5069445847869, 13777.763236111063,
5, 2405.8309037900876, 1571.7685633864116, 522.5135084041651, 1105.6524164444588, 4119.920209670303, 1573.9236951255157, 3386.0176515046405, 20775.41545198496,
6, 3884.3260188087775, 2463.5080784535653, 511.1588227904276, 1342.9818608265439, 5706.659112605707, 2417.236897484826, 5189.526132154157, 26690.55068505053,
7, 6056.944444444444, 5895.048481594381, 238.64037887937576, 1925.6288497030807, 8125.255571313006, 7948.973113216212, 9723.176734928737, 29495.744622629813,
8, 9391.447368421053, 11389.925167611163, 1244.9863598384277, 2966.4112022107693, 10052.804093993922, 17255.99859782021, 16342.318462800755, 32584.6703896936,
9, 15867.910447761195, 16079.901047948999, 3560.0202987975053, 4444.221826863208, 11938.313753607636, 22437.765986176564, 21369.491195694536, 34666.274228114766,
10, 21634.934497816594, 20952.19296478453, 7249.24340346888, 6031.702106201001, 14978.859206228011, 23607.759562969986, 24568.772138746932, 35563.67631811351,
11, 24242.574257425742, 24298.894786216766, 12760.591493502923, 8098.443019959911, 17909.89441608591, 27364.656650664292, 26158.586214806328, 36401.04410379336,
12, 26886.036036036036, 26363.94439005323, 19294.044035205112, 10183.864056778106, 19831.935216979793, 28501.461080127097, 27949.82841480837, 37711.33012874437,
13, 28488.510638297874, 28516.253459526015, 25731.809228710972, 11912.713995796188, 22542.830012851875, 30192.751650609385, 28788.866377212427, 38368.137227424726,
14, 29046.835443037973, 30054.479068847722, 28018.214332260133, 13312.449235517392, 26525.05641550162, 32260.179329146642, 30156.39250891785, 39213.6161012434,
15, 29771.82320441989, 31244.688241913223, 29583.136000051163, 14627.750568516862, 30134.438597066473, 32767.327313168244, 31424.9972943209, 39463.17835298432,
16, 31863.58024691358, 32981.45435003553, 32324.55346271171, 15279.075658959668, 32383.691400690303, 33700.384323989085, 31991.43210910696, 39300.30768419546,
17, 31030.81395348837, 34211.79076639094, 34663.18941795166, 16125.808316461136, 33986.370128326875, 33923.41504322237, 32960.32866077335, 40016.377329241106,
18, 32346.11111111111, 35412.269361451734, 36086.61250530458, 17073.18127692389, 34285.41037495238, 35169.87235490985, 33261.150933087265, 40669.55073144345,
19, 32818.01242236025, 36220.36487174289, 37235.93611816417, 17003.57769249979, 35097.98414134938, 35494.301941722995, 34101.06874030065, 41802.03322992796,
20, 33189.59537572254, 36882.088276082926, 37802.0339554372, 17593.540861516296, 36147.92656922831, 35739.06133538524, 35346.80631068292, 41400.62515529563,
21, 33859.47368421053, 37208.74581269201, 37941.960287679794, 18172.511222975416, 37219.84723995154, 36540.02785575666, 35539.164615817615, 43688.06788010496,
22, 34181.35593220339, 38085.408996177706, 38963.59341627455, 18494.917120183385, 37613.232162134496, 37354.082003241434, 36749.12085187283, 44961.999038326074,
23, 34741.666666666664, 38540.22329330456, 39225.08190110626, 18486.16552242748, 38064.56861678792, 37136.1172481254, 37550.945585355, 45645.11491761746,
24, 37054.28571428572, 38670.0002333458, 39521.62318067622, 18925.19337960125, 39762.73100933393, 36956.68627631127, 38449.213037596106, 47040.66888864926,
25, 36863.85542168675, 40524.838637235036, 38763.82373407863, 19445.37029468833, 39176.793905688224, 37301.15617059468, 39061.44213933282, 47575.29451438215,
26, 38194.545454545456, 40802.97936223181, 38916.69055065479, 19692.760545484598, 40154.67024342134, 37621.974863319796, 39611.87463831568, 47470.390849874544,
27, 38004.86486486487, 41510.93347328393, 39729.14596284159, 19358.240642823373, 40675.54706125222, 39012.63949968847, 39870.51150702663, 47677.00339863698,
28, 39171.739130434784, 41556.52346350007, 38618.05632143518, 19323.021964944914, 41142.642782462884, 38462.56159330332, 40768.33871635611, 48206.65303116606,
29, 39677.083333333336, 42485.155112111905, 39274.601656508086, 19635.784321142495, 41746.51078412833, 38020.223819381004, 41049.634338881224, 48224.973129940234,
30, 40256.14035087719, 42907.96343487806, 39367.33333333333, 19912.70927326666, 41896.142791735234, 39462.07723052524, 41316.196959270965, 48705.926002102475,
31, 40037.5, 43386.845548214755, 38621.543567480505, 20068.241595247055, 42233.90352212474, 38940.279026174656, 41648.899863786355, 49072.64903543974,
32, 40172.2891566265, 43602.30338749073, 39460.64593041716, 20020.90596627158, 42753.49642714004, 39216.024459922395, 41804.66424349772, 49024.21114843163,
