, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 93.9397113141318, 87.47293139994017, 102.52546272885915, 84.54130301337086, 120.23701022265462, 93.923235449393, 108.51071563965267, 168.11352090864483,
2, 209.17891427096978, 166.15762790106143, 154.36036737102168, 149.5335290352204, 273.569084065776, 195.2841442296736, 233.237402019071, 464.265767641357,
3, 277.19335187588445, 211.63968707781964, 200.19533404688096, 248.62701219379792, 310.739010570035, 290.1179431938786, 295.2160294886361, 656.8270786577763,
4, 311.0181361407988, 203.6006055802942, 275.16640920920923, 289.70799370734915, 417.2201224771926, 311.59755888858837, 355.53800207900673, 730.3683603945829,
5, 347.3572027930115, 220.1627814634397, 283.40377955463504, 278.23222170807855, 445.54228206369737, 325.40067952403507, 320.3603912437821, 956.7287093271345,
6, 394.6867794290475, 315.90346549149365, 279.34990835262073, 319.7176795624465, 503.0327474705752, 360.64537924580446, 363.427779109115, 1209.6931099873577,
7, 398.23554027254704, 377.4485230968638, 306.75178040042925, 392.8624933745916, 634.0870285039138, 388.1389375805145, 432.14858381261985, 1248.0806702069863,
8, 501.1663654947046, 496.14228759954665, 355.72409141720647, 411.1734942398104, 784.8397944811838, 454.02793411071144, 496.227048777509, 1377.968680401826,
9, 534.4891889719476, 581.5424050575309, 390.9293115163838, 493.94363575974864, 1060.1772062360299, 580.6688120685064, 609.4888137589035, 1547.180823498941,
10, 588.2005447106379, 695.1805246931501, 418.8570157814109, 553.0802662535573, 1489.6542008052058, 776.2222698432348, 745.6302089215133, 1634.5063718754875,
11, 622.3644542736093, 757.1691235244394, 494.36106921241424, 571.0218859845584, 1978.1819458631257, 1044.2045236217837, 970.7949248337275, 1677.8302838754166,
12, 669.6019609119109, 828.7286640796341, 627.8834885509524, 622.5229900914416, 2563.216432627293, 1277.7945307483828, 1299.0431238084332, 1697.4955235030454,
13, 738.7183804143125, 940.2748400817429, 889.1482794805006, 705.5508042772533, 2986.6077030768347, 1477.8139662513963, 1610.116218487066, 1712.6779279279278,
14, 762.8731193195775, 1068.0933615527392, 1135.1252309671586, 719.1989502652315, 3538.21065224017, 1885.705627992221, 1877.272667815759, 1714.6099490795143,
15, 831.0625433640598, 1139.6185475444097, 1366.9710680099427, 808.8676130933984, 3764.53272885157, 2293.973060448763, 2173.9611609661997, 1715.8221386411037,
16, 870.8724376550464, 1261.1525423211276, 1601.49063523182, 909.4249603151414, 3890.979170587866, 2711.657855137885, 2347.4330338729083, 1728.3122022624616,
17, 1008.3694037936784, 1513.8374146336037, 1895.6411540188597, 924.3133799404368, 3998.613025919759, 2919.18695139622, 2478.719273224715, 1767.6176157440864,
18, 1239.5940744718941, 1817.6596742139045, 2125.673412698413, 958.642379154007, 4130.633749871651, 3279.68911720174, 2505.5734775734777, 1803.2726377226377,
19, 1392.7092155676546, 2097.8109971585245, 2308.871412693435, 1115.7094542462191, 4186.463562987447, 3862.9143108731637, 2738.100458614521, 1825.908199164721,
20, 1593.3224114207085, 2471.878420159511, 2587.276181751876, 1153.6189091017718, 4222.321561320373, 4363.879213372095, 2729.0218182397857, 1849.5144273460064,
21, 1837.3270326861884, 2759.335140415142, 2716.2549977549033, 1243.4016072129573, 4184.048314559548, 4753.207981589479, 2823.8615984474186, 1859.5124956124957,
22, 1859.5000555277918, 3126.2627580752583, 2784.7335605278977, 1316.9127327617562, 4373.198416304277, 4630.215982304514, 3082.0190596232396, 1870.9547945198387,
23, 1911.9349705429893, 3415.4320585638793, 3002.111807877226, 1442.5322187603538, 4548.190006377312, 4465.280494685996, 3193.498059572364, 1878.1352438002882,
24, 1965.184488836663, 3873.663830629527, 3056.8799893338664, 1569.0350597644879, 4414.2061795422, 4781.624152087521, 3201.4332448243385, 1898.1044692452135,
