, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, -16397.656097560975, -16417.563030406367, -16397.45113912288, -16453.51710100365, -16358.177139011732, -16349.771054439301, -16569.595400022663, -23560.258037053158,
2, -16481.01372534313, -20528.06030087283, -16674.96423915195, -17147.804025243044, -16784.356876849273, -17182.663394420717, -18046.326068229857, -22560.11755057204,
3, -17563.64327979713, -25234.264015403613, -17503.044306255273, -18091.46369680459, -17193.880305094015, -18962.791502168628, -19980.82321143582, -17555.45220814108,
4, -19457.172331154685, -29022.108298090036, -19201.500508900506, -19881.611164990725, -18283.567520310044, -21437.92926999747, -24935.326360672614, -17408.02265334363,
5, -22304.380934266585, -29482.01611106961, -21282.62384161372, -21503.606764384058, -19483.020545200146, -24727.789272640475, -31211.38460435398, -17459.243238983257,
6, -23432.028067538897, -28184.543724865933, -21300.775335202587, -21342.478224756163, -20257.518754270066, -24477.06917048031, -31331.456224210706, -17231.93526640081,
7, -24301.78125, -24356.693651726528, -21468.023424479827, -21574.60450332569, -21196.85563134215, -23663.377009235377, -31064.734962741506, -17066.3615303375,
8, -25216.745018115944, -21021.899521811523, -21352.3750016806, -21553.792947567512, -21721.189703239037, -23317.79624932307, -30921.530276136287, -17530.31838434374,
9, -25359.625085792723, -20306.302781836603, -21301.72802975776, -21744.593408415996, -22745.182472544264, -23608.411287865594, -30980.706821508717, -16936.56161867436,
10, -25114.994955034, -20765.919650200005, -21545.337939285102, -21810.20665610249, -22243.750709166918, -23685.726901545673, -31052.22740349928, -16872.91060000383,
11, -25258.155148974736, -20731.999332379328, -20242.264282263517, -21940.088515015446, -22660.98841381799, -24174.293015404215, -30964.574758415605, -16508.512928623662,
12, -25191.44422043011, -20432.582634736762, -19718.218719624238, -21748.483207164943, -22458.882842260293, -23975.468458728654, -31110.02403074866, -16691.344528812864,
13, -23983.282322406998, -20851.21380908834, -19659.24998467793, -21800.777258472004, -22456.8687500044, -23614.119319795904, -31082.58112978525, -16087.961888834956,
14, -23529.289672312225, -21885.832920015004, -19757.69485610777, -21661.111745119346, -22920.614543379685, -22610.645748754498, -30689.331478008542, -16256.980316201778,
15, -23923.111613876317, -21944.51954442637, -19867.198254248047, -21729.241362589848, -22518.496257952378, -21764.335148900198, -29913.10936998955, -16232.86658173227,
16, -23533.47269593614, -23329.32386532428, -19879.785336662422, -21557.689428972102, -22088.57151829392, -20497.90974938862, -29299.134787811083, -16073.026888841172,
17, -23171.130278643126, -23176.19708854176, -19986.900750784967, -21781.049730738458, -22185.155727831385, -19350.66453716343, -29411.773035426733, -16082.046853210873,
18, -24081.17750975878, -21142.163517736524, -19887.661666881286, -21927.511122774707, -21973.26609008025, -19113.991701029678, -29741.540638924453, -16511.966809242644,
19, -24263.806202328382, -20654.427673804075, -19830.208203172115, -21589.383789714324, -21875.359285593575, -18691.538079946866, -29363.66544293398, -15765.844598242486,
20, -24463.535669975186, -21423.249911963077, -19763.644233434425, -21972.606185491168, -21732.41734819758, -18423.28564241042, -29422.634332445334, -15848.347721981962,
