, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 678.5057069648265, 665.804698383281, 610.6195153099143, 661.8055959947933, 642.1581090087898, 590.6509112575865, 643.989161676858, 616.6979680234296,
2, 634.624831033234, 660.5796069296471, 585.6447136409217, 662.5802774512738, 684.1473802453099, 596.0980077434302, 659.0419918246005, 1015.8170847355738,
3, 640.8855003046856, 640.0833794057754, 597.6930618733186, 652.1777273182036, 625.8578714099793, 639.8651603438244, 662.1783326473349, 1290.3771584953797,
4, 632.631598163513, 553.1582038371866, 536.3714436078478, 610.9647254411487, 601.1506260434578, 663.5676129196878, 657.4558679202876, 1580.1819049329335,
5, 629.4501183723909, 497.295481247277, 460.3801458239515, 597.1482244426044, 570.8652136777494, 664.9234541719916, 702.0570840330682, 1983.9637689815677,
6, 619.2075342529118, 522.7785316525254, 473.9049518460136, 605.2380835386259, 617.0054720082414, 822.5951633898297, 814.4897401351459, 3267.7290014040655,
7, 673.5489503362584, 532.0322733832038, 474.04807478742003, 614.9490628557614, 824.6281084724276, 891.4126222795742, 957.8846562902315, 5719.909808977596,
8, 697.1019717590158, 540.7531367275373, 464.5044314637812, 617.4650705329378, 1009.8352231982138, 914.6700264685512, 1184.300626283645, 8976.221681628216,
9, 752.0922955013551, 572.4854338980967, 491.71294402827215, 626.6755958628851, 1173.1622895081632, 917.7396091272294, 1466.0640332094888, 13286.742728383766,
10, 798.6465297647246, 608.9345864102263, 494.1016978361857, 631.608145605486, 1314.2253704945026, 942.0105633971629, 1746.0184341098343, 19994.78018288956,
11, 920.4586053460652, 662.2317405834486, 495.9212904090671, 687.5674607408312, 1554.391412953783, 1000.1127563025473, 1961.9298590408696, 27087.113359043105,
12, 927.2585379356304, 736.5178530060954, 508.17779291037715, 788.7556122028803, 1981.4348095006212, 1091.577071254893, 2333.7839011741576, 33529.674854330406,
13, 997.9492015518631, 805.6440873238992, 560.3419705018048, 849.4097857095592, 2794.4303966202424, 1159.5659671722356, 2789.080447793948, 38706.442093141995,
14, 1099.5580028384902, 922.2700459021423, 627.8811862275372, 923.8593217197304, 4117.919575072948, 1265.0804694511148, 3408.2175384006987, 42478.405707931124,
15, 1137.1024241870784, 1104.9362218996453, 702.9503922098766, 966.6304579939982, 6658.076237280128, 1330.8144901403398, 3853.9830822065255, 45863.783509274814,
16, 1204.9321700948578, 1363.2894027780158, 769.1094868605253, 1021.0559283659916, 9161.975029908848, 1437.1100717253491, 4568.013719651437, 47916.48228663446,
17, 1217.5736322536595, 1529.6079897102186, 850.6999325013221, 1110.287685210856, 13196.041624150588, 1521.7591274493157, 5311.382332043376, 51771.33552134664,
18, 1241.0548322352217, 1791.074343566972, 899.6586693461389, 1126.2538458375832, 17102.364044557595, 1559.0897887523784, 6315.967573187001, 53340.17234617235,
19, 1305.7404904883965, 2150.624599663062, 965.4405922294654, 1214.8598643229552, 21426.97212877868, 1716.9019154951682, 7792.877735667615, 54265.20797817739,
20, 1343.4802098505254, 2469.745935864406, 1028.8452800120485, 1258.7914096060424, 27538.076530320483, 1845.8406322347873, 8658.009510954329, 56358.43021897739,
