, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , ,
1, -9.993673164082029, -9.993705740316134, -9.99286469164093, -9.99456969101296, -9.993689398836457, -9.99289271667369, -9.993654918682783,
2, -9.985059525854362, -9.989649174069125, -9.99441401849219, -9.97805275657808, -9.979096366997709, -9.982833527943768, -9.994610428610429,
3, -9.98927771819123, -9.975378688210538, -9.981678064725612, -9.962976472150272, -9.961216778764529, -9.978453960948006, -9.99359855185749,
4, -9.974009154684312, -9.975645818043295, -9.959416723754808, -9.978969036027308, -9.945481867712115, -9.965211259748134, -9.96038960461999,
5, -9.978928081797267, -9.973701159578587, -9.955718486368033, -9.988459217707806, -9.914874182748319, -9.988190195368155, -9.74083798083617,
6, -9.965031418233774, -9.917143472655457, -9.931833514137258, -9.979476941324922, -9.83931135754444, -9.94765659424895, -9.173118046498526,
7, -9.97615039719469, -9.828801594241037, -9.92867380983417, -9.928782168299165, -9.790493087384197, -9.890023750545057, -7.845225523146899,
8, -9.942318528195432, -9.761696528900927, -9.903542208501278, -9.874511624912083, -9.749707332076213, -9.728780956735884, -6.662095656488715,
9, -9.88420615725, -9.773794097807302, -9.90658305060597, -9.833342952957427, -9.734463919821405, -9.463019975859643, -5.4033128199711715,
10, -9.71666609330872, -9.757086501733559, -9.889157959958833, -9.745974870331029, -9.584931452179717, -9.105391733651157, -4.097494490193737,
11, -9.518776683533039, -9.743893527049678, -9.878523925162067, -9.677846000681336, -9.350363090466166, -8.7119714407285, -3.971624165333445,
12, -8.996245690997402, -9.731556827273955, -9.863647057310402, -9.631733946418878, -9.121357297758163, -8.168319206862824, -2.3401449728827703,
13, -8.422574354657687, -9.664019635458354, -9.875235998087165, -9.346100154819181, -8.906493198209613, -7.930118507479165, -0.966781949934124,
14, -7.583564073020407, -9.58193020216207, -9.834430699359242, -9.068823075259784, -8.827357125700749, -7.11731210691824, 0.22608695652173916,
15, -7.2097532027608695, -9.528537800826513, -9.82685979797192, -8.480461835365652, -8.650662229248136, -6.353707564365459, 0.8786111111111111,
16, -6.963879974988987, -9.45437849951664, -9.82881685691595, -8.021342980942126, -8.60374489812712, -6.3679883900512575, 0.6382097337855895,
17, -6.8094087678490665, -9.357490927264623, -9.826529760409406, -7.859421130679007, -8.4626823055913, -6.038727065037633, 0.8913159111933396,
18, -6.500512567925162, -9.164270254172548, -9.804522776871575, -7.357892892907751, -8.25775947010783, -5.962100523070269, 1.9634566024991553,
19, -6.49909185189393, -8.905863671068328, -9.763281947111576, -6.89839304937148, -8.472951317143863, -5.524559939562322, 1.718552130071887,
20, -6.403170866117728, -8.919959877911145, -9.694703964485736, -6.586181074933057, -8.218595727672426, -4.836628049611558, 2.408596926713948,
21, -5.891039977166161, -8.965615335508582, -9.68250533494096, -5.908727065896858, -8.0758514123435, -4.510157408502939, 2.4919128672745696,
22, -5.606556070704144, -8.996419085184604, -9.579179285330822, -5.220082167832167, -8.084417095322541, -4.449187250657839, 2.728951832907076,
23, -5.2037812520185245, -8.982972635140507, -9.520217731992204, -5.762421237954041, -8.15135235091474, -3.930336101042022, 3.236082528394738,
24, -4.921822965726738, -8.859472700716006, -9.470560612779682, -4.931763034067382, -8.096697310180456, -3.636471528471528, 4.502849002849002,
25, -4.97105427926028, -8.64169883983794, -9.482873517259762, -4.64562239910627, -8.013835100038412, -3.575042299748182, 3.7623700146725354,
26, -4.744349376114082, -8.435514662771446, -9.401959040430748, -4.321940940667828, -7.986979334326692, -3.8000735930735927, 3.748045200082936,
27, -4.191845039902754, -8.419468816067653, -9.383545580540845, -4.288569187378812, -7.955308960445947, -3.506639695110189, 4.584175266082826,
28, -3.4667964396486566, -8.146881115496878, -9.430169868390816, -4.158091914230239, -7.971270126869942, -2.7495226451718118, 4.4322844022304935,
29, -3.060741258741259, -8.484944313017134, -9.4338677091147, -3.6121214205727084, -7.837749827711558, -2.6949599474977246, 5.276831992288381,
