, Cramer_ncLR0.00005, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , , ,
1, 666.2650602409639, 644.5350728982188, 695.371710599547, 654.7843438659821, 652.6238823251836, 692.8517093887749, 675.3047122287138, 252.06763263212716,
2, 655.3072625698323, 592.8754023222941, 614.6553407917345, 630.177419903491, 583.8821968046568, 648.68616835862, 608.6398416427567, 720.9441097258648,
3, 431.9148936170213, 454.1628356176599, 468.5107329753505, 464.47965581381993, 476.26587577656056, 573.3782755087102, 465.8678234451675, 1028.855533496559,
4, 279.44785276073617, 290.4780851302313, 286.75942997931077, 346.7535437381387, 280.77039588669123, 428.10774112139444, 283.8578266059192, 1442.1960149078793,
5, 130.57471264367817, 177.1327587100888, 136.61913237213497, 227.2203713915563, 204.30215460116332, 369.87307850544704, 182.27969631782017, 2078.1034596796812,
6, 119.5227765726681, 247.660505299912, 150.082074777989, 228.27239423667984, 310.20912890394396, 514.9389135606973, 313.1442708894022, 2492.2744807462495,
7, 180.22598870056498, 348.36359899906404, 180.06133996064528, 267.6293452718052, 555.6672881047266, 674.9323681487167, 513.2522050130203, 2952.28635005866,
8, 255.14950166112956, 401.60801982018415, 213.20856619834234, 310.349800973116, 907.8679645551044, 840.9392405429028, 758.215347887862, 3622.1048178681317,
9, 394.91525423728814, 496.3126835133512, 252.35753992371392, 368.20985049041735, 1089.6741151899791, 984.2719388873235, 1003.4881276821391, 4198.452853806832,
10, 444.84304932735427, 582.7991123084003, 274.31581430258336, 420.30561540755207, 1324.9697983338958, 1140.4287451953485, 1270.9464411845333, 4890.683946327818,
11, 500.9756097560976, 722.3597158636727, 324.48147179216284, 445.7419092499259, 1717.0911239627858, 1238.9670318176547, 1594.087183685019, 5381.387372804669,
12, 570.1030927835052, 827.2404154098355, 373.5521303652903, 454.6013353255086, 1794.7817737817736, 1371.4026771353542, 1807.9900247807225, 5971.868843317223,
13, 517.6991150442478, 970.6173696668102, 454.1810332989062, 482.94687573383453, 2285.6930992377147, 1492.6401596184417, 2050.1534792972657, 6273.276559944986,
14, 572.192513368984, 1065.0295871208896, 497.9927402956656, 536.1879909425909, 2336.8955536288604, 1664.2214875063116, 2604.725360783751, 6568.970929960281,
15, 608.8082901554404, 1202.570371446711, 523.9407791767526, 623.0861572252009, 2765.9177583089327, 1686.7349228263308, 2896.359243076801, 7055.1213703330895,
16, 672.1951219512196, 1376.0751916547065, 609.966705110516, 690.5972301225409, 3126.689056970249, 1728.3820574143483, 3124.6917304707667, 7321.78702477148,
17, 833.4975369458128, 1451.0312898465982, 635.4762925830346, 740.6458062543958, 3044.531044724967, 1832.779119797097, 3067.5622085216955, 7849.933169503539,
18, 849.468085106383, 1586.8916619756956, 688.2240620753967, 677.9294797137942, 3724.410984848485, 1891.0352994645225, 3174.5229021580376, 7861.403518854349,
19, 931.1475409836065, 1604.3953263290168, 713.764923012582, 883.3419882167454, 3867.86787665886, 1883.7856679210556, 3672.8109485515283, 8135.390008140008,
20, 883.8541666666666, 1699.9617068029245, 805.9413704938426, 993.6361481248783, 3887.953030032465, 1885.873644696526, 3606.6352617967736, 8410.531585350502,
21, 1119.4871794871794, 1840.6235086134104, 854.5429231035354, 1098.7859778957106, 5065.105509194214, 2021.9132855290693, 3901.330530527088, 8548.112469063894,
22, 1245.1977401129943, 1857.4236870619484, 948.4168020554683, 1223.4231055291425, 4952.329916815211, 2138.3927610141013, 4977.098039215686, 9078.732150073167,
23, 1156.0693641618498, 2045.755216301348, 1035.3541032507194, 1323.2364586458093, 5016.554758674161, 2260.0718870561227, 4994.51695750719, 8857.801589487211,
