, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
0, , , , , , , ,
1, 3587.971706971137, 3526.730926777097, 3546.072006779302, 3608.2245818861256, 3597.3000920857216, 3576.201686933615, 5899.542460801762,
2, 4153.948250001569, 4107.912803914382, 3777.2384435513422, 3770.4198049470388, 4097.722918979134, 3822.1196369027302, 9062.009015666536,
3, 4362.488415795933, 4642.621427127123, 4088.385200291011, 2265.7422486528426, 4531.6012587449, 2543.6534944970617, 9391.790592582653,
4, 3753.8867931710565, 4513.5814560151775, 4274.439542861779, 2719.4847713721065, 4392.891835148555, 2470.864647386581, 8906.853894680366,
5, 4848.73836517994, 5267.705245478555, 4635.787989027258, 3545.240061123272, 4767.059545701787, 2314.284374108159, 8930.782489792095,
6, 6394.16631910949, 6687.93339386982, 4616.558473269743, 4916.420863152658, 5127.6264608736, 2719.7479927573163, 9038.5618386494,
7, 8132.175500551986, 8240.349937534447, 4966.349422632664, 5548.735387239245, 6395.800591855838, 3252.830602196381, 9508.074431546962,
8, 9006.670893378187, 9744.010738780293, 5913.050536720157, 6454.418530064775, 8042.994554616339, 4223.404971419623, 9469.18493075573,
9, 9166.898440642359, 10948.310560053034, 6918.659968413895, 7100.723880879139, 8276.031174488346, 4737.994911634074, 9751.737769487478,
10, 9732.323795324817, 11881.302785813852, 7830.185875922551, 7526.863223045111, 8626.026444537672, 4995.704955100719, 9736.437167290336,
11, 10551.094614647174, 11729.619505751483, 8589.38505460738, 8405.758168993938, 8894.302662758233, 5634.471657483687, 10816.42598601063,
12, 10466.068678540516, 11901.819364561296, 8068.95744342402, 9020.061968115415, 9491.253812305824, 6465.420083302752, 12210.0867871253,
13, 11155.901131004954, 12231.659088062745, 8283.988344976, 8931.191253552586, 8791.23755148029, 6876.588707089284, 13198.310863779081,
14, 10784.10503519606, 12736.091899032439, 8849.848695211462, 9440.927675389361, 8883.296670732916, 8558.27107000818, 14849.896595383016,
15, 10936.697128727474, 12616.481812995113, 8784.416358524337, 9841.183363551438, 9286.971591556245, 9815.97189661804, 18653.731855209648,
16, 10973.319764112388, 12128.095722565606, 9010.206265007957, 9708.079114937282, 10372.178168767363, 9183.846520641568, 21352.120391955414,
17, 11582.699945201979, 12636.140944808896, 9520.088538497692, 10065.26624279303, 9452.300776116073, 8839.486552063676, 26022.956427714344,
18, 11629.997586951413, 12385.848496062377, 9060.285689036591, 10274.96510399527, 9792.064004129, 9237.238595738256, 30846.345688558496,
19, 11583.520595996275, 12403.67305217474, 9385.759605340147, 10333.547014846077, 10054.24408899267, 10158.494647055879, 33767.747748576585,
20, 11373.661246164385, 12535.73090722241, 9649.818494195535, 10847.556287180847, 10189.717087608613, 10691.082784005104, 35690.524544722844,
21, 11765.923163090472, 12887.983114131208, 9467.50204872991, 10639.526597339564, 10163.0845697868, 11277.326596354931, 38049.85583093547,
22, 11459.870017196889, 12420.534096360538, 9716.022164438642, 11117.037161423646, 9639.371590634599, 11848.009959202569, 41981.89537581577,
23, 11594.559192060933, 12396.170642899946, 9751.779832415423, 10988.412418669044, 10187.331197677366, 12129.802330728076, 44500.42575206559,
24, 11803.212909259064, 12475.62918420548, 9808.232544917893, 11223.909222503524, 10455.671749758474, 12522.339596628684, 47535.20051163691,
25, 11827.751057704352, 12567.984150902765, 10108.666153366443, 11157.737392510158, 10551.434931345171, 12992.841542986956, 50135.91330735595,
26, 11781.57052042587, 12749.097491356017, 10352.932564082153, 11754.726022483777, 10263.634180030187, 13798.555990069919, 51420.59338914926,
27, 11973.185467646439, 12624.144842674248, 10071.655459986121, 11906.72324619563, 9909.663328938792, 13363.922189244196, 51550.27033036757,
28, 11426.894505003585, 12408.877323253517, 10548.915857681797, 12359.02746550577, 10024.959991636366, 13658.66976276481, 51881.46386690925,
29, 11635.25285929533, 12566.753859207121, 10495.46585409184, 12016.36005257415, 9914.483277110074, 14075.866636200677, 54598.874751090145,
30, 11514.266228020711, 13329.932853146733, 10421.771347525339, 12915.632581771575, 9985.187382628672, 14153.482790290294, 53790.96782782079,
31, 11269.605310294348, 13475.09295226323, 10717.515444075738, 13684.854840762526, 9985.703165424187, 14695.475917775675, 55572.085058960634,
32, 11770.84218878618, 13645.415884598697, 10900.297137775124, 14076.428756852456, 10209.892902626412, 15176.896222257099, 55857.07903486135,
33, 11453.413749749508, 13816.644069677888, 11141.040258170633, 14725.629537700812, 10410.25836871462, 15037.571176889702, 56669.155334142444,
34, 11900.382833384641, 13646.657066614625, 11344.827900490327, 15045.652824997105, 10101.612451521647, 16103.619149839611, 56862.94954407726,
35, 11814.40490023803, 13805.653628752834, 11551.000657263881, 15498.839661193764, 10173.722954336341, 15436.059797931197, 58203.462543432295,
36, 11723.185339318912, 13790.389025852124, 11619.27562915411, 16320.250735861458, 10494.426416968772, 16287.381988274496, 59644.976399559135,
