iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,36.37931034482759,nan,232,0,1231.8471518125264,nan,1.0,-0.02774253100119892,-0.02774253100119892,1.027742531001199
1,1000000,36.1671469740634,214.177897574124,347,371,1178.0450112089807,686.153844673757,0.8020002475,-0.027773279761436634,-0.027773279761436634,1.0277732797614367
2,2000000,1006.6836734693877,292.0671834625323,196,387,1176.6345477696054,608.8780278996355,0.5545002475,0.11288332779741558,0.11288332779741558,0.8871166722025844
3,3000000,334.0394088669951,416.3840399002494,203,401,1146.5135133642011,603.7188736646154,0.3070002475,0.015397238926215607,0.015397238926215607,0.9846027610737844
4,4000000,200.76045627376425,455.12626262626264,263,396,1164.1678523676983,604.2142800392096,0.05950024749999997,-0.003918831247733411,-0.003918831247733411,1.0039188312477334
5,5000000,465.1320754716981,474.79910714285717,265,448,1162.836326897027,600.6045069719524,0.01,0.03439645146620938,0.03439645146620938,0.9656035485337906
6,6000000,435.25252525252523,536.4733178654292,198,431,1183.3462899328936,599.6123157280424,0.01,0.030066019109338576,0.030066019109338576,0.9699339808906614
7,7000000,484.2564102564103,544.2288557213931,195,402,1149.1866591673754,600.6600758442404,0.01,0.037168134357948704,0.037168134357948704,0.9628318656420513
8,8000000,641.2571428571429,624.7341772151899,175,395,1142.933322164672,601.2326856509185,0.01,0.05992219348934664,0.05992219348934664,0.9400778065106533
9,9000000,590.3703703703703,635.8549222797927,189,386,1125.747188422901,601.6277056568616,0.01,0.052547192041967325,0.052547192041967325,0.9474528079580327
10,10000000,685.1412429378531,654.2970822281167,177,377,1117.8553097461452,607.3537290427818,0.01,0.06628230016925653,0.06628230016925653,0.9337176998307435
11,11000000,677.6243093922652,741.6056338028169,181,355,1124.3925536964107,601.6909531761904,0.01,0.06519287372168658,0.06519287372168658,0.9348071262783134
12,12000000,724.1573033707865,715.8982035928144,178,334,1152.208187984103,599.458567170976,0.01,0.07193688363176083,0.07193688363176083,0.9280631163682391
13,13000000,717.0700636942676,758.7790697674419,157,344,1123.7531180478456,602.7371089446157,0.01,0.07090973256051067,0.07090973256051067,0.9290902674394893
14,14000000,705.9302325581396,758.4782608695652,172,322,1109.8162154451402,605.710769186313,0.01,0.06929524088148228,0.06929524088148228,0.9307047591185177
15,15000000,712.1387283236994,829.2789968652038,173,319,1112.60891386234,604.9220361054573,0.01,0.07019503591699872,0.07019503591699872,0.9298049640830013
16,16000000,736.9480519480519,886.5506329113924,154,316,1112.5965352841613,605.7578276297339,0.01,0.07379064217569123,0.07379064217569123,0.9262093578243088
17,17000000,1008.2068965517242,959.9322033898305,145,295,1175.7329118072628,612.561117991522,0.01,0.11310408796529287,0.11310408796529287,0.8868959120347071
18,18000000,975.7251908396946,1012.4731182795699,131,279,1160.5448378939761,603.1817223304378,0.01,0.10839652615830586,0.10839652615830586,0.8916034738416941
