iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,3.111111111111111,nan,27,0,1493.109737707401,nan,1.0,-0.42203404328115646,-0.42203404328115646,1.4220340432811565
1,1000000,342.7439024390244,261.70344827586206,246,435,1248.578970209187,932.9833278467765,0.8020002475,0.2316087421844195,0.2316087421844195,0.7683912578155805
2,2000000,425.29816513761466,316.1921397379913,218,458,1225.6585619747862,841.5842302836992,0.5545002475,0.39048915538416984,0.39048915538416984,0.6095108446158302
3,3000000,651.185628742515,470.8917525773196,167,388,1250.1418148649618,844.8050006919525,0.3070002475,0.8252225341464876,0.8252225341464876,0.1747774658535124
4,4000000,752.6875,684.269113149847,176,327,1213.5974707424327,840.6549795456452,0.05950024749999997,1.0205687066974596,1.0,0.0
5,5000000,1244.09,937.156862745098,100,255,1200.8731325982894,836.6730633911588,0.01,1.9663010007698227,1.0,0.0
6,6000000,1986.8103448275863,1362.1548387096775,58,155,1183.971911005959,824.8381936176798,0.01,3.3957089007459316,1.0,0.0
7,7000000,3087.3529411764707,1806.7563025210084,34,119,1237.6072846307802,833.6770430552705,0.01,5.513766245528235,1.0,0.0
8,8000000,2874.866666666667,2215.0095238095237,45,105,1206.2431479736003,832.3014599355707,0.01,5.1048242237618675,1.0,0.0
9,9000000,1520.2560975609756,2842.7386363636365,82,88,1235.9755772757737,837.984821032944,0.01,2.497798494151223,1.0,0.0
10,10000000,8820.8,2668.873786407767,15,103,1245.2041953486503,833.3202060721047,0.01,16.548113933795225,1.0,0.0
11,11000000,1632.1739130434783,3290.703703703704,69,81,1229.2188201543977,834.0515345219044,0.01,2.713190748736486,1.0,0.0
12,12000000,4802.896551724138,3900.5285714285715,29,70,1227.2377076803884,832.6159877468723,0.01,8.815428313556847,1.0,0.0
13,13000000,8298.588235294117,4009.485294117647,17,68,1195.5571332374277,821.3583897928335,0.01,15.543087442829325,1.0,0.0
14,14000000,6684.608695652174,5574.32,23,50,1208.148631559583,822.4880807783808,0.01,12.436891254141983,1.0,0.0
15,15000000,4145.636363636364,5065.017241379311,33,58,1213.2864918489636,820.9528192012714,0.01,7.5504933865211,1.0,0.0
16,16000000,9164.692307692309,5771.509433962264,13,53,1189.8391621264154,817.0432556810308,0.01,17.209954402795052,1.0,0.0
17,17000000,7461.55,4536.9375,20,64,1193.9268134741867,811.2441512289387,0.01,13.93215935334873,1.0,0.0
18,18000000,6100.038461538462,4718.777777777777,26,63,1195.373425029422,807.5025310415816,0.01,11.31185231242968,1.0,0.0
19,19000000,9252.125,4943.758064516129,16,62,1190.7010008577774,810.3195235986399,0.01,17.37822363356428,1.0,0.0
20,20000000,5896.75,5010.066666666667,28,60,1190.327001719674,809.0044892368608,0.01,10.920612009237875,1.0,0.0
21,21000000,4052.4444444444443,5231.413793103448,36,58,1191.4383734644987,811.064662351828,0.01,7.371140193311093,1.0,0.0
22,22000000,9905.0,4835.730158730159,13,63,1181.1752653043188,811.2703114278178,0.01,18.634719014626636,1.0,0.0
23,23000000,8511.2,5951.528301886792,15,53,1195.0990751809425,813.182015371205,0.01,15.952270977675136,1.0,0.0
