iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,645.3488372093024,nan,86,0,1494.3836398052758,nan,1.0,0.05249404184212586,0.05249404184212586,0.9475059581578742
1,1000000,283.9572192513369,234.14271555996035,374,1009,1441.3412706726303,832.4008941799101,0.8020002475,0.00891770697446576,0.00891770697446576,0.9910822930255342
2,2000000,513.013698630137,268.2092555331992,365,994,1431.6842884737405,798.014207543265,0.5545002475,0.03653716839257437,0.03653716839257437,0.9634628316074256
3,3000000,532.7298050139276,370.7920792079208,359,909,1403.4208562582508,817.6486447937738,0.3070002475,0.0389145219651921,0.0389145219651921,0.9610854780348079
4,4000000,866.7355371900826,606.074074074074,242,675,1385.0254777688142,825.4212793242399,0.05950024749999997,0.07918868691474837,0.07918868691474837,0.9208113130852517
5,5000000,1131.057268722467,1065.2173913043478,227,437,1360.2212942452286,828.6723804593137,0.01,0.1110604064392301,0.1110604064392301,0.8889395935607699
6,6000000,2215.748031496063,1697.7564102564102,127,312,1349.8142019122276,831.9231188384534,0.01,0.241851618956997,0.241851618956997,0.758148381043003
7,7000000,2544.6428571428573,2371.9565217391305,112,230,1338.644262344422,837.5911225503256,0.01,0.2815095145651137,0.2815095145651137,0.7184904854348864
8,8000000,2660.4761904761904,2568.6363636363635,105,220,1328.8601239341003,839.2317287482877,0.01,0.29547661250361024,0.29547661250361024,0.7045233874963898
9,9000000,2612.8440366972477,2587.442922374429,109,219,1315.7201015247233,840.3055966793016,0.01,0.2897331625163985,0.2897331625163985,0.7102668374836014
10,10000000,2559.4017094017095,2612.5,117,220,1319.3526949765958,837.5628252853107,0.01,0.2832891260899412,0.2832891260899412,0.7167108739100587
11,11000000,2624.561403508772,2603.761061946903,114,226,1322.8265264717215,824.5095896561352,0.01,0.2911460339682361,0.2911460339682361,0.7088539660317639
12,12000000,2656.7567567567567,2629.475982532751,111,229,1315.7510336091898,815.3289470205327,0.01,0.29502812592776784,0.29502812592776784,0.7049718740722322
13,13000000,2581.5126050420167,2774.5283018867926,119,212,1319.521471811283,798.8339401037405,0.01,0.28595524158561936,0.28595524158561936,0.7140447584143806
14,14000000,2416.9117647058824,2881.367924528302,136,212,1322.788310488081,805.8816293298277,0.01,0.2661077936051852,0.2661077936051852,0.7338922063948148
15,15000000,3178.2178217821784,3000.721153846154,101,208,1293.7938452410958,804.4986365037435,0.01,0.3579055167161659,0.3579055167161659,0.6420944832838341
16,16000000,3162.5,3173.6585365853657,92,205,1311.9897363450111,814.980095114018,0.01,0.35601027335318874,0.35601027335318874,0.6439897266468113
17,17000000,4000.0,3367.6020408163267,77,196,1292.5336444547627,830.1406726175503,0.01,0.4569954059300882,0.4569954059300882,0.5430045940699118
18,18000000,3728.4313725490197,3755.945945945946,102,185,1317.7671341591888,832.7060657500222,0.01,0.4242498610383104,0.4242498610383104,0.5757501389616896
19,19000000,4133.333333333333,3726.7156862745096,102,204,1291.639155232619,834.818467412952,0.01,0.47307264096720647,0.47307264096720647,0.5269273590327935
20,20000000,4462.0,4110.659898477157,100,197,1272.7334574713739,820.3943427921023,0.01,0.5127030253337032,0.5127030253337032,0.48729697466629684
