iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,131.36094674556213,nan,169,0,1876.9691147813123,nan,1.0,-0.012593616685260595,-0.012593616685260595,1.0125936166852605
1,1000000,171.0738255033557,901.9917012448133,149,241,1217.0230507917843,868.5081202995741,0.8020002475,-0.011742679913619236,-0.011742679913619236,1.0117426799136193
2,2000000,373.9111111111111,952.2314049586777,225,242,1219.6536916251998,678.5194409143223,0.5545002475,-0.007396439842828928,-0.007396439842828928,1.007396439842829
3,3000000,495.79545454545456,844.9657534246576,176,292,1234.1101180260557,681.5759969682372,0.3070002475,-0.004784796643951212,-0.004784796643951212,1.0047847966439512
4,4000000,261.6243654822335,599.344262295082,197,366,1238.8186321341018,686.3593060870036,0.05950024749999997,-0.009802433158153628,-0.009802433158153628,1.0098024331581537
5,5000000,333.8095238095238,371.6058394160584,231,411,1212.5124240458183,684.2665049657936,0.01,-0.008255705559732165,-0.008255705559732165,1.008255705559732
6,6000000,244.35146443514645,353.778801843318,239,434,1259.4246301056294,682.5096305745564,0.01,-0.010172543487941907,-0.010172543487941907,1.0101725434879418
7,7000000,433.3898305084746,403.0676328502415,236,414,1255.365525465436,680.5360040293925,0.01,-0.006121975964900609,-0.006121975964900609,1.0061219759649007
8,8000000,186.1818181818182,434.14868105515586,110,417,1241.4391567982639,683.371949164649,0.01,-0.011418957561628596,-0.011418957561628596,1.0114189575616286
9,9000000,850.4958677685951,554.7863247863248,121,351,1269.7479505131582,684.3958220787499,0.01,0.0028154487668331217,0.0028154487668331217,0.9971845512331668
10,10000000,650.062893081761,647.7902621722847,159,267,1228.1984512473882,675.521469394375,0.01,-0.001479273593907791,-0.001479273593907791,1.0014792735939078
11,11000000,375.0,785.2105263157895,82,190,1231.344241135106,679.2439783017146,0.01,-0.007373107976070077,-0.007373107976070077,1.0073731079760702
12,12000000,423.0841121495327,848.3428571428572,107,175,1200.846634320052,672.126194402702,0.01,-0.006342798906578744,-0.006342798906578744,1.0063427989065787
13,13000000,445.7692307692308,777.2413793103449,78,203,1201.6167023814037,664.8829889241895,0.01,-0.005856719775416315,-0.005856719775416315,1.0058567197754162
