iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,2004.3918918918919,nan,296,0,1186.567181296133,nan,1.0,-0.6703882475759273,-0.6703882475759273,1.6703882475759273
1,1000000,6342.424242424242,16994.845360824744,165,194,1182.7598754569958,767.5688202400399,0.8020002475,-0.4022459842364529,-0.4022459842364529,1.402245984236453
2,2000000,2997.378277153558,16597.395833333332,267,192,1107.6163919772512,712.173663568862,0.5545002475,-0.6090098171507434,-0.6090098171507434,1.6090098171507434
3,3000000,2024.4897959183672,13752.914798206279,294,223,1098.400984317018,724.0906027607114,0.3070002475,-0.6691459568232138,-0.6691459568232138,1.6691459568232139
4,4000000,2351.8518518518517,9248.188405797102,243,276,1112.8042745024877,732.1378204938986,0.05950024749999997,-0.6489110679343154,-0.6489110679343154,1.6489110679343155
5,5000000,5911.764705882353,5996.83908045977,187,348,1083.1251412576626,737.6821286426506,0.01,-0.428865892417382,-0.428865892417382,1.428865892417382
6,6000000,2921.7391304347825,5763.896848137536,207,349,1096.505932238772,747.3110572382458,0.01,-0.613685220734525,-0.613685220734525,1.6136852207345251
7,7000000,4456.3451776649745,6581.41592920354,197,339,1090.2915887903957,753.5297772029883,0.01,-0.5188282197745734,-0.5188282197745734,1.5188282197745733
8,8000000,4129.081632653061,6570.65527065527,196,351,1137.0852333481262,746.2171670580675,0.01,-0.5390570195107546,-0.5390570195107546,1.5390570195107545
9,9000000,2678.5714285714284,6324.242424242424,280,363,1064.9289590653536,716.724970563066,0.01,-0.6287158919421053,-0.6287158919421053,1.6287158919421052
10,10000000,5803.105590062112,6525.210084033613,161,357,1108.1219323656285,725.2751928492964,0.01,-0.43558232486743736,-0.43558232486743736,1.4355823248674373
11,11000000,9849.618320610687,6821.407624633431,131,341,1047.4733362759935,740.8977001418837,0.01,-0.18545945935488797,-0.18545945935488797,1.185459459354888
12,12000000,3507.114624505929,6986.95652173913,253,345,1115.1773789109611,735.6434322712861,0.01,-0.5775020166455933,-0.5775020166455933,1.5775020166455933
13,13000000,2871.186440677966,6982.997118155619,236,347,1161.2879297422226,743.0381299161324,0.01,-0.616809981352695,-0.616809981352695,1.616809981352695
14,14000000,4928.240740740741,7382.388059701492,216,335,1155.7119433045154,730.8898760036686,0.01,-0.4896594321495886,-0.4896594321495886,1.4896594321495886
15,15000000,6076.119402985075,8850.967741935483,201,310,1151.646056110069,738.4566923462664,0.01,-0.4187068071661645,-0.4187068071661645,1.4187068071661644
16,16000000,8480.575539568345,7958.064516129032,139,310,1165.7350626139319,724.2814371860201,0.01,-0.27008267104490985,-0.27008267104490985,1.2700826710449098
17,17000000,17345.833333333332,9740.55944055944,96,286,1186.6271521757378,727.7121454530403,0.01,0.27789625069280893,0.27789625069280893,0.7221037493071911
