iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,8,0,1382.41193407803,nan,1.0,-0.01921775612396806,-0.01921775612396806,1.0192177561239681
1,1000000,0.0,13.98720682302772,49,469,1328.7891223981953,810.4900320837476,0.8020002475,-0.01921775612396806,-0.01921775612396806,1.0192177561239681
2,2000000,39.029126213592235,26.401766004415013,103,453,1300.2328803496978,726.2534255025631,0.5545002475,0.03360282340450973,0.03360282340450973,0.9663971765954903
3,3000000,115.92760180995475,64.70319634703196,221,438,1243.5679544568463,750.5560157468175,0.3070002475,0.1376743832859044,0.1376743832859044,0.8623256167140956
4,4000000,169.59183673469389,119.78102189781022,196,411,1221.2577746182365,736.7176346281766,0.05950024749999997,0.21030157901569077,0.21030157901569077,0.7896984209843092
5,5000000,253.07692307692307,193.62017804154303,143,337,1187.436639078555,738.9022619169856,0.01,0.32328721488283,0.32328721488283,0.6767127851171699
6,6000000,237.28323699421966,231.30841121495328,173,321,1184.3942224417806,734.7169748912634,0.01,0.3019126228098791,0.3019126228098791,0.6980873771901208
7,7000000,258.9808917197452,268.14332247557,157,307,1171.5783449420023,735.7492838924594,0.01,0.33127742823080963,0.33127742823080963,0.6687225717691904
8,8000000,386.38461538461536,396.18677042801556,130,257,1179.037769774165,738.1042610952401,0.01,0.5037009275742528,0.5037009275742528,0.4962990724257472
9,9000000,1038.8059701492537,511.8018018018018,67,222,1217.9270654672516,756.2088487948445,0.01,1.386663919541553,1.0,0.0
10,10000000,688.7234042553191,566.5094339622641,94,212,1202.604782101981,768.9777168770867,0.01,0.912875090344186,0.912875090344186,0.08712490965581399
11,11000000,844.9382716049382,586.3461538461538,81,208,1155.3598331332503,764.1486621905415,0.01,1.1242905286303129,1.0,0.0
12,12000000,777.816091954023,641.3636363636364,87,198,1183.014351329531,717.2428982738995,0.01,1.0334498470077453,1.0,0.0
13,13000000,828.3132530120482,636.2,83,200,1186.8871551113202,760.0694756941275,0.01,1.1017908418081583,1.0,0.0
14,14000000,809.7619047619048,682.2222222222222,84,189,1202.1366928336056,758.8744937977053,0.01,1.0766841314953375,1.0,0.0
15,15000000,856.8354430379746,717.8142076502733,79,183,1184.5106283121183,760.7005134747232,0.01,1.140391721529266,1.0,0.0
16,16000000,775.8139534883721,687.0370370370371,86,189,1179.8519890993657,759.8409681964607,0.01,1.0307402266725838,1.0,0.0
17,17000000,946.986301369863,767.4285714285714,73,175,1185.3029582806873,759.19157201304,0.01,1.2623985672890283,1.0,0.0
18,18000000,743.2183908045977,759.8305084745763,87,177,1177.0610183547699,767.0240388160461,0.01,0.9866265946739716,0.9866265946739716,0.013373405326028376
19,19000000,1163.28125,798.7134502923976,64,171,1174.286249344688,762.1248376189108,0.01,1.5551241710650967,1.0,0.0
20,20000000,816.0493827160494,767.8531073446328,81,177,1191.4465426895356,761.5238257534934,0.01,1.0851933721965752,1.0,0.0
21,21000000,880.5,790.693641618497,80,173,1203.8997969675502,769.1094837830282,0.01,1.1724184598727838,1.0,0.0
22,22000000,928.974358974359,811.8713450292398,78,171,1195.1715568236643,770.5137387059357,0.01,1.2380218689597495,1.0,0.0
23,23000000,686.9,779.2045454545455,100,176,1205.133194968407,770.0610134000975,0.01,0.9104073622953037,0.9104073622953037,0.08959263770469628
24,24000000,682.7835051546392,810.6395348837209,97,172,1207.3669686907783,766.9177850695429,0.01,0.9048362500401126,0.9048362500401126,0.09516374995988741
25,25000000,1072.8985507246377,797.3295454545455,69,176,1211.950268683534,769.0193196407803,0.01,1.4328035603256701,1.0,0.0
26,26000000,795.7954545454545,813.1034482758621,88,174,1226.7957692691236,774.2086632474455,0.01,1.0577824530321485,1.0,0.0
27,27000000,1114.857142857143,792.5280898876405,70,178,1248.0537550554166,781.3237824588053,0.01,1.489588770952961,1.0,0.0
28,28000000,831.7647058823529,792.7118644067797,85,177,1255.5657803716592,771.9070173191161,0.01,1.1064619107894884,1.0,0.0
29,29000000,930.75,787.6404494382023,80,178,1262.3350440450588,770.2436821392794,0.01,1.240424956015699,1.0,0.0
30,30000000,811.7045454545455,759.2307692307693,88,182,1252.3155224187299,778.7948885512857,0.01,1.0793132297395391,1.0,0.0
31,31000000,788.4090909090909,771.6574585635359,88,181,1231.7334187854415,767.7704240660186,0.01,1.0477860209894314,1.0,0.0
32,32000000,1068.2857142857142,779.0502793296089,70,179,1241.0182060541797,763.4395480358428,0.01,1.426560717669122,1.0,0.0
33,33000000,822.5842696629213,790.8379888268156,89,179,1244.159232093455,762.6835740480079,0.01,1.0940374471009897,1.0,0.0
34,34000000,926.3291139240506,808.2954545454545,79,176,1222.6112543906943,767.9212022667718,0.01,1.234441891898837,1.0,0.0
35,35000000,751.4130434782609,797.6966292134831,92,178,1226.0014906247902,767.9423238109569,0.01,0.9977169352798225,0.9977169352798225,0.0022830647201774745
36,36000000,856.2352941176471,810.6857142857143,85,175,1208.8606516290286,767.4353078427437,0.01,1.1395795021215958,1.0,0.0
