iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,1344.7257294734366,nan,1.0,-0.06776254396669298,-0.06776254396669298,1.067762543966693
1,1000000,68.18181818181819,4195.7671957671955,88,189,1282.5013179427733,804.7209135891388,0.8020002475,-0.06580484335132243,-0.06580484335132243,1.0658048433513225
2,2000000,0.0,4107.594936708861,103,158,1266.787479564826,716.8928384533953,0.5545002475,-0.06776254396669298,-0.06776254396669298,1.067762543966693
3,3000000,98.76543209876543,3664.4736842105262,81,152,1216.4560729567856,747.827192554505,0.3070002475,-0.0649266978078023,-0.0649266978078023,1.0649266978078022
4,4000000,1520.8333333333333,3284.8101265822784,96,158,1215.3439462543415,761.0122040875717,0.05950024749999997,-0.02409494412939966,-0.02409494412939966,1.0240949441293996
5,5000000,6426.966292134832,3220.5882352941176,89,136,1141.8402741561806,747.109514880253,0.01,0.11677456872112071,0.11677456872112071,0.8832254312788793
6,6000000,3100.0,2883.211678832117,20,137,1090.5203572636945,743.2039790629011,0.01,0.021247577345488478,0.021247577345488478,0.9787524226545116
7,7000000,8923.076923076924,3511.8110236220473,13,127,1132.096130704371,742.6192542408226,0.01,0.18844524938846957,0.18844524938846957,0.8115547506115304
8,8000000,5551.724137931034,4038.7596899224804,29,129,1122.3273647405165,735.8417319177454,0.01,0.09164379119750296,0.09164379119750296,0.908356208802497
9,9000000,4375.0,4550.0,8,120,1129.1587064866567,735.4839069751937,0.01,0.05785657885291795,0.05785657885291795,0.942143421147082
10,10000000,4835.294117647059,4060.0,85,100,1150.2680259210565,734.4824391809045,0.01,0.07107297732099802,0.07107297732099802,0.928927022679002
11,11000000,6208.955223880597,4305.0847457627115,67,118,1111.3710506888583,722.440732934096,0.01,0.1105148294847634,0.1105148294847634,0.8894851705152366
12,12000000,5666.666666666667,4358.333333333333,78,120,1091.618530889,725.5025389862956,0.01,0.09494412939966024,0.09494412939966024,0.9050558706003398
13,13000000,2571.4285714285716,9228.57142857143,7,105,1098.5188985844175,719.9113517414759,0.01,0.0060707363844252835,0.0060707363844252835,0.9939292636155748
14,14000000,12905.405405405405,12469.565217391304,74,115,1176.6385570576565,725.0569497797651,0.01,0.30278961755524814,0.30278961755524814,0.6972103824447519
15,15000000,25063.492063492064,16468.75,63,128,1159.8199479360692,727.7527166728082,0.01,0.6518840589617992,0.6518840589617992,0.34811594103820076
16,16000000,21403.225806451614,20103.896103896102,62,77,1119.505257403065,724.7353602392292,0.01,0.5467870449056526,0.5467870449056526,0.45321295509434745
17,17000000,18938.271604938273,20215.686274509804,81,102,1128.4505812965442,714.9076775621744,0.01,0.4760109570005964,0.4760109570005964,0.5239890429994036
18,18000000,30243.90243902439,21540.54054054054,41,111,1097.5122014578803,734.4512016437421,0.01,0.8006288834692238,0.8006288834692238,0.19937111653077622
19,19000000,27953.488372093023,21505.050505050505,43,99,1094.19814943363,739.4120738659886,0.01,0.7348643563877115,0.7348643563877115,0.2651356436122885
20,20000000,26568.62745098039,22984.251968503937,51,127,1127.5744042342105,748.6835507966236,0.01,0.6951009245848939,0.6951009245848939,0.3048990754151061
21,21000000,26140.845070422536,22126.050420168067,71,119,1145.3498634717744,765.0351610068005,0.01,0.6828180337498395,0.6828180337498395,0.3171819662501605
22,22000000,25848.484848484848,22694.444444444445,33,108,1139.163268906612,769.8247395664072,0.01,0.674423511549346,0.674423511549346,0.325576488450654
23,23000000,25927.272727272728,24528.0,55,125,1137.4185991585948,766.2042872003256,0.01,0.6766857433715521,0.6766857433715521,0.3233142566284479
24,24000000,16387.09677419355,24070.3125,62,128,1159.7380084070319,768.2524842099465,0.01,0.40275922113828294,0.40275922113828294,0.5972407788617171
25,25000000,24420.0,22869.565217391304,50,115,1153.608346150977,769.7304941210394,0.01,0.6334075084344268,0.6334075084344268,0.36659249156557316
26,26000000,22693.877551020407,22557.69230769231,49,104,1191.261901090199,764.5496718111892,0.01,0.5838454540526999,0.5838454540526999,0.41615454594730006
27,27000000,19314.814814814814,23559.52380952381,54,84,1185.451913970481,753.3962914775598,0.01,0.48682262048136715,0.48682262048136715,0.5131773795186328
