iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,690.5098039215686,nan,51,0,1754.4869044618467,nan,1.0,0.019719718155456794,0.019719718155456794,0.9802802818445432
1,1000000,1.65,349.3263157894737,80,190,1245.5162860037967,902.166122615878,0.8020002475,-0.021871566058469082,-0.021871566058469082,1.0218715660584692
2,2000000,484.22222222222223,390.2122905027933,90,179,1246.7858028770752,689.9810738148735,0.5545002475,0.007264694083188766,0.007264694083188766,0.9927353059168113
3,3000000,441.7204301075269,505.46666666666664,93,180,1246.7242754061858,680.8789523311268,0.3070002475,0.004698563637806077,0.004698563637806077,0.9953014363621939
4,4000000,1360.7142857142858,867.1137724550898,70,167,1239.5805258096407,678.7272906525362,0.05950024749999997,0.060184650098069496,0.060184650098069496,0.9398153499019305
5,5000000,5072.148148148148,2751.5949367088606,27,79,1242.6687423849114,671.1221204403586,0.01,0.2842698699568998,0.2842698699568998,0.7157301300431003
6,6000000,6652.086956521739,6087.409090909091,23,44,1241.037057878921,669.1033969595916,0.01,0.37966182583179814,0.37966182583179814,0.6203381741682019
7,7000000,6820.8,6218.181818181818,20,44,1236.1724656838414,668.4358903089096,0.01,0.3898482122372092,0.3898482122372092,0.6101517877627908
8,8000000,9108.888888888889,7619.609756097561,18,41,1233.2465521659892,671.724105008786,0.01,0.5279961412392311,0.5279961412392311,0.4720038587607689
9,9000000,11959.6,8673.837837837838,15,37,1233.5647353212237,665.8259247318798,0.01,0.7001135087486265,0.7001135087486265,0.29988649125137345
10,10000000,10644.777777777777,8212.0,18,39,1227.9936481604946,667.4221011328793,0.01,0.6207284953918937,0.6207284953918937,0.3792715046081063
11,11000000,10744.588235294117,8338.871794871795,17,39,1241.5339113424704,665.9630753641463,0.01,0.626754750781527,0.626754750781527,0.373245249218473
12,12000000,7483.090909090909,6621.916666666667,22,48,1217.8561797566824,663.7876835646837,0.01,0.42983534644868016,0.42983534644868016,0.5701646535513198
13,13000000,7874.105263157895,7536.619047619048,19,42,1217.6760809965242,659.0215831021608,0.01,0.4534436177386338,0.4534436177386338,0.5465563822613662
14,14000000,5197.391304347826,7606.727272727273,23,44,1227.8211919432658,663.3734042958761,0.01,0.2918316752410749,0.2918316752410749,0.7081683247589251
15,15000000,9477.222222222223,7406.391304347826,18,46,1231.6101227284976,668.4752363825593,0.01,0.5502350006775641,0.5502350006775641,0.44976499932243585
16,16000000,8898.588235294117,8702.0,17,40,1237.6640822152315,673.3369533222982,0.01,0.5152988199494112,0.5152988199494112,0.4847011800505888
17,17000000,11491.5,9370.888888888889,16,36,1242.2911134330363,671.999477578863,0.01,0.6718510378805261,0.6718510378805261,0.32814896211947386
18,18000000,9921.777777777777,10796.971428571429,18,35,1248.2412307448087,674.9157566382886,0.01,0.5770759287658809,0.5770759287658809,0.4229240712341191
19,19000000,9883.578947368422,9534.6,19,40,1247.4013060897764,672.2735187608268,0.01,0.5747695982133495,0.5747695982133495,0.4252304017866505
20,20000000,10670.555555555555,9684.473684210527,18,38,1239.6427272646963,673.8274868408479,0.01,0.6222848801248329,0.6222848801248329,0.37771511987516715
21,21000000,9137.2,11534.235294117647,20,34,1239.891697829357,683.6478635471888,0.01,0.5297054810235109,0.5297054810235109,0.4702945189764891
22,22000000,11355.0,10340.0,18,38,1250.8915746181956,674.8473389411872,0.01,0.6636095782063204,0.6636095782063204,0.3363904217936796
23,23000000,10192.21052631579,11050.888888888889,19,36,1259.5222665766812,681.8852372225078,0.01,0.5934038451883032,0.5934038451883032,0.40659615481169675
24,24000000,9318.315789473685,10107.384615384615,19,39,1249.4820254844822,675.4611296877223,0.01,0.5406407079488538,0.5406407079488538,0.45935929205114623
25,25000000,12509.125,8868.60465116279,16,43,1248.360221596371,675.9739275188653,0.01,0.733292176349124,0.733292176349124,0.266707823650876
26,26000000,10531.555555555555,9875.7,18,40,1255.1447955622953,678.8635742593833,0.01,0.6138924779657515,0.6138924779657515,0.3861075220342485
27,27000000,13930.266666666666,10622.052631578947,15,38,1235.3680690734884,674.9546166868035,0.01,0.8190964381598703,0.8190964381598703,0.18090356184012968
28,28000000,10332.21052631579,10768.108108108108,19,37,1232.0951580575863,674.5521534761305,0.01,0.6018566243413348,0.6018566243413348,0.3981433756586652
29,29000000,10868.315789473685,10364.78947368421,19,38,1231.9290784561651,673.797459720475,0.01,0.6342250485717029,0.6342250485717029,0.3657749514282971
30,30000000,10310.0,12100.470588235294,19,34,1229.3388085038293,671.5112704383041,0.01,0.600515619528335,0.600515619528335,0.399484380471665
31,31000000,11296.105263157895,9792.975609756097,19,41,1235.270987780483,675.8129355438791,0.01,0.6600536910363045,0.6600536910363045,0.3399463089636955
32,32000000,9261.714285714286,10464.947368421053,21,38,1233.1996011447477,682.0933367635478,0.01,0.537223279298799,0.537223279298799,0.462776720701201
33,33000000,14406.533333333333,12532.0,15,35,1244.1632414919002,688.7713286912024,0.01,0.8478519878118975,0.8478519878118975,0.15214801218810248
34,34000000,10969.578947368422,11493.0,19,36,1248.5820794863273,683.6355417840875,0.01,0.6403390136432942,0.6403390136432942,0.35966098635670585
35,35000000,13426.5,9430.60465116279,16,43,1233.9930820057898,685.540328759727,0.01,0.7886805211742118,0.7886805211742118,0.21131947882578817
36,36000000,8954.761904761905,10014.6,21,40,1243.133638117903,687.8716258957016,0.01,0.5186904172510298,0.5186904172510298,0.4813095827489702
37,37000000,10853.882352941177,11828.388888888889,17,36,1227.2363871601003,675.5485235701461,0.01,0.6333536010614986,0.6333536010614986,0.36664639893850137
