iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,587.6923076923077,nan,13,0,1279.0497701036443,nan,1.0,0.185100852791442,0.185100852791442,0.814899147208558
1,1000000,100.81845238095238,156.08775137111516,672,1094,1214.3927037695462,738.0337246727929,0.8020002475,-0.009128155590636143,-0.009128155590636143,1.0091281555906362
2,2000000,555.0,213.00215982721383,22,926,1238.1728878002834,668.5895813665034,0.5545002475,0.17205888219571547,0.17205888219571547,0.8279411178042846
3,3000000,376.72514619883043,260.1193633952255,171,754,1205.2839284597437,666.8467697221394,0.3070002475,0.10093954051096278,0.10093954051096278,0.8990604594890372
4,4000000,607.3333333333334,317.6977152899824,30,569,1218.6375790419356,666.4066919692971,0.05950024749999997,0.19293626414542359,0.19293626414542359,0.8070637358545765
5,5000000,521.0,418.5904255319149,140,376,1213.7918223314052,667.5472887910227,0.01,0.15849523277615987,0.15849523277615987,0.8415047672238402
6,6000000,581.2173913043479,489.5925925925926,115,270,1198.651749161317,662.9151666485701,0.01,0.18251780879417076,0.18251780879417076,0.8174821912058292
7,7000000,593.3333333333334,514.0942028985507,18,276,1217.528191703181,667.0719208765199,0.01,0.18735123203148893,0.18735123203148893,0.812648767968511
8,8000000,375.0,561.9900497512438,6,201,1229.4822639241895,664.0544203159685,0.01,0.10025132644512705,0.10025132644512705,0.899748673554873
9,9000000,580.0,637.9104477611941,5,134,1248.1349063573014,661.4577394395958,0.01,0.18203215382774163,0.18203215382774163,0.8179678461722584
10,10000000,633.3333333333334,671.8604651162791,6,129,1279.6314058063,649.1184900717833,0.01,0.2033084666427308,0.2033084666427308,0.7966915333572692
11,11000000,320.0,639.0225563909775,5,133,1298.8857653726593,645.407402748349,0.01,0.07831012885466948,0.07831012885466948,0.9216898711453305
12,12000000,698.75,690.7284768211921,16,151,1305.1793614501828,645.9089852682521,0.01,0.22940519407986593,0.22940519407986593,0.7705948059201341
13,13000000,836.3461538461538,659.625,52,160,1353.4151093940352,639.3676459359118,0.01,0.2842965467930561,0.2842965467930561,0.715703453206944
14,14000000,794.9367088607595,676.8421052631579,79,228,1393.1654584643084,639.6066383246692,0.01,0.26777704107422484,0.26777704107422484,0.7322229589257752
15,15000000,424.0495867768595,693.7735849056604,242,265,1321.341586796395,646.0182953849766,0.01,0.1198187205396974,0.1198187205396974,0.8801812794603026
16,16000000,616.9230769230769,701.8532818532818,13,259,1338.6839205878714,649.6688846915977,0.01,0.19676190885350336,0.19676190885350336,0.8032380911464967
17,17000000,660.0,740.4347826086956,5,230,1307.4007027637088,645.1748978925602,0.01,0.21394662305022535,0.21394662305022535,0.7860533769497746
18,18000000,760.625,683.84,80,250,1255.0104000829406,651.4765791949317,0.01,0.2540890413691307,0.2540890413691307,0.7459109586308693
19,19000000,889.5370370370371,722.2222222222222,108,270,1234.0643802053842,657.0414756600258,0.01,0.30551603184945825,0.30551603184945825,0.6944839681505417
20,20000000,782.7692307692307,721.3953488372093,65,258,1205.0381429105105,662.854620983604,0.01,0.2629230585108831,0.2629230585108831,0.737076941489117
21,21000000,841.7821782178218,715.438596491228,101,285,1193.0658654943754,664.4198459124742,0.01,0.28646514469933443,0.28646514469933443,0.7135348553006655
22,22000000,653.1460674157304,731.8367346938776,89,245,1207.1269032566715,666.3200672993469,0.01,0.21121237779380472,0.21121237779380472,0.7887876222061952
23,23000000,865.5555555555555,724.9811320754717,36,265,1198.1610635649206,670.9548108585969,0.01,0.2959490786913294,0.2959490786913294,0.7040509213086705
24,24000000,775.8139534883721,735.5252918287938,43,257,1202.0067553891465,670.4021247618455,0.01,0.26014838372696053,0.26014838372696053,0.7398516162730395
25,25000000,608.2456140350877,736.996336996337,57,273,1209.7655027515045,670.2775956788122,0.01,0.19330020107515364,0.19330020107515364,0.8066997989248463
26,26000000,422.0,747.5210084033613,5,238,1211.708741591084,668.3678785959203,0.01,0.11900107711333625,0.11900107711333625,0.8809989228866637
27,27000000,797.5,750.3597122302158,96,278,1197.7303266437048,665.2015980148418,0.01,0.2687996170263693,0.2687996170263693,0.7312003829736307
28,28000000,907.9090909090909,745.0,110,270,1193.2523763758873,668.0350301676353,0.01,0.31284521119762665,0.31284521119762665,0.6871547888023734
29,29000000,829.4927536231884,762.8136882129278,138,263,1192.1742256768796,674.6718603710776,0.01,0.28156251391199116,0.28156251391199116,0.7184374860880088
30,30000000,886.025641025641,738.5365853658536,78,287,1199.3442631348667,672.6837920529524,0.01,0.3041152276002876,0.3041152276002876,0.6958847723997124
31,31000000,865.1937984496124,769.6564885496183,129,262,1191.4196248809421,672.5387954036025,0.01,0.29580476261603394,0.29580476261603394,0.704195237383966
32,32000000,928.6666666666666,744.5035460992908,120,282,1193.3808193104944,674.3122544342697,0.01,0.32112604885573326,0.32112604885573326,0.6788739511442667
33,33000000,877.7049180327868,745.7620817843866,122,269,1198.7003491251073,673.0832825960598,0.01,0.3007958343769844,0.3007958343769844,0.6992041656230157
34,34000000,741.4598540145986,729.1695501730104,137,289,1190.8454948840913,671.4262704046674,0.01,0.24644347309793693,0.24644347309793693,0.7535565269020631
35,35000000,852.3880597014926,736.917808219178,67,292,1197.1985745837417,671.8860573261421,0.01,0.2906961581766835,0.2906961581766835,0.7093038418233165
36,36000000,913.125,765.4981549815498,32,271,1204.3077929008437,672.9492004929042,0.01,0.3149259983244903,0.3149259983244903,0.6850740016755097
37,37000000,995.6989247311828,744.065934065934,93,273,1229.5681991489225,671.7045948481529,0.01,0.34786728556715313,0.34786728556715313,0.6521327144328468
38,38000000,961.0,750.6785714285714,50,280,1269.2770935116725,666.0873673305132,0.01,0.33402481349982044,0.33402481349982044,0.6659751865001795
39,39000000,944.6666666666666,748.2022471910112,45,267,1294.2905446568448,658.7239695978818,0.01,0.32750894270022995,0.32750894270022995,0.67249105729977
40,40000000,795.9649122807018,746.3928571428571,57,280,1322.6783961270064,654.9827559224195,0.01,0.2681872231542273,0.2681872231542273,0.7318127768457727
41,41000000,754.3362831858407,743.2608695652174,113,276,1345.2440498778437,650.6867223484791,0.01,0.2515802781289506,0.2515802781289506,0.7484197218710493
42,42000000,830.75,757.168458781362,120,279,1376.3397757631785,650.3223511175511,0.01,0.28206406829696407,0.28206406829696407,0.7179359317030359
43,43000000,920.7142857142857,761.7472118959108,126,269,1410.9975974829472,647.9691971999015,0.01,0.31795359864135536,0.31795359864135536,0.6820464013586447
44,44000000,754.4137931034483,747.923875432526,145,289,1436.3715686162402,643.50521312386,0.01,0.2516111992274497,0.2516111992274497,0.7483888007725503
45,45000000,797.4418604651163,750.6766917293234,43,266,1454.4847494035523,637.5998373666051,0.01,0.2687764233714111,0.2687764233714111,0.7312235766285888
46,46000000,773.3333333333334,757.5471698113207,9,265,1433.4890707597829,634.1323859956248,0.01,0.25915878778207735,0.25915878778207735,0.7408412122179227
47,47000000,804.7368421052631,752.5193798449612,19,258,1449.2508367245737,637.5157468841877,0.01,0.2716866167093242,0.2716866167093242,0.7283133832906759
48,48000000,817.8632478632478,744.3214285714286,117,280,1400.2453305524043,637.412874145279,0.01,0.27692314511638716,0.27692314511638716,0.7230768548836128
49,49000000,779.0,751.1929824561404,40,285,1411.0607666566168,643.9798851314217,0.01,0.2614193960186699,0.2614193960186699,0.7385806039813301
50,50000000,861.547619047619,748.3941605839416,84,274,1384.8539794100786,644.964282464599,0.01,0.2943501891122268,0.2943501891122268,0.7056498108877731
51,51000000,853.2758620689655,735.204081632653,58,294,1363.2062621025311,651.3823426493134,0.01,0.291050329943338,0.291050329943338,0.708949670056662
52,52000000,697.7358490566038,734.8327137546469,159,269,1316.5477335906799,655.8914423326478,0.01,0.22900061796649127,0.22900061796649127,0.7709993820335087
53,53000000,792.8125,759.7979797979798,96,297,1299.684959285099,656.5842320636416,0.01,0.2669296285953644,0.2669296285953644,0.7330703714046356
54,54000000,909.6491228070175,757.8909090909091,114,275,1280.6894762790926,659.4318251408945,0.01,0.31353936362828316,0.31353936362828316,0.6864606363717168
55,55000000,825.1485148514852,730.2990033222592,101,301,1244.5113681000223,664.4552556999619,0.01,0.27982946297980815,0.27982946297980815,0.7201705370201918
56,56000000,747.5,759.6138996138997,8,259,1237.6821334274177,669.7301585962057,0.01,0.24885307376231694,0.24885307376231694,0.7511469262376831
57,57000000,846.060606060606,751.0169491525423,66,295,1200.5141176805973,673.3215559180137,0.01,0.28817194162069887,0.28817194162069887,0.7118280583793011
58,58000000,632.0833333333334,772.7272727272727,24,275,1205.999073625072,675.6315814244539,0.01,0.2028098030611295,0.2028098030611295,0.7971901969388705
59,59000000,883.4042553191489,742.6129032258065,47,310,1203.3514464186117,674.5759305977659,0.01,0.3030694759321613,0.3030694759321613,0.6969305240678387
60,60000000,916.9512195121952,770.9407665505227,82,287,1193.5049700809861,674.0653200906805,0.01,0.31645239538524556,0.31645239538524556,0.6835476046147544
61,61000000,802.2222222222222,765.80204778157,108,293,1194.688182556764,671.8527988228163,0.01,0.27068345722352977,0.27068345722352977,0.7293165427764703
62,62000000,862.6666666666666,769.6103896103896,120,308,1185.1612587043635,669.3923614684693,0.01,0.29479661174718413,0.29479661174718413,0.7052033882528159
63,63000000,601.6666666666666,753.7162162162163,6,296,1190.7766448903908,672.7023234072466,0.01,0.19067565590883095,0.19067565590883095,0.809324344091169
64,64000000,825.5704697986578,764.026402640264,149,303,1187.3512825516334,675.8584460192671,0.01,0.2799977938319933,0.2799977938319933,0.7200022061680067
65,65000000,839.7297297297297,787.9139072847682,111,302,1186.343123191702,674.4301896021268,0.01,0.2856463596480351,0.2856463596480351,0.7143536403519649
66,66000000,870.8823529411765,786.7006802721088,34,294,1199.5309836360689,675.4939930504354,0.01,0.298074102581552,0.298074102581552,0.701925897418448
67,67000000,897.2941176470588,778.956834532374,85,278,1194.433803872105,676.0420482811031,0.01,0.308610570729269,0.308610570729269,0.691389429270731
68,68000000,889.3805309734513,791.8835616438356,113,292,1184.645041785866,675.5651747036237,0.01,0.3054535967500902,0.3054535967500902,0.6945464032499098
69,69000000,778.8636363636364,804.7278911564625,132,294,1191.282975551823,676.1157404343865,0.01,0.26136499635522253,0.26136499635522253,0.7386350036447775
70,70000000,770.625,776.963696369637,64,303,1202.4843225505624,680.2048466181727,0.01,0.2580783500219411,0.2580783500219411,0.7419216499780589
71,71000000,933.5555555555555,759.9662162162163,45,296,1213.0801341205906,677.4832775747145,0.01,0.3230763775304406,0.3230763775304406,0.6769236224695594
72,72000000,983.8157894736842,790.3436426116839,76,291,1199.155704944166,674.7852102115295,0.01,0.3431267361366275,0.3431267361366275,0.6568732638633725
73,73000000,741.25,771.2540192926045,8,311,1250.8141219528586,671.1439456990605,0.01,0.2463597558543104,0.2463597558543104,0.7536402441456895
74,74000000,847.9166666666666,787.641196013289,24,301,1250.158267690719,674.59506238835,0.01,0.2889123814842887,0.2889123814842887,0.7110876185157113
75,75000000,868.7640449438202,788.7837837837837,89,296,1257.4670471967584,670.2855874573984,0.01,0.2972290441392349,0.2972290441392349,0.7027709558607651
76,76000000,785.5454545454545,759.1836734693877,110,294,1281.1419735746713,665.5181126500213,0.01,0.26403057986414585,0.26403057986414585,0.7359694201358542
77,77000000,906.3333333333334,789.375,30,288,1304.8113961400736,663.8121564652266,0.01,0.3122165928644566,0.3122165928644566,0.6877834071355434
78,78000000,902.6923076923077,787.679180887372,52,293,1320.0935563055684,661.6192096873478,0.01,0.3107640753549717,0.3107640753549717,0.6892359246450284
79,79000000,826.953125,782.1428571428571,128,308,1323.3533902190438,657.5726845362717,0.01,0.2805493776678501,0.2805493776678501,0.71945062233215
80,80000000,750.6666666666666,776.360655737705,105,305,1346.422816304317,654.345961880856,0.01,0.25011635483570693,0.25011635483570693,0.7498836451642931
81,81000000,939.0756302521008,761.8006430868168,119,311,1370.287353397305,653.827477829689,0.01,0.3252785057055494,0.3252785057055494,0.6747214942944506
82,82000000,911.7757009345794,775.1219512195122,107,287,1379.866913502975,646.7749242829683,0.01,0.31438772128079917,0.31438772128079917,0.6856122787192008
83,83000000,894.1860465116279,775.6293706293707,86,286,1381.2973746689354,641.8942464949739,0.01,0.3073706652218565,0.3073706652218565,0.6926293347781435
84,84000000,798.6486486486486,795.360824742268,37,291,1400.951029522633,641.5537366793086,0.01,0.26925784842567857,0.26925784842567857,0.7307421515743214
85,85000000,772.4489795918367,799.4594594594595,49,296,1421.6553487996841,639.5811572482198,0.01,0.25880599177876756,0.25880599177876756,0.7411940082212325
86,86000000,821.6260162601626,772.7241379310345,123,290,1452.8680335868448,635.9577593787052,0.01,0.27842422956882057,0.27842422956882057,0.7215757704311794
87,87000000,877.3387096774194,790.9589041095891,124,292,1433.0564384719219,634.8055386050495,0.01,0.3006497425609045,0.3006497425609045,0.6993502574390955
88,88000000,992.2222222222222,818.1786941580756,90,291,1408.8126491528342,634.373695273413,0.01,0.34648032162692866,0.34648032162692866,0.6535196783730713
89,89000000,901.4285714285714,793.4313725490196,42,306,1401.5236539850657,633.7831843143858,0.01,0.31025993195379237,0.31025993195379237,0.6897400680462076
90,90000000,843.6434108527131,812.5,129,288,1373.6527632417276,639.7119333987547,0.01,0.28720764784486097,0.28720764784486097,0.712792352155139
91,91000000,759.9009900990098,820.0,101,285,1362.9043750662063,642.4842691455684,0.01,0.25380021147285664,0.25380021147285664,0.7461997885271434
92,92000000,833.8235294117648,819.3536121673004,34,263,1354.9716769679624,647.4267871194452,0.01,0.28329019404466615,0.28329019404466615,0.7167098059553338
93,93000000,949.1111111111111,859.2605633802817,45,284,1311.904337514221,651.9103267822168,0.01,0.32928196876814575,0.32928196876814575,0.6707180312318543
94,94000000,852.3863636363636,846.8070175438596,88,285,1276.0301658593403,659.0567419923511,0.01,0.29069548156395403,0.29069548156395403,0.709304518436046
95,95000000,926.4705882352941,854.8540145985402,85,274,1247.2063152875476,662.7857062873173,0.01,0.3202499653868808,0.3202499653868808,0.6797500346131192
96,96000000,773.0201342281879,864.7902097902098,149,286,1217.521921488341,667.6861919093213,0.01,0.2590338429920564,0.2590338429920564,0.7409661570079435
97,97000000,913.7349397590361,857.679180887372,83,293,1215.756503355593,673.2822791825254,0.01,0.31516932212033194,0.31516932212033194,0.684830677879668
98,98000000,978.6363636363636,868.2442748091603,88,262,1211.2941644046734,671.9915588103488,0.01,0.34106050330568616,0.34106050330568616,0.6589394966943138
99,99000000,960.0,833.918918918919,10,296,1203.7693527310846,668.5651742515882,0.01,0.3336258826345394,0.3336258826345394,0.6663741173654606
100,100000000,836.1538461538462,860.6766917293234,78,266,1201.5834911221846,669.6665017424682,0.01,0.2842198293189636,0.2842198293189636,0.7157801706810364
101,101000000,923.2,827.2909698996656,75,299,1202.2465552177434,670.0778841935822,0.01,0.3189452267921969,0.3189452267921969,0.6810547732078032
102,102000000,923.1868131868132,856.6666666666666,91,282,1200.0716625365897,668.7029334718262,0.01,0.31893996616540193,0.31893996616540193,0.681060033834598
103,103000000,928.2954545454545,846.3197026022304,88,269,1206.2736660955575,671.407322577583,0.01,0.3209779608830153,0.3209779608830153,0.6790220391169848
104,104000000,940.8602150537635,862.6739926739926,93,273,1206.5779899080017,674.0415448358792,0.01,0.3259904316646441,0.3259904316646441,0.674009568335356
105,105000000,924.3269230769231,852.3507462686567,104,268,1188.371312933727,671.9364762303969,0.01,0.31939479119037895,0.31939479119037895,0.680605208809621
106,106000000,1103.6842105263158,861.9615384615385,19,260,1209.5287458435919,671.5995153028814,0.01,0.3909459490670266,0.3909459490670266,0.6090540509329734
107,107000000,1054.591836734694,877.6027397260274,98,292,1193.8341132698304,669.6396698603877,0.01,0.37136148591163437,0.37136148591163437,0.6286385140883657
108,108000000,885.6756756756756,860.7299270072992,37,274,1203.4433961385685,671.6501083175929,0.01,0.3039756156204075,0.3039756156204075,0.6960243843795926
109,109000000,845.9060402684564,906.7424242424242,149,264,1196.0765132928768,667.8649555135358,0.01,0.2881102805554938,0.2881102805554938,0.7118897194445062
110,110000000,997.8651685393259,884.6792452830189,89,265,1189.115207307625,675.6804098327236,0.01,0.3487314670839453,0.3487314670839453,0.6512685329160547
111,111000000,853.6585365853658,862.074074074074,41,270,1192.1268938733606,667.9328962586275,0.01,0.2912029906192866,0.2912029906192866,0.7087970093807134
112,112000000,928.3333333333334,878.231046931408,18,277,1220.5549269834132,668.163448435502,0.01,0.3209930719006396,0.3209930719006396,0.6790069280993605
113,113000000,1048.142857142857,925.6175298804781,70,251,1250.9946044869266,664.7270688099802,0.01,0.3687887889028831,0.3687887889028831,0.6312112110971169
