iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-2.0285714285714285,nan,70,0,1351.7073565165522,nan,1.0,-0.1773809523809524,-0.1773809523809524,1.1773809523809524
1,1000000,-18.142857142857142,0.22857142857142856,70,140,1133.8325013417018,875.0400049414314,0.8020002475,-1.5202380952380954,-1.5202380952380954,2.5202380952380956
2,2000000,-17.071428571428573,0.6285714285714286,70,140,1107.2614209261158,795.4322465586494,0.5545002475,-1.4309523809523812,-1.4309523809523812,2.430952380952381
3,3000000,5.6571428571428575,3.65,70,140,1119.9089359516095,792.6038868817792,0.3070002475,0.46309523809523817,0.46309523809523817,0.5369047619047618
4,4000000,18.92,7.292857142857143,75,140,1144.6486144580851,793.273095949577,0.05950024749999997,1.5683333333333334,1.0,0.0
5,5000000,29.514285714285716,9.26056338028169,70,142,1123.9198879382063,791.2119077809564,0.01,2.4511904761904764,1.0,0.0
6,6000000,40.93023255813954,22.846666666666668,86,150,1087.483801619928,777.4933221800104,0.01,3.402519379844961,1.0,0.0
7,7000000,35.638297872340424,41.55747126436781,94,174,1081.198058723023,767.8648624698573,0.01,2.961524822695035,1.0,0.0
8,8000000,55.027272727272724,52.429951690821255,110,207,1094.3143554698488,766.0529161826786,0.01,4.577272727272727,1.0,0.0
9,9000000,54.71052631578947,61.572649572649574,76,234,1105.0506066094629,771.6126753111022,0.01,4.550877192982456,1.0,0.0
10,10000000,77.57142857142857,75.06020066889631,140,299,1109.4661449208377,775.4577120172162,0.01,6.4559523809523816,1.0,0.0
11,11000000,88.42288557213931,81.01470588235294,201,340,1112.5442926491805,775.28010688376,0.01,7.360240464344943,1.0,0.0
12,12000000,92.15841584158416,86.12403100775194,202,387,1115.7016733446603,773.0894512591542,0.01,7.671534653465347,1.0,0.0
13,13000000,94.55601659751038,86.91392405063291,241,395,1105.6038472013854,767.9201507930911,0.01,7.871334716459199,1.0,0.0
14,14000000,88.1890243902439,87.88113695090439,164,387,1110.7576280291175,766.2016736214499,0.01,7.340752032520325,1.0,0.0
15,15000000,88.56375838926175,83.50464396284829,149,323,1111.3081717925472,769.9301420359534,0.01,7.371979865771813,1.0,0.0
