iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,5,0,1396.7677350581985,nan,1.0,-0.059027777777777776,-0.059027777777777776,1.0590277777777777
1,1000000,4.909090909090909,1.3340840840840842,11,1332,1368.7143600821412,814.9649021652367,0.8020002475,0.11142676767676767,0.11142676767676767,0.8885732323232324
2,2000000,2.262798634812287,1.5588235294117647,586,1258,1327.743565634076,770.1313350791836,0.5545002475,0.019541619264315517,0.019541619264315517,0.9804583807356845
3,3000000,19.393617021276597,7.433962264150943,188,636,1334.195748962188,781.8455484185354,0.3070002475,0.6143617021276596,0.6143617021276596,0.3856382978723404
4,4000000,31.397163120567377,16.524509803921568,141,408,1331.8364539337947,786.3908659921701,0.05950024749999997,1.031151497241923,1.0,0.0
5,5000000,50.06542056074766,29.70790378006873,107,291,1331.4091938638799,790.5243852516736,0.01,1.679354880581516,1.0,0.0
6,6000000,57.09090909090909,49.613207547169814,99,212,1313.3633899788813,788.6702255393062,0.01,1.9232954545454546,1.0,0.0
7,7000000,88.18987341772151,60.30569948186528,79,193,1301.9218701120128,786.9974257619314,0.01,3.003120604781997,1.0,0.0
8,8000000,77.88505747126437,75.11797752808988,87,178,1298.8279383217703,788.7546008171204,0.01,2.645314495530013,1.0,0.0
9,9000000,106.82278481012658,87.27167630057804,79,173,1272.7632308248208,786.271221362299,0.01,3.6500966947960616,1.0,0.0
10,10000000,168.78571428571428,125.56521739130434,14,161,1289.3650132911637,791.6706489051757,0.01,5.801587301587301,1.0,0.0
11,11000000,222.03225806451613,153.02597402597402,31,154,1276.4072285113784,792.3205276184715,0.01,7.650425627240144,1.0,0.0
12,12000000,263.12,222.265625,25,128,1302.1098448018042,792.5183284674129,0.01,9.077083333333334,1.0,0.0
13,13000000,280.0625,259.2307692307692,16,117,1311.002325883259,787.328026885948,0.01,9.665364583333334,1.0,0.0
14,14000000,329.33962264150944,307.1551724137931,53,116,1299.6188425733344,785.651229559065,0.01,11.376375786163523,1.0,0.0
15,15000000,337.57142857142856,364.8611111111111,21,108,1304.131567739419,786.1607224077171,0.01,11.662202380952381,1.0,0.0
16,16000000,396.0,386.7701149425287,7,87,1272.5326513003938,792.6369099559602,0.01,13.690972222222221,1.0,0.0
17,17000000,469.4,412.11538461538464,5,78,1252.2898315427885,790.0302161072237,0.01,16.239583333333332,1.0,0.0
18,18000000,405.5,418.4029850746269,6,67,1251.4142010166352,791.3420406861063,0.01,14.020833333333334,1.0,0.0
19,19000000,391.2857142857143,427.6333333333333,7,60,1242.094003044916,785.2637071972019,0.01,13.527281746031745,1.0,0.0
20,20000000,272.0,430.359375,9,64,1234.375506265497,779.3155975169832,0.01,9.385416666666666,1.0,0.0
21,21000000,398.0,464.8333333333333,4,54,1219.5795255910537,776.4322551066001,0.01,13.760416666666666,1.0,0.0
22,22000000,406.6,469.56,5,50,1220.0315428953543,774.6885723886558,0.01,14.059027777777779,1.0,0.0
23,23000000,302.2307692307692,494.9056603773585,13,53,1198.2580823443843,774.7034988234898,0.01,10.435096153846153,1.0,0.0
24,24000000,460.0,459.9433962264151,5,53,1251.623484902564,769.9192155914149,0.01,15.913194444444445,1.0,0.0
25,25000000,410.57142857142856,462.3207547169811,7,53,1274.9590397408351,771.3205416655819,0.01,14.196924603174603,1.0,0.0
26,26000000,410.6,449.2931034482759,5,58,1297.9536808535704,767.7627977620903,0.01,14.197916666666668,1.0,0.0
27,27000000,380.8,489.58,5,50,1295.1008264281213,771.3882785594943,0.01,13.163194444444445,1.0,0.0
28,28000000,417.4,508.468085106383,5,47,1317.7466748439736,768.6557965475776,0.01,14.434027777777777,1.0,0.0
29,29000000,380.8,471.0980392156863,5,51,1327.8246995487332,780.8265676883616,0.01,13.163194444444445,1.0,0.0
30,30000000,351.75,478.6304347826087,4,46,1306.8547308866987,790.6893328762121,0.01,12.15451388888889,1.0,0.0
31,31000000,394.25,552.9268292682926,4,41,1290.0024791669762,799.1486661121374,0.01,13.630208333333334,1.0,0.0
32,32000000,409.4,498.81632653061223,5,49,1283.737773192711,793.6083644509597,0.01,14.15625,1.0,0.0
33,33000000,375.5,515.8,4,55,1281.0206723076722,791.1116010453927,0.01,12.979166666666666,1.0,0.0
34,34000000,444.45454545454544,465.35185185185185,11,54,1283.8077691764581,796.0958402783804,0.01,15.373421717171716,1.0,0.0
35,35000000,389.0,462.8333333333333,8,48,1258.5521157692158,798.0917354691912,0.01,13.447916666666666,1.0,0.0
36,36000000,394.75,506.4901960784314,4,51,1262.0803329537082,795.5022771202539,0.01,13.647569444444445,1.0,0.0
