iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,827.7122302158274,nan,139,0,1673.5149340630976,nan,1.0,-0.12725922263368017,-0.12725922263368017,1.1272592226336802
1,1000000,1200.7043010752689,2093.313888888889,186,360,1214.3129099282316,844.1398824001585,0.8020002475,-0.08968232225392966,-0.08968232225392966,1.0896823222539296
2,2000000,1891.2222222222222,2169.099715099715,162,351,1237.0864304503139,660.1436726619045,0.5545002475,-0.020116438256493275,-0.020116438256493275,1.0201164382564933
3,3000000,1225.5816326530612,2066.6306068601584,196,379,1224.6940123710026,657.7879243232666,0.3070002475,-0.08717606787629974,-0.08717606787629974,1.0871760678762998
4,4000000,1858.9712230215828,2261.156334231806,139,371,1218.5136434745498,660.2082954987603,0.05950024749999997,-0.0233655491057331,-0.0233655491057331,1.0233655491057332
5,5000000,3890.5310344827585,2593.2952646239555,145,359,1220.1746454458537,654.9764205029732,0.01,0.18130293211661763,0.18130293211661763,0.8186970678833824
6,6000000,3088.1655172413793,2661.025641025641,145,351,1194.748053750526,659.1164926076192,0.01,0.10046901776542441,0.10046901776542441,0.8995309822345756
7,7000000,2361.4154929577467,2810.786350148368,142,337,1173.3789311901287,655.6524681418196,0.01,0.027252948585823895,0.027252948585823895,0.9727470514141761
8,8000000,4391.2868217054265,2891.258358662614,129,329,1182.6308372943317,663.3227336699695,0.01,0.2317513244582894,0.2317513244582894,0.7682486755417106
9,9000000,3213.19,3059.905325443787,200,338,1207.7459330021245,663.4201579653256,0.01,0.11306454700234735,0.11306454700234735,0.8869354529976526
10,10000000,3824.358695652174,3105.5454545454545,184,341,1181.7238114391434,666.7839772859596,0.01,0.17463643280363625,0.17463643280363625,0.8253635671963637
11,11000000,3805.9435028248586,3295.772334293948,177,347,1207.9384447952639,669.4655388314837,0.01,0.17278120337543026,0.17278120337543026,0.8272187966245698
12,12000000,4080.397435897436,3547.039886039886,156,351,1209.0281943498296,671.150194640774,0.01,0.20043092814876295,0.20043092814876295,0.799569071851237
13,13000000,4988.584507042254,3924.172727272727,142,330,1201.7744608984556,676.0005373248539,0.01,0.2919257822349416,0.2919257822349416,0.7080742177650584
14,14000000,7629.4946236559135,4040.637195121951,93,328,1181.7948909947186,665.347126426924,0.01,0.557982956413487,0.557982956413487,0.44201704358651295
15,15000000,5074.03125,4273.643312101911,128,314,1181.4019691083588,665.7244001252687,0.01,0.300534071790532,0.300534071790532,0.699465928209468
16,16000000,4214.050359712231,4300.2,139,320,1188.286245716727,661.2028904275106,0.01,0.2138957253817945,0.2138957253817945,0.7861042746182055
17,17000000,4080.544378698225,4316.509259259259,169,324,1173.4734541565397,668.269423838902,0.01,0.20044573182803163,0.20044573182803163,0.7995542681719684
18,18000000,5218.973856209151,4122.3456790123455,153,324,1191.2206663362201,662.1566835826067,0.01,0.31513624245264005,0.31513624245264005,0.68486375754736
19,19000000,2837.3703703703704,4523.930379746836,189,316,1186.878800931148,664.6387950198465,0.01,0.07520278562278944,0.07520278562278944,0.9247972143772105
20,20000000,2690.9656862745096,4288.162721893491,204,338,1196.31700444618,664.9379364151057,0.01,0.06045331865229138,0.06045331865229138,0.9395466813477086
21,21000000,5023.150326797386,4755.318611987382,153,317,1200.2515898225806,663.9887414854987,0.01,0.29540809852785943,0.29540809852785943,0.7045919014721406
22,22000000,5917.111111111111,4401.664634146341,126,328,1200.874813981536,668.9986541924113,0.01,0.38546973243379684,0.38546973243379684,0.6145302675662032
23,23000000,4786.486666666667,5137.055737704918,150,305,1214.8016415662023,664.7682106002981,0.01,0.2715655359775407,0.2715655359775407,0.7284344640224594
24,24000000,4680.130952380952,4663.738601823708,168,329,1185.5019519371724,669.3510654045929,0.01,0.26085078252092486,0.26085078252092486,0.7391492174790751
25,25000000,4543.806629834254,4243.303621169916,181,359,1197.397507577558,673.3894465733446,0.01,0.24711685655335464,0.24711685655335464,0.7528831434466454
26,26000000,3937.4535519125684,4708.332361516035,183,343,1192.6257733978534,666.7691565139352,0.01,0.1860301177615144,0.1860301177615144,0.8139698822384855
27,27000000,4679.14364640884,4665.718023255814,181,344,1212.9187494796051,670.4571804760022,0.01,0.2607513168725723,0.2607513168725723,0.7392486831274276
28,28000000,4411.746913580247,5047.367924528302,162,318,1212.141786570744,667.5097880336832,0.01,0.23381256622240826,0.23381256622240826,0.7661874337775918
29,29000000,5099.317073170731,4548.4428152492665,164,341,1208.4096683664827,661.1315502653302,0.01,0.3030814794502102,0.3030814794502102,0.6969185205497899
30,30000000,5875.9625,5483.448504983388,160,301,1215.3652775486703,669.1381615747619,0.01,0.38132423610481453,0.38132423610481453,0.6186757638951854
31,31000000,7685.926229508197,5383.170491803278,122,305,1219.735475811155,667.5457085140989,0.01,0.5636681304347324,0.5636681304347324,0.4363318695652676
32,32000000,5705.385714285714,4962.507552870091,140,331,1224.7595346773048,670.7931324207573,0.01,0.364139562797646,0.364139562797646,0.635860437202354
33,33000000,5121.175438596491,5194.687878787879,171,330,1229.2747661049675,671.8700648751561,0.01,0.30528358958669477,0.30528358958669477,0.6947164104133052
34,34000000,4791.1832460732985,4966.139534883721,191,344,1199.7186175085203,661.6599195372895,0.01,0.2720386905303491,0.2720386905303491,0.7279613094696509
35,35000000,5373.6140350877195,4668.939058171745,171,361,1223.3701949364254,662.9622539802864,0.01,0.3307153902426652,0.3307153902426652,0.6692846097573348
36,36000000,4132.15763546798,4657.016260162602,203,369,1189.8741111692368,668.3753479928598,0.01,0.20564548367112762,0.20564548367112762,0.7943545163288723
37,37000000,5543.172839506173,4619.375675675676,162,370,1200.3450746543272,677.1413355692046,0.01,0.34779750753127336,0.34779750753127336,0.6522024924687266
38,38000000,4631.18556701031,4822.235457063712,194,361,1205.6637477072602,667.8740611411334,0.01,0.2559198040529825,0.2559198040529825,0.7440801959470176
39,39000000,4582.3258426966295,5129.15294117647,178,340,1191.9786038517848,663.826394454589,0.01,0.25099745546555335,0.25099745546555335,0.7490025445344466
40,40000000,5511.725714285714,5053.932748538012,175,342,1196.1186134803334,670.0827228008624,0.01,0.34462938256573217,0.34462938256573217,0.6553706174342678
41,41000000,5344.818681318681,4871.1747851002865,182,349,1181.5819815585503,668.7812875193741,0.01,0.3278144166710673,0.3278144166710673,0.6721855833289327
42,42000000,4893.343023255814,5177.442136498516,172,337,1189.0280560644549,662.4421635095642,0.01,0.2823307263936303,0.2823307263936303,0.7176692736063697
43,43000000,5803.781065088758,5155.198250728863,169,343,1211.1373166267651,673.3826488348716,0.01,0.37405235340050547,0.37405235340050547,0.6259476465994945
44,44000000,5293.680473372781,5382.833333333333,169,336,1195.677671508875,659.5222259986225,0.01,0.32266252338509394,0.32266252338509394,0.6773374766149061
45,45000000,4366.414634146341,4938.180555555556,205,360,1193.3792278408196,665.1682818155318,0.01,0.22924558831226172,0.22924558831226172,0.7707544116877383
46,46000000,5846.457317073171,5119.568627450981,164,357,1197.4021252549433,665.6765207479008,0.01,0.37835175114830305,0.37835175114830305,0.621648248851697
47,47000000,5841.934523809524,5163.520348837209,168,344,1199.9489086864296,668.861919296817,0.01,0.37789610459390127,0.37789610459390127,0.6221038954060987
48,48000000,4971.455497382199,5369.129032258064,191,341,1192.8641620125106,668.4636247036333,0.01,0.2902001286892333,0.2902001286892333,0.7097998713107667
49,49000000,5466.867088607595,5455.598820058997,158,339,1195.8271511794808,666.7787915218539,0.01,0.34011012266727064,0.34011012266727064,0.6598898773327293
50,50000000,6792.286764705882,5240.912280701755,136,342,1215.2417198996811,666.5147089091606,0.01,0.47363886770291264,0.47363886770291264,0.5263611322970874
51,51000000,5098.83908045977,5574.245562130178,174,338,1193.2009725428256,664.732007965283,0.01,0.30303332431264746,0.30303332431264746,0.6969666756873525
52,52000000,5247.314285714286,5196.735795454545,175,352,1211.9244804873174,669.8029802695542,0.01,0.317991384905883,0.317991384905883,0.6820086150941169
53,53000000,5460.294444444445,5174.008333333333,180,360,1213.3639256409904,665.8093580177492,0.01,0.3394479649050931,0.3394479649050931,0.6605520350949069
54,54000000,5670.607142857143,5277.731843575419,168,358,1202.5721084489753,661.7143337858054,0.01,0.3606358129433658,0.3606358129433658,0.6393641870566342
55,55000000,5101.370967741936,5354.550143266476,186,349,1216.9984175278153,657.7856993005362,0.01,0.3032883980356772,0.3032883980356772,0.6967116019643228
56,56000000,4645.315,5354.474576271186,200,354,1207.2022257182946,662.4343831348386,0.01,0.25734326674121755,0.25734326674121755,0.7426567332587825
57,57000000,5552.319526627219,5698.541666666667,169,336,1206.941481515288,666.8237509892617,0.01,0.348718985969033,0.348718985969033,0.651281014030967
58,58000000,5754.881720430108,5412.719653179191,186,346,1192.9604504974786,665.8721565858218,0.01,0.3691260132811585,0.3691260132811585,0.6308739867188415
59,59000000,5584.261437908497,5580.325581395349,153,344,1200.3042989852358,665.9529479865049,0.01,0.3519369579098031,0.3519369579098031,0.6480630420901969
60,60000000,6358.1,5837.084084084084,160,333,1200.1865981666733,666.5660492021299,0.01,0.42989693837458826,0.42989693837458826,0.5701030616254117
61,61000000,6894.607843137255,5914.258358662614,153,329,1189.3594941678023,667.0437586797539,0.01,0.48394715378016095,0.48394715378016095,0.516052846219839
62,62000000,5825.788235294118,5624.429411764706,170,340,1202.7738579663314,668.7726006925427,0.01,0.3762694548003866,0.3762694548003866,0.6237305451996134
63,63000000,6648.716049382716,6071.92,162,325,1201.4855148491888,662.4406901964103,0.01,0.45917490750473156,0.45917490750473156,0.5408250924952684
64,64000000,5193.946524064171,5676.330434782609,187,345,1208.8538562961044,660.706402035979,0.01,0.31261487634258883,0.31261487634258883,0.6873851236574111
65,65000000,6017.295597484277,6025.41641337386,159,329,1203.9173268452673,661.3870236407629,0.01,0.3955627686084441,0.3955627686084441,0.6044372313915559
66,66000000,5606.193181818182,5632.322766570605,176,347,1200.9111158467756,660.8074879942153,0.01,0.3541464605250987,0.3541464605250987,0.6458535394749013
67,67000000,5883.005988023952,5990.674698795181,167,332,1223.1376367623523,656.1963603482078,0.01,0.38203382879720654,0.38203382879720654,0.6179661712027935
68,68000000,7224.11320754717,5814.070588235294,159,340,1208.0170664330474,665.7638764478993,0.01,0.5171430075807385,0.5171430075807385,0.4828569924192615
69,69000000,5869.654545454546,6230.095975232198,165,323,1221.5485088821413,661.1736520894267,0.01,0.38068874436632166,0.38068874436632166,0.6193112556336784
70,70000000,5753.825503355704,6316.893081761006,149,318,1202.5412787031512,669.3873996602084,0.01,0.36901960521813243,0.36901960521813243,0.6309803947818675
71,71000000,6082.519480519481,5770.5791044776115,154,335,1207.0492485041784,668.2367048299245,0.01,0.4021337162147752,0.4021337162147752,0.5978662837852248
