iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,500.0,nan,4,0,1465.906652247124,nan,1.0,-0.04728743461865953,-0.04728743461865953,1.0472874346186596
1,1000000,861.1111111111111,907.1428571428571,18,14,1262.6375228356608,686.8299837681677,0.8020002475,0.007619375853167359,0.007619375853167359,0.9923806241468326
2,2000000,725.0,573.6842105263158,4,19,1290.7313106210142,574.7625828562135,0.5545002475,-0.01307626809390585,-0.01307626809390585,1.0130762680939058
3,3000000,396.6480446927374,525.925925925926,537,27,1275.3419946603535,568.4496412683973,0.3070002475,-0.06300206107944024,-0.06300206107944024,1.0630020610794402
4,4000000,400.0,513.6363636363636,4,22,1376.5050468372006,571.7219762343432,0.05950024749999997,-0.062492397518550055,-0.062492397518550055,1.06249239751855
5,5000000,0.0,420.93023255813955,56,43,1363.8833408991563,559.1881195940558,0.01,-0.12331224911811214,-0.12331224911811214,1.1233122491181122
6,6000000,221.05263157894737,580.7692307692307,19,26,1301.7927912521154,564.7862649292907,0.01,-0.08970127849730151,-0.08970127849730151,1.0897012784973015
7,7000000,1032.7433628318583,800.0,226,97,1245.5692525591467,576.2495267284104,0.01,0.0337159960515537,0.0337159960515537,0.9662840039484463
8,8000000,1000.0,600.0,4,45,1279.2709931670436,578.6752765264941,0.01,0.02873737988079309,0.02873737988079309,0.9712626201192069
9,9000000,650.0,723.0769230769231,4,13,1293.8034127300673,580.3844893783141,0.01,-0.024479990268823745,-0.024479990268823745,1.0244799902688237
10,10000000,850.0,640.0,4,15,1242.5803622110118,575.080951519587,0.01,0.005929935530957304,0.005929935530957304,0.9940700644690427
11,11000000,712.5,631.25,8,16,1244.8542468847638,582.4672407339893,0.01,-0.014976888456392166,-0.014976888456392166,1.0149768884563921
12,12000000,588.8888888888889,431.25,9,16,1266.2169110694483,581.3689138586162,0.01,-0.03377191204097906,-0.03377191204097906,1.033771912040979
13,13000000,471.42857142857144,552.9411764705883,7,17,1222.010837833833,581.2628385029608,0.01,-0.051631709732913963,-0.051631709732913963,1.051631709732914
14,14000000,742.8571428571429,475.0,7,20,1265.2928911943138,581.2841709918531,0.01,-0.010361096147496824,-0.010361096147496824,1.010361096147497
15,15000000,457.14285714285717,668.75,7,16,1231.6536496509193,589.1756024248557,0.01,-0.05380384729004118,-0.05380384729004118,1.0538038472900413
16,16000000,344.44444444444446,630.0,9,20,1283.700738733367,576.0676180270602,0.01,-0.07093959912960034,-0.07093959912960034,1.0709395991296002
17,17000000,433.3333333333333,571.4285714285714,6,14,1311.770964507621,581.0107852414947,0.01,-0.05742407655191988,-0.05742407655191988,1.0574240765519198
18,18000000,788.8888888888889,630.7692307692307,9,13,1283.8565077946928,580.7231855059075,0.01,-0.003361986241198012,-0.003361986241198012,1.003361986241198
19,19000000,540.0,547.0588235294117,5,17,1339.1836697085946,573.0301544053387,0.01,-0.04120544945870332,-0.04120544945870332,1.0412054494587033
20,20000000,628.5714285714286,594.1176470588235,7,17,1383.152646805564,572.3665129560497,0.01,-0.027738196604514574,-0.027738196604514574,1.0277381966045145
21,21000000,733.3333333333334,681.8181818181819,6,11,1374.2476582818317,570.6960951495253,0.01,-0.011809187852248302,-0.011809187852248302,1.0118091878522484
22,22000000,733.3333333333334,750.0,6,14,1314.0711552963812,569.0668771734479,0.01,-0.011809187852248302,-0.011809187852248302,1.0118091878522484
23,23000000,850.0,763.6363636363636,4,11,1268.3281651607954,582.7703672219725,0.01,0.005929935530957304,0.005929935530957304,0.9940700644690427
24,24000000,850.0,750.0,4,16,1262.4543898288998,578.2362259884434,0.01,0.005929935530957304,0.005929935530957304,0.9940700644690427
25,25000000,860.0,833.3333333333334,5,12,1255.4808147413178,576.805524243539,0.01,0.0074504318209463564,0.0074504318209463564,0.9925495681790536
26,26000000,550.0,700.0,6,14,1257.8043916675645,574.9137681871277,0.01,-0.03968495316871427,-0.03968495316871427,1.0396849531687142
27,27000000,525.0,726.6666666666666,4,15,1216.2994588747847,582.8228394214491,0.01,-0.0434861938936869,-0.0434861938936869,1.0434861938936868
28,28000000,1050.0,768.75,8,16,1244.3393340668208,581.5221577238498,0.01,0.036339861330738354,0.036339861330738354,0.9636601386692616
29,29000000,566.6666666666666,860.0,6,15,1286.4442713928672,580.6623270462466,0.01,-0.037150792685399184,-0.037150792685399184,1.0371507926853991
30,30000000,857.1428571428571,853.8461538461538,7,13,1273.4347463072947,586.0806337227187,0.01,0.007016004309520908,0.007016004309520908,0.9929839956904791
31,31000000,680.0,943.75,5,16,1227.7277349380586,580.066686593796,0.01,-0.019918501398856585,-0.019918501398856585,1.0199185013988565
32,32000000,520.0,917.6470588235294,5,17,1303.75527588547,577.8453326886486,0.01,-0.04424644203868142,-0.04424644203868142,1.0442464420386814
33,33000000,840.0,983.3333333333334,5,12,1353.6711183412062,571.9836777260743,0.01,0.004409439240968252,0.004409439240968252,0.9955905607590317
34,34000000,936.3636363636364,837.9310344827586,11,29,1373.339616486513,564.5571291287771,0.01,0.019061494399044577,0.019061494399044577,0.9809385056009554
35,35000000,885.7142857142857,895.6521739130435,7,23,1321.0408198598848,574.184461860761,0.01,0.01136027942377534,0.01136027942377534,0.9886397205762246
36,36000000,903.448275862069,852.0,29,25,1274.6141438607247,575.1478623056527,0.01,0.014056726046416031,0.014056726046416031,0.9859432739535839
37,37000000,925.0,825.0,8,24,1231.9261045916148,579.4291262102251,0.01,0.017333657705875197,0.017333657705875197,0.9826663422941248
38,38000000,1011.7647058823529,930.7692307692307,17,13,1262.8862875778877,582.0655464135409,0.01,0.03052619904548609,0.03052619904548609,0.9694738009545139
39,39000000,987.5,978.2608695652174,8,23,1218.4567140306026,583.8619690608884,0.01,0.026836759518306774,0.026836759518306774,0.9731632404816932
40,40000000,1000.0,950.0,7,24,1273.3488860895231,578.3822226059327,0.01,0.02873737988079309,0.02873737988079309,0.9712626201192069
41,41000000,1178.5714285714287,970.8333333333334,28,24,1234.3556362530123,580.8071981804036,0.01,0.05588909934488333,0.05588909934488333,0.9441109006551167
42,42000000,840.0,1003.448275862069,5,29,1223.2137707304096,582.364271289992,0.01,0.004409439240968252,0.004409439240968252,0.9955905607590317
43,43000000,735.2941176470588,1043.4782608695652,51,23,1216.721993751999,576.7979750100598,0.01,-0.011511051324799479,-0.011511051324799479,1.0115110513247996
44,44000000,928.5714285714286,962.5,7,24,1229.3976831267153,577.34960573968,0.01,0.017876692095157,0.017876692095157,0.982123307904843
45,45000000,1242.4242424242425,1079.245283018868,33,53,1310.9934859926382,580.3273183153162,0.01,0.06559789600173982,0.06559789600173982,0.9344021039982602
46,46000000,1075.0,1190.5405405405406,8,74,1343.8253773025237,573.098871550908,0.01,0.04014110205571098,0.04014110205571098,0.959858897944289
47,47000000,1106.6666666666667,1419.3548387096773,15,31,1367.5313925379012,569.1431965738631,0.01,0.04495600697400966,0.04495600697400966,0.9550439930259903
48,48000000,1118.75,1359.090909090909,16,44,1357.775867936161,571.9311348364919,0.01,0.04679327332441309,0.04679327332441309,0.9532067266755869
49,49000000,785.9574468085107,1190.4761904761904,235,42,1295.7306669513666,576.6006122630024,0.01,-0.0038077109219513032,-0.0038077109219513032,1.0038077109219512
50,50000000,1685.0,1440.909090909091,20,66,1260.1656963551877,572.2982743054821,0.01,0.13289137574504317,0.13289137574504317,0.8671086242549568
51,51000000,988.8888888888889,1535.0877192982457,9,57,1222.0300996988465,588.8555180676705,0.01,0.027047939558583034,0.027047939558583034,0.972952060441417
52,52000000,1300.0,1394.1176470588234,15,34,1215.8457419624206,582.7812621335746,0.01,0.07435226858046466,0.07435226858046466,0.9256477314195354
53,53000000,1508.3333333333333,1550.877192982456,72,57,1264.0891466195985,584.7354245265674,0.01,0.10602927462190324,0.10602927462190324,0.8939707253780967
54,54000000,1520.0,1731.7073170731708,5,41,1257.8361133926328,575.4255583129526,0.01,0.10780318696022381,0.10780318696022381,0.8921968130397762
55,55000000,1971.4285714285713,1800.0,7,36,1266.46835921355,583.339985129112,0.01,0.17644273376544387,0.17644273376544387,0.8235572662345562
56,56000000,1801.923076923077,2064.516129032258,52,31,1250.2293021717583,579.6830867760063,0.01,0.15066948621260748,0.15066948621260748,0.8493305137873925
57,57000000,2178.125,2148.8372093023254,32,43,1266.9708620061142,587.6421871874672,0.01,0.20787084904512831,0.20787084904512831,0.7921291509548717
58,58000000,1242.857142857143,2185.185185185185,7,54,1221.2585492203862,584.18348932832,0.01,0.0656637183519558,0.0656637183519558,0.9343362816480442
59,59000000,2028.5714285714287,2307.5,7,40,1269.0564759436886,579.5283336772177,0.01,0.1851312839939528,0.1851312839939528,0.8148687160060473
60,60000000,2341.176470588235,1957.142857142857,85,49,1274.6845193359686,582.3132965063214,0.01,0.23266276465579538,0.23266276465579538,0.7673372353442046
61,61000000,1521.4285714285713,2021.0526315789473,28,38,1343.6184835861106,578.2601542137196,0.01,0.10802040071593652,0.10802040071593652,0.8919795992840635
62,62000000,2606.6666666666665,1965.5172413793102,15,29,1329.590593272528,562.4602067248376,0.01,0.27303045047236746,0.27303045047236746,0.7269695495276325
63,63000000,3429.4117647058824,2593.478260869565,34,46,1319.3305911326913,565.2827410032712,0.01,0.3981285373898982,0.3981285373898982,0.6018714626101018
64,64000000,3812.5,2285.185185185185,8,54,1303.9802826827379,575.5102009593522,0.01,0.45637696144021406,0.45637696144021406,0.543623038559786
65,65000000,1236.3636363636363,2264.285714285714,11,56,1269.7665662640807,583.8201423740294,0.01,0.06467638309871614,0.06467638309871614,0.9353236169012838
66,66000000,1136.3636363636363,2120.689655172414,22,29,1276.7962673589716,584.644469280753,0.01,0.049471420198825604,0.049471420198825604,0.9505285798011744
67,67000000,1746.1538461538462,2434.375,52,32,1233.6844557012012,586.055331673576,0.01,0.14218979536459161,0.14218979536459161,0.8578102046354084
68,68000000,2452.2727272727275,2734.6938775510203,44,49,1249.2624265894556,580.7503665015648,0.01,0.2495549092678396,0.2495549092678396,0.7504450907321604
