iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,2612.5,nan,4,0,1601.176852310251,nan,1.0,-0.01656717927964387,-0.01656717927964387,1.0165671792796438
1,1000000,459.3189964157706,3499.5726495726494,279,117,1358.6307302259845,973.1725840696578,0.8020002475,-0.15272036900446614,-0.15272036900446614,1.152720369004466
2,2000000,477.81954887218046,3408.5106382978724,133,141,1363.092388424984,850.405603864552,0.5545002475,-0.15155051415974172,-0.15155051415974172,1.1515505141597417
3,3000000,2437.465940054496,3413.855421686747,367,166,1343.2885361833855,854.380133529893,0.3070002475,-0.027635197032167134,-0.027635197032167134,1.027635197032167
4,4000000,2887.5,3219.6428571428573,4,196,1396.207019270832,854.2814597657925,0.05950024749999997,0.0008220356131121003,0.0008220356131121003,0.9991779643868879
5,5000000,2033.3333333333333,2806.353591160221,15,181,1386.132359790282,856.3316888345416,0.01,-0.053189919735599625,-0.053189919735599625,1.0531899197355996
6,6000000,2876.9662921348313,2790.0,89,180,1361.0425643219567,850.2211555521136,0.01,0.00015595230516689168,0.00015595230516689168,0.9998440476948331
7,7000000,2537.5,3037.912087912088,4,182,1389.3587402130834,850.7116034312374,0.01,-0.021309692432213676,-0.021309692432213676,1.0213096924322136
8,8000000,3020.0,2941.256830601093,15,183,1389.5262274961071,854.1030386263355,0.01,0.00920047551598543,0.00920047551598543,0.9907995244840145
9,9000000,3288.3720930232557,2975.0,43,160,1379.1941767516585,857.7969352249025,0.01,0.026170584595258478,0.026170584595258478,0.9738294154047415
10,10000000,3150.0,3022.635135135135,4,148,1388.3173738541093,859.1130107471373,0.01,0.017420831647106432,0.017420831647106432,0.9825791683528936
11,11000000,4630.952380952381,3001.760563380282,21,142,1376.3001514046125,855.3675857802656,0.01,0.11106664691372298,0.11106664691372298,0.8889333530862771
12,12000000,2972.5806451612902,3014.9305555555557,31,144,1382.3365236728905,852.0607677569683,0.01,0.006201983329199352,0.006201983329199352,0.9937980166708007
13,13000000,3593.3333333333335,2944.3502824858756,30,177,1385.1346264267577,841.1084913845235,0.01,0.04545435383785243,0.04545435383785243,0.9545456461621475
14,14000000,3434.722222222222,3149.3865030674847,36,163,1372.1120472241807,847.0280393092844,0.01,0.03542481676334367,0.03542481676334367,0.9645751832366564
15,15000000,3792.5,3100.0,20,182,1383.23123696219,847.7062237820288,0.01,0.058048360987454466,0.058048360987454466,0.9419516390125455
16,16000000,2196.969696969697,3107.1022727272725,33,176,1334.291239651651,842.6070945864561,0.01,-0.042842618311810944,-0.042842618311810944,1.042842618311811
17,17000000,5197.058823529412,3309.5238095238096,51,168,1316.2304515188928,831.9299226532295,0.01,0.14686354357607065,0.14686354357607065,0.8531364564239293
18,18000000,4317.452830188679,3244.6927374301677,106,179,1302.243942375058,833.8664688850654,0.01,0.09124297034276857,0.09124297034276857,0.9087570296572314
19,19000000,4530.7692307692305,3424.5945945945946,65,185,1317.7734891400075,837.0988106460818,0.01,0.10473171481493009,0.10473171481493009,0.89526828518507
20,20000000,4053.883495145631,3754.1176470588234,103,170,1358.0601309598708,836.4809637092607,0.01,0.07457655650202542,0.07457655650202542,0.9254234434979746
21,21000000,4290.942028985507,3838.8888888888887,138,198,1301.462557906187,836.6654935007722,0.01,0.08956659936421912,0.08956659936421912,0.9104334006357808
22,22000000,3146.3414634146343,3632.905982905983,41,234,1361.8355129664196,828.7789287607258,0.01,0.01718948954210304,0.01718948954210304,0.9828105104578969
23,23000000,4221.774193548387,4257.347670250896,186,279,1316.6275510854384,835.0923376132885,0.01,0.08519287444028147,0.08519287444028147,0.9148071255597185
24,24000000,4431.666666666667,4984.265734265734,60,286,1312.7134864553086,830.0202166855113,0.01,0.09846511196546609,0.09846511196546609,0.901534888034534
25,25000000,5077.1505376344085,4963.020833333333,186,288,1300.775032111717,827.0853412136373,0.01,0.13928132193661524,0.13928132193661524,0.8607186780633848
26,26000000,5673.423423423424,5127.796610169492,111,295,1304.7816164256171,832.2309444452219,0.01,0.17698574864828406,0.17698574864828406,0.8230142513517159
27,27000000,3501.495016611296,5315.827338129497,301,278,1286.095235939906,835.1700211966195,0.01,0.03964709483833062,0.03964709483833062,0.9603529051616694
