iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,7.575757575757576,nan,33,0,1425.6780003607728,nan,1.0,-0.07945694783893695,-0.07945694783893695,1.0794569478389369
1,1000000,67.5,164.32,4,250,1443.6196863642688,969.3958644034104,0.8020002475,-0.04651162790697674,-0.04651162790697674,1.0465116279069768
2,2000000,672.6315789473684,152.44548286604362,76,321,1384.5110083693157,887.2373814486124,0.5545002475,0.2861793275866559,0.2861793275866559,0.7138206724133441
3,3000000,317.85714285714283,212.58802816901408,14,284,1394.826834774037,933.986297504431,0.3070002475,0.0911304320507685,0.0911304320507685,0.9088695679492315
4,4000000,6601.9047619047615,2187.974683544304,21,79,1396.666205574618,931.5181402140848,0.05950024749999997,3.545991952226489,1.0,0.0
5,5000000,8511.5,7898.461538461538,20,39,1446.2036376262424,912.0551637511425,0.01,4.59585463741822,1.0,0.0
6,6000000,15121.666666666666,10614.027777777777,15,36,1461.8080654586647,896.0246976470884,0.01,8.23001081239577,1.0,0.0
7,7000000,10943.076923076924,18750.0,13,24,1445.989703129226,899.7111297844483,0.01,5.932693893604334,1.0,0.0
8,8000000,12333.888888888889,16553.14814814815,9,27,1442.25672552473,915.8608165453794,0.01,6.697338440205007,1.0,0.0
9,9000000,23644.166666666668,23911.08695652174,6,23,1449.4934935864671,923.8445440269926,0.01,12.915535030329687,1.0,0.0
10,10000000,36815.555555555555,32615.882352941175,9,17,1414.8599766287482,923.7912745292116,0.01,20.15693856482245,1.0,0.0
11,11000000,63928.75,40788.333333333336,4,15,1397.928010121381,907.1618651186643,0.01,35.06330749354005,1.0,0.0
12,12000000,72994.0,49293.846153846156,5,13,1404.8354865240933,883.5873176213087,0.01,40.04722634559349,1.0,0.0
13,13000000,75000.0,53949.583333333336,4,12,1348.3813012428818,897.066499184126,0.01,41.150090714167895,1.0,0.0
14,14000000,71916.0,66085.90909090909,5,11,1400.4499307334722,894.221544690415,0.01,39.454560448622786,1.0,0.0
15,15000000,57325.0,71320.5,5,10,1389.3260525921355,884.6595126031965,0.01,31.432679091758754,1.0,0.0
16,16000000,25246.25,75717.5,4,10,1394.7114584735718,871.677744141426,0.01,13.796332948485349,1.0,0.0
17,17000000,85414.0,70409.09090909091,5,11,1407.5658621245498,874.7113645954566,0.01,46.87552916597943,1.0,0.0
18,18000000,58391.666666666664,63436.25,6,12,1409.9184546277736,865.8149079521121,0.01,32.019114116590615,1.0,0.0
19,19000000,41015.0,68108.63636363637,6,11,1320.2651674563267,873.0151702999807,0.01,22.465721040189123,1.0,0.0
20,20000000,86640.0,84711.11111111111,4,9,1393.301831254611,876.7937006518434,0.01,47.54956292264555,1.0,0.0
21,21000000,86942.0,78224.5,5,10,1311.6772523589927,878.8066786289407,0.01,47.71559733905107,1.0,0.0
22,22000000,91955.0,90448.33333333333,4,9,1375.871721911418,883.9862608815598,0.01,50.471658694815545,1.0,0.0
23,23000000,96963.75,70280.0,4,12,1406.782147754372,895.1534207553689,0.01,53.22538347352795,1.0,0.0
