iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-20.0,nan,4,0,1237.3886377077395,nan,1.0,-0.6363636363636349,-0.6363636363636349,1.636363636363635
1,1000000,-17.6,-18.442748091603054,5,131,1146.620426540742,764.7604737868834,0.8020002475,0.454545454545454,0.454545454545454,0.5454545454545461
2,2000000,-22.0,-18.931297709923665,9,131,1101.072167005016,701.9585280169628,0.5545002475,-1.5454545454545427,-1.5454545454545427,2.5454545454545427
3,3000000,-23.11111111111111,-18.92086330935252,9,139,1118.34623520767,734.8292336797084,0.3070002475,-2.050505050505047,-2.050505050505047,3.050505050505047
4,4000000,-23.93220338983051,-20.575757575757574,59,132,1100.9371616349708,735.1426731974094,0.05950024749999997,-2.4237288135593182,-2.4237288135593182,3.4237288135593182
5,5000000,-12.5,-22.416666666666668,4,72,1114.0311276513305,737.9422236628541,0.01,2.77272727272727,1.0,0.0
6,6000000,-8.0,-22.634146341463413,4,41,1121.207605056319,732.6005423741587,0.01,4.818181818181813,1.0,0.0
7,7000000,-13.5,-21.6,4,40,1108.3793025923505,728.5893114914663,0.01,2.3181818181818157,1.0,0.0
8,8000000,-12.0,-20.829268292682926,4,41,1108.2030398252416,722.6699003821753,0.01,2.999999999999997,1.0,0.0
9,9000000,-11.5,-21.372549019607842,4,51,1152.3737190224745,717.2886596149117,0.01,3.227272727272724,1.0,0.0
10,10000000,-12.0,-21.019607843137255,4,51,1137.96860333789,706.6712122499893,0.01,2.999999999999997,1.0,0.0
11,11000000,-7.5,-20.47457627118644,4,59,1144.3440133408533,719.4959367005238,0.01,5.04545454545454,1.0,0.0
12,12000000,-19.2,-19.627118644067796,5,59,1124.1672335184808,728.8787109663066,0.01,-0.27272727272727143,-0.27272727272727143,1.2727272727272714
13,13000000,-19.142857142857142,-19.142857142857142,7,56,1120.67642432376,728.4552620305171,0.01,-0.24675324675324556,-0.24675324675324556,1.2467532467532456
14,14000000,-12.0,-19.904761904761905,4,63,1093.610605156549,728.8986187511381,0.01,2.999999999999997,1.0,0.0
15,15000000,-13.5,-19.74074074074074,4,54,1101.513096852861,724.0890892059065,0.01,2.3181818181818157,1.0,0.0
16,16000000,-17.6,-19.558823529411764,5,68,1120.9180601699818,728.4489634342793,0.01,0.454545454545454,0.454545454545454,0.5454545454545461
17,17000000,-19.25,-18.794117647058822,8,68,1127.9463812524968,721.0681341904722,0.01,-0.2954545454545444,-0.2954545454545444,1.2954545454545445
18,18000000,-21.77777777777778,-19.484848484848484,9,66,1143.641515266741,723.2248878362195,0.01,-1.4444444444444422,-1.4444444444444422,2.444444444444442
19,19000000,-13.0,-18.91176470588235,4,68,1132.8752939753626,721.0348222216365,0.01,2.5454545454545427,1.0,0.0
20,20000000,-15.6,-18.56140350877193,10,57,1110.6708427069677,717.2537634175826,0.01,1.3636363636363626,1.0,0.0
21,21000000,-13.2,-17.854545454545455,5,55,1107.5895482969277,732.4313835121993,0.01,2.4545454545454524,1.0,0.0
22,22000000,-19.170731707317074,-19.652173913043477,41,92,1120.730089468897,727.8627369924101,0.01,-0.25942350332594183,-0.25942350332594183,1.2594235033259418
23,23000000,-13.0,-18.486486486486488,4,74,1160.882749061253,725.7847074001745,0.01,2.5454545454545427,1.0,0.0
24,24000000,-21.333333333333332,-17.60655737704918,6,61,1167.881352138922,725.3915853743745,0.01,-1.2424242424242395,-1.2424242424242395,2.2424242424242395
25,25000000,-18.5,-18.72972972972973,12,74,1154.8982991290302,731.8843531007651,0.01,0.04545454545454604,0.04545454545454604,0.9545454545454539
26,26000000,-17.8,-18.705882352941178,10,68,1111.9779133609613,731.8290255312395,0.01,0.3636363636363635,0.3636363636363635,0.6363636363636365
27,27000000,-20.6,-19.216216216216218,10,74,1122.1368319136573,734.770540888258,0.01,-0.909090909090908,-0.909090909090908,1.9090909090909078
28,28000000,-11.6,-18.08955223880597,5,67,1147.7652293306878,738.2647667891459,0.01,3.1818181818181785,1.0,0.0
29,29000000,-14.5,-17.346938775510203,4,49,1115.3336526205076,728.1777791792091,0.01,1.863636363636362,1.0,0.0
30,30000000,-19.066666666666666,-17.580645161290324,15,62,1127.3484626673014,718.9112552911195,0.01,-0.2121212121212111,-0.2121212121212111,1.212121212121211
31,31000000,-19.75,-17.772727272727273,16,88,1157.6888254041362,727.1467028054626,0.01,-0.5227272727272714,-0.5227272727272714,1.5227272727272714
