iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,37,0,1242.3378794157622,nan,1.0,0.0,0.0,1.0
1,1000000,0.0,0.0,37,75,1229.703556113445,753.726785247627,0.8020002475,0.0,0.0,1.0
2,2000000,0.7297297297297297,0.0,37,75,1227.2095812196324,671.0631775780726,0.5545002475,0.0008480299009061356,0.0008480299009061356,0.9991519700990938
3,3000000,0.16216216216216217,0.013333333333333334,37,75,1229.468905532614,668.796576379767,0.3070002475,0.0001884510890902524,0.0001884510890902524,0.9998115489109097
4,4000000,0.0,4.36,37,75,1234.2961771253813,677.20177230325,0.05950024749999997,0.0,0.0,1.0
5,5000000,5.243243243243243,3.8,37,75,1236.2520114527758,675.7067879541227,0.01,0.0060932518805848265,0.0060932518805848265,0.9939067481194152
6,6000000,141.13513513513513,61.74666666666667,37,75,1218.3253988002637,672.956866602558,0.01,0.1640152645382163,0.1640152645382163,0.8359847354617838
7,7000000,379.7,167.61764705882354,20,68,1220.0865622753904,668.2230365681856,0.01,0.4412550842533411,0.4412550842533411,0.5587449157466589
8,8000000,666.4615384615385,492.1764705882353,13,34,1207.8060449425902,664.113586395303,0.01,0.7745049836856925,0.7745049836856925,0.22549501631430746
9,9000000,861.5,624.1428571428571,10,28,1211.3606296202486,671.1618950221122,0.01,1.00116211504939,1.0,0.0
10,10000000,978.1111111111111,748.5416666666666,9,24,1202.3496340587433,663.952234990626,0.01,1.1366776421976887,1.0,0.0
11,11000000,1093.25,820.0909090909091,8,22,1225.6101419721683,663.8786073912066,0.01,1.2704822777454967,1.0,0.0
12,12000000,1164.75,980.6842105263158,8,19,1219.2706185962456,669.7999434302568,0.01,1.353573503776874,1.0,0.0
13,13000000,1291.857142857143,1083.1666666666667,7,18,1216.8281773416138,665.9814602889029,0.01,1.5012866273761103,1.0,0.0
14,14000000,1206.0,1082.7777777777778,8,18,1208.9332862999463,669.6123522911323,0.01,1.401510749564207,1.0,0.0
15,15000000,1385.142857142857,1127.0588235294117,7,17,1214.499532029094,676.1705608956441,0.01,1.6096953598406243,1.0,0.0
16,16000000,1401.142857142857,1292.0,7,15,1214.958316556531,664.6499387055741,0.01,1.6282892006308625,1.0,0.0
17,17000000,1173.5,1379.4285714285713,8,14,1192.7448247574862,663.1705869657136,0.01,1.3637420104590354,1.0,0.0
18,18000000,1766.2,1459.8461538461538,5,13,1209.3296177664738,660.2336273191014,0.01,2.052527600232423,1.0,0.0
19,19000000,1883.6,1547.7692307692307,5,13,1222.6615067956743,675.0109651803816,0.01,2.188959907030796,1.0,0.0
20,20000000,389.5238095238095,1542.3846153846155,21,13,1215.0727778810412,678.6098834443159,0.01,0.45267148114329986,0.45267148114329986,0.5473285188567001
21,21000000,2035.8,1389.857142857143,5,14,1224.502787637007,675.5637427207575,0.01,2.365833817547937,1.0,0.0
22,22000000,1858.2,1396.142857142857,5,14,1211.6562679911785,677.4972845420659,0.01,2.159442184776293,1.0,0.0
23,23000000,939.3,1347.0714285714287,10,14,1198.2803515373407,688.9065986230224,0.01,1.0915746658919232,1.0,0.0
24,24000000,1754.6,1109.888888888889,5,18,1200.5820266725311,684.4609248321883,0.01,2.0390470656595,1.0,0.0
25,25000000,1889.2,1506.076923076923,5,13,1216.9772016834634,668.761693793108,0.01,2.1954677513073797,1.0,0.0
26,26000000,1523.6666666666667,1507.1538461538462,6,13,1213.309304958196,671.8995396118612,0.01,1.770675963587062,1.0,0.0
27,27000000,1880.8,1695.4166666666667,5,12,1200.656797927586,681.836843084067,0.01,2.1857059848925044,1.0,0.0
28,28000000,1714.8333333333333,1720.1666666666667,6,12,1222.0508037744053,695.6548336055024,0.01,1.9928336238620956,1.0,0.0
29,29000000,2030.6,1829.090909090909,5,11,1217.9488131295557,685.3603684707813,0.01,2.35979081929111,1.0,0.0
30,30000000,2237.75,1589.6153846153845,4,13,1226.2176612896874,683.7279115236032,0.01,2.6005229517722253,1.0,0.0
31,31000000,2039.6,1793.7272727272727,5,11,1207.5881886439545,694.7393902367063,0.01,2.3702498547356186,1.0,0.0
32,32000000,1227.7142857142858,1815.3636363636363,7,11,1198.163740175346,690.8763845113969,0.01,1.4267452477795302,1.0,0.0
33,33000000,2141.75,2039.2,4,10,1231.9316102036976,684.7660983191029,0.01,2.488959907030796,1.0,0.0
34,34000000,2145.5,1838.909090909091,4,11,1225.1846945345258,678.7348889147178,0.01,2.493317838466008,1.0,0.0
35,35000000,1422.0,1589.076923076923,7,13,1210.8772972991833,678.544724298672,0.01,1.652527600232423,1.0,0.0
36,36000000,2026.8,1952.7,5,10,1207.289418576189,687.788034968559,0.01,2.355374782103428,1.0,0.0
37,37000000,1916.8,1839.1818181818182,5,11,1222.9406559995577,688.3214730268256,0.01,2.2275421266705404,1.0,0.0
38,38000000,2256.0,1718.1818181818182,4,11,1224.368931651937,682.1673696037689,0.01,2.621731551423591,1.0,0.0
39,39000000,2124.0,1835.2727272727273,5,11,1222.5454018314306,703.0000068024049,0.01,2.4683323649041253,1.0,0.0
40,40000000,1867.6,1883.5454545454545,5,11,1214.9494625333493,682.4542006601649,0.01,2.1703660662405575,1.0,0.0
41,41000000,2315.5,1873.8181818181818,4,11,1221.4342583233954,665.88212192853,0.01,2.690877396862289,1.0,0.0
42,42000000,1673.6,2073.5,5,10,1200.7626026340165,693.3089358579048,0.01,1.944915746658919,1.0,0.0
43,43000000,2048.4,1892.0,5,11,1222.3295410279443,701.3275682125337,0.01,2.38047646717025,1.0,0.0
44,44000000,2001.6,2038.8,5,10,1209.4711059201225,678.5671138456229,0.01,2.326089482858803,1.0,0.0
45,45000000,2344.0,2011.3,4,10,1227.747382703365,664.77362900722,0.01,2.723997675769901,1.0,0.0
46,46000000,2066.6,2073.9,5,10,1211.718841348589,665.8629300397288,0.01,2.401626961069146,1.0,0.0
47,47000000,2255.75,1721.4166666666667,4,12,1217.3106848229643,674.901547281868,0.01,2.6214410226612435,1.0,0.0
48,48000000,2062.8,2083.4,5,10,1215.646178458966,680.8245664265555,0.01,2.3972109238814645,1.0,0.0
49,49000000,1990.0,2028.9,5,10,1220.1604843064679,686.1807928932042,0.01,2.3126089482858805,1.0,0.0
50,50000000,2314.75,1925.5,4,10,1222.6899775657612,670.7347916422138,0.01,2.690005810575247,1.0,0.0
51,51000000,1852.2,1947.9,5,10,1235.3781259955342,691.1785118882045,0.01,2.1524694944799534,1.0,0.0
52,52000000,2346.0,2099.2,4,10,1215.2005217350961,680.9812687076256,0.01,2.726321905868681,1.0,0.0
53,53000000,2233.5,1918.6363636363637,4,11,1229.8806214902966,674.6053060962316,0.01,2.5955839628123183,1.0,0.0
54,54000000,2117.2,1867.5454545454545,5,11,1235.5778748820164,689.8148899275524,0.01,2.460429982568274,1.0,0.0
55,55000000,2334.25,1958.1,4,10,1222.060394803449,679.676667088449,0.01,2.71266705403835,1.0,0.0
56,56000000,2242.5,2160.8888888888887,4,9,1216.9134764447288,679.7888901526005,0.01,2.6060429982568274,1.0,0.0
57,57000000,2120.5,1916.7,4,10,1221.8840706175304,684.0760035351511,0.01,2.464264962231261,1.0,0.0
58,58000000,1967.2,2099.9,5,10,1213.8276631455283,681.5726269959722,0.01,2.286112725159791,1.0,0.0
59,59000000,2133.0,2075.0,4,10,1222.4361059720525,693.2471431958038,0.01,2.4787914003486344,1.0,0.0
60,60000000,1580.6666666666667,2118.9,6,10,1208.3186930457668,678.6654540018048,0.01,1.8369165214022856,1.0,0.0
61,61000000,2330.5,2106.7,4,10,1221.6825255962858,670.078349777035,0.01,2.7083091226031377,1.0,0.0
62,62000000,2322.25,1965.1,4,10,1231.7758804219118,685.7888747418972,0.01,2.698721673445671,1.0,0.0
63,63000000,2138.25,2160.6666666666665,4,9,1203.3623910387232,676.1939635001114,0.01,2.4848925043579313,1.0,0.0
64,64000000,1293.2857142857142,2117.7,7,10,1206.2012275576865,694.2734870335339,0.01,1.5029467917323813,1.0,0.0
65,65000000,2245.75,1814.1818181818182,4,11,1230.241257758757,681.9929846008979,0.01,2.6098198721673445,1.0,0.0
