iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-99.0,nan,72,0,1392.6916241109934,nan,1.0,-0.13773584905660372,-0.13773584905660372,1.1377358490566036
1,1000000,-97.16901408450704,-93.0223880597015,71,134,1382.8550048121836,742.5465282179479,0.8020002475,-0.10318894499069882,-0.10318894499069882,1.1031889449906989
2,2000000,-81.45454545454545,-90.33834586466165,66,133,1333.0184530784147,653.2103666039004,0.5545002475,0.19331046312178396,0.19331046312178396,0.8066895368782161
3,3000000,-97.69565217391305,-89.5925925925926,69,135,1338.1002981538659,647.7792541672032,0.3070002475,-0.11312551271534045,-0.11312551271534045,1.1131255127153405
4,4000000,-90.79411764705883,-88.63503649635037,68,137,1329.2765333306806,656.1036282705089,0.05950024749999997,0.017092119866814658,0.017092119866814658,0.9829078801331853
5,5000000,-84.06060606060606,-87.43609022556392,66,133,1360.8761229163551,657.7383718400145,0.01,0.14413950829045172,0.14413950829045172,0.8558604917095483
6,6000000,-82.08823529411765,-85.18939393939394,68,132,1346.2388702768803,653.081877062304,0.01,0.18135405105438399,0.18135405105438399,0.818645948945616
7,7000000,-86.76811594202898,-80.2089552238806,69,134,1341.4183867703875,644.5530761608165,0.01,0.09305441618813243,0.09305441618813243,0.9069455838118676
8,8000000,-70.50769230769231,-77.85714285714286,65,133,1385.0065364359036,643.5935142853783,0.01,0.3998548621190131,0.3998548621190131,0.6001451378809869
9,9000000,-68.84285714285714,-73.93430656934306,70,137,1410.6643641849253,641.3691479716699,0.01,0.43126684636118606,0.43126684636118606,0.5687331536388139
10,10000000,-52.32835820895522,-63.12592592592593,67,135,1411.4766350360653,638.6633386304202,0.01,0.7428611658687695,0.7428611658687695,0.2571388341312305
11,11000000,-46.11290322580645,-51.51111111111111,62,135,1426.1554536535325,634.5037272075087,0.01,0.8601339013998783,0.8601339013998783,0.13986609860012167
12,12000000,-32.09230769230769,-41.404411764705884,65,136,1441.4764275153063,630.155586959809,0.01,1.1246734397677796,1.0,0.0
13,13000000,-1.0597014925373134,-26.16058394160584,67,137,1426.3953187605316,626.9761291014646,0.01,1.71019431146156,1.0,0.0
14,14000000,9.426829268292684,-10.18705035971223,82,139,1423.2080635027473,633.1321465332913,0.01,1.9080533824206167,1.0,0.0
15,15000000,-1.7297297297297298,0.8523489932885906,74,149,1399.0894908040698,632.5703316249148,0.01,1.6975522692503826,1.0,0.0
16,16000000,17.333333333333332,1.7615894039735098,84,151,1380.2072798615836,642.5348013036169,0.01,2.057232704402516,1.0,0.0
17,17000000,5.532467532467533,9.173076923076923,77,156,1364.5249369288333,647.6999428216518,0.01,1.8345748591031612,1.0,0.0
18,18000000,6.657534246575342,11.95625,73,160,1363.5562629405665,645.9774908573913,0.01,1.8558025329542518,1.0,0.0
19,19000000,12.879518072289157,10.44516129032258,83,155,1362.4032310017521,650.5666043220039,0.01,1.9731984541941352,1.0,0.0
20,20000000,13.585365853658537,6.3509933774834435,82,151,1359.703220270757,648.9683995991799,0.01,1.9865163368614818,1.0,0.0
21,21000000,13.325301204819278,7.477124183006536,83,153,1370.9386524770898,655.5351090702768,0.01,1.9816094566947036,1.0,0.0
22,22000000,15.0,7.95483870967742,76,155,1384.2420853973845,646.6698743831014,0.01,2.013207547169811,1.0,0.0
23,23000000,18.36,8.568627450980392,75,153,1387.280092393027,654.0733363616494,0.01,2.076603773584906,1.0,0.0
24,24000000,20.156626506024097,9.857142857142858,83,154,1373.4127093813088,655.6342085925847,0.01,2.110502386906115,1.0,0.0
25,25000000,9.075949367088608,9.825503355704697,79,149,1371.162526360085,654.1347322085094,0.01,1.9014330069262002,1.0,0.0
26,26000000,13.876712328767123,10.470967741935484,73,155,1370.4816836104317,652.2937897308785,0.01,1.9920134401654175,1.0,0.0
27,27000000,9.0,10.355263157894736,73,152,1370.6275073266359,654.245652893142,0.01,1.9000000000000001,1.0,0.0
28,28000000,-2.23943661971831,8.462585034013605,71,147,1364.9201941289869,651.5256773546565,0.01,1.6879351581185227,1.0,0.0
29,29000000,4.6438356164383565,6.917241379310345,73,145,1360.4224335407687,650.4274597569201,0.01,1.8178082191780822,1.0,0.0
30,30000000,-14.046875,5.664383561643835,64,146,1363.3148409527773,649.1559073050688,0.01,1.4651533018867926,1.0,0.0
31,31000000,7.361111111111111,6.516556291390729,72,151,1365.581102491028,654.5255626029864,0.01,1.869077568134172,1.0,0.0
32,32000000,-0.22972972972972974,8.433333333333334,74,150,1374.9090790475582,652.3362366175608,0.01,1.7258541560428353,1.0,0.0
33,33000000,19.57831325301205,13.788461538461538,83,156,1361.8122645934468,652.6564598577696,0.01,2.0995908160945667,1.0,0.0
34,34000000,27.408602150537636,10.480519480519481,93,154,1374.4845305281513,655.435725038652,0.01,2.24733211604788,1.0,0.0
35,35000000,9.01388888888889,8.860927152317881,72,151,1376.3210486958976,655.9596566572269,0.01,1.9002620545073374,1.0,0.0
36,36000000,20.240506329113924,8.586666666666666,79,150,1371.2707462860662,653.3906326716682,0.01,2.1120850250776213,1.0,0.0
37,37000000,3.923076923076923,7.97986577181208,78,149,1377.9900394620545,658.5356735965057,0.01,1.8042089985486212,1.0,0.0
38,38000000,18.44578313253012,12.490322580645161,83,155,1374.8607104543864,652.5582469401743,0.01,2.0782223232552854,1.0,0.0
39,39000000,22.406976744186046,9.980392156862745,86,153,1361.666776203476,654.6562444729294,0.01,2.152961825362001,1.0,0.0
40,40000000,10.364864864864865,8.888157894736842,74,152,1364.6775740372723,653.2535131594203,0.01,1.9257521672616014,1.0,0.0
41,41000000,18.2,11.6,80,155,1361.7648225981181,657.8313345231591,0.01,2.0735849056603777,1.0,0.0
42,42000000,7.685714285714286,9.900662251655628,70,151,1351.0024494515758,653.8716916534697,0.01,1.8752021563342318,1.0,0.0
43,43000000,21.18421052631579,11.52980132450331,76,151,1364.6267165230656,656.4454524684894,0.01,2.129890764647468,1.0,0.0
44,44000000,8.328947368421053,12.176470588235293,76,153,1367.6930052296889,655.7689672234425,0.01,1.88733862959285,1.0,0.0
45,45000000,8.402597402597403,9.967532467532468,77,154,1372.7641090705138,656.7855453537499,0.01,1.8887282528791964,1.0,0.0
46,46000000,16.0,9.893333333333333,84,150,1371.862298357935,656.0277795404604,0.01,2.0320754716981133,1.0,0.0
47,47000000,5.701298701298701,10.1,77,150,1371.0845275917725,656.0839550537487,0.01,1.8377603528546924,1.0,0.0
48,48000000,3.91044776119403,10.294117647058824,67,153,1380.277511661659,650.9840823985845,0.01,1.8039707124753592,1.0,0.0
49,49000000,8.183098591549296,10.92156862745098,71,153,1401.5894927111824,645.2062683150673,0.01,1.8845867658782887,1.0,0.0
50,50000000,3.357142857142857,8.513513513513514,70,148,1417.0187740120616,643.1274831636531,0.01,1.7935309973045823,1.0,0.0
51,51000000,4.82051282051282,4.388888888888889,78,144,1431.4730535384672,638.1514397289957,0.01,1.8211417513304307,1.0,0.0
52,52000000,11.05,7.513513513513513,80,148,1452.4509652231432,638.031834233683,0.01,1.9386792452830188,1.0,0.0
53,53000000,16.544303797468356,8.83108108108108,79,148,1452.4507903235508,632.8770762041638,0.01,2.0423453546692145,1.0,0.0
54,54000000,19.152941176470588,10.006535947712418,85,153,1434.4510385676044,633.2736536503035,0.01,2.091564927857936,1.0,0.0
55,55000000,5.840579710144928,9.58108108108108,69,148,1420.3668651547898,641.1981131739971,0.01,1.8403882964178289,1.0,0.0
56,56000000,8.807692307692308,10.986928104575163,78,153,1404.2202741148851,643.8679247930247,0.01,1.8963715529753267,1.0,0.0
57,57000000,7.9,13.299363057324841,80,157,1397.6730668245661,644.9731848793919,0.01,1.8792452830188682,1.0,0.0
58,58000000,14.26388888888889,8.818791946308725,72,149,1389.0592295656393,646.9926554477429,0.01,1.9993186582809224,1.0,0.0
59,59000000,-2.676470588235294,12.42483660130719,68,153,1366.4010917540218,651.941268519228,0.01,1.6796892341842398,1.0,0.0
60,60000000,11.555555555555555,11.822368421052632,72,152,1361.3775354802005,647.908450531643,0.01,1.9482180293501048,1.0,0.0
61,61000000,12.25974025974026,12.044871794871796,77,156,1364.9748273232026,657.8517796393858,0.01,1.9615045332026464,1.0,0.0
62,62000000,17.192307692307693,14.06875,78,160,1368.2087397443463,649.8768855885015,0.01,2.0545718432510887,1.0,0.0
63,63000000,13.226666666666667,12.192307692307692,75,156,1367.0348394873176,657.8677656655886,0.01,1.9797484276729562,1.0,0.0
64,64000000,13.975,13.547770700636942,80,157,1359.8595201891596,659.6763524888663,0.01,1.9938679245283017,1.0,0.0
65,65000000,17.95774647887324,14.50314465408805,71,159,1363.5455545245738,654.793953904115,0.01,2.0690140845070424,1.0,0.0
66,66000000,18.56,15.993630573248408,75,157,1359.776579458934,659.7980416186925,0.01,2.080377358490566,1.0,0.0
67,67000000,19.39080459770115,11.865384615384615,87,156,1368.327481712081,653.4754434054714,0.01,2.0960529169377575,1.0,0.0
68,68000000,11.378378378378379,11.506578947368421,74,152,1372.4783454312858,656.0956072457284,0.01,1.9448750637429881,1.0,0.0
69,69000000,19.51851851851852,14.348101265822784,81,158,1359.9322495956899,659.1872375876453,0.01,2.0984626135569533,1.0,0.0
70,70000000,3.5,9.516778523489933,72,149,1361.224008356465,661.0888293091199,0.01,1.7962264150943397,1.0,0.0
71,71000000,14.113924050632912,11.948387096774194,79,155,1369.3199743054956,658.0075274167106,0.01,1.9964891330308099,1.0,0.0
72,72000000,19.545454545454547,13.936305732484076,88,157,1361.8093338854621,659.0230193494065,0.01,2.0989708404802747,1.0,0.0
73,73000000,-2.3013698630136985,12.83974358974359,73,156,1351.4675192330965,658.1151954933138,0.01,1.686766606358232,1.0,0.0
74,74000000,14.64102564102564,16.552147239263803,78,163,1368.0738190742036,660.088950964078,0.01,2.0064344460570873,1.0,0.0
75,75000000,17.415584415584416,13.435897435897436,77,156,1370.098973052077,654.882772029189,0.01,2.0587846116148003,1.0,0.0
76,76000000,15.49367088607595,13.566878980891719,79,157,1366.3723566216495,655.4220192589552,0.01,2.0225220921901124,1.0,0.0
77,77000000,32.32967032967033,13.345911949685535,91,159,1372.7927652835842,653.6904804157924,0.01,2.3401824590503835,1.0,0.0
78,78000000,18.353658536585368,16.080745341614907,82,161,1388.3067548829988,649.4451606892926,0.01,2.0764841233317997,1.0,0.0
79,79000000,11.814814814814815,15.77639751552795,81,161,1398.7534650957623,648.5279669215865,0.01,1.9531097134870719,1.0,0.0
80,80000000,16.0,18.012269938650306,75,163,1414.8836182209827,650.0488461848724,0.01,2.0320754716981133,1.0,0.0
81,81000000,5.376623376623376,16.51851851851852,77,162,1430.7479489424538,640.7420866135467,0.01,1.8316344033325165,1.0,0.0
82,82000000,19.188235294117646,16.987730061349694,85,163,1426.9405295937947,627.6481181322158,0.01,2.0922308546059933,1.0,0.0
83,83000000,11.573333333333334,15.175,75,160,1466.2879131449001,636.4299693815121,0.01,1.948553459119497,1.0,0.0
84,84000000,16.27777777777778,15.537037037037036,72,162,1438.3304364786213,635.2959916941845,0.01,2.037316561844864,1.0,0.0
85,85000000,20.191011235955056,15.717791411042946,89,163,1422.1404532025072,643.1623675687671,0.01,2.1111511553953783,1.0,0.0
86,86000000,5.552631578947368,13.177215189873417,76,158,1405.7488682611213,644.6605391610437,0.01,1.8349553128103278,1.0,0.0
87,87000000,23.602150537634408,15.561728395061728,93,162,1389.8555974327508,654.996791800616,0.01,2.175512274294989,1.0,0.0
88,88000000,26.36470588235294,18.209580838323355,85,167,1375.9244827959983,652.0716429908352,0.01,2.227635960044395,1.0,0.0
89,89000000,9.556962025316455,18.150602409638555,79,166,1364.72245717197,652.0284623366973,0.01,1.9105087174588011,1.0,0.0
90,90000000,7.961038961038961,16.34375,77,160,1369.4587519025665,660.7507247438668,0.01,1.8803969615290372,1.0,0.0
91,91000000,11.342857142857143,16.566265060240966,70,166,1365.5456267155976,656.8670754925901,0.01,1.9442048517520216,1.0,0.0
92,92000000,12.256410256410257,17.40740740740741,78,162,1364.2666328486598,662.1234811565924,0.01,1.961441702951137,1.0,0.0
93,93000000,15.947368421052632,17.26993865030675,76,163,1375.282640890836,656.9955920514461,0.01,2.031082423038729,1.0,0.0
94,94000000,6.197183098591549,18.78181818181818,71,165,1376.2034126390286,655.3822929721629,0.01,1.8471166622375765,1.0,0.0
95,95000000,22.285714285714285,20.269461077844312,84,167,1372.2797930560985,658.3149778021309,0.01,2.1506738544474393,1.0,0.0
96,96000000,22.41176470588235,16.21472392638037,85,163,1372.9097079508676,655.0532777141707,0.01,2.1530521642619314,1.0,0.0
97,97000000,20.831460674157302,19.178571428571427,89,168,1357.4133079347896,658.1610148296277,0.01,2.1232351070595716,1.0,0.0
98,98000000,18.536585365853657,19.597633136094675,82,169,1357.3689893608166,660.147405587609,0.01,2.0799355729406352,1.0,0.0
99,99000000,13.293333333333333,18.775757575757577,75,165,1366.3263298729578,658.3859393631299,0.01,1.9810062893081761,1.0,0.0
100,100000000,28.010526315789473,20.410714285714285,95,168,1365.236195127321,659.8234783978522,0.01,2.258689175769613,1.0,0.0
101,101000000,18.46987951807229,18.763313609467456,83,169,1368.1204912696771,661.4106813849079,0.01,2.0786769720391,1.0,0.0
102,102000000,-4.973333333333334,20.42105263157895,75,171,1365.748504797623,655.4531717729402,0.01,1.6363522012578617,1.0,0.0
103,103000000,20.74712643678161,17.98787878787879,87,165,1363.9979677238273,655.279401288311,0.01,2.1216438950336154,1.0,0.0
104,104000000,27.24175824175824,21.325443786982248,91,169,1359.5233637604952,656.6678893960362,0.01,2.244184117769023,1.0,0.0
105,105000000,25.623655913978496,17.585798816568047,93,169,1360.3387752867764,653.4342671556611,0.01,2.2136538851694056,1.0,0.0
106,106000000,19.584269662921347,20.658823529411766,89,170,1369.5470906169362,650.4682256728794,0.01,2.0997032011871952,1.0,0.0
107,107000000,17.904761904761905,18.202380952380953,84,168,1331.284274787559,648.3067966118894,0.01,2.0680143755615457,1.0,0.0
108,108000000,14.066666666666666,19.058823529411764,75,170,1373.6785257882875,657.3022521963655,0.01,1.9955974842767294,1.0,0.0
109,109000000,16.22093023255814,19.035928143712574,86,167,1399.2692851116049,650.3499925400977,0.01,2.0362439666520404,1.0,0.0
110,110000000,23.337078651685392,21.171597633136095,89,169,1410.9751362169625,648.0373017274138,0.01,2.170510917956328,1.0,0.0
111,111000000,23.096385542168676,18.915151515151514,83,165,1425.9318659275712,646.2818836350224,0.01,2.1659695385314843,1.0,0.0
112,112000000,5.365853658536586,19.910179640718564,82,167,1436.6315347847326,638.7028575082761,0.01,1.8314312011044638,1.0,0.0
113,113000000,17.34567901234568,16.99390243902439,81,164,1448.2543465979147,635.1488901399659,0.01,2.0574656417423713,1.0,0.0
114,114000000,22.011627906976745,20.547619047619047,86,168,1452.0994208458064,631.7880048394474,0.01,2.145502413339184,1.0,0.0
115,115000000,21.091954022988507,20.23076923076923,87,169,1424.4337331296472,639.8598438049407,0.01,2.1281500759054435,1.0,0.0
116,116000000,21.44871794871795,22.396551724137932,78,174,1418.8744287007444,642.8870110745895,0.01,2.1348814707305275,1.0,0.0
117,117000000,17.120481927710845,19.767857142857142,83,168,1410.845199608231,642.2592531879056,0.01,2.0532166401454877,1.0,0.0
118,118000000,24.022222222222222,18.783132530120483,90,166,1403.4626996157526,651.092721716274,0.01,2.1834381551362685,1.0,0.0
119,119000000,31.82608695652174,22.841176470588234,92,170,1394.7147606948006,649.3641972623261,0.01,2.330680885972108,1.0,0.0
120,120000000,25.2,19.893491124260354,90,169,1380.222468066732,651.8541018483008,0.01,2.2056603773584906,1.0,0.0
121,121000000,26.415730337078653,21.100591715976332,89,169,1368.9030676245386,653.0634913363951,0.01,2.2285986856052578,1.0,0.0
122,122000000,27.705882352941178,19.143712574850298,85,167,1368.063396446642,656.8766013448657,0.01,2.2529411764705882,1.0,0.0
123,123000000,26.591397849462364,23.779661016949152,93,177,1363.8828073281047,655.1844477618465,0.01,2.231913166970988,1.0,0.0
124,124000000,19.5,23.337142857142858,88,175,1365.4609527771377,659.4009148704795,0.01,2.09811320754717,1.0,0.0
125,125000000,27.27659574468085,24.227272727272727,94,176,1366.611637752341,651.4045508428558,0.01,2.244841429144922,1.0,0.0
126,126000000,24.046511627906977,24.372093023255815,86,172,1363.676680282433,654.757685734961,0.01,2.1838964458095655,1.0,0.0
127,127000000,22.522727272727273,19.880239520958085,88,167,1371.7659140025871,658.3113100093726,0.01,2.1551457975986277,1.0,0.0
128,128000000,24.82608695652174,22.879310344827587,92,174,1369.5160766523186,655.4116419175144,0.01,2.1986054142739953,1.0,0.0
129,129000000,21.093023255813954,21.853801169590643,86,171,1362.8327778511891,654.3636099248015,0.01,2.1281702501096973,1.0,0.0
130,130000000,30.535353535353536,24.620689655172413,99,174,1361.6880247047136,657.082176582939,0.01,2.3063274251953496,1.0,0.0
131,131000000,21.367816091954023,20.726190476190474,87,168,1365.7722173329598,662.3980481127019,0.01,2.1333550206029064,1.0,0.0
132,132000000,30.757575757575758,24.011494252873565,99,174,1361.6260169750963,663.0818040119162,0.01,2.3105202973127503,1.0,0.0
133,133000000,24.954545454545453,24.447674418604652,88,172,1362.6098711601728,657.2999623656938,0.01,2.2010291595197256,1.0,0.0
134,134000000,9.779220779220779,22.789473684210527,77,171,1363.518464085873,657.65915693981,0.01,1.9147022788532222,1.0,0.0
135,135000000,16.135135135135137,21.395209580838323,74,167,1368.4157956060963,657.4811423793068,0.01,2.0346251912289652,1.0,0.0
136,136000000,16.714285714285715,24.0,77,170,1374.7800049070463,656.6475012129033,0.01,2.0455525606469003,1.0,0.0
137,137000000,18.48051948051948,19.49685534591195,77,159,1370.609840589468,660.5105081591296,0.01,2.0788777260475375,1.0,0.0
138,138000000,16.645569620253166,23.414634146341463,79,164,1365.3092130888808,655.3564374354663,0.01,2.0442560305708146,1.0,0.0
139,139000000,31.50574712643678,22.642857142857142,87,168,1367.4017675484642,656.1574198100054,0.01,2.3246367382346564,1.0,0.0
140,140000000,33.62068965517241,27.331460674157302,87,178,1361.8211852506188,657.6903018853279,0.01,2.364541314248536,1.0,0.0
141,141000000,45.0,24.88953488372093,107,172,1361.8139431552383,659.1330616729178,0.01,2.5792452830188677,1.0,0.0
142,142000000,36.735849056603776,24.13095238095238,106,168,1373.6588300900407,655.1223664441897,0.01,2.423317906728373,1.0,0.0
143,143000000,49.095238095238095,26.137931034482758,105,174,1393.89709022342,647.1702028275245,0.01,2.656513926325247,1.0,0.0
144,144000000,38.91208791208791,27.89830508474576,91,177,1389.0957917669716,641.8905119899485,0.01,2.464379017209206,1.0,0.0
145,145000000,27.58139534883721,27.36111111111111,86,180,1418.232030908122,643.6381872723697,0.01,2.2505923650724,1.0,0.0
146,146000000,31.114583333333332,30.208791208791208,96,182,1435.8084435363662,640.376360264521,0.01,2.317256289308176,1.0,0.0
147,147000000,20.476190476190474,25.976608187134502,84,171,1437.1615038503141,630.3509808978164,0.01,2.116531895777179,1.0,0.0
148,148000000,30.0,29.921348314606742,84,178,1448.7675338936622,636.2553190691981,0.01,2.2962264150943397,1.0,0.0
149,149000000,34.053763440860216,29.719101123595507,93,178,1434.040894422984,638.1268593436637,0.01,2.3727125177520794,1.0,0.0
150,150000000,30.4,28.245714285714286,100,175,1415.0079268706259,637.6144828814877,0.01,2.3037735849056604,1.0,0.0
151,151000000,29.04255319148936,29.094972067039105,94,179,1398.860190530549,643.5426822066277,0.01,2.2781613809714973,1.0,0.0
152,152000000,21.11904761904762,28.905555555555555,84,180,1380.0744373127839,648.0269715742369,0.01,2.1286612758310874,1.0,0.0
153,153000000,34.46666666666667,29.716666666666665,90,180,1367.5587761682618,651.6378569663739,0.01,2.3805031446540883,1.0,0.0
154,154000000,44.81196581196581,29.416666666666668,117,180,1362.8112689588315,652.7572418600463,0.01,2.5756974681502984,1.0,0.0
155,155000000,39.026315789473685,29.777173913043477,114,184,1365.9919906978394,655.7612803823131,0.01,2.466534260178749,1.0,0.0
156,156000000,41.660377358490564,27.97159090909091,106,176,1363.2376416614472,661.4205453870021,0.01,2.5162335350658593,1.0,0.0
157,157000000,43.642857142857146,30.740331491712706,112,181,1365.3080372575246,661.7699235099109,0.01,2.5536388140161725,1.0,0.0
158,158000000,39.21649484536083,34.345360824742265,97,194,1372.4862798604076,658.9276893316948,0.01,2.4701225442520913,1.0,0.0
159,159000000,43.304761904761904,32.12234042553192,105,188,1372.4915266773264,661.466670637735,0.01,2.5472596585804133,1.0,0.0
160,160000000,35.43478260869565,32.50785340314136,92,191,1368.2803064890684,657.3821689660055,0.01,2.3987694831829365,1.0,0.0
161,161000000,33.08510638297872,32.63101604278075,94,187,1379.4630714974278,654.2651099684224,0.01,2.3544359694901646,1.0,0.0
162,162000000,41.03809523809524,30.16304347826087,105,184,1369.3028376626617,655.4558487630522,0.01,2.504492362982929,1.0,0.0
163,163000000,48.03846153846154,34.43814432989691,104,194,1362.8988810095652,655.7157954491629,0.01,2.636574746008708,1.0,0.0
164,164000000,2.9166666666666665,30.838709677419356,72,186,1368.512873972408,658.1479512421404,0.01,1.7852201257861637,1.0,0.0
165,165000000,30.725490196078432,30.52972972972973,102,185,1364.6058640666424,656.2178816455954,0.01,2.3099149093599705,1.0,0.0
166,166000000,32.770833333333336,32.409574468085104,96,188,1364.515217549961,658.0460649959512,0.01,2.348506289308176,1.0,0.0
167,167000000,50.333333333333336,34.55384615384615,117,195,1368.5088772839777,659.4132343665831,0.01,2.679874213836478,1.0,0.0
168,168000000,32.138297872340424,34.824742268041234,94,194,1354.1596971681904,658.3484861094303,0.01,2.3365716579686873,1.0,0.0
169,169000000,35.395833333333336,34.45685279187817,96,197,1361.6778493705378,655.4873462817359,0.01,2.3980345911949685,1.0,0.0
170,170000000,42.351351351351354,34.68556701030928,111,194,1363.474141200488,659.09468778089,0.01,2.5292707802141763,1.0,0.0
171,171000000,36.50526315789474,32.026595744680854,95,188,1325.538037757269,662.5281260787841,0.01,2.4189672293942404,1.0,0.0
172,172000000,52.21487603305785,32.592592592592595,121,189,1357.5423159363306,655.8937804579612,0.01,2.7153750194916575,1.0,0.0
173,173000000,41.63461538461539,34.82741116751269,104,197,1360.7967444715139,657.2313615330777,0.01,2.5157474600870833,1.0,0.0
174,174000000,50.027027027027025,35.33673469387755,111,196,1363.8821387662304,653.101567432426,0.01,2.6740948495665475,1.0,0.0
175,175000000,54.853658536585364,37.014925373134325,123,201,1376.8690505235395,647.6837546588926,0.01,2.7651633686148185,1.0,0.0
176,176000000,37.98989898989899,35.38775510204081,99,196,1395.366716632243,644.6118272591713,0.01,2.4469792262245096,1.0,0.0
177,177000000,44.33980582524272,33.964285714285715,103,196,1409.0041645063725,645.6602477018909,0.01,2.566788789155523,1.0,0.0
178,178000000,38.29807692307692,38.68446601941748,104,206,1422.6140458149628,644.2789393021989,0.01,2.4527939042089986,1.0,0.0
179,179000000,48.134453781512605,36.92964824120603,119,199,1433.9540263816828,645.4504264938462,0.01,2.638385920405898,1.0,0.0
180,180000000,32.431372549019606,35.4040404040404,102,198,1449.4512457198045,640.7682575937888,0.01,2.3421013688494265,1.0,0.0
181,181000000,55.74015748031496,35.36040609137056,127,197,1455.5460838454396,641.6551052992581,0.01,2.7818897637795272,1.0,0.0
182,182000000,34.25252525252525,36.78787878787879,99,198,1424.8316540399037,636.9363318673051,0.01,2.376462740613684,1.0,0.0
