iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,157.96875,nan,128,0,1373.2873567148265,nan,1.0,0.021728246867314675,0.021728246867314675,0.9782717531326853
1,1000000,40.28508771929825,84.93630573248407,456,628,1302.4972356745432,790.7405092660896,0.8020002475,-0.00583555739095954,-0.00583555739095954,1.0058355573909596
2,2000000,195.8490566037736,138.48101265822785,159,553,1236.9676985940127,758.8325895761186,0.5545002475,0.03060055196247186,0.03060055196247186,0.9693994480375281
3,3000000,229.3421052631579,196.69456066945608,228,478,1173.5097024948495,771.4780025515131,0.3070002475,0.03844527585505513,0.03844527585505513,0.9615547241449449
4,4000000,233.35051546391753,235.6937799043062,194,418,1153.9025344630898,775.0023203643673,0.05950024749999997,0.03938412354231585,0.03938412354231585,0.9606158764576842
5,5000000,263.757225433526,258.1518987341772,173,395,1157.9671412673424,778.3770425019494,0.01,0.046505966842376394,0.046505966842376394,0.9534940331576236
6,6000000,265.53072625698326,285.1212938005391,179,371,1148.9189093577606,775.1119302472762,0.01,0.04692135525400709,0.04692135525400709,0.9530786447459929
7,7000000,260.0,287.3876404494382,163,356,1149.790899613734,779.9317615983489,0.01,0.04562595151657103,0.04562595151657103,0.954374048483429
8,8000000,413.7974683544304,324.10919540229884,158,348,1145.8308384086674,777.1852866490252,0.01,0.08164831206334007,0.08164831206334007,0.9183516879366599
9,9000000,266.1111111111111,302.782874617737,126,327,1169.2089367477083,777.4480493356486,0.01,0.0470572926832442,0.0470572926832442,0.9529427073167558
10,10000000,272.04545454545456,282.72727272727275,176,231,1186.9496164615357,769.8358166585145,0.01,0.04844723141947642,0.04844723141947642,0.9515527685805236
11,11000000,262.3809523809524,264.92537313432837,21,134,1239.2835583923809,765.4544494383963,0.01,0.04618361690618396,0.04618361690618396,0.953816383093816
12,12000000,428.8888888888889,301.7391304347826,117,69,1261.6349247070816,756.940438892256,0.01,0.08518301648644781,0.08518301648644781,0.9148169835135522
13,13000000,203.2089552238806,286.6666666666667,134,111,1234.7511698324276,757.9734501030629,0.01,0.03232438346969917,0.03232438346969917,0.9676756165303009
