iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,6.741573033707865,nan,89,0,1402.087109948185,nan,1.0,-0.116413024718684,-0.116413024718684,1.116413024718684
1,1000000,8.444444444444445,407.69874476987445,90,239,1352.1575003843204,859.187112135619,0.8020002475,-0.11562279249874961,-0.11562279249874961,1.1156227924987496
2,2000000,96.0,705.0224215246636,160,223,1187.9262056079729,792.5428409497168,0.5545002475,-0.07499187897350226,-0.07499187897350226,1.0749918789735022
3,3000000,541.0769230769231,1091.8134715025906,130,193,1280.364328663695,809.2118379883185,0.3070002475,0.1315499202176078,0.1315499202176078,0.8684500797823922
4,4000000,133.87387387387386,886.974358974359,111,195,1284.8973908573698,812.4537906729047,0.05950024749999997,-0.057416179927665394,-0.057416179927665394,1.0574161799276653
5,5000000,211.47540983606558,488.07339449541286,122,218,1257.9322485364407,814.7637002365124,0.01,-0.021404515366807944,-0.021404515366807944,1.0214045153668079
6,6000000,248.35616438356163,516.5333333333333,146,225,1241.0557389956273,810.235150255251,0.01,-0.004289681941824859,-0.004289681941824859,1.0042896819418248
7,7000000,278.3206106870229,497.56756756756755,131,222,1252.8213663956706,807.2092041351962,0.01,0.009615578767934885,0.009615578767934885,0.9903844212320652
8,8000000,284.78632478632477,547.0370370370371,117,216,1235.4536403452212,802.2924265706648,0.01,0.012616049369494986,0.012616049369494986,0.987383950630505
9,9000000,532.0353982300885,803.3009708737864,113,206,1273.1175735187917,797.7547879648768,0.01,0.1273541223398248,0.1273541223398248,0.8726458776601752
10,10000000,1649.4505494505495,912.4623115577889,91,199,1269.976759580091,804.0570501243546,0.01,0.6459002967425631,0.6459002967425631,0.3540997032574369
11,11000000,1426.5116279069769,1383.0167597765362,86,179,1221.7177167395898,820.3258056692518,0.01,0.5424435602148483,0.5424435602148483,0.4575564397851517
12,12000000,1827.764705882353,1520.6593406593406,85,182,1231.3957758217184,826.1593283220066,0.01,0.7286485247029341,0.7286485247029341,0.27135147529706594
13,13000000,1701.4634146341464,1677.7900552486187,82,181,1219.918417907159,824.7641689663819,0.01,0.6700373171071262,0.6700373171071262,0.3299626828928738
14,14000000,2522.0779220779223,2244.6540880503144,77,159,1221.486926097507,818.4580115336022,0.01,1.0508505833578923,1.0,0.0
15,15000000,2756.75,2560.0,80,155,1208.8422875009542,825.4157360081063,0.01,1.1597521926771543,1.0,0.0
16,16000000,1219.245283018868,2732.837837837838,106,148,1215.4796584579403,829.6584864545603,0.01,0.4462598185618209,0.4462598185618209,0.553740181438179
17,17000000,3414.5454545454545,2824.8322147651006,66,149,1242.27604276282,833.1841398957565,0.01,1.4650078679035938,1.0,0.0
18,18000000,3738.507462686567,2866.25,67,144,1248.5728267276302,841.5706979785158,0.01,1.615345242325197,1.0,0.0
19,19000000,4162.222222222223,3219.5714285714284,63,140,1255.9169285824526,841.0324507362463,0.01,1.8119737445924278,1.0,0.0
20,20000000,3522.769230769231,2938.7755102040815,65,147,1241.9887971498288,839.246559554654,0.01,1.5152300481550098,1.0,0.0
21,21000000,2820.5479452054797,3397.1014492753625,73,138,1223.7817174020931,848.4191261249514,0.01,1.1893581814494778,1.0,0.0
22,22000000,3101.1267605633802,3497.313432835821,71,134,1230.0533014064831,852.6096821557519,0.01,1.3195632096911134,1.0,0.0
23,23000000,4276.129032258064,3522.5,62,136,1246.3531471913345,836.5399328442016,0.01,1.8648331858824374,1.0,0.0
24,24000000,5109.122807017544,3897.5193798449613,57,129,1239.9491083271253,840.6967667752734,0.01,2.251391158298549,1.0,0.0
25,25000000,3377.391304347826,3787.4809160305344,69,131,1267.6202253003046,831.4123793842216,0.01,1.4477661628603768,1.0,0.0
26,26000000,4806.779661016949,3920.151515151515,59,132,1302.7098432238488,826.8704637970835,0.01,2.1110862040080507,1.0,0.0
27,27000000,2795.757575757576,4794.237288135593,66,118,1283.1594424322734,828.3211056616684,0.01,1.1778539958965966,1.0,0.0
28,28000000,6203.529411764706,5055.6140350877195,51,114,1251.041057531613,833.0734288426463,0.01,2.7592600175250386,1.0,0.0
29,29000000,4490.163934426229,5671.88679245283,61,106,1253.4340060471282,840.9506845101954,0.01,1.9641579351367715,1.0,0.0
30,30000000,5053.090909090909,6140.39603960396,55,101,1249.9532733061383,843.2530932459953,0.01,2.2253890709967554,1.0,0.0
31,31000000,10539.444444444445,6457.959183673469,36,98,1230.080300759473,839.698789733156,0.01,4.771378924518281,1.0,0.0
32,32000000,5650.384615384615,7317.333333333333,52,90,1229.3175571301063,846.0290655129713,0.01,2.5025683861824746,1.0,0.0
33,33000000,10813.142857142857,7569.090909090909,35,88,1260.6185389113616,842.9797750176788,0.01,4.898391042342038,1.0,0.0
34,34000000,8814.736842105263,9012.405063291139,38,79,1283.314928210482,832.1671769237395,0.01,3.9710134308344993,1.0,0.0
35,35000000,17175.833333333332,10898.208955223881,24,67,1277.1113012855835,829.820949663767,0.01,7.8510526397203275,1.0,0.0
36,36000000,16144.0,14805.185185185184,25,54,1268.2906234015363,831.8481212817668,0.01,7.372221448791127,1.0,0.0
37,37000000,51877.5,17206.25,8,48,1271.0453897862683,831.8011936470756,0.01,23.954661469209707,1.0,0.0
38,38000000,69448.57142857143,22553.333333333332,7,39,1286.49162613738,833.1953469888671,0.01,32.10866927865396,1.0,0.0
39,39000000,33410.90909090909,23376.0,11,35,1291.2089895919776,829.2683403059873,0.01,15.385080092305484,1.0,0.0
40,40000000,86240.0,29892.666666666668,5,30,1290.1253791579022,828.126576612767,0.01,39.90087707086175,1.0,0.0
41,41000000,38050.90909090909,44000.0,11,21,1295.5171556923995,823.5467824525401,0.01,17.538312260851587,1.0,0.0
42,42000000,36360.0,22315.0,11,36,1316.055480220638,817.1934156943373,0.01,16.753631258991135,1.0,0.0
43,43000000,37520.0,20981.5,11,40,1316.5948339507358,818.408805593576,0.01,17.291939301127663,1.0,0.0
44,44000000,20222.85714285714,30051.333333333332,21,30,1277.3101213869174,817.7743805109988,0.01,9.26505041665838,1.0,0.0
45,45000000,30569.333333333332,29347.09677419355,15,31,1291.0751699451591,827.3107890769037,0.01,14.06642226244064,1.0,0.0
46,46000000,78966.66666666667,36336.153846153844,6,26,1295.1300539598956,830.1594006442746,0.01,36.525623772178136,1.0,0.0
47,47000000,19169.565217391304,29012.5,23,32,1263.2770146998735,824.8241570155162,0.01,8.776261180282754,1.0,0.0
48,48000000,31497.333333333332,26205.882352941175,15,34,1287.6288084399448,827.3173420716363,0.01,14.49706869614986,1.0,0.0
49,49000000,50575.555555555555,30106.451612903227,9,31,1282.367474363673,818.3608208397843,0.01,23.350482878813658,1.0,0.0
50,50000000,21963.157894736843,29942.58064516129,19,31,1303.9743386330144,815.9507146987564,0.01,10.072652046376557,1.0,0.0
51,51000000,91260.0,28736.875,5,32,1321.5383025699607,811.2246708948985,0.01,42.23045152907327,1.0,0.0
52,52000000,29693.846153846152,29583.870967741936,13,31,1314.5913721730712,812.6524668939278,0.01,13.660144857694627,1.0,0.0
53,53000000,22141.0,25142.777777777777,20,36,1270.2886338110177,816.7576904663174,0.01,10.155181214905564,1.0,0.0
54,54000000,25944.0,19786.81818181818,15,44,1262.4644671917947,827.8240621140735,0.01,11.919996287530743,1.0,0.0
55,55000000,23729.473684210527,26009.714285714286,19,35,1247.3287484990526,828.596087811906,0.01,10.892326179502774,1.0,0.0
56,56000000,41124.444444444445,26774.117647058825,9,34,1255.400248785984,833.8465325543121,0.01,18.964612949299013,1.0,0.0
57,57000000,48511.11111111111,27150.909090909092,9,33,1230.769229066619,832.6638444284288,0.01,22.392459562444248,1.0,0.0
58,58000000,20954.0,35791.53846153846,20,26,1248.570812665963,833.4726409861403,0.01,9.604343589029654,1.0,0.0
59,59000000,53168.88888888889,26995.151515151516,9,33,1256.6304913574686,831.7724231397555,0.01,24.553941662670606,1.0,0.0
60,60000000,38178.333333333336,30749.333333333332,12,30,1247.6433642528384,826.8243294309323,0.01,17.597444583662043,1.0,0.0
61,61000000,40446.666666666664,30828.666666666668,12,30,1232.0873862422977,826.5325260684968,0.01,18.650084303989356,1.0,0.0
62,62000000,26497.777777777777,25232.571428571428,18,35,1215.330737511919,834.8028837725091,0.01,12.176981659370634,1.0,0.0
63,63000000,67360.0,35693.07692307692,7,26,1237.0676554805484,841.3147649276998,0.01,31.13944962643278,1.0,0.0
64,64000000,32636.923076923078,23199.48717948718,13,39,1244.373205075282,839.4846928929378,0.01,15.025905182107326,1.0,0.0
65,65000000,18442.666666666668,32436.55172413793,15,29,1235.6231746293306,840.3631768697848,0.01,8.438937615047877,1.0,0.0
