iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,380,0,1443.338253376592,nan,1.0,-0.05442990183740246,-0.05442990183740246,1.0544299018374024
1,1000000,1.0695187165775402,216.7929292929293,187,396,1411.9223522885925,835.7139971985936,0.8020002475,-0.05409340589083264,-0.05409340589083264,1.0540934058908327
2,2000000,1.8716577540106951,204.76772616136918,187,409,1374.4906725399424,753.9603533864541,0.5545002475,-0.053841033930905266,-0.053841033930905266,1.0538410339309052
3,3000000,6.629834254143646,131.43776824034336,181,466,1345.7377142227779,782.0779249306509,0.3070002475,-0.05234399878739503,-0.05234399878739503,1.052343998787395
4,4000000,0.0,80.73852295409182,375,501,1336.6179825397405,787.7894636973401,0.05950024749999997,-0.05442990183740246,-0.05442990183740246,1.0544299018374024
5,5000000,13.513513513513514,64.7872340425532,259,470,1301.6814437434673,790.2734981186615,0.01,-0.05017823008006748,-0.05017823008006748,1.0501782300800675
6,6000000,98.64253393665159,98.99103139013452,221,446,1234.0894771931971,775.6573919466114,0.01,-0.02339462184223144,-0.02339462184223144,1.0233946218422314
7,7000000,120.27027027027027,128.06236080178175,185,449,1263.1046880936306,772.1801735803007,0.01,-0.016590023197121107,-0.016590023197121107,1.016590023197121
8,8000000,174.6124031007752,141.280353200883,258,453,1273.8182748809322,779.9908614963249,0.01,0.000507300245650389,0.000507300245650389,0.9994926997543496
9,9000000,160.37234042553192,180.66502463054186,188,406,1276.0844600840658,793.320613289177,0.01,-0.003972961104476492,-0.003972961104476492,1.0039729611044765
10,10000000,45.5,207.66331658291458,200,398,1260.8683765339551,793.7532443862075,0.01,-0.040114523030455575,-0.040114523030455575,1.0401145230304556
11,11000000,209.6153846153846,217.4129353233831,208,402,1250.2546139239205,797.8082845012779,0.01,0.01152006815233596,0.01152006815233596,0.988479931847664
12,12000000,295.3333333333333,267.28855721393035,225,402,1241.7192088372753,799.0991371756746,0.01,0.038488967195234494,0.038488967195234494,0.9615110328047655
13,13000000,303.6585365853659,254.5691906005222,164,383,1232.1178554720677,793.3537951671825,0.01,0.04110827352924927,0.04110827352924927,0.9588917264707507
14,14000000,309.85221674876846,265.1133501259446,203,397,1249.8304580986846,789.5935945634544,0.01,0.04305695216107741,0.04305695216107741,0.9569430478389226
15,15000000,375.38461538461536,308.13953488372096,195,387,1243.0235376016444,788.8959053653598,0.01,0.06367499854789056,0.06367499854789056,0.9363250014521094
16,16000000,358.46560846560845,311.5584415584416,189,385,1282.4777518559406,786.8478538336875,0.01,0.05835187782079299,0.05835187782079299,0.941648122179207
17,17000000,205.9375,312.56410256410254,320,390,1282.011743905117,780.4185802296508,0.01,0.010362918449534356,0.010362918449534356,0.9896370815504656
18,18000000,374.8995983935743,310.4010025062657,249,399,1271.810652192277,789.1331906499461,0.01,0.06352240070273543,0.06352240070273543,0.9364775992972646
19,19000000,267.7142857142857,304.4665012406948,175,403,1256.85623577362,791.5482331809576,0.01,0.029799359965481286,0.029799359965481286,0.9702006400345187
20,20000000,288.6792452830189,342.6395939086294,159,394,1264.1038740212996,793.9695350149448,0.01,0.03639543332589318,0.03639543332589318,0.9636045666741069
21,21000000,332.64248704663214,339.2059553349876,193,403,1260.127286505335,794.003159784103,0.01,0.05022731155506926,0.05022731155506926,0.9497726884449308
22,22000000,332.11009174311926,341.97080291970804,218,411,1271.4332814481502,791.8335093943915,0.01,0.05005980736946868,0.05005980736946868,0.9499401926305313
23,23000000,327.3399014778325,358.53365384615387,203,416,1295.1874513242103,800.2031201729242,0.01,0.04855899241059416,0.04855899241059416,0.9514410075894059
24,24000000,325.6862745098039,341.43518518518516,255,432,1291.9331799862277,801.1416343898583,0.01,0.04803872215888621,0.04803872215888621,0.9519612778411138
25,25000000,356.1363636363636,361.7391304347826,220,460,1292.8964637474223,795.4048907381103,0.01,0.057619042171018,0.057619042171018,0.942380957828982
26,26000000,265.86206896551727,378.99543378995435,290,438,1289.5993422239221,791.7632160522244,0.01,0.029216608660180363,0.029216608660180363,0.9707833913398196
27,27000000,351.85185185185185,407.311320754717,243,424,1311.2430265181047,788.0552155831756,0.01,0.056271033177652856,0.056271033177652856,0.9437289668223472
28,28000000,553.90625,413.17016317016316,192,429,1329.7650457845853,782.2753997239915,0.01,0.11984213755348602,0.11984213755348602,0.880157862446514
29,29000000,381.25,407.81990521327015,256,422,1358.524754296856,775.1928585078401,0.01,0.06552038761641077,0.06552038761641077,0.9344796123835892
30,30000000,411.38613861386136,445.2764976958525,202,434,1386.8668523276638,771.1765375345777,0.01,0.07500193135346758,0.07500193135346758,0.9249980686465324
31,31000000,486.9791666666667,451.99556541019956,192,451,1374.9913958511077,765.7037817840843,0.01,0.0987852902928098,0.0987852902928098,0.9012147097071902
32,32000000,441.3551401869159,468.1192660550459,214,436,1343.226597234859,773.2290812725516,0.01,0.08443088981466017,0.08443088981466017,0.9155691101853398
33,33000000,433.9357429718876,457.28476821192055,249,453,1313.435735208564,778.2788048097578,0.01,0.08209657153658682,0.08209657153658682,0.9179034284634132
34,34000000,527.1111111111111,477.06935123042507,225,447,1295.0396769552353,785.1674288666956,0.01,0.11141175154515198,0.11141175154515198,0.888588248454848
35,35000000,538.9639639639639,502.79017857142856,222,448,1298.002440226349,792.2763495647789,0.01,0.1151409400843078,0.1151409400843078,0.8848590599156922
36,36000000,538.4090909090909,539.5833333333334,220,456,1285.6810765088978,795.4577999023652,0.01,0.11496636386518087,0.11496636386518087,0.8850336361348191
37,37000000,456.5891472868217,522.0319634703196,258,438,1270.3366905975392,795.5363654597493,0.01,0.08922386964725072,0.08922386964725072,0.9107761303527493
38,38000000,484.3636363636364,512.280701754386,275,456,1268.9630300482256,800.2950109713207,0.01,0.09796238244514106,0.09796238244514106,0.9020376175548589
39,39000000,482.53968253968253,531.9565217391304,252,460,1267.577721449299,801.2502323852955,0.01,0.09738852332610197,0.09738852332610197,0.9026114766738981
40,40000000,563.3663366336634,519.1144708423326,202,463,1265.3803390774049,801.2724734956115,0.01,0.12281850510749541,0.12281850510749541,0.8771814948925046
41,41000000,601.8264840182649,536.3431151241535,219,443,1281.7217089880915,804.3194665200946,0.01,0.13491897936643119,0.13491897936643119,0.8650810206335688
42,42000000,588.7019230769231,515.2747252747253,208,455,1288.5356362259452,801.5756524550667,0.01,0.13078968131038354,0.13078968131038354,0.8692103186896165
43,43000000,682.9207920792079,539.4505494505495,202,455,1300.352596630828,801.8588857834678,0.01,0.1604331714319179,0.1604331714319179,0.8395668285680821
44,44000000,555.9360730593608,573.3041575492341,219,457,1296.599932783934,794.8814693828806,0.01,0.1204807680151525,0.1204807680151525,0.8795192319848475
