iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-20.02857142857143,nan,35,0,1104.606682549304,nan,1.0,-0.7296340023612752,-0.7296340023612752,1.729634002361275
1,1000000,-14.621621621621621,-10.186666666666667,37,75,996.6941800687184,619.1933017741266,0.8020002475,-0.28277864641501005,-0.28277864641501005,1.28277864641501
2,2000000,-22.735294117647058,-10.706666666666667,34,75,999.5319324078654,572.450267277468,0.5545002475,-0.9533300923675255,-0.9533300923675255,1.9533300923675254
3,3000000,-5.2727272727272725,-16.295774647887324,33,71,1002.3160881991457,568.6285208699402,0.3070002475,0.48985725018782866,0.48985725018782866,0.5101427498121713
4,4000000,-20.764705882352942,-15.985915492957746,34,71,996.7248727305812,569.8949640399017,0.05950024749999997,-0.7904715605250366,-0.7904715605250366,1.7904715605250368
5,5000000,-4.2727272727272725,-15.857142857142858,33,70,1002.4114022144007,567.0946594230919,0.01,0.5725018782870023,0.5725018782870023,0.4274981217129977
6,6000000,-5.696969696969697,-11.549295774647888,33,71,992.3972560400032,569.5917818539396,0.01,0.45479589281242166,0.45479589281242166,0.5452041071875784
7,7000000,-13.647058823529411,-10.157142857142857,34,70,996.4625068009724,569.9309943697303,0.01,-0.20223626640738943,-0.20223626640738943,1.2022362664073893
8,8000000,-20.294117647058822,-12.205479452054794,34,73,995.701647346023,569.7902224731155,0.01,-0.7515799708313077,-0.7515799708313077,1.7515799708313078
9,9000000,-16.444444444444443,-14.575342465753424,36,73,995.9720827212981,567.91191417732,0.01,-0.4334251606978879,-0.4334251606978879,1.4334251606978878
10,10000000,-17.61111111111111,-13.847222222222221,36,72,991.909285425687,574.2739662210763,0.01,-0.5298438934802572,-0.5298438934802572,1.5298438934802572
11,11000000,-7.975609756097561,-13.492957746478874,41,71,994.2217415065284,571.731211492153,0.01,0.2664785325539205,0.2664785325539205,0.7335214674460795
12,12000000,-18.428571428571427,-12.86111111111111,35,72,1001.4864068320619,564.885742241226,0.01,-0.5974025974025974,-0.5974025974025974,1.5974025974025974
13,13000000,-10.294117647058824,-12.054794520547945,34,73,1010.2727759599657,565.4517240725154,0.01,0.07486631016042769,0.07486631016042769,0.9251336898395723
14,14000000,-15.75,-10.932432432432432,36,74,1009.9741948866341,563.4411050266452,0.01,-0.37603305785123975,-0.37603305785123975,1.3760330578512399
15,15000000,-5.2894736842105265,-10.391891891891891,38,74,1019.1521253518106,563.5928585405585,0.01,0.4884732492387994,0.4884732492387994,0.5115267507612006
