iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.4297994269340974,nan,349,0,1263.7275691524746,nan,1.0,-0.10434697068322098,-0.10434697068322098,1.104346970683221
1,1000000,19.205298013245034,32.796780684104625,151,497,1205.425765166402,725.4608455840395,0.8020002475,-0.035773199367256994,-0.035773199367256994,1.035773199367257
2,2000000,80.76923076923077,41.16424116424116,117,481,1220.9647328287274,648.7433536898518,0.5545002475,0.18907681069843232,0.18907681069843232,0.8109231893015677
3,3000000,57.87671232876713,51.54394299287411,146,421,1202.7731150806599,644.9531883140279,0.3070002475,0.10546644385963158,0.10546644385963158,0.8945335561403684
4,4000000,129.92700729927006,67.74691358024691,137,324,1192.0289588897415,643.9068413409913,0.05950024749999997,0.3686158045992332,0.3686158045992332,0.6313841954007668
5,5000000,101.72413793103448,108.67579908675799,87,219,1186.6342262823766,640.407261394528,0.01,0.2656104380242311,0.2656104380242311,0.7343895619757689
6,6000000,207.40740740740742,206.97674418604652,81,172,1193.0513857828971,638.6028849755568,0.01,0.6515975434894354,0.6515975434894354,0.34840245651056456
7,7000000,745.3125,328.8079470198675,64,151,1170.834246986097,639.2964560779087,0.01,2.616188823959094,1.0,0.0
8,8000000,476.6666666666667,403.3783783783784,75,148,1182.5705226043776,634.4807390799434,0.01,1.6350133917701486,1.0,0.0
9,9000000,341.44736842105266,301.3071895424837,76,153,1171.6825400576581,635.445517140486,0.01,1.141151820383684,1.0,0.0
10,10000000,544.2028985507246,364.48275862068965,69,145,1183.62670896738,635.4986653644308,0.01,1.8816760356125808,1.0,0.0
11,11000000,172.07792207792207,351.06382978723406,77,141,1181.8871751251759,634.9224487526743,0.01,0.5225636306717387,0.5225636306717387,0.4774363693282613
12,12000000,566.4285714285714,317.9054054054054,70,148,1185.4029493656053,636.1247654276264,0.01,1.9628508817698007,1.0,0.0
13,13000000,309.42028985507244,434.85915492957747,69,142,1181.7919158461245,634.441807663371,0.01,1.0241792909242966,1.0,0.0
14,14000000,151.23456790123456,370.92198581560285,81,141,1176.5208542785842,639.4598573646838,0.01,0.44643742841941036,0.44643742841941036,0.5535625715805896
15,15000000,421.7391304347826,412.5,69,140,1173.676311696695,636.4807707525277,0.01,1.4344014990313463,1.0,0.0
16,16000000,336.7088607594937,339.568345323741,79,139,1184.262834960768,643.2074601590399,0.01,1.1238453643516935,1.0,0.0
17,17000000,475.40983606557376,427.5735294117647,61,136,1178.575455062733,641.963598797356,0.01,1.6304230681722927,1.0,0.0
18,18000000,384.32835820895525,482.11678832116786,67,137,1190.6516711869904,641.7789487392689,0.01,1.2977661001057532,1.0,0.0
