iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,434,0,1318.179642784561,nan,1.0,-0.017432115320147504,-0.017432115320147504,1.0174321153201475
1,1000000,0.0,40.91778202676864,460,523,1269.2589017316086,826.8148739733438,0.8020002475,-0.017432115320147504,-0.017432115320147504,1.0174321153201475
2,2000000,0.9302325581395349,51.61290322580645,430,527,1228.5299966470686,769.0708351896594,0.5545002475,-0.017120270681146653,-0.017120270681146653,1.0171202706811466
3,3000000,0.0,72.96786389413988,430,529,1218.9515688989238,752.6181302470683,0.3070002475,-0.017432115320147504,-0.017432115320147504,1.0174321153201475
4,4000000,1.3824884792626728,129.34579439252337,434,535,1196.328127720077,779.0105700179071,0.05950024749999997,-0.016968659577853613,-0.016968659577853613,1.0169686595778535
5,5000000,60.633484162895925,185.03787878787878,221,528,1206.0179403619838,783.4055397679699,0.01,0.0028942286835051713,0.0028942286835051713,0.9971057713164948
6,6000000,63.42710997442455,236.07843137254903,391,510,1180.0370171135735,784.1401351196774,0.01,0.003830744208657242,0.003830744208657242,0.9961692557913427
7,7000000,805.9701492537314,558.5253456221199,201,434,1182.4392951710854,785.8448184237865,0.01,0.2527556651873052,0.2527556651873052,0.7472443348126948
8,8000000,835.8695652173913,655.0505050505051,184,396,1175.9569768842332,788.6387390640124,0.01,0.26277893570814326,0.26277893570814326,0.7372210642918567
9,9000000,1498.6666666666667,865.9942363112392,150,347,1161.95827994214,791.1226240164633,0.01,0.4849703877528216,0.4849703877528216,0.5150296122471785
10,10000000,2683.809523809524,1429.054054054054,105,296,1162.970831922356,792.3289152598104,0.01,0.8822693676867328,0.8822693676867328,0.11773063231326719
11,11000000,2007.4766355140187,1637.218045112782,107,266,1162.5447708339827,789.8383877113852,0.01,0.6555402733872003,0.6555402733872003,0.34445972661279967
12,12000000,4529.411764705882,1981.1965811965813,68,234,1144.5953451242412,790.3441740089988,0.01,1.5009761195795783,1.0,0.0
13,13000000,3687.5,2552.5252525252527,80,198,1187.963164878632,791.2527352039343,0.01,1.2187395239691585,1.0,0.0
14,14000000,2507.5471698113206,3948.299319727891,106,147,1185.3578286537152,782.2836398146156,0.01,0.8231804122733224,0.8231804122733224,0.1768195877266776
15,15000000,4013.157894736842,4025.170068027211,76,147,1181.816901014448,785.9077893738512,0.01,1.3279107927377949,1.0,0.0
16,16000000,5140.983606557377,5083.2,61,125,1180.1513221242585,786.1754586721735,0.01,1.7059951748432374,1.0,0.0
17,17000000,7278.260869565217,4902.325581395349,46,129,1196.7698803401345,783.2010824202176,0.01,2.4224810156101966,1.0,0.0
18,18000000,8731.578947368422,7173.913043478261,38,92,1208.6864884039826,786.7590340233872,0.01,2.9096811757855923,1.0,0.0
19,19000000,9908.57142857143,6970.212765957447,35,94,1191.7718565880052,796.5259228593667,0.01,3.3042478808486186,1.0,0.0
20,20000000,4923.809523809524,6648.9795918367345,63,98,1178.624063290472,798.670209825517,0.01,1.633191258400779,1.0,0.0
21,21000000,9686.486486486487,7080.851063829788,37,94,1179.1676399469168,798.0477691779067,0.01,3.2297976823622148,1.0,0.0
22,22000000,5978.181818181818,6344.2307692307695,55,104,1179.8440202781308,795.0417025163166,0.01,1.9866516319751317,1.0,0.0
23,23000000,5916.363636363636,7438.297872340426,55,94,1181.8116284840276,804.8645049652572,0.01,1.9659281382378935,1.0,0.0
24,24000000,5603.389830508475,6877.227722772277,59,101,1173.4191604977962,805.437216442082,0.01,1.8610089944714967,1.0,0.0
25,25000000,11568.75,7564.948453608247,32,97,1178.0188233585773,805.6741993604969,0.01,3.860794502179014,1.0,0.0
26,26000000,9219.047619047618,8177.777777777777,42,90,1176.6749433938364,807.50774586892,0.01,3.073096754625417,1.0,0.0
27,27000000,10590.0,8455.555555555555,40,90,1181.834122121364,806.3248185322946,0.01,3.5326852162252766,1.0,0.0
28,28000000,10887.80487804878,9065.934065934065,41,91,1180.8351172671546,796.928701075887,0.01,3.632519235014677,1.0,0.0
29,29000000,14829.411764705883,10737.349397590362,34,83,1208.3484531352246,800.547518559796,0.01,4.953875884916488,1.0,0.0
30,30000000,14588.57142857143,11223.529411764706,35,85,1232.0003025392907,794.2030880313283,0.01,4.873138259661894,1.0,0.0
31,31000000,14371.42857142857,12292.5,35,80,1247.1760151428066,792.7395071529469,0.01,4.800344811072266,1.0,0.0
32,32000000,15987.09677419355,12831.16883116883,31,77,1265.902640422804,786.202764683241,0.01,5.341970088566392,1.0,0.0
33,33000000,11040.0,12024.691358024691,45,81,1244.6011353171707,787.501850067041,0.01,3.6835400603419375,1.0,0.0
34,34000000,16318.75,11306.976744186046,32,86,1215.3796420718363,785.8035424642512,0.01,5.4531511900771035,1.0,0.0
35,35000000,10456.521739130434,12607.692307692309,46,78,1195.0147522201712,796.1375889533982,0.01,3.4879389001442958,1.0,0.0
36,36000000,15094.117647058823,13076.315789473685,34,76,1179.7591605969244,794.1168609297515,0.01,5.042614028514524,1.0,0.0
37,37000000,14497.142857142857,13115.78947368421,35,76,1175.6127320926191,799.4970604244941,0.01,4.8424883865715245,1.0,0.0
38,38000000,12010.25641025641,12896.103896103896,39,77,1173.6063965501778,799.3828586196958,0.01,4.008802014836209,1.0,0.0
39,39000000,16325.0,12800.0,32,78,1180.888723097552,800.1364896738612,0.01,5.455246396245391,1.0,0.0
40,40000000,15393.939393939394,11246.511627906977,33,86,1178.5443756777363,799.2464556446844,0.01,5.143124168266643,1.0,0.0
41,41000000,13750.0,12632.911392405063,36,79,1178.898693095225,799.4987081161371,0.01,4.592021454911163,1.0,0.0
42,42000000,16181.25,13336.0,32,75,1208.1645519595215,791.2338341825623,0.01,5.407056654374791,1.0,0.0
43,43000000,15294.117647058823,13197.368421052632,34,76,1231.5305399250713,789.7819185874177,0.01,5.109660625899706,1.0,0.0
44,44000000,13194.736842105263,12771.794871794871,38,78,1225.7582935568437,782.8216339008675,0.01,4.405878927960195,1.0,0.0
45,45000000,15968.75,13293.333333333334,32,75,1201.4832154688381,792.0373467294398,0.01,5.335819644653034,1.0,0.0
46,46000000,14917.64705882353,12916.883116883117,34,77,1191.0469535869627,801.2365378584436,0.01,4.983455266115833,1.0,0.0
47,47000000,16090.625,13734.246575342466,32,73,1183.5500998469183,805.6408039972786,0.01,5.376676164934629,1.0,0.0
48,48000000,16393.548387096773,13089.61038961039,31,77,1171.5019065929362,801.4248080029774,0.01,5.478226076800795,1.0,0.0
49,49000000,15143.75,12365.0,32,80,1183.685466932873,800.1660248263873,0.01,5.059252430439155,1.0,0.0
50,50000000,15856.25,13278.947368421053,32,76,1163.745537572552,795.1092067347076,0.01,5.2981059336238685,1.0,0.0
51,51000000,16275.0,13716.216216216217,32,74,1181.5865642912484,798.7620674055174,0.01,5.4384847468990944,1.0,0.0
52,52000000,16587.09677419355,13454.666666666666,31,75,1184.8080660702808,791.5931430042972,0.01,5.543109880721941,1.0,0.0
53,53000000,14862.857142857143,13352.0,35,75,1224.58173967661,788.4895028807603,0.01,4.9650878789330015,1.0,0.0
54,54000000,16374.193548387097,13830.13698630137,31,73,1237.2937839000442,781.9638696427565,0.01,5.471737696408681,1.0,0.0
55,55000000,16361.290322580646,12858.97435897436,31,78,1244.0510689681282,781.6249003979326,0.01,5.467412109480605,1.0,0.0
56,56000000,16245.161290322581,12963.636363636364,31,77,1210.412076987317,785.7969530764028,0.01,5.428481827127919,1.0,0.0
57,57000000,16306.25,13756.164383561643,32,73,1193.0131607939256,795.0115574094815,0.01,5.448960777740529,1.0,0.0
58,58000000,15906.25,13389.333333333334,32,75,1181.8632225568524,794.382563223108,0.01,5.314867582970164,1.0,0.0
59,59000000,14440.0,12838.461538461539,35,78,1182.6060125846002,798.2731579866994,0.01,4.823332215890043,1.0,0.0
60,60000000,15176.470588235294,13904.109589041096,34,73,1184.7268264023394,795.790493760284,0.01,5.070221450967246,1.0,0.0
61,61000000,16335.483870967742,13524.324324324325,31,74,1184.218731681679,796.544481792689,0.01,5.458760935624452,1.0,0.0
62,62000000,13767.567567567568,13215.78947368421,37,76,1184.145062683939,794.7510760312028,0.01,4.597910683059862,1.0,0.0
63,63000000,15278.787878787878,13578.378378378378,33,74,1198.267580275893,794.1478474638152,0.01,5.104521581893355,1.0,0.0
64,64000000,2648.4848484848485,13002.631578947368,132,76,1218.1140756025259,789.3438251567914,0.01,0.8704273712654538,0.8704273712654538,0.12957262873454622
65,65000000,13464.864864864865,13731.506849315068,37,73,1214.349269674415,790.2497176098038,0.01,4.496434751882288,1.0,0.0
66,66000000,16031.25,14102.777777777777,32,72,1192.8207651073228,790.8000926800929,0.01,5.356771706335904,1.0,0.0
67,67000000,12580.0,13670.27027027027,40,74,1167.5040184652014,793.9098870421877,0.01,4.199798860207845,1.0,0.0
68,68000000,16400.0,12887.179487179486,31,78,1185.506027555007,799.1797527252124,0.01,5.480388870264834,1.0,0.0
69,69000000,16368.75,13378.947368421053,32,76,1159.0335126181358,793.9445111410444,0.01,5.469912839423399,1.0,0.0
70,70000000,12931.578947368422,12987.012987012988,38,77,1176.1552869723826,798.7787395462243,0.01,4.317659720874429,1.0,0.0
71,71000000,16425.8064516129,13756.756756756757,31,74,1178.8906468767757,802.8878809977266,0.01,5.489040044120986,1.0,0.0
