iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,1871.2105789487523,nan,1.0,-1.4969555035128805,-1.4969555035128805,2.4969555035128805
1,1000000,1225.6521739130435,2295.15625,92,192,1420.0138905604706,812.7369767475061,0.8020002475,-0.34880358415639956,-0.34880358415639956,1.3488035841563994
2,2000000,56.170212765957444,3236.9398907103823,94,183,1415.2931190018726,680.4426628204196,0.5545002475,-1.4443370372215856,-1.4443370372215856,2.444337037221586
3,3000000,1775.4545454545455,2916.85393258427,22,178,1492.308715458773,678.8753826975951,0.3070002475,0.16623376623376626,0.16623376623376626,0.8337662337662337
4,4000000,1812.6744186046512,2147.790055248619,86,181,1417.8523151612912,678.1440548965643,0.05950024749999997,0.2011001579434672,0.2011001579434672,0.7988998420565327
5,5000000,1518.9772727272727,1409.1907514450868,88,173,1403.312011368411,673.3771835581218,0.01,-0.07402597402597401,-0.07402597402597401,1.074025974025974
6,6000000,1277.0114942528735,1611.508379888268,87,179,1344.0326382815047,665.048951747032,0.01,-0.3006918086624136,-0.3006918086624136,1.3006918086624135
7,7000000,2630.1,2053.5,100,180,1382.2731146191225,666.9583193868059,0.01,0.9668384074941451,0.9668384074941451,0.03316159250585493
8,8000000,2504.285714285714,2243.3513513513512,91,185,1385.8352520906935,668.7873702761408,0.01,0.8489795918367347,0.8489795918367347,0.15102040816326534
9,9000000,3663.823529411765,2375.0,102,172,1410.1837003978053,669.5023166609031,0.01,1.9351976856316297,1.0,0.0
10,10000000,2058.3783783783783,2255.6666666666665,74,180,1430.3123349420912,673.7340342954791,0.01,0.431267801759605,0.431267801759605,0.568732198240395
11,11000000,2125.4761904761904,2273.7016574585637,84,181,1415.4956082038495,676.2451983474789,0.01,0.4941228950596631,0.4941228950596631,0.5058771049403369
12,12000000,3238.877551020408,2619.550561797753,98,178,1409.256549867264,670.4961062538991,0.01,1.5371218276537781,1.0,0.0
13,13000000,3131.2631578947367,2759.090909090909,95,176,1416.6470175506547,672.911682200467,0.01,1.4363120917046714,1.0,0.0
14,14000000,2589.775280898876,2807.5706214689267,89,177,1410.586391294114,674.2496721233749,0.01,0.9290634949872376,0.9290634949872376,0.07093650501276239
15,15000000,4003.764705882353,2996.5,85,180,1411.8029352548194,677.8547200494572,0.01,2.2536437525830006,1.0,0.0
16,16000000,4175.95744680851,3623.932584269663,94,178,1414.9348105791573,674.1313328806401,0.01,2.414948427923663,1.0,0.0
17,17000000,3838.0,4631.263736263736,95,182,1419.6214437440367,675.5261040651602,0.01,2.098360655737705,1.0,0.0
18,18000000,2261.9540229885056,5375.082872928177,87,181,1420.831591707515,677.7921918250248,0.01,0.6219709817222535,0.6219709817222535,0.3780290182777465
19,19000000,7235.454545454545,5963.118279569892,88,186,1425.8478132855364,676.786815295649,0.01,5.2809878645944215,1.0,0.0
20,20000000,7060.315789473684,6697.945945945946,95,185,1422.487388510253,676.8747001070175,0.01,5.116923456181437,1.0,0.0
21,21000000,6661.011235955056,7071.720430107527,89,186,1416.336594727313,675.8511676693433,0.01,4.742867668341972,1.0,0.0
22,22000000,6275.888888888889,7154.065934065934,90,182,1418.059944970107,674.7029899338145,0.01,4.382097319802238,1.0,0.0
23,23000000,7456.470588235294,7598.342541436464,102,181,1427.160127744154,677.197195155448,0.01,5.488028654084585,1.0,0.0
24,24000000,8125.806451612903,7409.623655913979,93,186,1421.3625937046884,678.8726421396069,0.01,6.115041172471104,1.0,0.0
25,25000000,5648.942307692308,7551.711229946524,104,187,1419.6725986642568,678.7961621675454,0.01,3.7947937308593045,1.0,0.0
