iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.91324200913242,nan,219,0,1414.6874874404373,nan,1.0,-0.01145960716755499,-0.01145960716755499,1.011459607167555
1,1000000,0.0,550.188679245283,184,265,1139.0240368924642,501.09318009578857,0.8020002475,-0.011500235788199913,-0.011500235788199913,1.0115002357882
2,2000000,4205.494505494506,1292.9460580912862,91,241,1166.0144781391648,424.7424535863369,0.5545002475,0.17559523198420243,0.17559523198420243,0.8244047680157975
3,3000000,1864.2276422764228,2543.9024390243903,123,205,1162.0982952991824,427.18602118905244,0.3070002475,0.07143615666463901,0.07143615666463901,0.928563843335361
4,4000000,2241.592920353982,5442.073170731707,113,164,1196.2327575560582,429.9502867509537,0.05950024749999997,0.0882245113113375,0.0882245113113375,0.9117754886886625
5,5000000,5945.679012345679,8535.0,81,140,1416.1834591915654,563.5385395414809,0.01,0.25301315130242635,0.25301315130242635,0.7469868486975737
6,6000000,4116.666666666667,12079.661016949152,90,118,1435.3565729739353,577.4216408755858,0.01,0.1716434289239457,0.1716434289239457,0.8283565710760543
7,7000000,10954.901960784313,13003.703703703704,51,108,1447.627447172794,573.9773218313935,0.01,0.47586516299568077,0.47586516299568077,0.5241348370043193
8,8000000,22580.0,15426.881720430107,35,93,1473.7481515919567,570.9640776732102,0.01,0.9930464725195527,0.9930464725195527,0.006953527480447308
9,9000000,17013.88888888889,15668.539325842698,36,89,1491.8965384693888,570.5922771337779,0.01,0.7454194311226584,0.7454194311226584,0.2545805688773416
10,10000000,28673.529411764706,18395.180722891568,34,83,1483.1569311314704,569.9563659311027,0.01,1.2641374783904433,1.0,0.0
11,11000000,19202.941176470587,18326.25,34,80,1466.5827797361883,571.6684690331763,0.01,0.8428067327082983,0.8428067327082983,0.1571932672917017
12,12000000,9762.745098039215,17790.243902439026,51,82,1447.0150455201351,572.5352769161537,0.01,0.42282808362202773,0.42282808362202773,0.5771719163779723
13,13000000,26505.714285714286,17281.81818181818,35,77,1438.3982624203627,574.4299606202976,0.01,1.1676949828592784,1.0,0.0
14,14000000,21096.875,20073.333333333332,32,75,1426.6462345106322,576.3230985885372,0.01,0.9270647038411233,0.9270647038411233,0.07293529615887673
15,15000000,24045.16129032258,19319.736842105263,31,76,1409.3090921971038,583.4080163268418,0.01,1.058229065581266,1.0,0.0
16,16000000,21413.157894736843,19614.473684210527,38,76,1395.0377261495123,577.968401799779,0.01,0.9411356046738045,0.9411356046738045,0.05886439532619547
17,17000000,13309.756097560976,19152.777777777777,41,72,1377.8149036594848,579.7419366811446,0.01,0.5806287135556405,0.5806287135556405,0.4193712864443595
18,18000000,24132.352941176472,21347.14285714286,34,70,1362.8735790202509,588.5658554732325,0.01,1.0621080773552782,1.0,0.0
19,19000000,15566.666666666666,21212.85714285714,36,70,1358.3807136660937,590.3206167899664,0.01,0.6810349174148123,0.6810349174148123,0.31896508258518774
