iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,369,0,1691.4510739675081,nan,1.0,0.0,0.0,1.0
1,1000000,0.0,0.22779043280182232,20,439,1241.894263676542,854.9844331710143,0.8020002475,0.0,0.0,1.0
2,2000000,0.0,0.0,4,149,1215.3557077038654,662.7114259142305,0.5545002475,0.0,0.0,1.0
3,3000000,0.0,3.5714285714285716,4,56,1217.1857613417576,663.5575219845542,0.3070002475,0.0,0.0,1.0
4,4000000,0.0,55.55555555555556,4,27,1206.6540858810238,649.2550379556258,0.05950024749999997,0.0,0.0,1.0
5,5000000,0.0,222.22222222222223,4,9,1181.699030252266,653.7874491092904,0.01,0.0,0.0,1.0
6,6000000,0.0,44.44444444444444,4,9,1182.6547375460323,653.4352817445789,0.01,0.0,0.0,1.0
7,7000000,0.0,11.11111111111111,4,9,1197.03405729753,651.1962954310029,0.01,0.0,0.0,1.0
8,8000000,0.0,0.0,4,9,1204.7908734264277,648.8027770066797,0.01,0.0,0.0,1.0
9,9000000,0.0,0.0,4,9,1243.6814639599559,639.5355309851963,0.01,0.0,0.0,1.0
10,10000000,0.0,0.0,4,9,1222.297212397984,638.1689638890126,0.01,0.0,0.0,1.0
11,11000000,0.0,0.0,4,9,1236.5926058073715,650.3615233500794,0.01,0.0,0.0,1.0
12,12000000,0.0,0.0,4,9,1243.7686450215162,658.9326466906267,0.01,0.0,0.0,1.0
13,13000000,0.0,0.0,4,9,1245.6556741312568,652.2192070664995,0.01,0.0,0.0,1.0
14,14000000,0.0,44.44444444444444,4,9,1242.9179546569674,651.4146934039944,0.01,0.0,0.0,1.0
15,15000000,0.0,0.0,4,9,1239.3620167948163,655.0531120741051,0.01,0.0,0.0,1.0
16,16000000,0.0,7.6923076923076925,4,13,1246.5472489792994,658.6259720954749,0.01,0.0,0.0,1.0
17,17000000,0.0,52.94117647058823,4,17,1243.0852747811687,655.7420567155069,0.01,0.0,0.0,1.0
18,18000000,0.0,0.0,4,25,1222.6863023725234,648.6629616716913,0.01,0.0,0.0,1.0
19,19000000,0.0,31.03448275862069,4,29,1255.4416999632708,653.3975564144598,0.01,0.0,0.0,1.0
20,20000000,0.0,32.25806451612903,4,31,1279.0899053118528,666.1736536317941,0.01,0.0,0.0,1.0
21,21000000,0.0,23.25581395348837,4,43,1237.1793262238348,652.5021219547779,0.01,0.0,0.0,1.0
22,22000000,0.0,30.0,4,30,1250.6195285071076,648.6570403397164,0.01,0.0,0.0,1.0
