iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,91.08225108225108,nan,231,0,1208.639164964418,nan,1.0,-0.032541840211572165,-0.032541840211572165,1.0325418402115722
1,1000000,573.7037037037037,273.4004024144869,189,497,1112.1319890869597,694.1174565326386,0.8020002475,0.040095074530605734,0.040095074530605734,0.9599049254693943
2,2000000,226.33187772925766,399.3304535637149,229,463,1102.9903516814857,627.2629947194744,0.5545002475,-0.01218610271522092,-0.01218610271522092,1.012186102715221
3,3000000,703.9106145251396,538.8409090909091,179,440,1105.4197218954569,629.4835471649304,0.3070002475,0.059691858363580756,0.059691858363580756,0.9403081416364193
4,4000000,796.0674157303371,840.32,178,375,1105.0283167149337,631.6412139418793,0.05950024749999997,0.07356191257624385,0.07356191257624385,0.9264380874237561
5,5000000,1487.1523178807947,1009.1117478510029,151,349,1093.1516008528172,626.2624280660286,0.01,0.17757360713405396,0.17757360713405396,0.8224263928659461
6,6000000,1252.2972972972973,1255.8258258258259,148,333,1087.2480372828259,613.6562370615749,0.01,0.14222676539248638,0.14222676539248638,0.8577732346075136
7,7000000,958.3663366336634,1175.0842696629213,202,356,1074.2659837331905,607.971402876146,0.01,0.0979887025922465,0.0979887025922465,0.9020112974077535
8,8000000,1701.3658536585365,1282.3546511627908,205,344,1058.8329982769803,596.7893329575738,0.01,0.2098138033590501,0.2098138033590501,0.7901861966409499
9,9000000,1882.4193548387098,1486.3174603174602,124,315,1054.6821559286414,593.0379987497192,0.01,0.2370632504310025,0.2370632504310025,0.7629367495689975
10,10000000,1692.2641509433963,1576.28664495114,159,307,1043.0887657970413,587.9366856643625,0.01,0.20844395210080766,0.20844395210080766,0.7915560478991923
11,11000000,2096.171875,1709.5501730103806,128,289,1038.4495837011634,579.5564799570391,0.01,0.26923406152642115,0.26923406152642115,0.7307659384735788
12,12000000,2132.5,1668.9830508474577,136,295,1038.9494994995232,581.7898755342516,0.01,0.2747016239483467,0.2747016239483467,0.7252983760516534
13,13000000,2089.236641221374,1755.0169491525423,131,295,1057.551826655697,585.9256884208617,0.01,0.2681902745543359,0.2681902745543359,0.7318097254456641
14,14000000,1665.2459016393443,1949.553264604811,122,291,1075.765101014947,597.8036939888359,0.01,0.2043775719999615,0.2043775719999615,0.7956224280000385
15,15000000,2708.296296296296,1935.7731958762886,135,291,1066.057696391683,599.3650614185399,0.01,0.36136181332816036,0.36136181332816036,0.6386381866718396
16,16000000,1671.8012422360248,1877.8819444444443,161,288,1112.3525699251995,603.0076788083353,0.01,0.20536418316993887,0.20536418316993887,0.7946358168300611
17,17000000,1873.7012987012988,1867.0383275261324,154,287,1121.0221786732368,609.611478454565,0.01,0.2357511398794905,0.2357511398794905,0.7642488601205095
18,18000000,2112.6415094339623,2010.8088235294117,159,272,1110.9560549917824,609.9412432761641,0.01,0.27171282293604476,0.27171282293604476,0.7282871770639552
19,19000000,1867.225806451613,2058.021582733813,155,278,1100.7431776242265,600.6752566623718,0.01,0.23477654628051306,0.23477654628051306,0.765223453719487
20,20000000,2183.1746031746034,2011.0830324909748,126,277,1086.6436500362852,594.5446071660957,0.01,0.28232840226579226,0.28232840226579226,0.7176715977342077
21,21000000,1993.4285714285713,2128.872180451128,140,266,1089.133500610323,588.6766942089631,0.01,0.25377068636704714,0.25377068636704714,0.7462293136329529
22,22000000,1780.3053435114505,2098.702290076336,131,262,1108.5101684436534,585.2844358449971,0.01,0.22169458686565183,0.22169458686565183,0.7783054131343482
23,23000000,1633.489932885906,2194.241245136187,149,257,1114.63047666457,587.1416516208384,0.01,0.19959814169828363,0.19959814169828363,0.8004018583017164
24,24000000,2297.1074380165287,2221.0236220472443,121,254,1123.0132455615285,597.2199000891875,0.01,0.2994758572033967,0.2994758572033967,0.7005241427966034
25,25000000,2313.623188405797,2213.176470588235,138,255,1138.5423288686766,604.9545222329929,0.01,0.3019615592922952,0.3019615592922952,0.6980384407077048
26,26000000,2619.2105263157896,2355.5102040816328,114,245,1142.3328397007645,609.5084276093241,0.01,0.34795396449826005,0.34795396449826005,0.6520460355017399
27,27000000,2091.153846153846,2345.432098765432,130,243,1145.1630859727422,611.0195590257647,0.01,0.2684788233755017,0.2684788233755017,0.7315211766244982
28,28000000,2351.153846153846,2333.7804878048782,104,246,1144.0257663410898,618.943116722857,0.01,0.3076101088382292,0.3076101088382292,0.6923898911617707
29,29000000,3126.115702479339,2418.9754098360654,121,244,1146.3215283732798,621.065721658138,0.01,0.4242456996943754,0.4242456996943754,0.5757543003056246
30,30000000,2411.271186440678,2431.16,118,250,1164.0942943759817,622.0947448552025,0.01,0.31665806577678274,0.31665806577678274,0.6833419342232172
31,31000000,1920.3973509933776,2387.190082644628,151,242,1150.2877482187976,625.8938481363195,0.01,0.24277912661881276,0.24277912661881276,0.7572208733811873
32,32000000,2679.5412844036696,2449.3032786885246,109,244,1143.6672763312897,627.934765982431,0.01,0.3570340418710277,0.3570340418710277,0.6429659581289723
33,33000000,2468.256880733945,2555.7377049180327,109,244,1153.6019880576243,626.1665126013261,0.01,0.32523469451017334,0.32523469451017334,0.6747653054898266
34,34000000,3143.6363636363635,2574.0928270042195,121,237,1158.514720217972,624.8373320890092,0.01,0.42688264582218793,0.42688264582218793,0.5731173541778121
35,35000000,2852.3931623931626,2593.27731092437,117,238,1151.5168754993922,627.100335563912,0.01,0.3830491041032407,0.3830491041032407,0.6169508958967593
36,36000000,2378.062015503876,2613.4166666666665,129,240,1146.3706339741877,628.7750399020986,0.01,0.31165992136175,0.31165992136175,0.68834007863825
37,37000000,2489.6747967479673,2427.2244897959185,123,245,1145.8915544295687,623.6250664859383,0.01,0.3284581967623327,0.3284581967623327,0.6715418032376673
38,38000000,2148.75,2441.190476190476,120,252,1131.4628194901945,624.1245316549247,0.01,0.27714732928976715,0.27714732928976715,0.7228526707102328
39,39000000,2911.6101694915255,2688.781512605042,118,238,1144.631928650895,620.4682954353032,0.01,0.3919615564456038,0.3919615564456038,0.6080384435543962
40,40000000,2869.8347107438017,2620.7024793388427,121,242,1138.5821406627551,623.6703441781499,0.01,0.38567414336255157,0.38567414336255157,0.6143258566374484
41,41000000,2562.3333333333335,2634.590163934426,120,244,1133.8367539538601,622.9810851692279,0.01,0.3393936657485865,0.3393936657485865,0.6606063342514135
42,42000000,2173.9473684210525,2683.2203389830506,114,236,1140.9836228658169,626.7793072201844,0.01,0.28093965781512764,0.28093965781512764,0.7190603421848724
43,43000000,2821.818181818182,2713.4322033898306,121,236,1154.6913274533263,624.4463305162886,0.01,0.3784474183613295,0.3784474183613295,0.6215525816386704
44,44000000,3536.2393162393164,2723.3898305084745,117,236,1145.3991311571392,629.7865049742903,0.01,0.48597133125224873,0.48597133125224873,0.5140286687477513
45,45000000,3486.9747899159665,2722.4267782426778,119,239,1146.0125892389344,625.7068797851971,0.01,0.47855677647246003,0.47855677647246003,0.5214432235275399
46,46000000,2172.844827586207,2704.327731092437,116,238,1150.2630912388865,627.9120256789489,0.01,0.2807737199684251,0.2807737199684251,0.719226280031575
47,47000000,2971.7355371900826,2714.7083333333335,121,240,1153.157471388555,626.3485175710416,0.01,0.4010107215493103,0.4010107215493103,0.5989892784506897
48,48000000,2994.7272727272725,2722.456896551724,110,232,1154.383656884702,626.4727817754101,0.01,0.40447109142080767,0.40447109142080767,0.5955289085791924
49,49000000,3011.900826446281,2808.4615384615386,121,234,1148.4497613915858,626.9408168073955,0.01,0.4070557961630692,0.4070557961630692,0.5929442038369308
