iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,1.6,nan,300,0,1469.0212772698524,nan,1.0,-0.1172313769055113,-0.1172313769055113,1.1172313769055113
1,1000000,229.15384615384616,748.029197080292,260,274,1476.0766873300754,752.0254581854589,0.8020002475,-0.08212154444333669,-0.08212154444333669,1.0821215444433367
2,2000000,730.0,986.5902578796562,206,349,1477.944333616099,666.8978053078364,0.5545002475,-0.004844781830525207,-0.004844781830525207,1.0048447818305253
3,3000000,1304.1666666666667,1347.3684210526317,12,247,1486.973661614273,667.2971578837055,0.3070002475,0.08374477977329302,0.08374477977329302,0.916255220226707
4,4000000,4890.625,3725.2985074626868,48,134,1481.7553255441405,663.86842557188,0.05950024749999997,0.6371080972659384,0.6371080972659384,0.3628919027340616
5,5000000,6595.0,6050.37037037037,10,54,1497.5635149896038,671.8120020146438,0.01,0.9000802320557921,0.9000802320557921,0.09991976794420787
6,6000000,5155.0,7273.333333333333,4,15,1493.5604615715638,671.1772960674408,0.01,0.6778991544775659,0.6778991544775659,0.3221008455224341
7,7000000,6390.0,5740.0,4,9,1491.210706798616,672.5589469401694,0.01,0.8684502869838918,0.8684502869838918,0.13154971301610818
8,8000000,5367.5,12716.153846153846,4,13,1486.0676827556417,668.8854570449266,0.01,0.7106862926618527,0.7106862926618527,0.2893137073381473
9,9000000,16285.0,16197.037037037036,12,27,1475.231412254591,665.0612309749159,0.01,2.3951737332592726,1.0,0.0
10,10000000,4991.0526315789475,9750.90909090909,19,33,1486.542694861461,664.2696680702903,0.01,0.6526033190734659,0.6526033190734659,0.3473966809265341
11,11000000,11446.666666666666,11369.70588235294,6,34,1475.5981366715048,667.8839437499252,0.01,1.6486555987574316,1.0,0.0
12,12000000,11051.0,12206.190476190477,20,42,1468.5163965298957,666.1422204500233,0.01,1.5876072332284143,1.0,0.0
13,13000000,14564.0,13025.454545454546,5,33,1477.5597078352575,664.9775273981179,0.01,2.1296364870702953,1.0,0.0
14,14000000,10437.64705882353,13941.212121212122,17,33,1463.072099981113,668.4004237364732,0.01,1.4929715266962182,1.0,0.0
15,15000000,6152.5,13059.09090909091,4,22,1480.0540403276582,665.5791410966955,0.01,0.831805838424983,0.831805838424983,0.168194161575017
