iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-100.0,nan,4,0,1287.2059837879049,nan,1.0,0.019333343293839927,0.019333343293839927,0.98066665670616
1,1000000,0.0,-232.3013698630137,4,146,1280.2563683743745,914.0437017167636,0.8020002475,0.034274103180887784,0.034274103180887784,0.9657258968191123
2,2000000,0.0,-116.87586206896552,4,145,1285.9003588678468,849.8236347838542,0.5545002475,0.034274103180887784,0.034274103180887784,0.9657258968191123
3,3000000,0.0,-61.62237762237762,4,143,1286.2285471575067,857.0137844618966,0.3070002475,0.034274103180887784,0.034274103180887784,0.9657258968191123
4,4000000,0.0,-97.14942528735632,4,87,1285.4394780622602,847.8690036135456,0.05950024749999997,0.034274103180887784,0.034274103180887784,0.9657258968191123
5,5000000,0.0,-35.293103448275865,5,58,1240.6830250548958,837.615607270691,0.01,0.034274103180887784,0.034274103180887784,0.9657258968191123
6,6000000,-6.666666666666667,-18.482142857142858,6,56,1226.061200384119,849.4458869653483,0.01,0.03327805252175126,0.03327805252175126,0.9667219474782487
7,7000000,-8.857142857142858,-14.39622641509434,7,53,1223.474289417823,819.9332648627772,0.01,0.032950778733749256,0.032950778733749256,0.9670492212662507
8,8000000,-25.0,-22.328,4,125,1223.4844891537407,824.0303982438404,0.01,0.030538913209125818,0.030538913209125818,0.9694610867908742
9,9000000,0.0,-14.487179487179487,4,78,1218.8182615602475,826.1713063160186,0.01,0.034274103180887784,0.034274103180887784,0.9657258968191123
10,10000000,-4.066666666666666,-28.06896551724138,15,145,1199.8584905591513,836.1408542023003,0.01,0.0336665122788145,0.0336665122788145,0.9663334877211855
11,11000000,0.0,-21.050505050505052,4,99,1196.255464011569,830.4212686203608,0.01,0.034274103180887784,0.034274103180887784,0.9657258968191123
12,12000000,-16.624338624338623,-38.36363636363637,378,66,1149.8092286007566,828.7796999381479,0.01,0.03179030066421559,0.03179030066421559,0.9682096993357844
13,13000000,-3.0,-30.36521739130435,4,115,1150.8513094309117,804.4411778032319,0.01,0.03382588038427635,0.03382588038427635,0.9661741196157236
14,14000000,-4.0,-145.7,4,20,1166.4025239760442,781.3412070450693,0.01,0.03367647278540587,0.03367647278540587,0.9663235272145941
15,15000000,0.0,-96.0,4,24,1172.7006191169896,775.7587682774908,0.01,0.034274103180887784,0.034274103180887784,0.9657258968191123
16,16000000,-4.783783783783784,-28.619834710743802,74,121,1098.8439518936887,759.5829417629975,0.01,0.033559369532237114,0.033559369532237114,0.9664406304677629
17,17000000,-5.25,-17.99484536082474,12,194,1088.42489111402,745.7923913065549,0.01,0.03348971328681777,0.03348971328681777,0.9665102867131823
18,18000000,0.0,-23.34453781512605,4,119,1181.5303841217221,779.2814108722807,0.01,0.034274103180887784,0.034274103180887784,0.9657258968191123
19,19000000,0.0,-24.457943925233646,10,107,1214.8174499337526,833.9082429643609,0.01,0.034274103180887784,0.034274103180887784,0.9657258968191123
20,20000000,0.0,-36.8375,4,80,1203.0971178286297,844.9150580910316,0.01,0.034274103180887784,0.034274103180887784,0.9657258968191123
21,21000000,-13.758620689655173,-23.492537313432837,29,134,1204.6258720151343,822.985322064565,0.01,0.032218460699876716,0.032218460699876716,0.9677815393001232
22,22000000,-7.733644859813084,-23.944444444444443,214,180,1182.5400300766817,806.1106692843853,0.01,0.03311863787186609,0.03311863787186609,0.9668813621281339
23,23000000,-11.142857142857142,-38.8,7,85,1176.998403290768,799.8236867864701,0.01,0.032609275650616734,0.032609275650616734,0.9673907243493832
24,24000000,0.0,-108.58333333333333,4,36,1184.609908391819,795.1314272890962,0.01,0.034274103180887784,0.034274103180887784,0.9657258968191123
25,25000000,-83.33333333333333,-53.627906976744185,6,43,1153.1425595086012,786.2856632974203,0.01,0.021823469941681235,0.021823469941681235,0.9781765300583187
26,26000000,-20.75,-74.06896551724138,20,29,1152.3283900232639,791.8993099705268,0.01,0.031173895504325352,0.031173895504325352,0.9688261044956746
27,27000000,0.0,-44.54761904761905,4,42,1186.7724194877994,798.7730730434474,0.01,0.034274103180887784,0.034274103180887784,0.9657258968191123
28,28000000,-72.0,-27.58974358974359,4,39,1137.348630895165,797.377925530053,0.01,0.023516756062213328,0.023516756062213328,0.9764832439377866
29,29000000,-17.40740740740741,-28.431818181818183,27,176,1136.1858548942528,787.0475891795967,0.01,0.03167330423758686,0.03167330423758686,0.9683266957624131
30,30000000,-5.25,-31.551181102362204,44,127,1137.6493726604901,767.6056403301475,0.01,0.03348971328681777,0.03348971328681777,0.9665102867131823
31,31000000,-5.533333333333333,-19.763975155279503,15,161,1163.199795101786,771.8248250325781,0.01,0.033447381133804466,0.033447381133804466,0.9665526188661955
32,32000000,-9.166666666666666,-13.169811320754716,18,159,1231.4042028687797,809.570765901712,0.01,0.032904533524575064,0.032904533524575064,0.967095466475425
33,33000000,-36.2,-14.254716981132075,5,106,1221.8677646278456,841.7128554480263,0.01,0.028865548101776457,0.028865548101776457,0.9711344518982236
34,34000000,-13.428571428571429,-40.32692307692308,7,52,1196.7532200613086,846.2145742052963,0.01,0.03226777256748422,0.03226777256748422,0.9677322274325157
35,35000000,-21.285714285714285,-31.02857142857143,7,35,1176.1360270051744,833.1694972705308,0.01,0.03109385571921617,0.03109385571921617,0.9689061442807838
36,36000000,0.0,-31.03846153846154,111,26,1160.970823238658,799.2136802380502,0.01,0.034274103180887784,0.034274103180887784,0.9657258968191123
37,37000000,-9.5,-98.29411764705883,4,34,1117.1472663900895,786.1580787232901,0.01,0.03285473099161824,0.03285473099161824,0.9671452690083817
38,38000000,-15.0,-256.9130434782609,4,23,1138.30753624317,773.5179248026511,0.01,0.032032989197830604,0.032032989197830604,0.9679670108021694
39,39000000,-11.37037037037037,-65.35897435897436,81,39,1103.7593137216072,763.9147536353233,0.01,0.03257528344558271,0.03257528344558271,0.9674247165544173
40,40000000,-19.6,-41.845588235294116,175,136,1141.9879284452732,772.2901977634834,0.01,0.0313457142430264,0.0313457142430264,0.9686542857569735
41,41000000,-71.0,-48.311688311688314,4,77,1148.6826593141227,787.2015245603162,0.01,0.023666163661083806,0.023666163661083806,0.9763338363389162
42,42000000,-17.16,-33.41304347826087,25,46,1114.5363445911134,786.8558403750748,0.01,0.03171026878427037,0.03171026878427037,0.9682897312157296
43,43000000,-1.86096256684492,-47.5609756097561,374,41,1114.8569929126722,771.3892685327552,0.01,0.03399606123218764,0.03399606123218764,0.9660039387678123
44,44000000,-39.666666666666664,-64.79411764705883,15,68,1121.3547793177459,793.1354239543444,0.01,0.028347601759025468,0.028347601759025468,0.9716523982409745
45,45000000,-134.2,-78.58730158730158,10,126,1119.229897833987,810.6297921052552,0.01,0.014223603412469562,0.014223603412469562,0.9857763965875305
46,46000000,-4.695652173913044,-114.28985507246377,92,69,1159.539023185465,835.5798768397246,0.01,0.03357253706445249,0.03357253706445249,0.9664274629355475
47,47000000,-61.0,-135.41176470588235,4,17,1166.2269364726044,826.1174080491407,0.01,0.025160239649788592,0.025160239649788592,0.9748397603502114
