iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-21.0,nan,164,0,1324.4747463202275,nan,1.0,-0.00849858356940512,-0.00849858356940512,1.0084985835694051
1,1000000,-20.98780487804878,-20.314814814814813,164,270,1321.012508542432,802.9552920599674,0.8020002475,-0.008153112692600047,-0.008153112692600047,1.0081531126926
2,2000000,-18.93243243243243,-19.649789029535864,74,237,1274.6618023011595,700.8569767893497,0.5545002475,0.05007273562514356,0.05007273562514356,0.9499272643748564
3,3000000,-15.383333333333333,-17.163636363636364,60,165,1319.5844100526308,704.976037709975,0.3070002475,0.1506137865911237,0.1506137865911237,0.8493862134088763
4,4000000,-13.6,-14.508064516129032,60,124,1314.787803702106,706.6818354148716,0.05950024749999997,0.20113314447592068,0.20113314447592068,0.7988668555240793
5,5000000,-11.744186046511627,-13.035714285714286,43,112,1334.529571987398,702.8470190202826,0.01,0.2537057777192174,0.2537057777192174,0.7462942222807827
6,6000000,-10.142857142857142,-7.4743589743589745,35,78,1324.5130089979293,702.8795607583518,0.01,0.29906920275192234,0.29906920275192234,0.7009307972480776
7,7000000,8.941176470588236,-1.6,34,60,1322.7569330283093,702.2541519919163,0.01,0.8396933844359274,0.8396933844359274,0.16030661556407255
8,8000000,5.029411764705882,2.810344827586207,34,58,1310.8779956954872,709.8606217594174,0.01,0.7288785202466256,0.7288785202466256,0.2711214797533744
9,9000000,3.625,5.387096774193548,32,62,1321.0246034484044,708.5365568164531,0.01,0.6890934844192635,0.6890934844192635,0.31090651558073645
10,10000000,7.85,6.714285714285714,20,63,1305.937398787366,704.6086447619014,0.01,0.8087818696883853,0.8087818696883853,0.19121813031161472
11,11000000,9.052631578947368,7.893939393939394,38,66,1317.6587601483138,707.675118107446,0.01,0.8428507529446847,0.8428507529446847,0.1571492470553153
12,12000000,11.868421052631579,12.5,38,86,1312.6995373651325,703.5443886427929,0.01,0.9226181601312062,0.9226181601312062,0.07738183986879377
13,13000000,19.681159420289855,16.119266055045873,69,109,1311.9252328620526,698.0698069702742,0.01,1.1439421932093443,1.0,0.0
14,14000000,20.73972602739726,18.646153846153847,73,130,1305.1235858375726,699.4564402621306,0.01,1.1739299157902907,1.0,0.0
15,15000000,20.45205479452055,19.80141843971631,73,141,1309.6939701655765,699.3416577476462,0.01,1.1657805890799025,1.0,0.0
16,16000000,20.64864864864865,20.02836879432624,74,141,1295.7508614560522,705.7420981139238,0.01,1.1713498200750325,1.0,0.0
17,17000000,20.38888888888889,20.183098591549296,72,142,1307.5656886500763,703.0696077820525,0.01,1.1639911866540762,1.0,0.0
18,18000000,20.26027397260274,19.8943661971831,73,142,1284.8325711167408,704.7402774785336,0.01,1.16034770460631,1.0,0.0
19,19000000,20.493150684931507,20.104895104895103,73,143,1290.0947665454228,704.1839328864514,0.01,1.1669447786099578,1.0,0.0
20,20000000,20.33783783783784,20.18881118881119,74,143,1302.3397849411162,707.9641365281673,0.01,1.1625449812418653,1.0,0.0
21,21000000,20.93243243243243,20.27777777777778,74,144,1317.9271559542542,707.8303526143094,0.01,1.1793890207487943,1.0,0.0
22,22000000,20.85135135135135,20.293706293706293,74,143,1325.0582570287704,716.3525288630981,0.01,1.1770921062705766,1.0,0.0
23,23000000,20.958333333333332,20.319444444444443,72,144,1321.1087628809516,717.4786541676764,0.01,1.1801227573182247,1.0,0.0
24,24000000,20.973333333333333,20.375,75,144,1324.7132009630366,722.2722660310657,0.01,1.180547686496695,1.0,0.0
25,25000000,20.7027027027027,20.413793103448278,74,145,1317.3393653248565,720.088286627496,0.01,1.1728810963938443,1.0,0.0
26,26000000,20.973333333333333,20.243055555555557,75,144,1322.7935746402325,710.4000858635305,0.01,1.180547686496695,1.0,0.0
27,27000000,20.726027397260275,20.54794520547945,73,146,1318.7972892990467,714.2903325997719,0.01,1.1735418526136054,1.0,0.0
28,28000000,20.76,20.4375,75,144,1320.3376295617031,712.8871234781221,0.01,1.1745042492917848,1.0,0.0
29,29000000,20.946666666666665,20.317241379310346,75,145,1318.3354385597213,707.885551157355,0.01,1.1797922568460812,1.0,0.0
30,30000000,20.973684210526315,20.684563758389263,76,149,1327.4221976077802,708.671517097075,0.01,1.180557626360519,1.0,0.0
31,31000000,20.960526315789473,20.591836734693878,76,147,1336.6585564120476,716.2243870466442,0.01,1.1801848814671239,1.0,0.0
32,32000000,20.893333333333334,20.61904761904762,75,147,1308.288389289424,716.1717797841752,0.01,1.1782813975448538,1.0,0.0
33,33000000,20.986666666666668,20.625850340136054,75,147,1326.8853746767952,721.2231118160992,0.01,1.180925401322002,1.0,0.0
34,34000000,20.973684210526315,20.60810810810811,76,148,1322.5921898959173,720.7138588590111,0.01,1.180557626360519,1.0,0.0
35,35000000,20.973333333333333,20.551020408163264,75,147,1321.7108139006916,711.2373381777411,0.01,1.180547686496695,1.0,0.0
36,36000000,20.973684210526315,20.60544217687075,76,147,1320.5700684072685,714.0741121875033,0.01,1.180557626360519,1.0,0.0
37,37000000,20.72,20.62837837837838,75,148,1334.5458964484676,717.5993658136236,0.01,1.1733711048158642,1.0,0.0
38,38000000,20.973684210526315,20.503401360544217,76,147,1325.2282662767798,718.1196978674217,0.01,1.180557626360519,1.0,0.0
39,39000000,20.960526315789473,20.594594594594593,76,148,1321.4411931876264,720.0386102418391,0.01,1.1801848814671239,1.0,0.0
40,40000000,20.7027027027027,20.489795918367346,74,147,1334.4740104125312,728.9224548007445,0.01,1.1728810963938443,1.0,0.0
41,41000000,20.986842105263158,20.598639455782312,76,147,1322.3041690188757,721.1617623551897,0.01,1.1809303712539139,1.0,0.0
42,42000000,20.973684210526315,20.68243243243243,76,148,1332.3507655262363,724.5174265030028,0.01,1.180557626360519,1.0,0.0
43,43000000,20.986842105263158,20.684563758389263,76,149,1323.3461865716122,720.605545465788,0.01,1.1809303712539139,1.0,0.0
44,44000000,20.960526315789473,20.72972972972973,76,148,1327.0185006557851,727.9091786629347,0.01,1.1801848814671239,1.0,0.0
45,45000000,20.960526315789473,20.695945945945947,76,148,1316.9165479805088,720.5091154521044,0.01,1.1801848814671239,1.0,0.0
46,46000000,20.93421052631579,20.482993197278912,76,147,1320.7027232158869,723.5429033305992,0.01,1.179439391680334,1.0,0.0
47,47000000,20.986842105263158,20.5578231292517,76,147,1319.5830048447335,724.0062470079698,0.01,1.1809303712539139,1.0,0.0
48,48000000,20.973684210526315,20.438356164383563,76,146,1314.1366902267564,719.9436199335549,0.01,1.180557626360519,1.0,0.0
49,49000000,20.986842105263158,20.466216216216218,76,148,1322.1898497236114,725.2846925676317,0.01,1.1809303712539139,1.0,0.0
50,50000000,20.960526315789473,20.743243243243242,76,148,1304.0341963760538,719.939888716398,0.01,1.1801848814671239,1.0,0.0
51,51000000,20.986842105263158,20.70945945945946,76,148,1321.2783145212027,723.6871155790109,0.01,1.1809303712539139,1.0,0.0
52,52000000,20.94736842105263,20.7027027027027,76,148,1315.6808585002361,722.7516864479952,0.01,1.179812136573729,1.0,0.0
53,53000000,20.946666666666665,20.62162162162162,75,148,1322.3505188482993,713.6366693119478,0.01,1.1797922568460812,1.0,0.0
54,54000000,20.973684210526315,20.60544217687075,76,147,1328.4631185349672,721.2854257560649,0.01,1.180557626360519,1.0,0.0
55,55000000,20.933333333333334,20.541095890410958,75,146,1319.892186429493,719.8578528909595,0.01,1.1794145420207744,1.0,0.0
56,56000000,20.93421052631579,20.716216216216218,76,148,1326.9042244954148,722.3805083276247,0.01,1.179439391680334,1.0,0.0
57,57000000,20.960526315789473,20.65986394557823,76,147,1326.0107863436085,718.8561920021626,0.01,1.1801848814671239,1.0,0.0
58,58000000,20.986842105263158,20.66216216216216,76,148,1318.1165035080026,728.192129689281,0.01,1.1809303712539139,1.0,0.0
59,59000000,20.973684210526315,20.731543624161073,76,149,1324.3587688699458,720.821848767807,0.01,1.180557626360519,1.0,0.0
60,60000000,20.986842105263158,20.655405405405407,76,148,1323.7566394761461,721.4833923501113,0.01,1.1809303712539139,1.0,0.0
61,61000000,21.0,20.58503401360544,75,147,1323.6116801589344,722.3287814867199,0.01,1.1813031161473089,1.0,0.0
62,62000000,20.80263157894737,20.517006802721088,76,147,1317.5739395756152,724.2302771097254,0.01,1.1757119427463847,1.0,0.0
63,63000000,20.986842105263158,20.594594594594593,76,148,1334.4514644657847,721.2519648518074,0.01,1.1809303712539139,1.0,0.0
64,64000000,20.973684210526315,20.671140939597315,76,149,1329.5006114577554,721.9592183016557,0.01,1.180557626360519,1.0,0.0
65,65000000,20.960526315789473,20.68918918918919,76,148,1317.7806668569388,717.142510880862,0.01,1.1801848814671239,1.0,0.0
66,66000000,21.0,20.58108108108108,77,148,1317.7546007591163,720.4614816251941,0.01,1.1813031161473089,1.0,0.0
67,67000000,21.0,20.697986577181208,76,149,1319.9771595059144,725.6652799774856,0.01,1.1813031161473089,1.0,0.0
68,68000000,20.960526315789473,20.644295302013422,76,149,1314.3932628424254,717.7796994064936,0.01,1.1801848814671239,1.0,0.0
69,69000000,20.973684210526315,20.818791946308725,76,149,1331.294038382729,729.5157670520953,0.01,1.180557626360519,1.0,0.0
70,70000000,20.973684210526315,20.664429530201343,76,149,1335.3200422867467,730.7186541532028,0.01,1.180557626360519,1.0,0.0
71,71000000,20.960526315789473,20.630872483221477,76,149,1335.0267291845314,729.3251813268398,0.01,1.1801848814671239,1.0,0.0
72,72000000,20.974025974025974,20.666666666666668,77,150,1333.333690802352,723.4276484926502,0.01,1.1805673080460617,1.0,0.0
73,73000000,21.0,20.70469798657718,76,149,1319.3712729265453,720.8843283927473,0.01,1.1813031161473089,1.0,0.0
74,74000000,20.973684210526315,20.68918918918919,76,148,1319.3193727596042,723.9591215897915,0.01,1.180557626360519,1.0,0.0
75,75000000,20.974025974025974,20.716216216216218,77,148,1314.550272139186,719.538233809701,0.01,1.1805673080460617,1.0,0.0
76,76000000,20.961038961038962,20.610738255033556,77,149,1316.85720262774,714.0844764828648,0.01,1.1801994039954382,1.0,0.0
77,77000000,20.98701298701299,20.726666666666667,77,150,1335.0949306274313,725.1052403886338,0.01,1.1809352120966854,1.0,0.0
78,78000000,20.986842105263158,20.7248322147651,76,149,1325.8177788554003,728.093754111336,0.01,1.1809303712539139,1.0,0.0
79,79000000,21.0,20.63758389261745,76,149,1316.0647270125269,719.203095794989,0.01,1.1813031161473089,1.0,0.0
80,80000000,20.960526315789473,20.671140939597315,76,149,1325.412170979464,727.7224884443764,0.01,1.1801848814671239,1.0,0.0
81,81000000,20.98701298701299,20.697986577181208,77,149,1331.6480736574395,713.3352987654645,0.01,1.1809352120966854,1.0,0.0
82,82000000,21.0,20.753333333333334,76,150,1329.7216375608457,720.3923833770134,0.01,1.1813031161473089,1.0,0.0
83,83000000,21.0,20.68,77,150,1319.847682942944,724.043868726325,0.01,1.1813031161473089,1.0,0.0
84,84000000,20.98701298701299,20.7,77,150,1325.2945161435666,720.8006767790071,0.01,1.1809352120966854,1.0,0.0
85,85000000,20.974025974025974,20.573333333333334,77,150,1325.1270082534784,727.439726756857,0.01,1.1805673080460617,1.0,0.0
86,86000000,20.974025974025974,20.64,77,150,1330.8290765654426,712.0493919719448,0.01,1.1805673080460617,1.0,0.0
87,87000000,20.974025974025974,20.72,77,150,1317.561729193887,721.3165355010944,0.01,1.1805673080460617,1.0,0.0
88,88000000,20.974025974025974,20.686666666666667,77,150,1325.809764217938,720.6773551280256,0.01,1.1805673080460617,1.0,0.0
89,89000000,20.894736842105264,20.633333333333333,76,150,1328.4173174254513,717.8707005147868,0.01,1.1783211570001493,1.0,0.0
90,90000000,20.69333333333333,20.503355704697988,75,149,1313.6283524158946,716.0244505487036,0.01,1.1726156751652503,1.0,0.0
91,91000000,20.98701298701299,20.423841059602648,77,151,1330.5059899176304,719.2052006275569,0.01,1.1809352120966854,1.0,0.0
92,92000000,20.973684210526315,20.748344370860927,76,151,1310.6120389732368,717.3692108895308,0.01,1.180557626360519,1.0,0.0
93,93000000,20.68,20.666666666666668,75,150,1321.9446791584598,724.6469876503414,0.01,1.1722379603399433,1.0,0.0
94,94000000,20.974025974025974,20.66887417218543,77,151,1312.570309446137,722.7067205576549,0.01,1.1805673080460617,1.0,0.0
95,95000000,20.92207792207792,20.666666666666668,77,150,1325.8717900024901,724.7989190677658,0.01,1.1790956918435673,1.0,0.0
96,96000000,20.961038961038962,20.741721854304636,77,151,1278.2541516304614,712.4515501103706,0.01,1.1801994039954382,1.0,0.0
97,97000000,20.77922077922078,20.72,77,150,1318.3155146963688,723.2689892847166,0.01,1.1750487472867077,1.0,0.0
98,98000000,20.98701298701299,20.741721854304636,77,151,1328.5169590346704,725.1617511454256,0.01,1.1809352120966854,1.0,0.0
99,99000000,20.98701298701299,20.74,77,150,1303.293848831455,725.3144661137485,0.01,1.1809352120966854,1.0,0.0
100,100000000,20.974025974025974,20.706666666666667,77,150,1323.4715831243523,727.032491111174,0.01,1.1805673080460617,1.0,0.0
101,101000000,20.974025974025974,20.593333333333334,77,150,1314.582056165219,724.529575018942,0.01,1.1805673080460617,1.0,0.0
102,102000000,20.974025974025974,20.67549668874172,77,151,1318.9548078896935,724.7300827610769,0.01,1.1805673080460617,1.0,0.0
103,103000000,20.986842105263158,20.728476821192054,76,151,1322.4248330017747,720.3707248919508,0.01,1.1809303712539139,1.0,0.0
104,104000000,20.974025974025974,20.662251655629138,77,151,1323.7643055985932,717.4586835077262,0.01,1.1805673080460617,1.0,0.0
105,105000000,20.94871794871795,20.662251655629138,78,151,1334.6297139924652,716.7848456643788,0.01,1.1798503668192053,1.0,0.0
106,106000000,20.948051948051948,20.63157894736842,77,152,1329.811113261743,716.0029845531611,0.01,1.1798314999448143,1.0,0.0
107,107000000,20.987179487179485,20.71523178807947,78,151,1321.6728039492266,718.7038651605617,0.01,1.1809399288152829,1.0,0.0
108,108000000,20.98701298701299,20.75496688741722,77,151,1325.1810246800103,712.3309760053914,0.01,1.1809352120966854,1.0,0.0
