iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,29.51298701298701,nan,616,0,1630.2265447544962,nan,1.0,-0.08295491067442017,-0.08295491067442017,1.08295491067442
1,1000000,438.7012987012987,1527.9360465116279,616,344,1218.0611261523989,855.5220237623681,0.8020002475,-0.057023270781628145,-0.057023270781628145,1.057023270781628
2,2000000,1529.1145833333333,1831.590909090909,192,352,1217.7251896463097,676.0634635532879,0.5545002475,0.01207988740665631,0.01207988740665631,0.9879201125933437
3,3000000,2354.1911764705883,2122.7190332326286,136,331,1202.7582774026316,670.8576014789339,0.3070002475,0.0643677668158426,0.0643677668158426,0.9356322331841574
4,4000000,2417.0945945945946,2400.7301587301586,148,315,1198.9822606309672,666.9977052490061,0.05950024749999997,0.06835416804046988,0.06835416804046988,0.9316458319595301
5,5000000,2712.042253521127,2757.0774647887324,142,284,1169.4712059587614,663.5617532118079,0.01,0.08704599344219568,0.08704599344219568,0.9129540065578043
6,6000000,2736.068376068376,2739.964664310954,117,283,1188.8359151333163,663.1370538272478,0.01,0.08856860965609659,0.08856860965609659,0.9114313903439034
7,7000000,3957.4809160305344,3192.6792452830186,131,265,1186.352095896654,663.8818282617983,0.01,0.16597363135907567,0.16597363135907567,0.8340263686409244
8,8000000,4149.83193277311,3666.5714285714284,119,245,1179.1601086107792,657.7455823342736,0.01,0.17816356239254158,0.17816356239254158,0.8218364376074584
9,9000000,4373.606557377049,4112.466960352423,122,227,1182.0045180709656,657.6587089202375,0.01,0.19234491317069927,0.19234491317069927,0.8076550868293008
10,10000000,4815.754716981132,4316.0,106,215,1210.368832473347,660.4741325648015,0.01,0.22036532950861132,0.22036532950861132,0.7796346704913887
11,11000000,5083.737373737374,4962.279792746114,99,193,1227.1423202044468,661.6215326903081,0.01,0.2373482920078186,0.2373482920078186,0.7626517079921814
12,12000000,5628.915662650603,5291.711229946524,83,187,1226.571838675042,659.8292865392543,0.01,0.27189807425144036,0.27189807425144036,0.7281019257485597
13,13000000,5829.586776859504,5470.486486486487,121,185,1206.454265163859,663.4348942869277,0.01,0.28461527785161156,0.28461527785161156,0.7153847221483884
14,14000000,6332.826086956522,5596.216216216216,92,185,1226.3302595685707,660.7094090473062,0.01,0.31650724591758433,0.31650724591758433,0.6834927540824156
15,15000000,6436.216216216216,6102.601156069364,74,173,1232.644450040711,659.4272366190495,0.01,0.3230594262312631,0.3230594262312631,0.6769405737687368
16,16000000,6723.118279569892,6402.294117647059,93,170,1227.6875970040637,664.5199416673428,0.01,0.34124137517474523,0.34124137517474523,0.6587586248252548
17,17000000,7051.011235955056,6777.604790419162,89,167,1226.4125012920083,660.434593423554,0.01,0.3620210549101718,0.3620210549101718,0.6379789450898282
18,18000000,6987.906976744186,6765.43352601156,86,173,1231.6303910611302,664.0534879847676,0.01,0.3580219257102054,0.3580219257102054,0.6419780742897946
19,19000000,7268.313253012048,6767.931034482759,83,174,1197.84919201536,661.3713639929716,0.01,0.3757922147730947,0.3757922147730947,0.6242077852269052
20,20000000,7218.5,6800.282485875706,80,177,1210.1313477196206,656.0446361152569,0.01,0.3726353813492189,0.3726353813492189,0.6273646186507811
21,21000000,6456.125,7069.6,80,175,1200.0095585964555,660.9881439380096,0.01,0.3243211128362749,0.3243211128362749,0.6756788871637252
22,22000000,7186.25,7148.9655172413795,64,174,1220.5987847189147,662.1735152394168,0.01,0.37059159035457395,0.37059159035457395,0.629408409645426
23,23000000,7364.814814814815,7354.685714285714,81,175,1246.7677373152712,666.2480194948779,0.01,0.3819078433926813,0.3819078433926813,0.6180921566073188
24,24000000,7248.6274509803925,7512.342857142857,102,175,1230.6061361099871,663.6830888261295,0.01,0.3745446592718649,0.3745446592718649,0.6254553407281351
25,25000000,7886.2962962962965,7552.458100558659,81,179,1234.1722316441496,661.2715669114323,0.01,0.4149558792291452,0.4149558792291452,0.5850441207708548
26,26000000,7656.708860759493,7445.193370165746,79,181,1227.5342341207518,670.7930196916649,0.01,0.40040615106685845,0.40040615106685845,0.5995938489331416
27,27000000,7584.285714285715,7684.342857142857,91,175,1203.9638646027358,667.5293709741718,0.01,0.39581645263067367,0.39581645263067367,0.6041835473693263
28,28000000,7883.2558139534885,7943.832335329342,86,167,1210.2409723506614,669.1238004059761,0.01,0.41476319363436664,0.41476319363436664,0.5852368063656334
29,29000000,8004.942528735633,7943.274853801169,87,171,1205.9537956146553,665.178802950391,0.01,0.42247489012551936,0.42247489012551936,0.5775251098744807
30,30000000,8241.857142857143,8366.95652173913,70,161,1174.9749443382002,663.3575714590927,0.01,0.43748896624463024,0.43748896624463024,0.5625110337553698
31,31000000,9340.365853658537,8863.806451612903,82,155,1202.1190317187861,669.5805743358658,0.01,0.5071051588236977,0.5071051588236977,0.49289484117630233
32,32000000,8768.441558441558,9286.6,77,150,1185.0039442053055,670.6748054297608,0.01,0.47086039218236053,0.47086039218236053,0.5291396078176395
33,33000000,9678.529411764706,9553.197278911564,68,147,1141.5626423788447,668.833390887513,0.01,0.5285357211422863,0.5285357211422863,0.4714642788577137
34,34000000,10102.394366197183,9743.379310344828,71,145,1170.112878876167,673.892028852043,0.01,0.5553974692605712,0.5553974692605712,0.4446025307394288
35,35000000,10477.222222222223,9589.73154362416,72,149,1171.2049537863868,673.9972562435862,0.01,0.5791515714833945,0.5791515714833945,0.42084842851660553
36,36000000,10413.28125,9848.275862068966,64,145,1194.2351216921425,668.7562091753246,0.01,0.5750994169650496,0.5750994169650496,0.4249005830349504
37,37000000,10259.620253164558,10458.41726618705,79,139,1225.027375584377,667.6397232667035,0.01,0.5653614026530979,0.5653614026530979,0.43463859734690213
38,38000000,11680.151515151516,10396.978417266188,66,139,1210.2806019552193,670.4533369324917,0.01,0.6553852476410226,0.6553852476410226,0.3446147523589774
39,39000000,11305.671641791045,10209.160839160839,67,143,1228.7972468011687,675.1153178391424,0.01,0.6316531982503276,0.6316531982503276,0.3683468017496724
40,40000000,9971.470588235294,10314.452054794521,68,146,1230.3057581213366,676.9171826763554,0.01,0.5471003890006206,0.5471003890006206,0.45289961099937937
41,41000000,11132.42857142857,10349.659863945579,70,147,1211.0924785170014,677.12491181514,0.01,0.620674202061445,0.620674202061445,0.37932579793855503
42,42000000,9077.945205479453,10841.510791366907,73,139,1220.579338201024,676.7283256550328,0.01,0.4904746795195952,0.4904746795195952,0.5095253204804048
43,43000000,10824.21052631579,10590.567375886525,76,141,1199.8621638591894,665.2217658063378,0.01,0.6011413876431947,0.6011413876431947,0.3988586123568053
44,44000000,11653.521126760563,11090.579710144928,71,138,1207.792319135778,665.9391796105965,0.01,0.6536975903394,0.6536975903394,0.3463024096606
45,45000000,12022.58064516129,11301.029411764706,62,136,1200.3802441485548,674.7500369079838,0.01,0.6770861336012731,0.6770861336012731,0.3229138663987269
46,46000000,12909.538461538461,11113.285714285714,65,140,1195.5155111464073,664.9685103366721,0.01,0.7332956343064394,0.7332956343064394,0.2667043656935606
47,47000000,12448.833333333334,11432.463768115942,60,138,1208.9464815484666,674.0339488539662,0.01,0.7040992004393887,0.7040992004393887,0.2959007995606113
48,48000000,9648.082191780823,11402.79411764706,73,136,1233.5787185927338,666.3900681825783,0.01,0.5266061783821301,0.5266061783821301,0.4733938216178699
49,49000000,12569.69696969697,11732.074074074075,66,135,1215.5426285084084,678.773682272355,0.01,0.7117587356821806,0.7117587356821806,0.2882412643178194
50,50000000,12808.28125,11858.888888888889,64,135,1221.9875947083415,665.8400382479053,0.01,0.7268786241642637,0.7268786241642637,0.27312137583573626
