iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,1289,0,1292.4650196185883,nan,1.0,-0.00146805387119423,-0.00146805387119423,1.0014680538711942
1,1000000,514.4827586206897,32.45614035087719,145,1254,1332.6075124542751,822.3694639672482,0.8020002475,0.06420919877713534,0.06420919877713534,0.9357908012228646
2,2000000,909.4890510948906,378.5123966942149,137,605,1308.372653687609,749.4866034504838,0.5545002475,0.11463446110868585,0.11463446110868585,0.8853655388913142
3,3000000,657.4370709382151,1147.4201474201475,437,407,1250.2640930749617,786.1582250879767,0.3070002475,0.08245829717727901,0.08245829717727901,0.917541702822721
4,4000000,6791.061452513966,1789.9488926746167,179,587,1232.9086116732308,770.0427138158956,0.05950024749999997,0.8654575161184612,0.8654575161184612,0.13454248388153878
5,5000000,13106.194690265487,7554.258675078864,113,317,1185.2333482502656,786.9444948155965,0.01,1.6716275854044154,1.0,0.0
6,6000000,20584.313725490196,16027.354260089685,102,223,1186.1130286337136,782.7220294513294,0.01,2.62626076791858,1.0,0.0
7,7000000,25182.52427184466,20613.333333333332,103,195,1160.6571422264599,792.2052959268665,0.01,3.2132538803656936,1.0,0.0
8,8000000,23932.14285714286,24078.51851851852,28,135,1132.1250542811672,778.9535587729051,0.01,3.053634117207233,1.0,0.0
9,9000000,31349.122807017542,27579.354838709678,57,155,1166.0907919112672,768.282565392757,0.01,4.000462476162321,1.0,0.0
10,10000000,36416.83168316832,29524.63054187192,101,203,1176.983921580879,772.9716105427756,0.01,4.647390270398713,1.0,0.0
11,11000000,29925.641025641027,29408.235294117647,39,170,1152.102870741075,761.4640496792997,0.01,3.818745264012386,1.0,0.0
12,12000000,40313.09523809524,30602.793296089385,84,179,1147.1132393527012,693.8476408739126,0.01,5.144775035181622,1.0,0.0
13,13000000,38834.72222222222,32322.222222222223,72,162,1156.2860540852782,772.8771802801866,0.01,4.956050580484103,1.0,0.0
14,14000000,35616.981132075474,33608.87573964497,53,169,1143.3619285688183,767.6656994488318,0.01,4.545283861884914,1.0,0.0
15,15000000,32775.43859649123,32938.78787878788,57,165,1148.117042680434,772.7457414406935,0.01,4.182541468882521,1.0,0.0
16,16000000,42363.15789473684,33027.56756756757,19,185,1174.4877786538186,787.5957851206763,0.01,5.406479593379312,1.0,0.0
17,17000000,36103.65853658537,33917.27748691099,82,191,1224.2439939691692,798.0494625600865,0.01,4.607411570381741,1.0,0.0
18,18000000,41296.36363636364,33630.80808080808,55,198,1252.520700486786,806.963744543264,0.01,5.270295989833873,1.0,0.0
19,19000000,39655.1724137931,36502.604166666664,29,192,1269.6781426640482,799.320511544509,0.01,5.0607866743847705,1.0,0.0
20,20000000,43737.5,35468.229166666664,8,192,1280.2879465606547,797.2118859116533,0.01,5.581923788855557,1.0,0.0
21,21000000,40108.333333333336,36349.69325153374,96,163,1240.0674302669165,793.5002176482691,0.01,5.118635773706942,1.0,0.0
22,22000000,43026.31578947369,37653.293413173655,19,167,1224.6273956223658,783.5811428729768,0.01,5.491136246821177,1.0,0.0
23,23000000,41773.4693877551,38527.7108433735,49,166,1195.8814902490421,770.8252524079028,0.01,5.331201811164243,1.0,0.0
24,24000000,47700.0,38972.549019607846,8,153,1167.4718916497118,759.107172713835,0.01,6.087764090125742,1.0,0.0
25,25000000,41087.096774193546,38032.31707317073,31,164,1173.8017452564218,759.2153348946835,0.01,5.243581639649396,1.0,0.0
26,26000000,44129.50819672131,38089.873417721516,61,158,1193.322905465468,769.4547017770556,0.01,5.631966323702216,1.0,0.0
27,27000000,41570.0,38435.03184713376,10,157,1205.0085656902386,787.1149610284124,0.01,5.305227548350035,1.0,0.0
28,28000000,44530.0,39806.201550387595,10,129,1188.8232908962987,789.3671846017849,0.01,5.683091849109593,1.0,0.0
29,29000000,48825.0,38399.31034482759,8,145,1186.409471779446,798.9155406379027,0.01,6.231378055786047,1.0,0.0
30,30000000,43922.22222222222,37751.79856115108,9,139,1217.3598062370943,801.262482904265,0.01,5.605504847414593,1.0,0.0
31,31000000,47544.897959183676,38123.931623931625,49,117,1193.249536002016,792.6408684667638,0.01,6.067964250869174,1.0,0.0
32,32000000,40806.06060606061,38756.617647058825,33,136,1223.8115021825831,791.7674690993658,0.01,5.2077054453386875,1.0,0.0
33,33000000,50076.92307692308,39536.666666666664,13,120,1234.3520009241909,792.8971925551125,0.01,6.391194622700335,1.0,0.0
34,34000000,45757.142857142855,41370.53571428572,21,112,1223.809092199805,796.3872343182278,0.01,5.839745051017151,1.0,0.0
35,35000000,44392.307692307695,39497.32142857143,13,112,1222.3408143612207,794.0215239816498,0.01,5.665514481688606,1.0,0.0
36,36000000,53150.0,40531.782945736435,12,129,1236.8745433603426,794.1179305139606,0.01,6.783493968213442,1.0,0.0
37,37000000,47886.48648648649,41389.76377952756,37,127,1240.0440626826064,810.4698716318825,0.01,6.1115703691180805,1.0,0.0
38,38000000,40804.166666666664,40198.13084112149,24,107,1240.6673462375184,808.5837751630219,0.01,5.207463670985724,1.0,0.0
39,39000000,47768.42105263158,38144.85294117647,19,136,1249.5435308240862,813.6753184736335,0.01,6.096498506750696,1.0,0.0
40,40000000,51600.0,41498.913043478264,16,92,1219.013632062628,805.7809852292982,0.01,6.585625837748133,1.0,0.0
41,41000000,45354.545454545456,42196.07843137255,11,102,1187.344295013778,792.8472922578438,0.01,5.788350731415773,1.0,0.0
42,42000000,43629.166666666664,40976.14678899082,24,109,1169.597482730732,776.788180006362,0.01,5.568094295866045,1.0,0.0
43,43000000,48013.72549019608,42342.990654205605,51,107,1190.1309593447518,793.6575727613591,0.01,6.127813300593104,1.0,0.0
44,44000000,50356.25,43087.603305785124,16,121,1208.682645519522,802.4794776647531,0.01,6.4268526201570175,1.0,0.0
45,45000000,48138.46153846154,45435.2,13,125,1247.3390428386188,809.2763947559843,0.01,6.143736712639502,1.0,0.0
46,46000000,47425.71428571428,44110.16949152543,35,118,1238.671196303928,810.1478440436401,0.01,6.0527496375457055,1.0,0.0
47,47000000,43783.333333333336,46539.823008849555,12,113,1268.3558256051504,805.1906149654833,0.01,5.587774728197273,1.0,0.0
48,48000000,46314.28571428572,45736.93693693694,49,111,1279.3935038313014,809.6950117988141,0.01,5.91086815782035,1.0,0.0
49,49000000,51851.35135135135,45195.93495934959,37,123,1264.1271204447576,803.3244310836794,0.01,6.617712561607372,1.0,0.0
50,50000000,48900.0,46149.166666666664,10,120,1305.4574188704908,817.2137141559348,0.01,6.240952320163401,1.0,0.0
51,51000000,51115.78947368421,46474.60317460317,19,126,1277.5469619499233,822.4018799313915,0.01,6.523813043171534,1.0,0.0
52,52000000,55113.51351351351,46073.01587301587,37,126,1224.2010081856718,817.9685321613697,0.01,7.034149934705242,1.0,0.0
53,53000000,51841.93548387097,47385.0,62,120,1217.6564437836848,807.920627154535,0.01,6.616510561546049,1.0,0.0
54,54000000,53300.0,47157.98319327731,32,119,1230.8416770408435,811.0047345704586,0.01,6.80264249696815,1.0,0.0
55,55000000,49012.5,47290.75630252101,8,119,1228.2791186644502,800.8639491248824,0.01,6.2553137167294315,1.0,0.0
56,56000000,56821.05263157895,48837.28813559322,19,118,1201.7404784949663,803.8318506977455,0.01,7.252129014052333,1.0,0.0
57,57000000,50277.77777777778,47545.833333333336,9,120,1199.870649383506,799.8405405514402,0.01,6.416835102799231,1.0,0.0
58,58000000,58280.95238095238,48182.72727272727,21,110,1208.093013005583,805.7557351957607,0.01,7.438495229584781,1.0,0.0
59,59000000,53957.89473684211,49645.76271186441,38,118,1216.1601319859296,810.0640350009389,0.01,6.886627272208094,1.0,0.0
60,60000000,53458.82352941176,47296.2962962963,34,108,1192.326583511927,802.0095360014756,0.01,6.822917409767252,1.0,0.0
61,61000000,61250.0,48658.19672131148,32,122,1231.4695641516794,799.0478968852001,0.01,7.817514520967639,1.0,0.0
62,62000000,53462.0,50415.09433962264,50,106,1219.7445719030563,787.475849178009,0.01,6.823322908023234,1.0,0.0
63,63000000,54508.163265306124,48683.19327731092,49,119,1223.9302640637509,810.5388390993247,0.01,6.956872823808786,1.0,0.0
64,64000000,52450.81967213115,48602.58620689655,61,116,1220.7500266541053,809.5958214882525,0.01,6.694238804127292,1.0,0.0
65,65000000,59048.717948717946,47555.93220338983,39,118,1211.536066992695,824.2305883995142,0.01,7.536505769926335,1.0,0.0
66,66000000,60256.52173913043,49374.35897435898,23,117,1208.96741886834,807.1084006193447,0.01,7.6906902073313885,1.0,0.0
67,67000000,58416.666666666664,49808.49056603773,36,106,1193.055605641396,798.9833488286919,0.01,7.455820088934278,1.0,0.0
68,68000000,49572.72727272727,48020.4081632653,11,98,1187.8979249539861,770.3999737022334,0.01,6.3268305703360275,1.0,0.0
69,69000000,51176.92307692308,46933.913043478264,13,115,1226.3882962249068,769.076863605106,0.01,6.531617166901523,1.0,0.0
70,70000000,48735.71428571428,48150.0,14,122,1232.3680148542153,774.1837620782024,0.01,6.2199801220034825,1.0,0.0
71,71000000,52546.153846153844,49740.350877192985,13,114,1224.5018795278302,784.0009324635375,0.01,6.706408865277825,1.0,0.0
72,72000000,59366.666666666664,49895.192307692305,12,104,1235.76752794171,791.5354756696569,0.01,7.577094104380757,1.0,0.0
73,73000000,52637.5,50890.833333333336,16,120,1286.3155094220726,801.3797071235559,0.01,6.718069828301526,1.0,0.0
74,74000000,53939.583333333336,50133.61344537815,48,119,1234.645327391696,806.2038037770304,0.01,6.884289695963916,1.0,0.0
75,75000000,56572.0,51032.23140495868,25,121,1262.4911173804092,798.3165599803656,0.01,7.220335737537499,1.0,0.0
76,76000000,61872.22222222222,50082.92682926829,54,123,1278.1348083248004,813.887969944296,0.01,7.896945455061239,1.0,0.0
77,77000000,61973.07692307692,50346.4,52,125,1291.4739936743429,819.8342101270955,0.01,7.909820249323664,1.0,0.0
78,78000000,49333.333333333336,50252.5,9,120,1258.4631162481335,816.3591027340112,0.01,6.296270292121444,1.0,0.0
79,79000000,58485.0,51380.0,20,120,1258.589755423477,830.1561476428485,0.01,7.4645433075892,1.0,0.0
80,80000000,51250.98039215686,53216.03773584906,51,106,1224.9041242150124,817.4816351831067,0.01,6.541071091103193,1.0,0.0
81,81000000,57068.181818181816,50650.413223140495,22,121,1221.423903002015,806.5489119374396,0.01,7.2836767496242825,1.0,0.0
82,82000000,55693.220338983054,51068.333333333336,59,120,1227.7566746152943,811.0103697895291,0.01,7.108153486817266,1.0,0.0
83,83000000,59094.117647058825,49770.94017094017,34,117,1219.1813518584286,810.0388205861565,0.01,7.542301352787238,1.0,0.0
84,84000000,61976.666666666664,50850.862068965514,30,116,1212.563138579146,810.8518924575769,0.01,7.910278504712665,1.0,0.0
85,85000000,57961.53846153846,52283.898305084746,13,118,1222.245319807644,813.9431132044721,0.01,7.39771985211444,1.0,0.0
86,86000000,59853.846153846156,51287.619047619046,39,105,1186.2217586504216,797.5635371498247,0.01,7.639285907173825,1.0,0.0
87,87000000,59187.03703703704,52604.95867768595,54,121,1246.4648553998818,783.8102957179821,0.01,7.5541631501930215,1.0,0.0
88,88000000,53664.912280701756,51495.93495934959,57,123,1277.3017891616778,814.6488206678574,0.01,6.849226052301239,1.0,0.0
89,89000000,59934.782608695656,53042.14876033058,23,121,1280.291626781808,810.3945513131097,0.01,7.64961800072709,1.0,0.0
90,90000000,58314.75409836065,50795.2,61,125,1222.1453582657712,821.0218326651143,0.01,7.442810250636453,1.0,0.0
91,91000000,61662.5,52154.91803278688,40,122,1237.0725296119303,814.9165383464317,0.01,7.870172975043084,1.0,0.0
92,92000000,59956.52173913043,51492.307692307695,23,117,1241.825695760059,810.9514366428958,0.01,7.6523931498219735,1.0,0.0
93,93000000,61309.375,53387.096774193546,32,124,1252.4298857020165,811.2568154404188,0.01,7.825094146933044,1.0,0.0
94,94000000,60762.5,53084.87394957983,40,119,1276.8740166976486,813.8507396362595,0.01,7.7552818025148405,1.0,0.0
95,95000000,57008.92857142857,52630.645161290326,56,124,1245.953706373781,806.7880975524163,0.01,7.276112666295854,1.0,0.0
96,96000000,61355.1724137931,53083.739837398374,29,123,1273.110020791979,813.35223131071,0.01,7.8309405008991,1.0,0.0
97,97000000,57465.51724137931,51870.16129032258,29,124,1279.8336562034817,807.0517833415316,0.01,7.334399341466689,1.0,0.0
98,98000000,62161.70212765958,51439.34426229508,47,122,1240.0133977874275,809.8001559558825,0.01,7.9338995503490874,1.0,0.0
99,99000000,60413.333333333336,53405.26315789474,15,114,1160.7272117586572,774.384430686019,0.01,7.710708282802494,1.0,0.0
100,100000000,62451.35135135135,51619.13043478261,37,115,1197.3231124826093,777.616697320088,0.01,7.970875260273359,1.0,0.0
101,101000000,62238.46153846154,52435.24590163935,26,122,1130.471083685496,751.6519762990537,0.01,7.943698415581992,1.0,0.0
102,102000000,56815.38461538462,50946.21848739496,13,119,1121.8297888682102,754.7834335034133,0.01,7.251405452911804,1.0,0.0
103,103000000,61412.5,53565.833333333336,56,120,1078.0390500453755,735.7612889653326,0.01,7.838258760451906,1.0,0.0
104,104000000,59954.83870967742,52096.2962962963,31,108,1149.8448938433787,757.7558138945583,0.01,7.652178299569466,1.0,0.0
105,105000000,59063.49206349206,52174.60317460317,63,126,1083.7796642668209,764.2968850515257,0.01,7.538391787003519,1.0,0.0
106,106000000,60915.0,51926.4,60,125,1142.785398740164,770.2993597026468,0.01,7.77474947341546,1.0,0.0
107,107000000,55860.46511627907,52025.20325203252,43,123,1101.2595144633242,761.6390050358177,0.01,7.129503429664782,1.0,0.0
108,108000000,53119.230769230766,52821.77419354839,52,124,1156.553833071843,783.0485768046769,0.01,6.779566064879143,1.0,0.0
109,109000000,59902.17391304348,51861.11111111111,46,126,1146.3846800641795,756.6449773059074,0.01,7.6454552770847615,1.0,0.0
110,110000000,58270.17543859649,52064.28571428572,57,126,1149.9722851086208,777.5730411375598,0.01,7.43711947898085,1.0,0.0
111,111000000,64452.27272727273,52168.54838709677,44,124,1143.267885724355,754.5034462776669,0.01,8.226306596958285,1.0,0.0
112,112000000,55483.333333333336,52752.845528455284,18,123,1174.5388912988212,761.5951532626591,0.01,7.081359971064446,1.0,0.0
113,113000000,63558.333333333336,53672.566371681416,36,113,1196.3498149730042,789.33069586964,0.01,8.112189102359524,1.0,0.0
114,114000000,60578.94736842105,50490.32258064516,38,124,1173.6733967445678,777.0490325444897,0.01,7.731850050222896,1.0,0.0
115,115000000,55123.333333333336,52946.666666666664,30,120,1165.9883416011535,770.4304140765298,0.01,7.035403502053148,1.0,0.0
116,116000000,43536.36363636364,51650.8064516129,11,124,1199.1958973286196,792.9402416415728,0.01,5.556247352570836,1.0,0.0
117,117000000,62982.608695652176,51737.70491803279,23,122,1213.62440250751,786.7639088215476,0.01,8.038693903829984,1.0,0.0
118,118000000,61488.524590163935,52477.6,61,125,1195.2489857276046,785.2799156078044,0.01,7.8479638207906985,1.0,0.0
119,119000000,62746.8085106383,51662.903225806454,47,124,1235.4190339290863,786.7478321973625,0.01,8.008592393009293,1.0,0.0
120,120000000,60763.15789473684,51932.8,19,125,1250.01560700107,773.3162933437109,0.01,7.75536578729008,1.0,0.0
121,121000000,61014.0350877193,50746.09375,57,128,1278.2009363655732,792.2524634552159,0.01,7.787391981581579,1.0,0.0
122,122000000,55166.666666666664,52854.098360655735,27,122,1290.228643589288,794.8256342938718,0.01,7.040935299248952,1.0,0.0
123,123000000,55645.454545454544,53607.82608695652,11,115,1276.4364237808438,785.5528580743222,0.01,7.102055855678119,1.0,0.0
124,124000000,61062.06896551724,53504.27350427351,29,117,1249.0742532231816,781.0199259274417,0.01,7.793523835516338,1.0,0.0
125,125000000,60555.555555555555,53004.91803278688,18,122,1289.6120500162765,786.3316436991154,0.01,7.728863924881031,1.0,0.0
126,126000000,58347.36842105263,52323.577235772354,19,123,1291.3079209953712,792.881334319936,0.01,7.446973692609004,1.0,0.0
127,127000000,61804.651162790695,52790.90909090909,43,121,1291.5760313852084,791.014869975519,0.01,7.8883195458978355,1.0,0.0
128,128000000,63444.897959183676,52819.51219512195,49,123,1249.9089219335285,778.1503737545399,0.01,8.097708298868152,1.0,0.0
129,129000000,54900.0,52525.20325203252,15,123,1279.1438774561605,768.6920557077859,0.01,7.006893470351694,1.0,0.0
130,130000000,60984.782608695656,54382.5,46,120,1262.200099450275,785.1229856090496,0.01,7.783657702010041,1.0,0.0
131,131000000,64116.981132075474,54222.95081967213,53,122,1237.4056171567613,790.2633297248708,0.01,8.18350432527931,1.0,0.0
132,132000000,56145.901639344265,53572.72727272727,61,121,1222.7748425508548,793.322038787935,0.01,7.165941359461833,1.0,0.0
133,133000000,59940.0,53114.04958677686,45,121,1220.3137885990293,791.7202568099763,0.01,7.650284036509862,1.0,0.0
134,134000000,63554.83870967742,53274.4,31,125,1227.2773248923734,799.8854703391327,0.01,8.111742989682442,1.0,0.0
135,135000000,58713.04347826087,53570.58823529412,23,119,1232.7572789698759,804.3426072251268,0.01,7.493654621594546,1.0,0.0
136,136000000,55564.28571428572,54068.90756302521,14,119,1207.8220614052545,809.0155280571993,0.01,7.091694097693971,1.0,0.0
137,137000000,58489.47368421053,53598.333333333336,19,120,1230.6171744601454,804.9940157952136,0.01,7.465114404060832,1.0,0.0
138,138000000,58682.142857142855,54259.349593495936,28,123,1202.3839712438291,805.8542132118865,0.01,7.489709945381101,1.0,0.0
139,139000000,62736.11111111111,53919.67213114754,36,122,1177.6550631432244,774.0227719037681,0.01,8.00722679659298,1.0,0.0
140,140000000,60921.311475409835,53238.842975206615,61,121,1192.4666445389212,781.7826558070049,0.01,7.775555176537925,1.0,0.0
141,141000000,59694.117647058825,55071.90082644628,34,121,1240.15881562624,781.084669796653,0.01,7.618895467806067,1.0,0.0
142,142000000,60983.333333333336,52877.77777777778,60,126,1250.2046872964092,786.3280847751731,0.01,7.783472692070382,1.0,0.0
143,143000000,59414.81481481482,54452.06611570248,27,121,1239.3537236524758,782.4113358763298,0.01,7.58324054570943,1.0,0.0
144,144000000,63017.94871794872,54100.0,39,125,1225.833385659971,771.098893793853,0.01,8.0432053000509,1.0,0.0
145,145000000,65243.63636363636,54801.739130434784,55,115,1226.4262408732257,769.3619490158749,0.01,8.327329592600544,1.0,0.0
146,146000000,61531.25,54585.95041322314,32,121,1239.0163761623912,773.0064273819339,0.01,7.853418012382715,1.0,0.0
147,147000000,58382.5,55637.606837606836,40,117,1256.7966217442458,792.301241473086,0.01,7.451458479606817,1.0,0.0
148,148000000,63558.97435897436,54092.372881355936,39,118,1235.1407902773565,791.0600971015205,0.01,8.112270933678989,1.0,0.0
149,149000000,62454.34782608696,53738.524590163935,46,122,1239.5800767539142,778.3500243409676,0.01,7.971257780824275,1.0,0.0
150,150000000,60741.666666666664,53980.0,60,120,1230.23229587313,778.3033069361196,0.01,7.752622284632242,1.0,0.0
151,151000000,60445.454545454544,52601.6129032258,55,124,1229.041420500675,788.5357162440138,0.01,7.714808775828754,1.0,0.0
152,152000000,60340.54054054054,53250.81967213115,37,122,1221.8954449131293,791.3139819430952,0.01,7.701415783562972,1.0,0.0
153,153000000,58660.0,52395.901639344265,25,122,1209.3504522051476,776.842649410105,0.01,7.486883257803026,1.0,0.0
154,154000000,63127.27272727273,54331.40495867769,44,121,1218.3953914668996,761.8980352976923,0.01,8.057161259625037,1.0,0.0
155,155000000,62380.85106382979,55570.434782608696,47,115,1235.5014475285539,757.0534060318537,0.01,7.961875415054546,1.0,0.0
156,156000000,60115.78947368421,54069.8275862069,57,116,1213.0078369480996,763.8523925972244,0.01,7.672724768453975,1.0,0.0
157,157000000,62706.89655172414,54466.38655462185,29,119,1213.7310738726214,765.2364236377683,0.01,8.00349735772313,1.0,0.0
158,158000000,60394.117647058825,53114.529914529914,17,117,1178.9686842970443,771.3178871772071,0.01,7.708255268661368,1.0,0.0
159,159000000,63965.51724137931,53919.67213114754,29,122,1187.109399387071,779.9221044421821,0.01,8.16416892083734,1.0,0.0
160,160000000,55320.68965517241,53183.05084745763,29,118,1201.0879340037272,793.2737313508363,0.01,7.0605973900775405,1.0,0.0
161,161000000,53413.333333333336,51570.27027027027,30,111,1175.1846689814693,798.164886901534,0.01,6.817110274249484,1.0,0.0
162,162000000,47240.0,53541.90476190476,5,105,1174.8888103508484,780.3499629579846,0.01,6.029041935277973,1.0,0.0
163,163000000,50737.5,52939.2523364486,8,107,1145.546707480659,762.1312779364231,0.01,6.4755217974085655,1.0,0.0
164,164000000,62118.181818181816,52217.92452830189,11,106,1131.5952099854876,754.9214906492741,0.01,7.928343884366097,1.0,0.0
165,165000000,60888.09523809524,53465.486725663715,42,113,1155.2445960414593,763.2700998117111,0.01,7.771314896035647,1.0,0.0
166,166000000,63058.97435897436,52212.29508196721,39,122,1141.2001763247026,767.5015396489702,0.01,8.04844250449663,1.0,0.0
167,167000000,63356.52173913043,50719.04761904762,23,126,1143.9461024930347,796.6522998194765,0.01,8.086426468262006,1.0,0.0
168,168000000,61957.692307692305,53232.75862068965,26,116,1184.838425915728,790.9493411817735,0.01,7.907856297656514,1.0,0.0
169,169000000,61251.78571428572,53959.32203389831,56,118,1192.5498948401626,797.4435901099177,0.01,7.81774247964329,1.0,0.0
170,170000000,65530.95238095238,53187.096774193546,42,124,1171.6933466383325,794.2575291526782,0.01,8.36400745272897,1.0,0.0
171,171000000,57208.771929824565,53585.95041322314,57,121,1153.156358854414,792.2760453322711,0.01,7.30162404159374,1.0,0.0
172,172000000,60842.42424242424,53720.833333333336,33,120,1160.7983341613663,791.5425632436242,0.01,7.765484680209899,1.0,0.0
173,173000000,61630.232558139534,53726.229508196724,43,122,1197.9307942150772,789.1927423897854,0.01,7.866053814787711,1.0,0.0
174,174000000,65032.35294117647,54932.52032520325,34,123,1176.3204014864973,782.2625264972743,0.01,8.30035781466477,1.0,0.0
175,175000000,59755.1724137931,55945.08196721312,29,122,1227.2045226164041,787.5288079145474,0.01,7.6266895275155555,1.0,0.0
176,176000000,65027.77777777778,55145.454545454544,36,121,1255.6244601817154,788.6734632405526,0.01,8.299773763678788,1.0,0.0
177,177000000,64328.94736842105,55012.396694214876,38,121,1232.5039509248418,776.1918005496804,0.01,8.21056326909058,1.0,0.0
178,178000000,56437.03703703704,53488.333333333336,27,120,1216.0146289672718,790.5328626530435,0.01,7.203106789690054,1.0,0.0
179,179000000,64541.02564102564,52948.333333333336,39,120,1255.0150958322724,781.1188632656605,0.01,8.237636515098696,1.0,0.0
180,180000000,62240.32258064516,54598.333333333336,62,120,1228.4689157513433,782.1648167273071,0.01,7.943935990380438,1.0,0.0
181,181000000,59176.92307692308,54527.64227642276,13,123,1240.289110373891,771.9480640492717,0.01,7.552872033819248,1.0,0.0
182,182000000,63630.188679245286,52735.24590163935,53,122,1266.8693676157009,780.3271989199683,0.01,8.121361930075354,1.0,0.0
183,183000000,64851.16279069767,55400.813008130084,43,123,1238.300768575392,788.6629133696682,0.01,8.277227649288015,1.0,0.0
184,184000000,54955.0,54416.39344262295,60,122,1223.2561906646358,787.8055633123129,0.01,7.013914597561754,1.0,0.0
185,185000000,59843.47826086957,53893.54838709677,23,124,1227.0622853491486,792.6572400100828,0.01,7.637962374528572,1.0,0.0
186,186000000,65830.43478260869,54237.5,46,120,1221.5519542813022,797.3374953949457,0.01,8.402238435259934,1.0,0.0
187,187000000,61037.28813559322,54123.770491803276,59,122,1249.2809533480558,798.9111052451893,0.01,7.790360392620568,1.0,0.0
188,188000000,62011.666666666664,55190.0826446281,60,121,1246.2159219156126,794.0512736841836,0.01,7.9147464947554305,1.0,0.0
189,189000000,61482.75862068965,54606.61157024794,29,121,1223.8690780736492,799.5900663745675,0.01,7.8472277552421845,1.0,0.0
190,190000000,63609.3023255814,54206.666666666664,43,120,1206.763208112683,808.3625975803517,0.01,8.118695643783928,1.0,0.0
191,191000000,56305.26315789474,53942.276422764226,19,123,1191.6546530441055,791.5815955415884,0.01,7.186284950264216,1.0,0.0
192,192000000,64639.28571428572,54649.57983193277,28,119,1162.380903757848,784.2563847605501,0.01,8.250180087353765,1.0,0.0
193,193000000,59438.46153846154,54419.8347107438,39,121,1175.9571870481245,779.5495431906315,0.01,7.586259212160789,1.0,0.0
194,194000000,65786.36363636363,52721.95121951219,22,123,1198.0203058709324,781.1478973953431,0.01,8.396612451185758,1.0,0.0
195,195000000,60340.0,53469.166666666664,25,120,1213.3280120550266,779.2579230044814,0.01,7.701346779855748,1.0,0.0
196,196000000,61333.333333333336,53760.330578512396,24,121,1194.2237437783506,782.531345010117,0.01,7.828152592498032,1.0,0.0
197,197000000,55217.142857142855,52698.333333333336,35,120,1264.573050100235,785.1861278539833,0.01,7.047378931147361,1.0,0.0
198,198000000,57902.17391304348,53826.89075630252,46,119,1244.0140248491111,852.3984392926802,0.01,7.39014156035533,1.0,0.0
199,199000000,67370.21276595745,55295.833333333336,47,120,1250.1469839940037,848.1644064819283,0.01,8.598801655193393,1.0,0.0
200,200000000,58196.153846153844,53467.76859504132,26,121,1256.1130436771805,850.6818988592604,0.01,7.4276701150384685,1.0,0.0
