iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,39,0,1367.2983288480111,nan,1.0,-0.22680412371134023,-0.22680412371134023,1.2268041237113403
1,1000000,1.7916666666666667,2.6808510638297873,48,94,1239.3367638438974,828.219864381106,0.8020002475,-0.042096219931271495,-0.042096219931271495,1.0420962199312716
2,2000000,12.272727272727273,3.3125,22,96,1196.3860030610624,739.6606989187388,0.5545002475,1.0384254920337397,1.0,0.0
3,3000000,1.4594594594594594,4.903614457831325,37,83,1199.0201009749949,763.4769781431731,0.3070002475,-0.07634438562273617,-0.07634438562273617,1.0763443856227362
4,4000000,15.238095238095237,5.394736842105263,21,76,1181.6072933163643,770.2864422492567,0.05950024749999997,1.3441335297005401,1.0,0.0
5,5000000,16.88,6.942028985507246,25,69,1140.758399911759,768.4470986246964,0.01,1.5134020618556703,1.0,0.0
6,6000000,13.192307692307692,8.71830985915493,26,71,1137.0867861055142,772.5735103718914,0.01,1.133227597145123,1.0,0.0
7,7000000,18.916666666666668,13.115942028985508,24,69,1123.8430398790567,773.576574514983,0.01,1.723367697594502,1.0,0.0
8,8000000,15.08,15.706896551724139,25,58,1133.1329209643204,773.8439989057858,0.01,1.3278350515463917,1.0,0.0
9,9000000,21.416666666666668,20.1,24,50,1123.7073931605926,775.6765339283783,0.01,1.9810996563573886,1.0,0.0
10,10000000,19.5,20.877551020408163,24,49,1103.773642374739,776.5745327751168,0.01,1.7835051546391754,1.0,0.0
11,11000000,19.708333333333332,20.192307692307693,24,52,1104.9756020679656,778.1979407782537,0.01,1.8049828178694158,1.0,0.0
12,12000000,25.5,22.08695652173913,20,46,1103.6896255017816,779.2515735543186,0.01,2.4020618556701034,1.0,0.0
13,13000000,32.529411764705884,25.547619047619047,17,42,1105.3836727519017,774.0138858882597,0.01,3.126743480897514,1.0,0.0
14,14000000,36.5625,26.575,16,40,1124.5106794918331,777.9901852378393,0.01,3.542525773195876,1.0,0.0
15,15000000,28.46153846153846,30.285714285714285,13,35,1119.5233623638717,778.2718250844667,0.01,2.7073750991276766,1.0,0.0
16,16000000,21.157894736842106,28.45945945945946,19,37,1115.4963700788592,774.5272031792613,0.01,1.954422137818774,1.0,0.0
17,17000000,34.93333333333333,24.976190476190474,15,42,1126.1943606469931,779.6944697489407,0.01,3.3745704467353947,1.0,0.0
18,18000000,32.76470588235294,32.38235294117647,17,34,1128.6985642429183,778.9173667357194,0.01,3.1510006064281386,1.0,0.0
19,19000000,8.4,29.972972972972972,5,37,1122.1149664465013,775.7255788154498,0.01,0.6391752577319588,0.6391752577319588,0.3608247422680412
20,20000000,35.11764705882353,31.416666666666668,17,36,1146.7620948411015,775.6425235435397,0.01,3.3935718617343844,1.0,0.0
21,21000000,30.444444444444443,31.486486486486488,18,37,1177.112865179798,776.0979704540963,0.01,2.911798396334479,1.0,0.0
22,22000000,40.0,34.6,14,35,1183.9997427378885,785.0572103691237,0.01,3.8969072164948453,1.0,0.0
23,23000000,29.36842105263158,32.69444444444444,19,36,1179.949355036536,784.5474404836308,0.01,2.800868149755833,1.0,0.0
24,24000000,32.76470588235294,35.90909090909091,17,33,1185.0508007108967,782.7856677794509,0.01,3.1510006064281386,1.0,0.0
25,25000000,34.6,36.09090909090909,15,33,1179.9137904066702,780.1319758621737,0.01,3.3402061855670104,1.0,0.0
26,26000000,32.76470588235294,35.5,17,34,1153.3183799178976,777.3478543835055,0.01,3.1510006064281386,1.0,0.0
27,27000000,33.72727272727273,34.285714285714285,11,35,1172.5663979411909,781.3986802389098,0.01,3.2502343017806936,1.0,0.0
28,28000000,34.166666666666664,35.515151515151516,18,33,1155.6505813024685,779.96369246104,0.01,3.2955326460481102,1.0,0.0
29,29000000,35.1875,33.86486486486486,16,37,1168.3515168656784,781.6004698943433,0.01,3.4007731958762886,1.0,0.0
30,30000000,43.05882352941177,36.94285714285714,17,35,1149.9211731772737,777.9999679567533,0.01,4.212249848392966,1.0,0.0
31,31000000,38.357142857142854,39.4375,14,32,1159.42408507422,776.6451607717493,0.01,3.7275405007363767,1.0,0.0
32,32000000,41.64705882352941,38.57575757575758,17,33,1176.4106652197809,778.9817183449328,0.01,4.0667070952092175,1.0,0.0
33,33000000,38.375,38.38235294117647,16,34,1184.0555459048412,768.9701265703548,0.01,3.729381443298969,1.0,0.0
34,34000000,29.933333333333334,39.6764705882353,15,34,1181.886976043173,768.3221102248191,0.01,2.8591065292096225,1.0,0.0
35,35000000,38.388888888888886,40.23529411764706,18,34,1176.8505457815997,768.2394648109868,0.01,3.730813287514318,1.0,0.0
36,36000000,36.23529411764706,43.696969696969695,17,33,1184.9549774435652,766.8694109311058,0.01,3.5087932080048514,1.0,0.0
37,37000000,47.3125,44.44117647058823,16,34,1126.3476148096518,758.0217457219699,0.01,4.650773195876289,1.0,0.0
38,38000000,44.125,42.2,16,35,1200.6338099009706,770.9453809430157,0.01,4.322164948453608,1.0,0.0
39,39000000,46.529411764705884,44.22857142857143,17,35,1164.4489735724312,761.5559067961683,0.01,4.570042449969679,1.0,0.0
40,40000000,38.6875,46.81818181818182,16,33,1184.5756420863345,767.1788114021733,0.01,3.76159793814433,1.0,0.0
41,41000000,44.23529411764706,46.8235294117647,17,34,1165.5860610434167,762.215978402549,0.01,4.333535476046088,1.0,0.0
42,42000000,48.888888888888886,47.142857142857146,18,35,1191.9119003587505,770.874126183492,0.01,4.813287514318442,1.0,0.0
43,43000000,53.35294117647059,49.542857142857144,17,35,1156.0641371882546,762.6944437727952,0.01,5.2734990903577925,1.0,0.0
44,44000000,50.4375,48.916666666666664,16,36,1191.2542602554447,770.6340146249174,0.01,4.972938144329897,1.0,0.0
45,45000000,50.3125,47.82857142857143,16,35,1166.763518421729,760.7095744189421,0.01,4.960051546391752,1.0,0.0
46,46000000,51.11764705882353,50.0,17,34,1193.7595269645356,770.9535434006389,0.01,5.0430563978168585,1.0,0.0
47,47000000,46.68421052631579,51.05882352941177,19,34,1153.6551411153628,766.6123287115977,0.01,4.586001085187195,1.0,0.0
48,48000000,53.588235294117645,51.0,17,36,1168.6194823647484,772.7075503300199,0.01,5.297756215888417,1.0,0.0
49,49000000,55.68421052631579,50.6578947368421,19,38,1132.5086985140433,771.9793558109924,0.01,5.513836136733587,1.0,0.0
50,50000000,56.75,53.513513513513516,16,37,1130.9515389928736,783.4707308900569,0.01,5.623711340206186,1.0,0.0
51,51000000,48.875,55.8235294117647,16,34,1146.354807646089,789.2561508479833,0.01,4.811855670103093,1.0,0.0
52,52000000,54.375,54.26470588235294,16,34,1125.9584833391584,788.8254408197321,0.01,5.378865979381444,1.0,0.0
53,53000000,59.470588235294116,56.17142857142857,17,35,1124.9661613199175,782.2318379841353,0.01,5.904184354154033,1.0,0.0
54,54000000,53.21052631578947,55.457142857142856,19,35,1104.8343418118388,778.7246084697646,0.01,5.258817145957678,1.0,0.0
55,55000000,54.125,55.861111111111114,16,36,1116.772782045262,784.7461615932941,0.01,5.353092783505155,1.0,0.0
56,56000000,58.666666666666664,56.611111111111114,18,36,1144.5580438396844,784.298567565234,0.01,5.821305841924398,1.0,0.0
57,57000000,56.294117647058826,57.2,17,35,1137.652364297555,788.9271724882453,0.01,5.576713159490601,1.0,0.0
58,58000000,59.11764705882353,56.027027027027025,17,37,1138.9793689308929,790.7148008013512,0.01,5.867798665858096,1.0,0.0
59,59000000,57.388888888888886,58.114285714285714,18,35,1127.5886418279636,791.6668337130856,0.01,5.689576174112257,1.0,0.0
60,60000000,57.666666666666664,61.911764705882355,18,34,1127.3140374367058,782.3825015211435,0.01,5.718213058419244,1.0,0.0
61,61000000,57.25,60.0,16,35,1139.7523501544745,786.8230165606523,0.01,5.675257731958763,1.0,0.0
62,62000000,63.1578947368421,59.94444444444444,19,36,1136.2806116371355,786.3244637832555,0.01,6.284319045035269,1.0,0.0
63,63000000,61.88235294117647,60.705882352941174,17,34,1128.3054605574418,787.3899325876663,0.01,6.1528198908429355,1.0,0.0
64,64000000,62.888888888888886,61.294117647058826,18,34,1135.207138273596,791.8731706029912,0.01,6.256586483390607,1.0,0.0
65,65000000,62.611111111111114,61.34285714285714,18,35,1103.0480657488565,789.2996701908969,0.01,6.22794959908362,1.0,0.0
66,66000000,63.94444444444444,60.97142857142857,18,35,1118.6248145121253,793.9193251106111,0.01,6.365406643757159,1.0,0.0
67,67000000,64.05555555555556,60.77777777777778,18,36,1141.37936127125,793.1080937605403,0.01,6.376861397479955,1.0,0.0
68,68000000,66.23529411764706,58.91891891891892,17,37,1125.9643089186607,790.0380932623196,0.01,6.601576713159491,1.0,0.0
69,69000000,59.666666666666664,60.97142857142857,18,35,1151.039382115653,784.5155589014354,0.01,5.9243986254295535,1.0,0.0
70,70000000,59.666666666666664,59.714285714285715,18,35,1122.2585317116193,771.9148121884651,0.01,5.9243986254295535,1.0,0.0
71,71000000,61.23529411764706,60.361111111111114,17,36,1156.3131938316264,780.2376116165011,0.01,6.086112795633717,1.0,0.0
72,72000000,60.111111111111114,62.189189189189186,18,37,1148.231263025609,768.7673736019441,0.01,5.970217640320733,1.0,0.0
73,73000000,62.588235294117645,59.0,17,37,1187.2621177489566,774.3536384045764,0.01,6.225591267434809,1.0,0.0
74,74000000,57.705882352941174,61.86486486486486,17,37,1188.046268309904,770.907182494256,0.01,5.722255912674348,1.0,0.0
75,75000000,61.888888888888886,61.5,18,36,1176.2667162820171,765.2985306184414,0.01,6.153493699885452,1.0,0.0
76,76000000,64.38888888888889,65.48571428571428,18,35,1175.9786092360948,766.6712558637464,0.01,6.4112256586483385,1.0,0.0
77,77000000,64.76470588235294,63.86486486486486,17,37,1171.8528425982008,770.1141615885798,0.01,6.449969678593087,1.0,0.0
78,78000000,64.61111111111111,62.82857142857143,18,35,1186.5339292982255,777.4659723396635,0.01,6.434135166093929,1.0,0.0
79,79000000,67.05555555555556,62.77777777777778,18,36,1189.5235016899755,777.6256301999697,0.01,6.686139747995418,1.0,0.0
80,80000000,64.47058823529412,64.57142857142857,17,35,1160.5150927188959,777.9041245082632,0.01,6.419648271679806,1.0,0.0
81,81000000,67.33333333333333,63.17142857142857,18,35,1173.9689181801846,771.0431102808634,0.01,6.714776632302406,1.0,0.0
82,82000000,64.77777777777777,65.85714285714286,18,35,1176.8172367372638,767.4293444808635,0.01,6.451317296678121,1.0,0.0
83,83000000,65.375,63.885714285714286,16,35,1189.7378224705446,773.2181444692206,0.01,6.512886597938144,1.0,0.0
84,84000000,63.23529411764706,62.74285714285714,17,35,1185.4797060387,770.8347816710941,0.01,6.2922983626440265,1.0,0.0
85,85000000,67.82352941176471,65.11428571428571,17,35,1186.4780925577547,774.9557236625536,0.01,6.765312310491208,1.0,0.0
86,86000000,66.58823529411765,63.65714285714286,17,35,1195.2150768248966,765.7861063353605,0.01,6.637962401455428,1.0,0.0
87,87000000,66.5,63.22857142857143,16,35,1183.9373082968764,771.2190591188694,0.01,6.628865979381444,1.0,0.0
88,88000000,66.82352941176471,63.72222222222222,17,36,1167.1710229770367,764.4463868145599,0.01,6.6622195269860525,1.0,0.0
89,89000000,66.38888888888889,63.361111111111114,18,36,1170.16424064785,770.709825379496,0.01,6.617411225658648,1.0,0.0
90,90000000,68.66666666666667,63.916666666666664,18,36,1154.7456849928892,774.8491978047377,0.01,6.8522336769759455,1.0,0.0
91,91000000,64.76470588235294,67.57142857142857,17,35,1166.6707826959935,779.3993389161616,0.01,6.449969678593087,1.0,0.0
92,92000000,64.23529411764706,64.71428571428571,17,35,1162.032622058196,779.1437159993369,0.01,6.395391146149182,1.0,0.0
93,93000000,66.83333333333333,67.08571428571429,18,35,1156.2539688634424,773.5193465480068,0.01,6.663230240549828,1.0,0.0
94,94000000,67.44444444444444,64.91176470588235,18,34,1163.498338665453,778.7412328963192,0.01,6.7262313860252005,1.0,0.0
95,95000000,65.94444444444444,66.83333333333333,18,36,1167.5043204497715,777.4111327973478,0.01,6.571592210767468,1.0,0.0
96,96000000,68.58823529411765,66.14285714285714,17,35,1173.3339710713792,778.7232162133213,0.01,6.844147968465737,1.0,0.0
97,97000000,70.94117647058823,66.13888888888889,17,36,1171.1165954301255,781.853331047835,0.01,7.086719223771983,1.0,0.0
98,98000000,62.705882352941174,67.11428571428571,17,35,1172.038740592518,779.4821807184243,0.01,6.237719830200121,1.0,0.0
99,99000000,68.88235294117646,66.62857142857143,17,35,1158.8014558888642,774.8243241673799,0.01,6.874469375379017,1.0,0.0
100,100000000,65.94117647058823,64.56756756756756,17,37,1146.2980769588426,776.1771139210372,0.01,6.57125530624621,1.0,0.0
101,101000000,66.84210526315789,66.45714285714286,19,35,1160.8143024509127,779.4990606030691,0.01,6.664134563212154,1.0,0.0
102,102000000,65.61111111111111,67.79411764705883,18,34,1135.572817594968,782.0764507182331,0.01,6.537227949599084,1.0,0.0
103,103000000,67.44444444444444,66.11428571428571,18,35,1151.6076569734885,789.8299600564534,0.01,6.7262313860252005,1.0,0.0
104,104000000,68.88235294117646,67.08571428571429,17,35,1140.9437023632893,789.0796847689486,0.01,6.874469375379017,1.0,0.0
105,105000000,63.78947368421053,67.22857142857143,19,35,1138.971746952315,788.1563068296146,0.01,6.349430276722735,1.0,0.0
106,106000000,60.72222222222222,66.0,18,34,1128.5983684006917,783.11173441443,0.01,6.033218785796105,1.0,0.0
107,107000000,64.0,67.51428571428572,17,35,1123.0309844179194,781.0759375385388,0.01,6.371134020618557,1.0,0.0
108,108000000,65.82352941176471,65.17647058823529,17,34,1133.6055044211414,784.5618428991856,0.01,6.559126743480898,1.0,0.0
109,109000000,66.29411764705883,63.7027027027027,17,37,1124.1230478845964,786.2279581049266,0.01,6.607640994542147,1.0,0.0
110,110000000,65.36842105263158,62.2972972972973,19,37,1120.7080291668183,782.8341382976728,0.01,6.5122083559414,1.0,0.0
111,111000000,62.578947368421055,64.83333333333333,19,36,1124.9358591685416,782.6178520316317,0.01,6.224633749321758,1.0,0.0
112,112000000,64.66666666666667,64.32432432432432,18,37,1125.2335893655359,783.2660102748977,0.01,6.439862542955328,1.0,0.0
113,113000000,67.38888888888889,66.14285714285714,18,35,1136.5593985452535,784.2195366102311,0.01,6.720504009163803,1.0,0.0
114,114000000,71.22222222222223,67.45714285714286,18,35,1127.9338275198606,787.9417391371728,0.01,7.11569301260023,1.0,0.0
115,115000000,60.4375,64.63888888888889,16,36,1120.4289049217816,782.5239258619714,0.01,6.003865979381444,1.0,0.0
