iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,1486.7176325458408,nan,1.0,-0.001629102826398135,-0.001629102826398135,1.0016291028263982
1,1000000,206.76258992805757,117.02127659574468,139,423,1381.3179060733814,812.2302677927313,0.8020002475,0.0032954223146135185,0.0032954223146135185,0.9967045776853865
2,2000000,192.42857142857142,218.01980198019803,140,303,1383.2428856806584,776.2045459860853,0.5545002475,0.0029540247992457403,0.0029540247992457403,0.9970459752007542
3,3000000,205.75539568345323,283.7647058823529,139,255,1339.4213463084648,786.0419369598733,0.3070002475,0.003271433674399822,0.003271433674399822,0.9967285663256001
4,4000000,441.1904761904762,253.22448979591837,84,245,1338.510684092939,791.4958516968542,0.05950024749999997,0.008878859918365662,0.008878859918365662,0.9911211400816343
5,5000000,354.0,348.4974093264249,90,193,1300.4698715445047,796.4701345673441,0.01,0.006802218818995722,0.006802218818995722,0.9931977811810043
6,6000000,604.931506849315,357.3604060913706,73,197,1264.8404606005931,803.5062261061199,0.01,0.0127787279862554,0.0127787279862554,0.9872212720137445
7,7000000,389.0,472.0987654320988,100,162,1248.8564034241954,807.8832718349915,0.01,0.007635824066421667,0.007635824066421667,0.9923641759335783
8,8000000,893.4426229508197,565.2112676056338,61,142,1242.7227399567994,810.7057315274772,0.01,0.019650281709767705,0.019650281709767705,0.9803497182902323
9,9000000,900.0,748.360655737705,57,122,1232.8578253501785,815.9991748497296,0.01,0.019806460678840482,0.019806460678840482,0.9801935393211595
10,10000000,962.2222222222222,975.5,63,120,1223.1545370264128,815.1311016986954,0.01,0.021288425563153274,0.021288425563153274,0.9787115744368468
11,11000000,901.4285714285714,1156.1467889908256,28,109,1229.8905488432808,817.4691612425768,0.01,0.01984048538281705,0.01984048538281705,0.980159514617183
12,12000000,1742.4242424242425,1574.2553191489362,33,94,1218.8925866862537,819.6720277902565,0.01,0.03987072550865979,0.03987072550865979,0.9601292744913402
13,13000000,2669.5238095238096,1720.2197802197802,21,91,1213.6447769679228,820.3816143095362,0.01,0.06195172733781757,0.06195172733781757,0.9380482726621824
14,14000000,1846.1538461538462,2221.7073170731705,26,82,1220.3014779805874,817.4407195713629,0.01,0.04234128385101441,0.04234128385101441,0.9576587161489856
15,15000000,3500.689655172414,3054.225352112676,29,71,1229.231181328421,819.4541539346076,0.01,0.08174784763535758,0.08174784763535758,0.9182521523646424
16,16000000,3858.75,3446.268656716418,16,67,1238.9312571993444,818.985462319784,0.01,0.09027587570231242,0.09027587570231242,0.9097241242976876
17,17000000,4382.0,3762.153846153846,20,65,1253.0308223039485,813.6569740481646,0.01,0.10273827415133033,0.10273827415133033,0.8972617258486697
18,18000000,4532.692307692308,5031.428571428572,26,63,1270.968849321353,806.9212181128283,0.01,0.10632735696387413,0.10632735696387413,0.8936726430361259
