iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-9488.017777777777,nan,225,0,1182.517822226147,nan,1.0,0.5963453454394745,0.5963453454394745,0.4036546545605255
1,1000000,-29973.296296296296,-16636.721393034826,27,201,1155.5556340625017,755.5336992801325,0.8020002475,-1.0089330389223818,-1.0089330389223818,2.0089330389223816
2,2000000,-9438.805309734513,-19004.68831168831,226,154,1148.1761616101194,686.445663359998,0.5545002475,0.6002017592597473,0.6002017592597473,0.3997982407402527
3,3000000,-9335.100436681223,-18786.0,229,153,1140.1818148813188,687.7711626785111,0.3070002475,0.6083283361532439,0.6083283361532439,0.3916716638467561
4,4000000,-29976.48148148148,-19927.867647058825,27,136,1159.1681812987429,681.2505102453855,0.05950024749999997,-1.0091826381125195,-1.0091826381125195,2.0091826381125193
5,5000000,-29975.555555555555,-23797.699029126212,27,103,1168.1311410077187,679.2850078636815,0.01,-1.0091100802084096,-1.0091100802084096,2.0091100802084094
6,6000000,-21092.90740740741,-22750.441441441442,54,111,1187.1925050070536,678.5365825593727,0.01,-0.3130432410280703,-0.3130432410280703,1.3130432410280704
7,7000000,-19676.80821917808,-21311.15702479339,73,121,1210.740382352935,663.1264946383506,0.01,-0.20207411678980683,-0.20207411678980683,1.2020741167898068
8,8000000,-29974.11111111111,-22304.63716814159,27,113,1235.1262906262157,645.3943471060439,0.01,-1.0089968898779984,-1.0089968898779984,2.0089968898779986
9,9000000,-29975.555555555555,-22440.53982300885,27,113,1282.051413550859,650.2855496001993,0.01,-1.0091100802084096,-1.0091100802084096,2.0091100802084094
10,10000000,-29291.321428571428,-22420.821428571428,28,112,1294.0250452464518,645.9817266760534,0.01,-0.9554917585000964,-0.9554917585000964,1.9554917585000964
11,11000000,-10292.037634408602,-21463.388429752067,186,121,1305.1766019839072,647.4435491732995,0.01,0.5333403101269001,0.5333403101269001,0.4666596898730999
12,12000000,-29976.62962962963,-21707.177966101695,27,118,1338.8872396695067,651.7402764729786,0.01,-1.0091942473771771,-1.0091942473771771,2.0091942473771773
13,13000000,-29974.0,-21589.479338842975,27,121,1324.539575381369,645.3895113542603,0.01,-1.0089881829295053,-1.0089881829295053,2.0089881829295053
