iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,24.615384615384617,nan,13,0,1331.042580866324,nan,1.0,-0.10925526720268117,-0.10925526720268117,1.1092552672026812
1,1000000,0.0,2377.1428571428573,17,35,1319.29630553402,683.9788030227319,0.8020002475,-0.11147478900670849,-0.11147478900670849,1.1114747890067085
2,2000000,20.0,2667.2727272727275,12,33,1331.9795997230412,623.1171291294679,0.5545002475,-0.10967142754093628,-0.10967142754093628,1.1096714275409363
3,3000000,5.714285714285714,1858.888888888889,14,36,1301.523465266735,605.091318374841,0.3070002475,-0.1109595428736307,-0.1109595428736307,1.1109595428736307
4,4000000,8.0,1352.5714285714287,10,35,1351.1909283762443,600.5611765401503,0.05950024749999997,-0.11075344442039961,-0.11075344442039961,1.1107534444203997
5,5000000,127.05882352941177,262.7586206896552,17,29,1279.8567927084946,593.2398156655505,0.01,-0.10001813969474393,-0.10001813969474393,1.100018139694744
6,6000000,10.0,261.1764705882353,8,34,1367.7334185070085,585.6400445228136,0.01,-0.11057310827382238,-0.11057310827382238,1.1105731082738224
7,7000000,0.0,438.125,16,32,1323.7624457684021,585.3633548311659,0.01,-0.11147478900670849,-0.11147478900670849,1.1114747890067085
8,8000000,2.857142857142857,290.625,28,32,1270.1711760422877,593.8524663748717,0.01,-0.1112171659401696,-0.1112171659401696,1.1112171659401695
9,9000000,16.0,330.6666666666667,20,30,1293.9925926072372,600.0042130620074,0.01,-0.11003209983409072,-0.11003209983409072,1.1100320998340907
10,10000000,0.0,418.51851851851853,29,27,1287.561793971214,612.4757525390693,0.01,-0.11147478900670849,-0.11147478900670849,1.1114747890067085
11,11000000,0.0,424.82758620689657,5,29,1277.3889804798373,609.5976591594225,0.01,-0.11147478900670849,-0.11147478900670849,1.1114747890067085
12,12000000,8.0,549.4117647058823,20,34,1310.5716224562968,608.9646467594351,0.01,-0.11075344442039961,-0.11075344442039961,1.1107534444203997
13,13000000,150.0,617.5757575757576,8,33,1276.504341647694,611.6972672524693,0.01,-0.097949578013417,-0.097949578013417,1.097949578013417
14,14000000,0.0,449.3333333333333,8,30,1304.6966150115243,613.1276304983054,0.01,-0.11147478900670849,-0.11147478900670849,1.1114747890067085
15,15000000,0.0,480.0,5,36,1274.2088002568855,612.3938183694291,0.01,-0.11147478900670849,-0.11147478900670849,1.1114747890067085
16,16000000,5.714285714285714,537.8571428571429,14,28,1312.9796641847229,613.9855280883636,0.01,-0.1109595428736307,-0.1109595428736307,1.1109595428736307
17,17000000,57.5,908.3870967741935,8,31,1276.8467482093354,616.4972213201098,0.01,-0.10629012479261342,-0.10629012479261342,1.1062901247926133
18,18000000,240.0,774.5454545454545,11,33,1304.0195142258267,615.012873322778,0.01,-0.08983445141744209,-0.08983445141744209,1.089834451417442
19,19000000,560.0,666.6666666666666,5,30,1290.3006002407437,610.3490057869883,0.01,-0.06098066796508691,-0.06098066796508691,1.0609806679650868
20,20000000,0.0,974.6666666666666,10,30,1323.4825392003306,600.7610380760818,0.01,-0.11147478900670849,-0.11147478900670849,1.1114747890067085
21,21000000,10.434782608695652,897.0370370370371,23,27,1328.0202201506868,597.2796452471218,0.01,-0.1105339047636969,-0.1105339047636969,1.1105339047636968
22,22000000,272.5,778.0645161290323,8,31,1339.9730436120706,589.2415865251271,0.01,-0.08690398903556228,-0.08690398903556228,1.0869039890355623
23,23000000,1842.5,693.125,8,32,1305.5096210934473,591.7189246535658,0.01,0.05465988602755536,0.05465988602755536,0.9453401139724447
24,24000000,744.0,1193.3333333333333,10,30,1337.6946075549224,591.1742277115407,0.01,-0.044389742479982675,-0.044389742479982675,1.0443897424799826
25,25000000,1570.0,1182.962962962963,6,27,1303.4420425093003,593.5036776201982,0.01,0.030089086056409146,0.030089086056409146,0.9699109139435909
26,26000000,27.586206896551722,1170.0,29,28,1305.8724003110467,605.2130029088223,0.01,-0.10898739388150547,-0.10898739388150547,1.1089873938815056
27,27000000,593.8461538461538,1324.4444444444443,13,27,1305.3602768265341,603.8661321940507,0.01,-0.05792882548454935,-0.05792882548454935,1.0579288254845494
28,28000000,4270.0,708.1481481481482,10,27,1293.9381561423181,614.3383573195985,0.01,0.273542883935656,0.273542883935656,0.726457116064344
29,29000000,28.571428571428573,1468.125,14,32,1313.7376018238224,617.8800603258749,0.01,-0.10889855834131962,-0.10889855834131962,1.1088985583413196
30,30000000,0.0,1177.9310344827586,6,29,1282.091304111441,609.023040222118,0.01,-0.11147478900670849,-0.11147478900670849,1.1114747890067085
31,31000000,0.0,1220.6896551724137,8,29,1275.7379052609492,606.5352173729675,0.01,-0.11147478900670849,-0.11147478900670849,1.1114747890067085
32,32000000,811.1111111111111,1264.1379310344828,9,29,1286.457051089712,602.629337893735,0.01,-0.038338462894835966,-0.038338462894835966,1.038338462894836
33,33000000,1065.0,684.8484848484849,12,33,1298.9623843115776,608.5405685487393,0.01,-0.015445790954338881,-0.015445790954338881,1.0154457909543388
34,34000000,617.1428571428571,702.4242424242424,14,33,1297.7230082824515,608.4278148227521,0.01,-0.0558282066343092,-0.0558282066343092,1.0558282066343092
35,35000000,177.77777777777777,941.5,9,40,1270.6707561658363,611.9821595725338,0.01,-0.0954449093109556,-0.0954449093109556,1.0954449093109555
36,36000000,4862.222222222223,1720.0,9,34,1290.7461541930898,605.4880351801596,0.01,0.3269424206721328,0.3269424206721328,0.6730575793278673
37,37000000,212.5,1221.875,8,32,1286.2916208733325,591.2638853697259,0.01,-0.09231407343287887,-0.09231407343287887,1.092314073432879
38,38000000,318.3333333333333,1033.75,12,32,1292.8417457600524,607.0838768790401,0.01,-0.082771285676501,-0.082771285676501,1.082771285676501
39,39000000,1454.5454545454545,1484.8275862068965,11,29,1303.45850555232,596.7145954234448,0.01,0.01967877214036054,0.01967877214036054,0.9803212278596395
40,40000000,1588.0,1660.0,15,35,1326.4156576938492,591.5596883822709,0.01,0.031712111375604125,0.031712111375604125,0.9682878886243959
41,41000000,2042.2222222222222,1644.8484848484848,9,33,1343.9800797188395,587.5935277328036,0.01,0.07266845399825274,0.07266845399825274,0.9273315460017473
42,42000000,285.0,1150.5555555555557,16,36,1315.1491776636424,586.3374809465113,0.01,-0.08577688811945465,-0.08577688811945465,1.0857768881194547
43,43000000,464.0,1270.0,10,34,1308.6049292007312,589.6307291697401,0.01,-0.06963680300079346,-0.06963680300079346,1.0696368030007934
44,44000000,954.2857142857143,2446.0,14,30,1315.9843114273424,593.7007335426151,0.01,-0.025428684782720694,-0.025428684782720694,1.0254286847827208
45,45000000,2400.0,1808.6486486486488,8,37,1302.1150981854266,600.4843837046785,0.01,0.10492858688595541,0.10492858688595541,0.8950714131140446
46,46000000,657.7777777777778,1900.0,9,30,1307.7812739713656,611.362918738776,0.01,-0.05216423413242282,-0.05216423413242282,1.0521642341324229
47,47000000,1643.6363636363637,1587.3333333333333,11,30,1302.4601221719663,603.2910028763055,0.01,0.036728735089479526,0.036728735089479526,0.9632712649105205
48,48000000,2913.3333333333335,2255.483870967742,12,31,1300.145264025797,616.7971013165818,0.01,0.15121486450744187,0.15121486450744187,0.8487851354925582
49,49000000,1592.7272727272727,1883.030303030303,11,33,1308.8878459169184,617.4441734397109,0.01,0.032138360449332104,0.032138360449332104,0.9678616395506678
50,50000000,2522.222222222222,1513.142857142857,9,35,1308.1185809090957,611.8996600264626,0.01,0.11594912917678551,0.11594912917678551,0.8840508708232144
51,51000000,664.4444444444445,1771.1764705882354,9,34,1301.9637262643444,614.5827378543138,0.01,-0.05156311364383209,-0.05156311364383209,1.0515631136438321
52,52000000,3281.6666666666665,2716.551724137931,12,29,1306.5370051339105,615.0630177739293,0.01,0.18442677150207984,0.18442677150207984,0.8155732284979201
53,53000000,2300.0,2301.25,6,32,1302.7994392820997,617.4688189267702,0.01,0.09591177955709441,0.09591177955709441,0.9040882204429056
54,54000000,855.7142857142857,2386.6666666666665,14,30,1302.6454938470722,604.5327153456149,0.01,-0.034316680578312254,-0.034316680578312254,1.0343166805783122
55,55000000,1375.0,2228.125,8,32,1304.4187278911727,607.1929447290056,0.01,0.012506311765130205,0.012506311765130205,0.9874936882348698
56,56000000,2185.4545454545455,2294.8387096774195,11,31,1308.2648493187903,600.3973036107175,0.01,0.08558343661676274,0.08558343661676274,0.9144165633832373
57,57000000,6408.888888888889,3233.5714285714284,9,28,1311.9864761508925,601.7965695549482,0.01,0.46640237402518286,0.46640237402518286,0.5335976259748172
58,58000000,4760.0,1798.125,10,32,1310.9232638240578,590.1582813978393,0.01,0.3177252398470749,0.3177252398470749,0.6822747601529251
59,59000000,1594.5454545454545,1834.8387096774193,11,31,1327.424327650519,589.9412357266891,0.01,0.03230230240076593,0.03230230240076593,0.9676976975992341
60,60000000,5513.333333333333,1867.878787878788,12,33,1353.1286455903476,588.2657599258678,0.01,0.3856518550578277,0.3856518550578277,0.6143481449421724
61,61000000,1597.7777777777778,2611.3333333333335,9,30,1289.9183719495704,593.05445314017,0.01,0.03259375475887054,0.03259375475887054,0.9674062452411295
62,62000000,2180.0,1575.8823529411766,12,34,1315.560756863114,599.4512827075614,0.01,0.08509161076246122,0.08509161076246122,0.9149083892375388
63,63000000,2102.0,1929.6774193548388,10,31,1310.322727807575,605.6386492270209,0.01,0.07805850104594965,0.07805850104594965,0.9219414989540503
64,64000000,1883.076923076923,2296.6666666666665,13,30,1299.8393555735026,609.5497953681228,0.01,0.05831862900138165,0.05831862900138165,0.9416813709986184
65,65000000,1002.8571428571429,1912.4137931034484,14,29,1303.3086004001023,612.8672803718844,0.01,-0.02104909265155964,-0.02104909265155964,1.0210490926515596
66,66000000,3263.3333333333335,1442.5806451612902,6,31,1290.4743625413453,616.3819934805939,0.01,0.18277369015845535,0.18277369015845535,0.8172263098415447
67,67000000,2937.5,1805.3333333333333,8,30,1287.436439616268,607.2355214120107,0.01,0.15339392627858325,0.15339392627858325,0.8466060737214167
68,68000000,2221.5384615384614,1726.4285714285713,13,28,1307.1585116555598,612.5416431567079,0.01,0.08883705380675731,0.08883705380675731,0.9111629461932427
69,69000000,545.4545454545455,2113.3333333333335,11,27,1302.5190946925316,609.8374348512267,0.01,-0.0622922035765576,-0.0622922035765576,1.0622922035765576
70,70000000,1088.5714285714287,2270.967741935484,7,31,1286.6346054260655,615.514697442972,0.01,-0.013320400655393066,-0.013320400655393066,1.013320400655393
71,71000000,3087.2727272727275,2176.5714285714284,11,35,1281.367555463432,611.6508322778444,0.01,0.16689864452794553,0.16689864452794553,0.8331013554720544
72,72000000,2121.818181818182,2160.6451612903224,11,31,1292.771900050996,610.2287675669529,0.01,0.07984546831657847,0.07984546831657847,0.9201545316834215
73,73000000,1513.8461538461538,2306.6666666666665,13,30,1314.6203020665664,604.526180807012,0.01,0.025025801940971815,0.025025801940971815,0.9749741980590282
74,74000000,2456.3636363636365,2637.2413793103447,11,29,1329.029339627389,597.247685748877,0.01,0.11001078738040435,0.11001078738040435,0.8899892126195956
75,75000000,3848.0,1731.3333333333333,10,30,1331.0303635841024,592.4013690894983,0.01,0.2354919570078626,0.2354919570078626,0.7645080429921374
76,76000000,1408.0,2064.137931034483,15,29,1331.3490492655021,577.1805793857889,0.01,0.015481858183654334,0.015481858183654334,0.9845181418163457
77,77000000,1425.7142857142858,2498.75,7,32,1344.7293430902225,585.8527834192477,0.01,0.01707912119619543,0.01707912119619543,0.9829208788038045
78,78000000,1292.3076923076924,1878.7878787878788,13,33,1322.0899196767837,592.6309473923412,0.01,0.005050105704725927,0.005050105704725927,0.994949894295274
79,79000000,541.1764705882352,2545.5172413793102,17,29,1299.5945073625726,594.5889116436413,0.01,-0.06267794934463722,-0.06267794934463722,1.0626779493446372
80,80000000,1973.3333333333333,1866.25,15,32,1300.9369162762166,610.2093554439905,0.01,0.06645687561614849,0.06645687561614849,0.9335431243838515
81,81000000,2004.4444444444443,2026.0,9,30,1294.3147834397603,608.6354725163905,0.01,0.06926210456290524,0.06926210456290524,0.9307378954370947
82,82000000,3826.6666666666665,1732.4137931034484,9,29,1304.843758183784,610.8901554358807,0.01,0.23356837144437229,0.23356837144437229,0.7664316285556277
83,83000000,2268.8888888888887,2203.2258064516127,9,31,1298.9376599022085,618.2681646882143,0.01,0.09310655061033764,0.09310655061033764,0.9068934493896623
84,84000000,1796.923076923077,2008.125,13,32,1315.4820940485602,618.3347117102263,0.01,0.05055030268728602,0.05055030268728602,0.949449697312714
85,85000000,2414.5454545454545,2524.0,11,30,1299.4509688942337,610.0435441113877,0.01,0.10624012249742609,0.10624012249742609,0.8937598775025739
86,86000000,490.6666666666667,2396.8,15,25,1310.3251112112619,608.6114193720011,0.01,-0.06723232104643052,-0.06723232104643052,1.0672323210464305
87,87000000,1968.0,1963.5294117647059,10,34,1302.9050550375096,612.3033812500278,0.01,0.06597597922527591,0.06597597922527591,0.9340240207747241
88,88000000,1142.5,2602.1428571428573,8,28,1298.203095613202,618.3314093608269,0.01,-0.00845776527447161,-0.00845776527447161,1.0084577652744715
89,89000000,1151.111111111111,1948.9655172413793,9,29,1303.6766334329582,609.1743856566925,0.01,-0.007681317976708582,-0.007681317976708582,1.0076813179767086
90,90000000,1658.1818181818182,1542.2222222222222,11,27,1315.8677089676075,608.3332773197127,0.01,0.038040270700950216,0.038040270700950216,0.9619597292990498
91,91000000,1696.3636363636363,2055.3846153846152,11,26,1326.7595642368794,597.786937440905,0.01,0.041483051681060756,0.041483051681060756,0.9585169483189393
92,92000000,383.6363636363636,2303.5714285714284,11,28,1310.147613089397,590.4403202587802,0.01,-0.07688303725416903,-0.07688303725416903,1.0768830372541691
93,93000000,2222.8571428571427,2226.896551724138,14,29,1346.4047874832215,588.0117860426114,0.01,0.08895595676054449,0.08895595676054449,0.9110440432394555
94,94000000,571.4285714285714,2450.344827586207,14,29,1320.6068593108475,595.2307758797268,0.01,-0.059950175698931366,-0.059950175698931366,1.0599501756989314
95,95000000,2391.6666666666665,1988.3333333333333,12,24,1316.4320061366727,597.5488477784636,0.01,0.10417718627521698,0.10417718627521698,0.895822813724783
96,96000000,648.8888888888889,2130.0,9,28,1297.7241618171663,597.1633976824556,0.01,-0.05296572811721047,-0.05296572811721047,1.0529657281172105
