iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,276.5,nan,230,0,1301.1305608426283,nan,1.0,0.08450055895311369,0.08450055895311369,0.9154994410468863
1,1000000,266.18918918918916,153.49272349272348,185,481,1282.619067069657,766.0307704901987,0.8020002475,0.07772025329729017,0.07772025329729017,0.9222797467027098
2,2000000,187.7832512315271,177.21978021978023,203,455,1278.1183910829243,673.5115435535195,0.5545002475,0.02616114370456177,0.02616114370456177,0.9738388562954382
3,3000000,195.06410256410257,172.1124031007752,312,516,1269.9376017746606,677.7104394279247,0.3070002475,0.030948972554811972,0.030948972554811972,0.969051027445188
4,4000000,238.41836734693877,257.30676328502415,196,414,1271.4971645148746,677.2963672506822,0.05950024749999997,0.05945838584003338,0.05945838584003338,0.9405416141599666
5,5000000,450.6622516556291,329.3066666666667,151,375,1282.618148233786,670.9808580248591,0.01,0.1990282446607675,0.1990282446607675,0.8009717553392325
6,6000000,563.4931506849315,458.155487804878,146,328,1276.918179462532,673.444594941456,0.01,0.2732249297592763,0.2732249297592763,0.7267750702407236
7,7000000,549.4067796610169,567.7814569536424,177,302,1256.2173459106136,674.2484246017847,0.01,0.26396184629513836,0.26396184629513836,0.7360381537048617
8,8000000,524.0816326530612,662.4334600760457,147,263,1261.9089895017212,673.5231292738438,0.01,0.24730823479520037,0.24730823479520037,0.7526917652047996
9,9000000,624.8496240601504,670.6547619047619,133,252,1216.682657488316,661.1259703667821,0.01,0.3135724495693762,0.3135724495693762,0.6864275504306239
10,10000000,978.5185185185185,661.6539923954373,81,263,1168.4266842662391,657.5127986309919,0.01,0.5461422493052663,0.5461422493052663,0.45385775069473366
11,11000000,508.7037037037037,683.4842519685039,162,254,1106.702733777435,661.4871101394313,0.01,0.23719583330288926,0.23719583330288926,0.7628041666971107
12,12000000,584.3333333333334,723.477366255144,150,243,1065.2289669378492,664.6660067796013,0.01,0.2869292650314548,0.2869292650314548,0.7130707349685452
13,13000000,769.5798319327731,761.1063829787234,119,235,1091.2456189388756,665.8403415113861,0.01,0.40874586172997507,0.40874586172997507,0.5912541382700249
14,14000000,753.5833333333334,764.9148936170212,120,235,1150.3544258060733,653.0146357303909,0.01,0.39822669384713183,0.39822669384713183,0.6017733061528682
15,15000000,708.3687943262412,809.8214285714286,141,224,1207.5473149789705,644.748153371788,0.01,0.3684939793031112,0.3684939793031112,0.6315060206968888
16,16000000,670.0,808.3905579399142,139,233,1276.5757942103958,647.740023837097,0.01,0.34326297100019726,0.34326297100019726,0.6567370289998027
17,17000000,749.8701298701299,804.0625,154,240,1395.2600286741313,622.7450510561135,0.01,0.3957849213323666,0.3957849213323666,0.6042150786676335
18,18000000,819.4196428571429,764.9607843137255,112,255,1403.497852928172,617.8726557806565,0.01,0.44152011761500815,0.44152011761500815,0.5584798823849919
19,19000000,545.0613496932515,842.8571428571429,163,224,1398.9206384404722,614.8769043534105,0.01,0.26110432675297657,0.26110432675297657,0.7388956732470234
20,20000000,910.4424778761062,830.9957627118644,113,236,1393.92696380638,615.6103551677185,0.01,0.5013759964990505,0.5013759964990505,0.4986240035009495
21,21000000,637.6100628930818,842.5862068965517,159,232,1384.2703925768737,614.702871726311,0.01,0.32196361076680596,0.32196361076680596,0.678036389233194
22,22000000,1069.89010989011,887.9111111111112,91,225,1374.570362721154,615.3423169294109,0.01,0.6062274675413362,0.6062274675413362,0.39377253245866384
23,23000000,631.8954248366013,892.3451327433628,153,226,1379.4746618324791,619.9182194777047,0.01,0.3182057110781885,0.3182057110781885,0.6817942889218115
24,24000000,934.3162393162393,909.4883720930233,117,215,1388.459942914926,616.0977168506494,0.01,0.5170751886080353,0.5170751886080353,0.48292481139196475
25,25000000,925.969387755102,941.4018691588785,98,214,1383.659210705335,618.3167751544698,0.01,0.511586366643718,0.511586366643718,0.48841363335628196
26,26000000,1181.3186813186812,1004.3069306930693,91,202,1385.2650381871974,616.7544118453935,0.01,0.6795019933706065,0.6795019933706065,0.32049800662939354
27,27000000,838.0681818181819,1023.8423645320197,132,203,1392.5867004728732,617.6492868540004,0.01,0.4537832457540487,0.4537832457540487,0.5462167542459513
28,28000000,1216.195652173913,1028.575,92,200,1393.0094678714056,619.1031714018906,0.01,0.7024368068481048,0.7024368068481048,0.29756319315189517
29,29000000,1326.012658227848,1169.1436464088397,79,181,1397.830881713255,619.1377594170546,0.01,0.7746515803431631,0.7746515803431631,0.22534841965683694
30,30000000,925.4054054054054,1160.0819672131147,111,183,1400.7926206013376,622.2731149140477,0.01,0.5112154964196787,0.5112154964196787,0.48878450358032133
31,31000000,1034.7894736842106,1234.1812865497077,95,171,1399.7833203782866,625.2495679084715,0.01,0.5831455735412708,0.5831455735412708,0.41685442645872917
32,32000000,1629.090909090909,1353.9423076923076,66,156,1453.0414630013645,628.3001819401287,0.01,0.9739533827125068,0.9739533827125068,0.026046617287493246
33,33000000,1629.6323529411766,1382.2077922077922,68,154,1437.0629416228262,627.0793032952125,0.01,0.9743094318019179,0.9743094318019179,0.02569056819808213
34,34000000,1540.4347826086957,1414.6815286624203,69,157,1418.8968038112798,624.225712303359,0.01,0.9156538321882657,0.9156538321882657,0.08434616781173432
35,35000000,1989.7413793103449,1584.0647482014388,58,139,1452.7581949489793,624.5240973989221,0.01,1.2111142101074142,1.0,0.0
36,36000000,1762.089552238806,1629.3430656934306,67,137,1456.7158154602018,626.7982715734146,0.01,1.061412212953775,1.0,0.0
37,37000000,2021.2711864406779,1760.5384615384614,59,130,1421.9914135876475,630.1353717724032,0.01,1.2318479558365738,1.0,0.0
38,38000000,2000.7758620689656,1746.5234375,58,128,1418.9150453409056,623.0078695237404,0.01,1.218370396573266,1.0,0.0
