iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,579.8507462686567,nan,134,0,1890.822803722455,nan,1.0,-0.008778349022672988,-0.008778349022672988,1.008778349022673
1,1000000,0.0,620.675105485232,82,237,1373.7075309781885,909.3261196269245,0.8020002475,-0.06926768203630294,-0.06926768203630294,1.069267682036303
2,2000000,528.8135593220339,626.9387755102041,118,245,1366.8791205427779,692.118051226883,0.5545002475,-0.014102487030874824,-0.014102487030874824,1.0141024870308748
3,3000000,906.3492063492064,725.5474452554745,315,274,1392.6982021082683,688.0908711833084,0.3070002475,0.02528157796257108,0.02528157796257108,0.9747184220374289
4,4000000,728.8288288288288,914.4329896907217,222,485,1374.127391435852,691.5918720336169,0.05950024749999997,0.0067628655152126875,0.0067628655152126875,0.9932371344847873
5,5000000,702.6490066225166,866.8903803131991,151,447,1331.262372155925,693.1957727187714,0.01,0.004031817924318443,0.004031817924318443,0.9959681820756816
6,6000000,851.0,898.5111662531017,200,403,1338.6948021395863,692.7886625296314,0.01,0.019507615272272065,0.019507615272272065,0.9804923847277279
7,7000000,1208.5227272727273,1097.948717948718,176,390,1329.2372768941548,693.5600796100468,0.01,0.05680395652751171,0.05680395652751171,0.9431960434724883
8,8000000,1200.0,1356.0693641618498,165,346,1338.0023479616796,689.5688062367626,0.01,0.055914875860630084,0.055914875860630084,0.94408512413937
9,9000000,1895.8677685950413,1433.3333333333333,121,351,1325.1596784648405,694.5142807560871,0.01,0.12850696521959537,0.12850696521959537,0.8714930347804046
10,10000000,2025.8064516129032,1628.6153846153845,124,325,1328.0797964438445,692.738432550295,0.01,0.1420620124778743,0.1420620124778743,0.8579379875221257
11,11000000,2333.12101910828,1945.9649122807018,157,285,1347.7071045272612,688.2024165042639,0.01,0.1741206988429251,0.1741206988429251,0.8258793011570749
12,12000000,2493.8931297709923,2438.1322957198445,131,257,1324.0103114996168,695.4402763596938,0.01,0.19089225221896436,0.19089225221896436,0.8091077477810357
13,13000000,4085.8490566037735,3009.8360655737706,106,244,1336.7661906469316,694.584958094594,0.01,0.3569631813690563,0.3569631813690563,0.6430368186309436
