iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-10.0,nan,102,0,1442.694023857485,nan,1.0,0.0,0.0,1.0
1,1000000,-10.0,-9.986607142857142,102,224,1437.4106766752986,758.9084808376585,0.8020002475,0.0,0.0,1.0
2,2000000,-10.0,-9.99056603773585,144,212,1432.774290147757,675.261131516002,0.5545002475,0.0,0.0,1.0
3,3000000,-10.0,-9.975369458128078,131,203,1433.61150937865,679.2867987225045,0.3070002475,0.0,0.0,1.0
4,4000000,-10.0,-9.967567567567567,64,185,1433.4517293140445,676.0027967208536,0.05950024749999997,0.0,0.0,1.0
5,5000000,-9.134615384615385,-9.751824817518248,52,137,1436.1625843358484,677.2666824645278,0.01,0.05244755244755242,0.05244755244755242,0.9475524475524476
6,6000000,-8.11111111111111,-9.376068376068377,45,117,1431.3265121429697,671.3656305212678,0.01,0.1144781144781145,0.1144781144781145,0.8855218855218855
7,7000000,-9.95945945945946,-8.656565656565656,74,99,1423.998652326421,680.2546887950664,0.01,0.0024570024570024452,0.0024570024570024452,0.9975429975429976
8,8000000,-4.346153846153846,-8.451612903225806,26,93,1425.3729414999875,671.4171126034379,0.01,0.34265734265734266,0.34265734265734266,0.6573426573426573
9,9000000,-9.326530612244898,-8.778947368421052,49,95,1419.5815201497505,672.7246881974025,0.01,0.04081632653061222,0.04081632653061222,0.9591836734693878
10,10000000,-9.472727272727273,-8.929292929292929,55,99,1431.2091916708364,671.192657642487,0.01,0.03195592286501378,0.03195592286501378,0.9680440771349862
11,11000000,-7.3076923076923075,-8.56989247311828,39,93,1428.1448110526655,670.9693217133911,0.01,0.1631701631701632,0.1631701631701632,0.8368298368298368
12,12000000,-3.814814814814815,-7.594936708860759,27,79,1431.9115866098603,666.8124360450106,0.01,0.37485970819304154,0.37485970819304154,0.6251402918069584
13,13000000,-3.04,-5.068965517241379,25,58,1421.1892413924136,674.9499917230271,0.01,0.4218181818181818,0.4218181818181818,0.5781818181818181
