iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,-18.4,nan,5,0,1294.653658648134,nan,1.0,0.34838709677419366,0.34838709677419366,0.6516129032258063
1,1000000,-24.0,-23.905405405405407,66,148,1183.6725211705027,815.8947211237811,0.8020002475,-0.012903225806451568,-0.012903225806451568,1.0129032258064516
2,2000000,-24.0,-23.918367346938776,82,147,1175.716423872907,747.3322406181878,0.5545002475,-0.012903225806451568,-0.012903225806451568,1.0129032258064516
3,3000000,-23.76,-23.58267716535433,50,127,1171.965342889523,782.8352121470443,0.3070002475,0.0025806451612902675,0.0025806451612902675,0.9974193548387097
4,4000000,-22.3125,-23.083969465648856,16,131,1156.3053965154745,780.5323172986149,0.05950024749999997,0.09596774193548392,0.09596774193548392,0.904032258064516
5,5000000,-9.2,-21.52173913043478,5,46,1162.7733266115952,776.5161060069549,0.01,0.9419354838709678,0.9419354838709678,0.058064516129032184
6,6000000,-23.76,-16.88235294117647,25,17,1109.64326612893,758.5945241403869,0.01,0.0025806451612902675,0.0025806451612902675,0.9974193548387097
7,7000000,-22.045454545454547,-17.727272727272727,22,22,1086.1618591545096,743.9673183616375,0.01,0.11319648093841639,0.11319648093841639,0.8868035190615836
8,8000000,-23.596491228070175,-20.844444444444445,57,45,1042.5721999620703,722.2229029409814,0.01,0.013129598189021038,0.013129598189021038,0.986870401810979
9,9000000,-23.442307692307693,-23.129032258064516,52,93,1056.9996477492816,710.1701164346483,0.01,0.023076923076923054,0.023076923076923054,0.9769230769230769
10,10000000,-23.022222222222222,-22.468354430379748,45,79,1102.0098009029934,749.8732427391393,0.01,0.0501792114695341,0.0501792114695341,0.9498207885304659
11,11000000,-22.666666666666668,-22.942528735632184,30,87,1085.1083226040257,770.9176995262393,0.01,0.07311827956989245,0.07311827956989245,0.9268817204301075
12,12000000,-22.939393939393938,-21.47457627118644,33,59,1131.4010408957058,782.3596114754024,0.01,0.055522971652004066,0.055522971652004066,0.944477028347996
13,13000000,-22.15625,-22.92207792207792,32,77,1088.033550842953,763.6415576071752,0.01,0.10604838709677424,0.10604838709677424,0.8939516129032258
14,14000000,-22.75,-22.431372549019606,12,51,1105.381402702134,761.3458041209223,0.01,0.06774193548387102,0.06774193548387102,0.932258064516129
15,15000000,-20.23076923076923,-20.794117647058822,13,34,1145.9203629923777,752.8077847416034,0.01,0.2302729528535981,0.2302729528535981,0.7697270471464019
16,16000000,-21.545454545454547,-20.848484848484848,22,33,1118.9865863498028,752.1606255677643,0.01,0.14545454545454542,0.14545454545454542,0.8545454545454546
17,17000000,-15.857142857142858,-18.92,7,25,1111.6625320413207,753.9607732149076,0.01,0.5124423963133641,0.5124423963133641,0.4875576036866359
18,18000000,-18.5,-18.535714285714285,6,28,1094.7004642794209,732.4325203768511,0.01,0.3419354838709678,0.3419354838709678,0.6580645161290322
19,19000000,-18.75,-19.821428571428573,12,28,1160.941193516872,739.0306742243338,0.01,0.3258064516129033,0.3258064516129033,0.6741935483870967
20,20000000,-16.625,-18.291666666666668,8,24,1208.2532316015634,763.1039849952413,0.01,0.46290322580645166,0.46290322580645166,0.5370967741935484
21,21000000,-18.6,-18.25925925925926,10,27,1208.5039496403765,769.8489193732032,0.01,0.3354838709677419,0.3354838709677419,0.6645161290322581
22,22000000,-7.0,-12.533333333333333,4,15,1198.8117819738793,775.4431457126674,0.01,1.0838709677419356,1.0,0.0
23,23000000,-19.555555555555557,-15.411764705882353,9,17,1181.3084282647328,774.2323289024266,0.01,0.2738351254480286,0.2738351254480286,0.7261648745519713
24,24000000,-12.625,-16.333333333333332,8,18,1154.300682854453,774.9226435895968,0.01,0.720967741935484,0.720967741935484,0.27903225806451604
25,25000000,-12.875,-15.61111111111111,8,18,1176.5085147534191,776.5262395507708,0.01,0.7048387096774194,0.7048387096774194,0.29516129032258065
26,26000000,1.5,-13.75,4,16,1175.1308083535043,768.7514814286744,0.01,1.632258064516129,1.0,0.0
27,27000000,-7.4,-8.066666666666666,5,15,1145.0154939278254,782.8413399457991,0.01,1.058064516129032,1.0,0.0
28,28000000,1.6,-8.916666666666666,5,12,1152.099535782507,786.5938183154773,0.01,1.638709677419355,1.0,0.0
29,29000000,1.75,1.6363636363636365,4,11,1141.5504457643565,795.5783865643548,0.01,1.6483870967741936,1.0,0.0
30,30000000,11.0,-4.6,8,15,1131.6497893550857,788.3580749392484,0.01,2.2451612903225806,1.0,0.0
31,31000000,0.6666666666666666,-7.333333333333333,6,18,1143.9777065640992,781.8398886080329,0.01,1.578494623655914,1.0,0.0
32,32000000,10.25,5.176470588235294,8,17,1122.2498707780755,768.8128208558844,0.01,2.196774193548387,1.0,0.0
33,33000000,15.538461538461538,10.208333333333334,13,24,1099.2747338812808,765.885072310325,0.01,2.5379652605459055,1.0,0.0
34,34000000,13.727272727272727,14.518518518518519,11,27,1091.2509393790951,755.4642474064591,0.01,2.4211143695014665,1.0,0.0
35,35000000,16.076923076923077,15.071428571428571,13,28,1159.8777635279719,762.7232985211497,0.01,2.5727047146401985,1.0,0.0
36,36000000,15.538461538461538,17.05,13,40,1171.7219775842368,780.7076627137766,0.01,2.5379652605459055,1.0,0.0
37,37000000,16.44,16.048780487804876,25,41,1131.1881501741505,776.3147202647561,0.01,2.5961290322580646,1.0,0.0
38,38000000,17.607142857142858,18.327272727272728,28,55,1109.8251930818863,769.314238652758,0.01,2.6714285714285717,1.0,0.0
