iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,499.2857142857143,nan,140,0,1513.418075388656,nan,1.0,-1.8472876750025802,-1.8472876750025802,2.84728767500258
1,1000000,300.0,3189.5104895104896,69,143,1376.9875498013782,843.4546668383637,0.8020002475,-1.9672525884902483,-1.9672525884902483,2.9672525884902483
2,2000000,496.8,3016.778523489933,125,149,1318.9046957548621,764.9897249931064,0.5545002475,-1.84878401155791,-1.84878401155791,2.84878401155791
3,3000000,410.2739726027397,3030.128205128205,146,156,1298.6860388063942,800.6886779892843,0.3070002475,-1.9008704715851557,-1.9008704715851557,2.9008704715851557
4,4000000,1490.1785714285713,1666.3829787234042,112,235,1300.0661697996231,811.0063956387005,0.05950024749999997,-1.25079546627223,-1.25079546627223,2.25079546627223
5,5000000,676.5714285714286,1016.8384879725086,175,291,1265.4549581762642,808.019128473765,0.01,-1.7405661999931206,-1.7405661999931206,2.7405661999931206
6,6000000,975.2212389380531,925.4355400696865,113,287,1222.632256045467,785.7149117146264,0.01,-1.5607866368058918,-1.5607866368058918,2.560786636805892
7,7000000,2743.3333333333335,962.3318385650224,90,223,1269.5526997484715,776.0809443776471,0.01,-0.49642828477405887,-0.49642828477405887,1.4964282847740589
8,8000000,638.2022471910112,807.2072072072073,89,222,1268.0917926781788,781.4341743615968,0.01,-1.763663467859974,-1.763663467859974,2.763663467859974
9,9000000,502.8301886792453,884.9765258215963,106,213,1295.1504474317674,786.6985260404053,0.01,-1.8451539918858386,-1.8451539918858386,2.8451539918858386
10,10000000,601.2422360248447,969.9152542372881,161,236,1246.9721294188068,781.5806729041524,0.01,-1.7859124512251117,-1.7859124512251117,2.7859124512251117
11,11000000,489.77272727272725,1084.251968503937,88,254,1257.6602122553206,771.8455767910111,0.01,-1.8530142503776026,-1.8530142503776026,2.8530142503776026
12,12000000,3235.0,1227.9835390946503,120,243,1298.4562683645586,763.2153551329139,0.01,-0.2004575006019745,-0.2004575006019745,1.2004575006019744
13,13000000,892.063492063492,1303.4632034632034,126,231,1256.9345576758851,777.9271410803103,0.01,-1.6108454779295138,-1.6108454779295138,2.610845477929514
14,14000000,664.1304347826087,1126.3157894736842,184,266,1265.9370374673717,760.314336522184,0.01,-1.7480553607135754,-1.7480553607135754,2.7480553607135754
15,15000000,306.94444444444446,1331.640625,72,256,1207.2110652007573,766.4495548900474,0.01,-1.963072210182733,-1.963072210182733,2.963072210182733
16,16000000,1768.2539682539682,1429.9242424242425,126,264,1246.8140460975214,766.5115896689522,0.01,-1.0834011749012955,-1.0834011749012955,2.0834011749012955
17,17000000,3952.212389380531,1632.9588014981273,113,267,1261.703488589541,769.7693966701664,0.01,0.23128605187848006,0.23128605187848006,0.7687139481215199
18,18000000,1685.6,1767.3553719008264,125,242,1248.3788974307793,767.5755591140914,0.01,-1.133156754153624,-1.133156754153624,2.133156754153624
19,19000000,532.258064516129,2098.1735159817354,93,219,1280.0936193801886,753.7335514783684,0.01,-1.8274391617408328,-1.8274391617408328,2.8274391617408328
20,20000000,1081.25,2275.0,112,228,1362.0423592734376,754.3557824599224,0.01,-1.496960028894775,-1.496960028894775,2.496960028894775
