iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,449.9718309859155,nan,355,0,1428.4382698537815,nan,1.0,-0.007475776359261318,-0.007475776359261318,1.0074757763592612
1,1000000,608.3636363636364,447.55381604696674,110,511,1283.0713190385657,796.4238444639192,0.8020002475,0.00671729209875055,0.00671729209875055,0.9932827079012494
2,2000000,974.2731277533039,781.6989247311828,227,465,1318.5848740509205,700.4222368830027,0.5545002475,0.039505468534678394,0.039505468534678394,0.9604945314653216
3,3000000,1688.7591240875913,1444.7654320987654,137,405,1324.6076353800668,698.3453121288487,0.3070002475,0.10352865858595953,0.10352865858595953,0.8964713414140405
4,4000000,683.421052631579,2024.5689655172414,190,348,1326.8224366923835,695.4813726989098,0.05950024749999997,0.013442987565330827,0.013442987565330827,0.9865570124346692
5,5000000,4055.1461988304095,2941.479099678457,171,311,1330.5948493938583,693.7010432025311,0.01,0.3155743112627833,0.3155743112627833,0.6844256887372167
6,6000000,3164.794520547945,3424.1441441441443,73,222,1326.293235477995,695.9770818064098,0.01,0.2357922651434564,0.2357922651434564,0.7642077348565436
7,7000000,5820.833333333333,3548.8888888888887,84,171,1306.165278384993,696.2377864615884,0.01,0.4737928397761011,0.4737928397761011,0.5262071602238989
8,8000000,4715.0,4401.944444444444,56,144,1327.7973988033148,697.9616155094762,0.01,0.3747020555923941,0.3747020555923941,0.6252979444076059
9,9000000,3307.1296296296296,5199.69696969697,108,132,1306.7625853347497,696.9650823334672,0.01,0.24854653574702318,0.24854653574702318,0.7514534642529769
10,10000000,7350.188679245283,6314.830508474576,53,118,1261.257090258005,694.544019748011,0.01,0.6108343052066599,0.6108343052066599,0.38916569479334007
11,11000000,9564.736842105263,6398.559322033899,38,118,1219.813182805008,692.8842061914664,0.01,0.8092740767850017,0.8092740767850017,0.19072592321499826
12,12000000,7007.215189873417,5833.5,79,140,1235.9321719655688,693.8443242159373,0.01,0.5801013629163083,0.5801013629163083,0.4198986370836917
13,13000000,4273.648648648648,5702.242424242424,74,165,1232.1070309192953,686.8704836557955,0.01,0.3351537347128665,0.3351537347128665,0.6648462652871334
14,14000000,13840.196078431372,7276.229508196721,51,122,1252.8026452829517,693.3750717684121,0.01,1.1923866089384552,1.0,0.0
15,15000000,3788.793103448276,8195.48076923077,58,104,1275.0308871651337,699.0997968932935,0.01,0.2917071187161307,0.2917071187161307,0.7082928812838694
16,16000000,13293.2,8124.594594594595,25,111,1229.7768837676413,693.9015051982876,0.01,1.1433717450133514,1.0,0.0
17,17000000,8781.228070175439,8888.543689320388,57,103,1263.3972374290497,693.2614344244868,0.01,0.7390659393694724,0.7390659393694724,0.2609340606305276
18,18000000,6369.583333333333,9705.473684210527,24,95,1243.6499017167955,693.3805527907205,0.01,0.5229648679486489,0.5229648679486489,0.47703513205135106
19,19000000,19318.260869565216,10375.31914893617,23,94,1210.7737891753548,690.9680514398198,0.01,1.6832614266891175,1.0,0.0
20,20000000,16280.0,10444.591836734693,45,98,1247.4290277483885,692.7396084551009,0.01,1.4110109500170254,1.0,0.0
21,21000000,14278.08510638298,10054.226804123711,47,97,1223.6620527215362,686.2107938941501,0.01,1.231624680225719,1.0,0.0
22,22000000,15150.0,9334.905660377359,27,106,1210.4908467073828,686.891180160932,0.01,1.3097546551013457,1.0,0.0
23,23000000,15685.945945945947,8648.839285714286,37,112,1196.3160416304747,684.0683310053223,0.01,1.3577793460407843,1.0,0.0
24,24000000,9672.745098039215,10200.0,51,100,1181.2581919803001,682.4242674122869,0.01,0.8189524093656888,0.8189524093656888,0.1810475906343112
25,25000000,27666.521739130436,11808.76404494382,23,89,1172.276205530561,683.2283838329342,0.01,2.4313268821242704,1.0,0.0
26,26000000,19705.76923076923,12869.540229885057,26,87,1187.635807549527,674.1154755506246,0.01,1.7179850204097946,1.0,0.0
27,27000000,8131.25,12022.8125,64,96,1211.5705309017735,682.7272434340233,0.01,0.6808231330310579,0.6808231330310579,0.3191768669689421
28,28000000,10825.76923076923,10809.649122807017,52,114,1265.3361916092178,690.0643102879678,0.01,0.9222718355856941,0.9222718355856941,0.07772816441430586
29,29000000,15569.69696969697,12330.510204081633,33,98,1279.001529808277,690.3552973846608,0.01,1.3473625844277648,1.0,0.0
30,30000000,20359.0,11658.878504672897,30,107,1296.6783443059253,688.8610988390511,0.01,1.776519292460438,1.0,0.0
31,31000000,13117.818181818182,12412.761904761905,55,105,1318.5805820740916,692.4100409912984,0.01,1.127656246690638,1.0,0.0
32,32000000,16117.333333333334,12196.699029126214,45,103,1290.5940308447623,694.3376762479556,0.01,1.3964348226073346,1.0,0.0
33,33000000,7269.574468085107,12934.574468085106,47,94,1284.8954879160729,692.505236217678,0.01,0.6036106801273415,0.6036106801273415,0.39638931987265846
34,34000000,8058.333333333333,12120.0,48,104,1277.417041404581,692.5210253538364,0.01,0.6742892644432098,0.6742892644432098,0.3257107355567902
35,35000000,18570.0,11668.9,44,100,1251.517650300478,684.3392481136215,0.01,1.6162117600673844,1.0,0.0
36,36000000,14173.809523809523,12570.0,42,100,1250.5550040927155,677.4068053113866,0.01,1.2222808225783188,1.0,0.0
37,37000000,15854.054054054053,11713.653846153846,37,104,1271.8711702755913,680.902450650664,0.01,1.3728430665472546,1.0,0.0
38,38000000,6640.192307692308,12255.140186915887,52,107,1287.5899205983171,686.8009207067579,0.01,0.5472134184924736,0.5472134184924736,0.4527865815075264
39,39000000,13047.619047619048,11861.359223300971,42,103,1340.193035074914,688.860388901284,0.01,1.1213658889602902,1.0,0.0
40,40000000,16236.923076923076,13124.536082474227,39,97,1326.2097845805765,688.3924714779243,0.01,1.407150941497435,1.0,0.0
