iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,25,0,1336.6408646975656,nan,1.0,0.0,0.0,1.0
1,1000000,0.0,0.0,20,116,1289.3544087984608,749.9754264718346,0.8020002475,0.0,0.0,1.0
2,2000000,0.0,1.7241379310344827,39,116,1291.4105198053965,673.3089912533891,0.5545002475,0.0,0.0,1.0
3,3000000,0.0,1.7857142857142858,27,112,1304.006699694037,667.6439819814444,0.3070002475,0.0,0.0,1.0
4,4000000,0.0,0.0,96,107,1286.0091825270165,665.0321628547429,0.05950024749999997,0.0,0.0,1.0
5,5000000,0.0,8.035714285714286,95,112,1268.809252305382,669.8342730701253,0.01,0.0,0.0,1.0
6,6000000,0.0,3.669724770642202,42,109,1255.4368185583282,664.8976352549112,0.01,0.0,0.0,1.0
7,7000000,0.0,8.035714285714286,94,112,1271.447652838543,669.8751215222375,0.01,0.0,0.0,1.0
8,8000000,0.0,6.122448979591836,38,98,1277.9341785776485,668.681110436244,0.01,0.0,0.0,1.0
9,9000000,0.0,4.424778761061947,77,113,1290.3195199756203,666.3794374917221,0.01,0.0,0.0,1.0
10,10000000,0.0,1.7857142857142858,91,112,1270.348693953737,668.7257171534031,0.01,0.0,0.0,1.0
11,11000000,0.0,1.680672268907563,51,119,1273.0646673417598,666.7848648410455,0.01,0.0,0.0,1.0
12,12000000,0.0,2.5641025641025643,48,117,1278.8305402923265,666.7972215709616,0.01,0.0,0.0,1.0
13,13000000,0.0,4.273504273504273,91,117,1270.4166806301046,673.6474752373854,0.01,0.0,0.0,1.0
14,14000000,0.0,0.0,79,116,1256.8947210242666,669.0661202675795,0.01,0.0,0.0,1.0
15,15000000,0.0,8.771929824561404,25,114,1268.8076341030692,668.8085966159977,0.01,0.0,0.0,1.0
16,16000000,0.0,2.5641025641025643,25,117,1256.9992128504157,668.1350180296324,0.01,0.0,0.0,1.0
17,17000000,0.0,2.542372881355932,27,118,1274.494391100473,669.4084051788824,0.01,0.0,0.0,1.0
18,18000000,0.0,1.6129032258064515,54,124,1249.3767934272253,671.1985868238743,0.01,0.0,0.0,1.0
19,19000000,0.0,5.0,27,120,1265.589003955875,667.0415465862396,0.01,0.0,0.0,1.0
20,20000000,0.0,2.5,27,120,1238.9047543677636,669.6817499010355,0.01,0.0,0.0,1.0
21,21000000,0.0,8.849557522123893,54,113,1246.6007777249135,671.3727894897601,0.01,0.0,0.0,1.0
22,22000000,0.0,6.0344827586206895,27,116,1242.1823546653034,678.3217316165465,0.01,0.0,0.0,1.0
23,23000000,0.0,7.079646017699115,92,113,1269.0878879310185,685.0279395479259,0.01,0.0,0.0,1.0
24,24000000,0.0,7.627118644067797,49,118,1274.3843599612962,678.8609344798153,0.01,0.0,0.0,1.0
25,25000000,0.0,2.803738317757009,93,107,1272.2951017214293,685.1052162673544,0.01,0.0,0.0,1.0
26,26000000,0.0,4.273504273504273,42,117,1258.7049489470364,683.5111966963128,0.01,0.0,0.0,1.0
27,27000000,0.0,1.694915254237288,27,118,1281.0582300567694,684.9330262157241,0.01,0.0,0.0,1.0
28,28000000,0.0,2.586206896551724,49,116,1262.7491901089568,695.5333378949992,0.01,0.0,0.0,1.0
29,29000000,0.0,9.01639344262295,93,122,1252.8413739401255,677.7870273392398,0.01,0.0,0.0,1.0
30,30000000,0.0,10.256410256410257,23,117,1276.2104637150137,682.8113187362353,0.01,0.0,0.0,1.0
31,31000000,0.0,1.6666666666666667,95,120,1261.6826401089377,686.759125839627,0.01,0.0,0.0,1.0
32,32000000,0.0,1.7241379310344827,27,116,1290.8574301891908,684.1842015578582,0.01,0.0,0.0,1.0
33,33000000,0.0,3.669724770642202,54,109,1284.1558593195211,690.6431745812927,0.01,0.0,0.0,1.0
34,34000000,0.0,4.8,51,125,1285.4800209096804,688.4844020944759,0.01,0.0,0.0,1.0
35,35000000,0.0,6.1946902654867255,26,113,1278.7965722470622,681.1948729212922,0.01,0.0,0.0,1.0
36,36000000,0.0,3.6363636363636362,48,110,1275.4906178317806,684.7628635662279,0.01,0.0,0.0,1.0
37,37000000,0.0,0.0,50,115,1305.747782602291,678.0283472505819,0.01,0.0,0.0,1.0
38,38000000,0.0,5.3097345132743365,26,113,1299.7933883636133,688.4666167220646,0.01,0.0,0.0,1.0
39,39000000,0.0,4.62962962962963,96,108,1284.2437968146855,678.2520637922067,0.01,0.0,0.0,1.0
40,40000000,0.0,0.0,27,113,1275.8159851684743,687.6226106001492,0.01,0.0,0.0,1.0
41,41000000,0.0,0.0,92,110,1277.7145154797329,674.3040799118577,0.01,0.0,0.0,1.0
42,42000000,0.0,1.7391304347826086,92,115,1265.7310127864525,684.5347335401506,0.01,0.0,0.0,1.0
43,43000000,0.0,4.464285714285714,86,112,1266.1725984931334,676.3486027470806,0.01,0.0,0.0,1.0
44,44000000,0.0,1.9230769230769231,47,104,1263.1276496338737,688.8783630758903,0.01,0.0,0.0,1.0
45,45000000,0.0,1.9047619047619047,95,105,1267.8667619206194,673.7864505585832,0.01,0.0,0.0,1.0
46,46000000,0.0,1.7699115044247788,49,113,1257.6904267199448,686.8593270894123,0.01,0.0,0.0,1.0
47,47000000,0.0,5.46875,48,128,1276.003351825494,688.4430421042391,0.01,0.0,0.0,1.0
48,48000000,0.0,4.201680672268908,26,119,1255.6310790850641,679.7211930070924,0.01,0.0,0.0,1.0
49,49000000,0.0,0.0,27,122,1272.624485361813,681.2950483121692,0.01,0.0,0.0,1.0
50,50000000,0.0,7.207207207207207,50,111,1241.9443102667449,679.0740608680586,0.01,0.0,0.0,1.0
51,51000000,0.0,1.694915254237288,45,118,1266.8579722816924,686.0667930858625,0.01,0.0,0.0,1.0
52,52000000,0.0,5.769230769230769,23,104,1260.2826770054035,691.238545341334,0.01,0.0,0.0,1.0
53,53000000,0.0,7.627118644067797,96,118,1227.658219013544,685.8048464503411,0.01,0.0,0.0,1.0
54,54000000,0.0,4.310344827586207,22,116,1253.9298380247299,681.8630865972397,0.01,0.0,0.0,1.0
55,55000000,0.0,2.608695652173913,25,115,1232.9607358475473,680.4028046143959,0.01,0.0,0.0,1.0
56,56000000,0.0,6.140350877192983,26,114,1233.4048563546673,681.4448440746506,0.01,0.0,0.0,1.0
57,57000000,0.0,7.826086956521739,90,115,1264.7685868366304,682.113031353227,0.01,0.0,0.0,1.0
58,58000000,0.0,1.7391304347826086,27,115,1264.7086547484496,677.1490062492364,0.01,0.0,0.0,1.0
59,59000000,0.0,11.11111111111111,52,117,1249.6176692688116,679.5822405026295,0.01,0.0,0.0,1.0
60,60000000,0.0,3.669724770642202,27,109,1247.7511910543396,677.5929819212175,0.01,0.0,0.0,1.0
61,61000000,0.0,0.0,47,114,1261.1796799036483,683.3881935561919,0.01,0.0,0.0,1.0
62,62000000,0.0,0.0,42,110,1258.456772483335,680.8713810336143,0.01,0.0,0.0,1.0
63,63000000,0.0,0.0,27,117,1273.2493781669184,684.8397023579718,0.01,0.0,0.0,1.0
64,64000000,0.0,1.7391304347826086,94,115,1276.208434260223,683.252523645216,0.01,0.0,0.0,1.0
65,65000000,0.0,0.0,54,127,1268.5516036209517,685.0637775230451,0.01,0.0,0.0,1.0
66,66000000,0.0,0.0,27,119,1258.0831906522044,689.671975879308,0.01,0.0,0.0,1.0
67,67000000,0.0,7.258064516129032,21,124,1235.7933973423578,682.2215076339254,0.01,0.0,0.0,1.0
