iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,9333.0,nan,14,0,1080.6414202127842,nan,1.0,-4.9070871722182785,-4.9070871722182785,5.9070871722182785
1,1000000,10659.538461538461,25684.974683544304,13,79,969.1902865036297,589.340021435295,0.8020002475,-3.9669465191081015,-3.9669465191081015,4.9669465191081015
2,2000000,0.0,14484.981308411216,5,107,926.6195800860797,543.9556140287442,0.5545002475,-11.52154500354357,-11.52154500354357,12.52154500354357
3,3000000,0.0,4375.315068493151,6,146,929.7971919626416,541.1304792213891,0.3070002475,-11.52154500354357,-11.52154500354357,12.52154500354357
4,4000000,3687.2,3468.3779069767443,5,172,916.6149645042368,541.9227999906673,0.05950024749999997,-8.908362863217565,-8.908362863217565,9.908362863217565
5,5000000,9996.0,4452.678899082569,12,109,927.1016812036268,538.8139222900879,0.01,-4.43720765414599,-4.43720765414599,5.43720765414599
6,6000000,15989.882352941177,9628.495652173913,51,115,944.181565672224,540.6073906150856,0.01,-0.1892400050027092,-0.1892400050027092,1.1892400050027092
7,7000000,14744.388888888889,12770.575,18,120,932.2112205194946,540.2487904161284,0.01,-1.0719426726513883,-1.0719426726513883,2.0719426726513883
8,8000000,29400.939393939392,19375.936842105264,33,95,921.6519149794279,542.0588167578305,0.01,9.31540708287695,1.0,0.0
9,9000000,10637.521739130434,16938.043010752688,46,93,942.5684921111308,535.8154053180617,0.01,-3.9825501494468876,-3.9825501494468876,4.982550149446888
10,10000000,17939.125,16345.177777777777,8,90,954.5251913018591,535.2952742166773,0.01,1.1922218284904311,1.0,0.0
11,11000000,38345.8125,18679.954545454544,32,88,938.9004650151035,531.7267776432574,0.01,15.654792700212594,1.0,0.0
12,12000000,31857.8,20206.302325581397,35,86,964.443498454606,527.5634705286005,0.01,11.056626506024083,1.0,0.0
13,13000000,38330.666666666664,23747.37837837838,33,74,948.215675440488,522.446263262959,0.01,15.644058587290315,1.0,0.0
14,14000000,31210.966666666667,17916.166666666668,30,90,937.7507400632153,527.770886782842,0.01,10.598204583038022,1.0,0.0
15,15000000,50462.892857142855,28778.083333333332,28,72,929.5419621416166,531.671003702075,0.01,24.24237622759944,1.0,0.0
16,16000000,44689.583333333336,26722.96052631579,24,76,930.3956011891964,537.7424796964823,0.01,20.1507323411292,1.0,0.0
17,17000000,109976.57142857143,32871.64705882353,14,68,914.1679270977736,536.7189179448528,0.01,66.42074516553602,1.0,0.0
18,18000000,46060.3,34467.015625,10,64,920.9442033324755,539.9579772771208,0.01,21.122182849043206,1.0,0.0
19,19000000,58885.56,31500.098591549297,25,71,925.4187857907838,545.73455889994,0.01,30.211665485471254,1.0,0.0
20,20000000,73597.22222222222,43164.43859649123,9,57,902.9454677142699,532.3035099352721,0.01,40.63807386408373,1.0,0.0
21,21000000,20471.105263157893,31775.4776119403,19,67,894.3975398180821,534.8643864500516,0.01,2.986679846320261,1.0,0.0
22,22000000,47870.769230769234,57392.666666666664,13,54,907.2209427038525,531.9509441789482,0.01,22.405293572479938,1.0,0.0
23,23000000,51566.1935483871,59424.448979591834,31,49,913.8705877670045,529.8819113623478,0.01,25.024304428339512,1.0,0.0
24,24000000,88000.95454545454,52550.390625,22,64,910.5811844077253,533.9144326222254,0.01,50.84624702016617,1.0,0.0
25,25000000,36081.64705882353,70540.62962962964,17,54,933.06537813116,539.0164422537908,0.01,14.05013965898193,1.0,0.0
26,26000000,75149.16666666667,63085.29090909091,6,55,931.5209877317371,536.8518500161584,0.01,41.73796361918256,1.0,0.0
27,27000000,54496.75,87264.15094339622,28,53,948.1511296284139,528.3787907044536,0.01,27.101240255138165,1.0,0.0
28,28000000,218419.6923076923,68646.39622641509,13,53,951.4939302983781,524.5744628338899,0.01,143.27625252139762,1.0,0.0
29,29000000,272672.0,87113.11538461539,9,52,964.2172448947551,524.52791288744,0.01,181.72579730687434,1.0,0.0
30,30000000,128458.44444444444,111018.77777777778,18,45,953.8611454707716,529.3687197716448,0.01,79.51916686353246,1.0,0.0
31,31000000,23196.945945945947,141667.3947368421,37,38,943.1479954877719,531.7934808493251,0.01,4.918530082172883,1.0,0.0
32,32000000,181573.92857142858,101480.72,14,50,934.0562143181238,535.0218620763844,0.01,117.16302521008389,1.0,0.0
33,33000000,29629.75,102024.53191489361,8,47,915.9021783073786,532.7892990776553,0.01,9.477569099929116,1.0,0.0
34,34000000,59244.416666666664,107571.76086956522,12,46,921.0820145673755,538.5173711658578,0.01,30.465993385305886,1.0,0.0
35,35000000,20896.8,107870.83673469388,5,49,912.6221671379237,537.1144460886688,0.01,3.2883770375620083,1.0,0.0
