iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,122.75449101796407,nan,167,0,1525.8470428220783,nan,1.0,-0.1051145978969797,-0.1051145978969797,1.1051145978969796
1,1000000,100.0,668.1564245810056,333,179,1297.1835505580393,730.3969552420812,0.8020002475,-0.11054137848795612,-0.11054137848795612,1.110541378487956
2,2000000,1187.5,695.0276243093923,8,181,1308.0670426777249,612.1623810036065,0.5545002475,0.1488194610064393,0.1488194610064393,0.8511805389935607
3,3000000,1.5384615384615385,473.7903225806452,520,248,1303.053425287852,615.4489021469133,0.3070002475,-0.13402373919903135,-0.13402373919903135,1.1340237391990313
4,4000000,100.0,294.1896024464832,334,327,1315.2759827297266,617.4824684413485,0.05950024749999997,-0.11054137848795612,-0.11054137848795612,1.110541378487956
5,5000000,341.53846153846155,119.44444444444444,130,468,1331.8559620928304,612.9469341939609,0.01,-0.05293621236859968,-0.05293621236859968,1.0529362123685997
6,6000000,115.7556270096463,139.5734597156398,311,422,1335.479256014179,606.643773316574,0.01,-0.10678377605302973,-0.10678377605302973,1.1067837760530297
7,7000000,100.3012048192771,204.8048048048048,332,333,1358.6634933124753,604.5113668082258,0.01,-0.11046954332953085,-0.11046954332953085,1.1104695433295309
8,8000000,1013.8888888888889,349.3212669683258,36,221,1386.2247305335159,598.7273812285955,0.01,0.10741447385854733,0.10741447385854733,0.8925855261414527
9,9000000,798.3333333333334,500.4926108374384,60,203,1410.0648109840172,597.3048065136235,0.01,0.056006041815724626,0.056006041815724626,0.9439939581842753
10,10000000,1120.0,566.6666666666666,10,204,1417.0096414657248,590.8583782334571,0.01,0.1327212020033389,0.1327212020033389,0.8672787979966611
11,11000000,725.2631578947369,988.5714285714286,95,105,1400.0178900990134,588.3311057645789,0.01,0.03857933648813186,0.03857933648813186,0.9614206635118682
12,12000000,1150.0,1126.605504587156,10,109,1344.689735010924,588.4979423318829,0.01,0.13987598378249463,0.13987598378249463,0.8601240162175053
13,13000000,1259.7222222222222,1106.5040650406504,72,123,1318.2506109939745,586.9686841386034,0.01,0.16604393565996237,0.16604393565996237,0.8339560643400377
14,14000000,1476.923076923077,1046.5116279069769,13,129,1299.9536208309937,598.1306838903041,0.01,0.21784475958098662,0.21784475958098662,0.7821552404190134
15,15000000,1628.2051282051282,1363.5658914728683,78,129,1323.8917298971078,607.9099599821056,0.01,0.2539244283818574,0.2539244283818574,0.7460755716181426
16,16000000,1670.5882352941176,1489.4039735099338,51,151,1284.504278175855,613.4051070858733,0.01,0.26403249112666766,0.26403249112666766,0.7359675088733324
17,17000000,1398.5915492957747,1259.7765363128492,71,179,1283.568273357348,614.076668508065,0.01,0.19916326002761142,0.19916326002761142,0.8008367399723886
