iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,21.5625,nan,96,0,1224.7842057985308,nan,1.0,-0.0596561553103877,-0.0596561553103877,1.0596561553103876
1,1000000,0.0,3680.225,83,280,1105.9030132342848,677.7772252802696,0.8020002475,-0.06007497474943672,-0.06007497474943672,1.0600749747494367
2,2000000,521.8125,3616.9390581717453,64,361,1108.3137414166488,608.8595172316972,0.5545002475,-0.049939544324450316,-0.049939544324450316,1.0499395443244504
3,3000000,327.75,2261.0533333333333,96,225,1106.1572764387497,604.9593759662753,0.3070002475,-0.05370891927589154,-0.05370891927589154,1.0537089192758915
4,4000000,163.05357142857142,2291.205882352941,168,204,1117.9676401224144,606.2321002520442,0.05950024749999997,-0.05690790203891361,-0.05690790203891361,1.0569079020389136
5,5000000,627.46875,1710.7121212121212,128,198,1110.5149687742078,601.1085061848336,0.01,-0.047887329073110094,-0.047887329073110094,1.04788732907311
6,6000000,2381.5048543689322,1371.0389610389611,103,231,1113.9396835540656,607.6428639612718,0.01,-0.013817790879323048,-0.013817790879323048,1.013817790879323
7,7000000,3646.1927710843374,2918.9464285714284,83,168,1122.6167570998855,606.3798938020308,0.01,0.010746887792019605,0.010746887792019605,0.9892531122079804
8,8000000,142.36708860759492,2919.3571428571427,79,168,1113.1532723487976,594.1082840175632,0.01,-0.05730970614933582,-0.05730970614933582,1.0573097061493357
9,9000000,3205.4333333333334,2357.4438202247193,90,178,1113.669167951982,588.8122788161588,0.01,0.0021857923497267755,0.0021857923497267755,0.9978142076502732
10,10000000,3098.1,1801.2317073170732,20,164,1150.5679563278168,588.6402655043431,0.01,0.00010100225312718162,0.00010100225312718162,0.9998989977468729
11,11000000,2703.3035714285716,3839.5607476635514,56,107,1110.1019390953873,569.9930877265895,0.01,-0.007567330210772833,-0.007567330210772833,1.0075673302107728
12,12000000,4170.1875,4624.523809523809,16,63,1129.6139786713668,559.7905975760187,0.01,0.020924704762644703,0.020924704762644703,0.9790752952373553
13,13000000,4735.909090909091,4718.816901408451,11,71,1070.88070194593,560.0174297387648,0.01,0.03191300386351276,0.03191300386351276,0.9680869961364873
14,14000000,2691.0,4654.48717948718,23,39,1001.5408561349873,558.2593749197842,0.01,-0.007806308756118407,-0.007806308756118407,1.0078063087561184
15,15000000,5357.357142857143,4936.131578947368,14,38,1039.23875585992,544.769065086966,0.01,0.04398370644971531,0.04398370644971531,0.9560162935502847
16,16000000,5382.0,5707.5675675675675,4,37,977.4409900339799,544.5845127381242,0.01,0.044462357237199907,0.044462357237199907,0.9555376427628001
17,17000000,5494.125,4713.48,8,75,946.3970718861132,558.7730755114673,0.01,0.046640218320254834,0.046640218320254834,0.9533597816797452
18,18000000,5257.8,4845.45205479452,10,73,988.4095972880301,555.8007764643806,0.01,0.042049957268277524,0.042049957268277524,0.9579500427317225
19,19000000,5382.0,5061.925,9,40,1027.5789235567015,559.2882031704246,0.01,0.044462357237199907,0.044462357237199907,0.9555376427628001
20,20000000,5433.166666666667,5163.804878048781,6,41,974.4183490019831,542.6518253114282,0.01,0.04545619350995779,0.04545619350995779,0.9545438064900422
21,21000000,5274.666666666667,5266.575757575758,9,33,959.2683057860273,550.1490746459309,0.01,0.04237756714060032,0.04237756714060032,0.9576224328593996
22,22000000,5445.692307692308,5389.522727272727,13,44,977.6610368343241,552.1165540099528,0.01,0.04569948542639087,0.04569948542639087,0.9543005145736091
23,23000000,5511.375,5625.929824561404,8,57,966.9423460144282,562.217829977683,0.01,0.046975273871494055,0.046975273871494055,0.953024726128506
24,24000000,5142.6122448979595,5767.777777777777,49,54,1104.2488321783753,576.4505816150014,0.01,0.03981260673020665,0.03981260673020665,0.9601873932697933
25,25000000,5350.636363636364,5489.044776119403,11,67,1046.8870129089257,586.8093070554964,0.01,0.043853165325855877,0.043853165325855877,0.9561468346741441
26,26000000,5532.785714285715,5522.46875,14,32,1055.0715761167291,583.9056336285869,0.01,0.047391145099170896,0.047391145099170896,0.9526088549008291
27,27000000,5492.4,5780.846153846154,5,39,1067.4284739387028,577.6047814456257,0.01,0.046606712765130905,0.046606712765130905,0.953393287234869
28,28000000,5480.636363636364,5842.724137931034,22,58,1122.5761317746644,575.9349772763304,0.01,0.046378221654035504,0.046378221654035504,0.9536217783459645
29,29000000,5522.4,5946.036363636364,10,55,1077.829725375104,575.5243455693744,0.01,0.0471894180716339,0.0471894180716339,0.9528105819283661
30,30000000,5443.058823529412,6126.285714285715,17,84,1063.5850451432043,569.0526907508805,0.01,0.04564833391984717,0.04564833391984717,0.9543516660801529
31,31000000,5531.111111111111,5754.317073170731,9,41,1101.7291140342516,571.4557373665087,0.01,0.047358618427299964,0.047358618427299964,0.9526413815727001
32,32000000,5529.090909090909,6397.918367346939,22,49,1111.0269465164372,564.0424574039682,0.01,0.04731937901272063,0.04731937901272063,0.9526806209872793
33,33000000,5485.2307692307695,6372.212765957447,13,47,1116.5806125595852,571.9260029830292,0.01,0.04646746113803841,0.04646746113803841,0.9535325388619615
34,34000000,5506.2,6230.25,5,44,1132.3025186166033,577.469341794712,0.01,0.04687475720612228,0.04687475720612228,0.9531252427938777
35,35000000,6166.266666666666,5717.677966101695,15,59,1135.0278615259201,587.1302198986532,0.01,0.05969556884986921,0.05969556884986921,0.9403044311501307
36,36000000,6692.36,6900.229885057472,25,87,1123.631015443593,585.0292068399577,0.01,0.06991414808484188,0.06991414808484188,0.9300858519151581
37,37000000,7711.785714285715,5878.7169811320755,14,53,1120.7758390690794,585.7201973983662,0.01,0.08971497386150482,0.08971497386150482,0.9102850261384952
38,38000000,5514.9047619047615,6675.711538461538,21,52,1158.661557423311,591.4747833820604,0.01,0.047043834237913945,0.047043834237913945,0.9529561657620861
39,39000000,5520.0,5835.935483870968,4,31,721.3713972509872,338.39985372922433,0.01,0.047142801647113666,0.047142801647113666,0.9528571983528863
40,40000000,5796.964285714285,6101.188405797101,28,69,884.7109071643746,303.7344346394445,0.01,0.05252242028036449,0.05252242028036449,0.9474775797196355
41,41000000,5504.277777777777,5841.376623376624,18,77,1095.947508399624,579.3439066145013,0.01,0.04683742090315005,0.04683742090315005,0.95316257909685
42,42000000,5525.166666666667,5529.03125,24,64,1057.2064049985595,587.4647327498268,0.01,0.0472431564499003,0.0472431564499003,0.9527568435500997
43,43000000,6567.923076923077,5863.177419354839,13,62,1075.1338377949128,577.8886052318393,0.01,0.06749714623811431,0.06749714623811431,0.9325028537618857
44,44000000,7526.4,6625.380952380952,5,42,1055.0657319991217,579.3432927646496,0.01,0.08611413254603371,0.08611413254603371,0.9138858674539663
45,45000000,5520.0,8054.863636363636,4,44,1070.9626070390386,589.1722738212179,0.01,0.047142801647113666,0.047142801647113666,0.9528571983528863
46,46000000,3657.0,6703.790697674419,19,43,1084.618838554753,595.1609981295136,0.01,0.01095680211327791,0.01095680211327791,0.9890431978867221
47,47000000,5511.882352941177,6521.482142857143,17,56,1084.677269715027,595.4171186219703,0.01,0.0469851284465305,0.0469851284465305,0.9530148715534695
48,48000000,9552.53125,8006.7945205479455,32,73,1079.0420008724548,595.9832945554324,0.01,0.12546871358091835,0.12546871358091835,0.8745312864190816
49,49000000,5512.038461538462,7277.0,26,54,1122.0786664788136,597.3032651311111,0.01,0.0469881606234648,0.0469881606234648,0.9530118393765352
50,50000000,5553.333333333333,6204.517241379311,6,58,1097.365518312679,604.6955747110618,0.01,0.04779025198767254,0.04779025198767254,0.9522097480123275
51,51000000,5520.0,5849.603773584906,5,53,1113.395349196781,595.971968314786,0.01,0.047142801647113666,0.047142801647113666,0.9528571983528863
52,52000000,11429.5,6581.377049180328,8,61,1074.5160827233224,597.5951231929216,0.01,0.16192603527309457,0.16192603527309457,0.8380739647269054
53,53000000,5524.105263157895,7975.951612903225,57,62,1067.4997971440823,571.5125003961524,0.01,0.04722254026800355,0.04722254026800355,0.9527774597319965
54,54000000,5541.739130434783,5682.272727272727,46,66,1074.593946574924,570.2891419588719,0.01,0.047565051869217286,0.047565051869217286,0.9524349481307827
55,55000000,6065.5609756097565,6643.794117647059,41,102,1087.3589958145087,561.5673346192422,0.01,0.0577395108307388,0.0577395108307388,0.9422604891692612
