iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,141,0,1289.459495932257,nan,1.0,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
1,1000000,0.0,33.2129963898917,141,277,1274.9723793124151,762.6310506185802,0.8020002475,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
2,2000000,0.0,76.64233576642336,141,274,1273.1499342835696,688.519716026322,0.5545002475,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
3,3000000,0.0,73.88059701492537,141,268,1264.7886019246614,681.1077801747181,0.3070002475,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
4,4000000,0.0,51.45985401459854,141,274,1253.3932597900712,684.4094194607902,0.05950024749999997,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
5,5000000,0.0,10.256410256410257,141,273,1241.890776902426,687.6636633344209,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
6,6000000,0.0,7.246376811594203,141,276,1236.4193207116123,686.2166907395564,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
7,7000000,0.0,17.100371747211895,141,269,1232.6176312971998,684.8649856377318,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
8,8000000,0.0,104.03225806451613,141,248,1233.0406557864742,687.5697743659939,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
9,9000000,0.0,342.6470588235294,141,204,1277.8943970777584,681.4473668262605,0.01,-0.003555487484684054,-0.003555487484684054,1.0035554874846841
10,10000000,8.450704225352112,667.4418604651163,71,172,1258.8111008961703,682.014773847762,0.01,-0.0026309836966838668,-0.0026309836966838668,1.0026309836966838
11,11000000,1482.051282051282,1015.8227848101266,78,158,1234.2717688596686,680.2442851661809,0.01,0.15858035205357104,0.15858035205357104,0.841419647946429
12,12000000,79.41176470588235,1116.564417177914,68,163,1191.6588173398798,678.4161494354553,0.01,0.005132128993729472,0.005132128993729472,0.9948678710062705
13,13000000,45.070422535211264,1439.877300613497,71,163,1196.5080512977188,673.2815356216945,0.01,0.0013751993846502786,0.0013751993846502786,0.9986248006153498
14,14000000,292.5925925925926,1748.0263157894738,81,152,1230.5350715600237,676.4179607894996,0.01,0.028454029471445895,0.028454029471445895,0.9715459705285541
