iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,647.7011494252873,nan,87,0,1436.3513974472166,nan,1.0,0.052777681914953925,0.052777681914953925,0.9472223180850461
1,1000000,661.7647058823529,229.38295788442704,85,1021,1383.04964314548,732.0192908026228,0.8020002475,0.05447345518458912,0.05447345518458912,0.9455265448154109
2,2000000,401.23152709359607,235.33724340175954,203,1023,1350.9009481416822,664.0897893533589,0.5545002475,0.023058556556931026,0.023058556556931026,0.976941443443069
3,3000000,374.47795823665894,262.3880597014925,431,1005,1322.3975632569195,666.3774374569882,0.3070002475,0.019832630947470724,0.019832630947470724,0.9801673690525293
4,4000000,593.7939110070257,470.6546275395034,427,886,1294.7763430678488,675.0332357975432,0.05950024749999997,0.04627758684806117,0.04627758684806117,0.9537224131519388
5,5000000,1099.0974729241877,954.5676998368679,277,613,1279.3785725233574,681.2896187284298,0.01,0.10720671782332579,0.10720671782332579,0.8927932821766742
6,6000000,1846.1309523809523,1490.8866995073893,168,406,1264.3181971767626,685.3899888516892,0.01,0.19728346404699607,0.19728346404699607,0.802716535953004
7,7000000,2408.0,2306.7669172932333,125,266,1251.497335972317,689.3479334613919,0.01,0.26503321958689546,0.26503321958689546,0.7349667804131046
8,8000000,2650.0,2526.126126126126,113,222,1218.1634483905966,691.935326479296,0.01,0.2942134011792652,0.2942134011792652,0.7057865988207348
9,9000000,2776.8041237113403,2627.570093457944,97,214,1223.9844155818255,695.7078380885806,0.01,0.30950334893363807,0.30950334893363807,0.6904966510663619
10,10000000,2062.5,2656.4285714285716,120,210,1216.4542524929534,698.8971664463741,0.01,0.22337308429696262,0.22337308429696262,0.7766269157030374
11,11000000,2687.6404494382023,2667.0560747663553,89,214,1209.5744351378403,699.8725877887664,0.01,0.2987520588231708,0.2987520588231708,0.7012479411768292
12,12000000,3200.625,2793.3673469387754,80,196,1204.3997927895807,698.7545176926825,0.01,0.3606073577466148,0.3606073577466148,0.6393926422533852
13,13000000,2933.8888888888887,2990.7608695652175,90,184,1178.658923335697,693.9707812746242,0.01,0.32844451411246295,0.32844451411246295,0.671555485887537
14,14000000,3271.25,3175.0,80,162,1201.0022830290598,697.9629436457951,0.01,0.36912326818033836,0.36912326818033836,0.6308767318196616
