iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.07601184600197433,nan,1013,0,1323.8010642119048,nan,1.0,-0.056388477569375886,-0.056388477569375886,1.056388477569376
1,1000000,2.2416666666666667,1.2470501474926254,600,1356,1294.102540833611,737.894879970726,0.8020002475,0.018807870370370374,0.018807870370370374,0.9811921296296297
2,2000000,1.2,1.3097211755840241,10,1327,1278.7717975159808,700.4832712105105,0.5545002475,-0.017361111111111112,-0.017361111111111112,1.0173611111111112
3,3000000,8.370716510903426,4.385474860335195,321,895,1200.7882425664686,709.4363327857752,0.3070002475,0.2316221010730356,0.2316221010730356,0.7683778989269644
4,4000000,12.043650793650794,9.297979797979798,252,594,1158.9153668628146,722.1427220207719,0.05950024749999997,0.3591545414462082,0.3591545414462082,0.6408454585537918
5,5000000,39.872727272727275,22.18767507002801,55,357,1195.2582474779915,729.9618212096287,0.01,1.3254419191919191,1.0,0.0
6,6000000,53.32727272727273,43.79916317991632,110,239,1166.9255690080142,733.2769472375696,0.01,1.7926136363636362,1.0,0.0
7,7000000,85.44047619047619,60.470873786407765,84,206,1152.4394048966717,734.8320830239547,0.01,2.9076554232804233,1.0,0.0
8,8000000,74.45555555555555,76.87958115183245,90,191,1161.083698078757,734.2146187654464,0.01,2.526234567901234,1.0,0.0
9,9000000,141.5612244897959,106.45555555555555,98,180,1143.942774656255,739.733540820817,0.01,4.8562925170068025,1.0,0.0
10,10000000,129.55555555555554,124.75428571428571,81,175,1165.85838027211,736.1701407142604,0.01,4.439429012345679,1.0,0.0
11,11000000,171.04166666666666,156.36144578313252,24,166,1189.6113254731445,729.0862580482408,0.01,5.879918981481482,1.0,0.0
12,12000000,314.55555555555554,190.87581699346404,9,153,1218.3110780028203,727.2022072237032,0.01,10.86304012345679,1.0,0.0
13,13000000,269.6,218.17777777777778,15,135,1189.1092207646734,727.3115246258848,0.01,9.302083333333334,1.0,0.0
14,14000000,239.1764705882353,242.1290322580645,17,124,1193.929202115363,728.4653407269191,0.01,8.245710784313726,1.0,0.0
15,15000000,251.93333333333334,225.144,15,125,1189.9440303252984,728.1003506542106,0.01,8.688657407407408,1.0,0.0
16,16000000,223.85714285714286,238.7829457364341,42,129,1205.0402204169027,729.3376448182673,0.01,7.713789682539683,1.0,0.0
17,17000000,314.0,245.99236641221373,13,131,1216.5068108857972,725.093738116733,0.01,10.84375,1.0,0.0
18,18000000,285.54545454545456,255.93076923076924,44,130,1207.1716595904074,734.4912417904667,0.01,9.85574494949495,1.0,0.0
19,19000000,366.45714285714286,283.31538461538463,35,130,1185.5554397905194,733.9995352389226,0.01,12.665178571428571,1.0,0.0
20,20000000,291.51851851851853,288.84,27,125,1167.0997135249486,735.0808633540047,0.01,10.063143004115227,1.0,0.0
21,21000000,331.88,324.1984126984127,25,126,1184.1422478872503,738.5243447229395,0.01,11.464583333333334,1.0,0.0
22,22000000,339.5,336.11607142857144,24,112,1187.1728075339124,731.0749246118638,0.01,11.729166666666666,1.0,0.0
23,23000000,381.8,344.4859813084112,10,107,1207.2963184303057,729.9921968215863,0.01,13.197916666666668,1.0,0.0
24,24000000,349.22222222222223,343.84158415841586,18,101,1194.6535878576158,731.3605239154367,0.01,12.066743827160494,1.0,0.0
25,25000000,346.6,364.09090909090907,15,88,1172.9413614884363,730.8821921979667,0.01,11.975694444444445,1.0,0.0
26,26000000,297.5238095238095,367.7586206896552,21,87,1177.3141816952937,736.3186522787746,0.01,10.271660052910052,1.0,0.0
27,27000000,232.1153846153846,346.4736842105263,26,95,1174.8876955398257,735.3440670017732,0.01,8.000534188034187,1.0,0.0
28,28000000,332.25,357.32323232323233,8,99,1193.7738633696706,730.8145947974505,0.01,11.477430555555555,1.0,0.0
29,29000000,396.7142857142857,353.6354166666667,7,96,1186.8718526559837,733.2585576892544,0.01,13.71577380952381,1.0,0.0
30,30000000,349.6923076923077,361.3936170212766,13,94,1207.8170964762423,734.5539326353193,0.01,12.083066239316238,1.0,0.0
31,31000000,274.875,337.38775510204084,8,98,1270.1322814302591,726.5749577274263,0.01,9.485243055555555,1.0,0.0
32,32000000,407.8333333333333,351.11340206185565,6,97,1290.8752778565415,721.2496497829702,0.01,14.101851851851851,1.0,0.0
33,33000000,376.2,355.25773195876286,5,97,1265.2515969609558,724.6516988722932,0.01,13.003472222222221,1.0,0.0
34,34000000,387.8181818181818,333.53333333333336,11,105,1253.7800245524115,727.296657018486,0.01,13.406881313131313,1.0,0.0
35,35000000,60.7906976744186,336.61052631578946,43,95,1229.7795159298996,725.3890214656572,0.01,2.0517603359173124,1.0,0.0
36,36000000,414.5,359.8965517241379,8,87,1208.5151126469025,735.2473224819731,0.01,14.333333333333334,1.0,0.0
37,37000000,362.6363636363636,359.0449438202247,11,89,1198.4370348822686,738.9654421089969,0.01,12.532512626262626,1.0,0.0
38,38000000,210.14285714285714,359.9375,21,96,1184.0857920041124,744.034471224442,0.01,7.2375992063492065,1.0,0.0
39,39000000,378.0,362.0853658536585,7,82,1183.9441418315746,744.1153578518431,0.01,13.065972222222221,1.0,0.0
40,40000000,401.14285714285717,377.7701149425287,7,87,1201.2842887757815,730.4203486999568,0.01,13.869543650793652,1.0,0.0
41,41000000,350.4166666666667,369.1264367816092,12,87,1192.3770454897133,724.054869382811,0.01,12.108217592592593,1.0,0.0
42,42000000,439.55555555555554,390.126582278481,18,79,1158.1312789377428,727.5723945007286,0.01,15.203317901234568,1.0,0.0
43,43000000,456.3333333333333,389.7260273972603,6,73,1125.2936798062349,726.6155790590005,0.01,15.78587962962963,1.0,0.0
44,44000000,347.9,378.64,10,75,1129.1244325269301,733.5105210521284,0.01,12.020833333333332,1.0,0.0
45,45000000,389.6,366.1578947368421,5,76,1149.737396365051,741.6976854159282,0.01,13.46875,1.0,0.0
46,46000000,392.6,357.69736842105266,5,76,1142.9280011564413,734.8685686076486,0.01,13.572916666666668,1.0,0.0
47,47000000,376.75,392.2073170731707,8,82,1165.7848344466313,741.4683035851046,0.01,13.022569444444445,1.0,0.0
48,48000000,391.54545454545456,392.2631578947368,11,76,1207.5685314460036,740.5834163465516,0.01,13.536300505050505,1.0,0.0
49,49000000,288.85714285714283,370.8082191780822,7,73,1237.3713020944801,734.8448015204875,0.01,9.970734126984127,1.0,0.0
50,50000000,358.42857142857144,386.13157894736844,7,76,1287.0505882310579,723.5789585063242,0.01,12.386408730158731,1.0,0.0
51,51000000,231.94117647058823,383.3,17,80,1298.8629456765048,710.0371081981294,0.01,7.994485294117647,1.0,0.0
52,52000000,380.6,397.9264705882353,5,68,1231.8446926371357,716.088101519302,0.01,13.15625,1.0,0.0
53,53000000,260.0,390.5974025974026,10,77,1213.7560050662164,722.620710433679,0.01,8.96875,1.0,0.0
54,54000000,408.0,404.61038961038963,6,77,1211.2900984169414,726.6310122070462,0.01,14.10763888888889,1.0,0.0
55,55000000,280.7142857142857,393.85897435897436,14,78,1191.372311750369,725.1374521901813,0.01,9.687996031746032,1.0,0.0
56,56000000,334.0,410.3333333333333,7,72,1186.0920160469377,726.9954788181764,0.01,11.538194444444445,1.0,0.0
57,57000000,300.3333333333333,394.7313432835821,6,67,1201.1545289619398,733.2991589107089,0.01,10.369212962962962,1.0,0.0
58,58000000,399.6666666666667,363.72857142857146,6,70,1195.7323877432425,727.1730159422243,0.01,13.818287037037038,1.0,0.0
59,59000000,414.0,389.890243902439,4,82,1206.6982038817575,723.7210793789832,0.01,14.315972222222221,1.0,0.0
60,60000000,408.1666666666667,394.6575342465753,6,73,1269.9268866993953,717.9365756018394,0.01,14.113425925925927,1.0,0.0
61,61000000,400.6,430.05479452054794,5,73,1220.4262665758238,721.4662971054145,0.01,13.850694444444445,1.0,0.0
62,62000000,516.75,428.52777777777777,8,72,1198.45531987009,725.7798457185398,0.01,17.883680555555554,1.0,0.0
