iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,4.0,nan,5,0,1376.8427926149186,nan,1.0,-0.01433423117461061,-0.01433423117461061,1.0143342311746106
1,1000000,91.97916666666667,79.38193343898574,384,631,1291.9772570147663,788.7108097414616,0.8020002475,0.006272202053323965,0.006272202053323965,0.993727797946676
2,2000000,166.66666666666666,137.42857142857142,171,560,1255.6603918603043,731.0864817911955,0.5545002475,0.023765468243744387,0.023765468243744387,0.9762345317562556
3,3000000,241.3181818181818,193.03092783505156,220,485,1235.1495353160728,739.9057870377621,0.3070002475,0.04125030608225362,0.04125030608225362,0.9587496939177463
4,4000000,223.6036036036036,233.81176470588235,222,425,1203.7422603344621,753.362625339573,0.05950024749999997,0.03710120707427183,0.03710120707427183,0.9628987929257282
5,5000000,239.6039603960396,247.09511568123392,202,389,1185.557941716251,756.8899922889079,0.01,0.040848802060203686,0.040848802060203686,0.9591511979397963
6,6000000,414.6820809248555,263.8888888888889,173,378,1174.2283517256965,760.5805538598827,0.01,0.08185550554511195,0.08185550554511195,0.918144494454888
7,7000000,256.9822485207101,296.33053221288515,169,357,1181.0177212238282,761.2766119073151,0.01,0.04491913538370069,0.04491913538370069,0.9550808646162993
8,8000000,263.1547619047619,306.0416666666667,168,336,1171.9896570684741,765.1758873341562,0.01,0.04636485815780816,0.04636485815780816,0.9536351418421919
9,9000000,285.45454545454544,347.4320241691843,154,331,1174.4774447613534,762.7098880654842,0.01,0.0515879015000692,0.0515879015000692,0.9484120984999308
10,10000000,273.2584269662921,363.45394736842104,178,304,1165.7154674915257,755.3953846961838,0.01,0.048731333169291985,0.048731333169291985,0.951268666830708
11,11000000,275.8333333333333,327.4492753623188,156,345,1184.1648709906435,748.57611542729,0.01,0.04933442635749697,0.04933442635749697,0.950665573642503
12,12000000,288.8135593220339,336.11353711790395,177,229,1200.8574887790733,745.1097998235836,0.01,0.05237464792646303,0.05237464792646303,0.9476253520735369
13,13000000,217.56756756756758,442.67605633802816,111,284,1202.4544884138777,733.9378271084145,0.01,0.03568744995141528,0.03568744995141528,0.9643125500485847
14,14000000,173.9906103286385,375.8085808580858,213,303,1181.6097399646794,735.0297324575209,0.01,0.025480878399962173,0.025480878399962173,0.9745191216000378
15,15000000,111.00401606425703,129.9738903394256,249,383,1170.3505221570394,740.3376956033727,0.01,0.01072819207501043,0.01072819207501043,0.9892718079249896
16,16000000,88.71134020618557,146.07272727272726,194,275,1132.296294206549,738.4134385985762,0.01,0.005506813492489885,0.005506813492489885,0.9944931865075101
17,17000000,150.0,178.71428571428572,6,70,1227.7297002892149,746.959349723748,0.01,0.019861810516453915,0.019861810516453915,0.9801381894835461
18,18000000,237.22222222222223,257.0886075949367,18,79,1238.378272732701,748.4562793603567,0.01,0.04029095262260739,0.04029095262260739,0.9597090473773926
19,19000000,101.66666666666667,311.09375,6,64,1238.1765909570322,744.3611806056626,0.01,0.008541203107311551,0.008541203107311551,0.9914587968926885
20,20000000,773.0,343.42857142857144,20,70,1245.4595884651228,740.9532398708,0.01,0.16578053636257173,0.16578053636257173,0.8342194636374283
21,21000000,791.8666666666667,400.5882352941176,75,51,1252.4466705521331,732.1051583406027,0.01,0.17019947690986453,0.17019947690986453,0.8298005230901355
22,22000000,433.7864077669903,487.4157303370786,103,89,1235.1093734370195,739.1741545261011,0.01,0.0863301107312309,0.0863301107312309,0.9136698892687691
23,23000000,948.8888888888889,408.6290322580645,90,124,987.9822201243272,733.2655480258001,0.01,0.2069771375779105,0.2069771375779105,0.7930228624220895
24,24000000,149.47368421052633,512.1192052980133,19,151,1096.9607360072046,699.767158394927,0.01,0.019738537114539483,0.019738537114539483,0.9802614628854606
25,25000000,332.76785714285717,494.3333333333333,112,90,1099.3546321191598,693.8861523102323,0.01,0.06266959998661605,0.06266959998661605,0.937330400013384
26,26000000,583.8888888888889,452.15686274509807,108,102,1065.2872290586201,690.6817993300467,0.01,0.12148703335024919,0.12148703335024919,0.8785129666497509
27,27000000,645.9649122807018,552.7631578947369,57,76,1112.2918695480782,691.2692325480076,0.01,0.13602644625382404,0.13602644625382404,0.8639735537461759
28,28000000,963.75,767.6315789473684,64,114,1182.8146324339182,709.6259330182808,0.01,0.21045789905141116,0.21045789905141116,0.7895421009485888
29,29000000,1226.6666666666667,844.64,93,125,1168.5893620599895,717.490003922634,0.01,0.2720380996994184,0.2720380996994184,0.7279619003005816
30,30000000,1135.3225806451612,989.3939393939394,62,66,1183.8758247163817,698.2981991312109,0.01,0.25064353686501023,0.25064353686501023,0.7493564631349898
31,31000000,333.35403726708074,1039.2537313432836,161,134,1013.5921887754838,719.6599601614914,0.01,0.0628068947809066,0.0628068947809066,0.9371931052190934
32,32000000,1069.1666666666667,1046.280991735537,12,121,1067.5734967892568,705.1462481018565,0.01,0.2351485341765234,0.2351485341765234,0.7648514658234766
33,33000000,1393.3333333333333,1165.0892857142858,21,112,1098.5126747493755,703.094179201406,0.01,0.31107467697232305,0.31107467697232305,0.688925323027677
34,34000000,1246.060606060606,1178.623188405797,66,138,1068.3749152365615,729.1971440086515,0.01,0.2765805377820836,0.2765805377820836,0.7234194622179164
35,35000000,1201.8461538461538,1107.1764705882354,65,85,1080.4673355602397,705.2390817232871,0.01,0.2662246524993919,0.2662246524993919,0.7337753475006081
36,36000000,739.2307692307693,1280.7317073170732,78,164,1065.7909906657555,682.4091723891696,0.01,0.15787112524435395,0.15787112524435395,0.842128874755646
37,37000000,1148.4375,1196.6233766233765,64,154,1004.5226039074759,673.4742964116526,0.01,0.2537153062419487,0.2537153062419487,0.7462846937580513
38,38000000,1258.7878787878788,1334.9019607843138,99,153,1054.309051371452,666.3906079586336,0.01,0.2795615127738327,0.2795615127738327,0.7204384872261673
39,39000000,1312.7272727272727,1325.8333333333333,22,132,976.1552516629005,643.3542972105231,0.01,0.2921951686912455,0.2921951686912455,0.7078048313087545
40,40000000,1489.861111111111,1354.0366972477063,72,109,1051.5145478242946,649.0256506769325,0.01,0.333683361309547,0.333683361309547,0.666316638690453
41,41000000,566.5671641791045,1412.9323308270677,67,133,1025.4867973848106,705.6977730272196,0.01,0.11742994827944829,0.11742994827944829,0.8825700517205517
42,42000000,1944.5454545454545,1472.2151898734178,77,158,1088.499653492985,715.0497857856287,0.01,0.4401792843530752,0.4401792843530752,0.5598207156469248
43,43000000,1260.6153846153845,1377.0748299319728,65,147,1075.7258819463173,745.6617431112828,0.01,0.2799895502085454,0.2799895502085454,0.7200104497914546
44,44000000,1453.9583333333333,1442.0714285714287,48,140,1087.1291914446765,740.4193797033652,0.01,0.3252742319553421,0.3252742319553421,0.6747257680446579
45,45000000,1887.037037037037,1336.697247706422,27,109,1108.0440012499766,752.1371814351089,0.01,0.4267096936496163,0.4267096936496163,0.5732903063503837
46,46000000,1769.5384615384614,1425.6097560975609,65,164,1138.6660955538289,737.4718099950126,0.01,0.3991892403181781,0.3991892403181781,0.600810759681822
47,47000000,1498.2857142857142,1674.0677966101696,35,118,1177.8460364545717,734.3208365859623,0.01,0.33565656734646077,0.33565656734646077,0.6643434326535392
48,48000000,2487.777777777778,1767.967032967033,9,182,1235.6119106351032,724.4981183647582,0.01,0.5674148677310641,0.5674148677310641,0.4325851322689359
49,49000000,2841.1111111111113,1942.8155339805826,90,103,1247.4519845090451,725.5362336865242,0.01,0.6501724115496221,0.6501724115496221,0.34982758845037787
50,50000000,3062.1428571428573,2075.9615384615386,28,156,1212.464448238011,733.7420285745656,0.01,0.7019423485520219,0.7019423485520219,0.29805765144797813
51,51000000,863.6363636363636,2138.75,22,88,1201.7537358021973,744.8567073713798,0.01,0.18700933683952772,0.18700933683952772,0.8129906631604723
52,52000000,1991.4285714285713,2361.2080536912754,7,149,1185.909116150552,763.3721804654514,0.01,0.45116022284308965,0.45116022284308965,0.5488397771569103
53,53000000,2658.0,2423.884297520661,110,121,1128.3641266150116,751.9723032842838,0.01,0.6072842253191241,0.6072842253191241,0.39271577468087593
54,54000000,2943.731343283582,2585.8333333333335,67,108,1127.6095792596611,756.9742094972478,0.01,0.6742080672874066,0.6742080672874066,0.32579193271259344
