iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,5.0,nan,4,0,1038.4056387602081,nan,1.0,-0.0015100163624801426,-0.0015100163624801426,1.0015100163624802
1,1000000,80.0,99.82022471910112,317,445,1034.962759177984,660.5122286088925,0.8020002475,0.00027628059628974203,0.00027628059628974203,0.9997237194037103
2,2000000,113.7560975609756,164.43213296398892,205,361,1001.8651002012937,597.1659945547325,0.5545002475,0.0010802594551312119,0.0010802594551312119,0.9989197405448688
3,3000000,110.33333333333333,135.83756345177665,60,394,1053.991981557974,604.5091562304632,0.3070002475,0.0009987384773922285,0.0009987384773922285,0.9990012615226078
4,4000000,80.25751072961373,138.9673913043478,233,368,1015.0005865495336,601.4489228709402,0.05950024749999997,0.00028241380473187025,0.00028241380473187025,0.9997175861952682
5,5000000,22.857142857142858,127.78711484593838,7,357,1050.3616139287253,604.7963443374455,0.01,-0.001084707562773027,-0.001084707562773027,1.0010847075627731
6,6000000,88.0,128.11428571428573,5,350,984.1685288964134,593.0384355948095,0.01,0.0004668189385585297,0.0004668189385585297,0.9995331810614415
7,7000000,33.333333333333336,148.02292263610315,6,349,1004.7203825600675,595.7453963001832,0.01,-0.0008351930669448528,-0.0008351930669448528,1.0008351930669448
8,8000000,145.3631284916201,148.26446280991735,179,363,995.299053173211,593.9187152594491,0.01,0.0018330533648266245,0.0018330533648266245,0.9981669466351734
9,9000000,138.15533980582524,160.0498753117207,206,401,990.6764407013368,593.9947468012786,0.01,0.0016613833513747399,0.0016613833513747399,0.9983386166486252
10,10000000,177.23076923076923,161.5546218487395,260,476,964.38808956586,586.3480459862556,0.01,0.0025920542946334694,0.0025920542946334694,0.9974079457053665
11,11000000,520.8823529411765,253.3783783783784,68,296,977.1444068557728,593.4794647639012,0.01,0.010776904679411534,0.010776904679411534,0.9892230953205885
12,12000000,647.0967741935484,645.9880239520958,93,167,1017.2724860942344,598.4530070486911,0.01,0.01378299050389171,0.01378299050389171,0.9862170094961082
13,13000000,1597.037037037037,1218.740157480315,54,127,1015.2682019036841,599.5304660730777,0.01,0.03640799587096355,0.03640799587096355,0.9635920041290365
14,14000000,1843.5294117647059,1732.6495726495727,68,117,1022.9915757255429,588.4302721632498,0.01,0.04227877692877691,0.04227877692877691,0.9577212230712231
15,15000000,3251.4285714285716,2638.627450980392,35,102,1046.0357721147716,603.1069248478295,0.01,0.07581112342427343,0.07581112342427343,0.9241888765757266
16,16000000,5659.259259259259,4616.944444444444,27,72,1024.0130139769155,600.6334404021095,0.01,0.1331591318896702,0.1331591318896702,0.8668408681103298
17,17000000,5406.25,5277.5,32,72,1043.0395510500591,602.5118825408941,0.01,0.12713313628493106,0.12713313628493106,0.8728668637150689
18,18000000,5490.0,5731.111111111111,16,63,1055.997621890503,591.3671188990688,0.01,0.12912783455555743,0.12912783455555743,0.8708721654444426
19,19000000,5210.0,6008.363636363636,14,55,1024.633189934797,605.3631825689287,0.01,0.12245899257614987,0.12245899257614987,0.8775410074238501
20,20000000,5729.166666666667,5811.636363636364,24,55,1028.8670523502255,600.08134666847,0.01,0.13482413707963473,0.13482413707963473,0.8651758629203653
21,21000000,5691.428571428572,6215.333333333333,14,60,1015.7748517048516,602.0797527862036,0.01,0.1339253178162537,0.1339253178162537,0.8660746821837463
22,22000000,3293.3333333333335,6501.785714285715,15,56,1027.2533699257087,606.2549437106765,0.01,0.07680918140758614,0.07680918140758614,0.9231908185924138
23,23000000,6426.666666666667,5968.333333333333,15,60,1029.1440194784554,596.5218395466461,0.01,0.15143669879619467,0.15143669879619467,0.8485633012038053
24,24000000,7641.428571428572,6408.571428571428,14,56,1025.8560341720859,596.498681256915,0.01,0.18036903874427068,0.18036903874427068,0.8196309612557293
25,25000000,11185.714285714286,6397.142857142857,7,56,1034.3001136129708,591.6659181384779,0.01,0.26478432931013896,0.26478432931013896,0.735215670689861
26,26000000,10896.0,6754.181818181818,10,55,993.3451763006838,602.7557088915513,0.01,0.2578841193436907,0.2578841193436907,0.7421158806563093
27,27000000,8003.333333333333,6937.19298245614,18,57,1030.307368526876,600.5645142912813,0.01,0.18898863041833489,0.18898863041833489,0.8110113695816651
28,28000000,9941.333333333334,6519.322033898305,15,59,1019.5033569739975,596.7250442230512,0.01,0.23514654383294872,0.23514654383294872,0.7648534561670512
