iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,210.93023255813952,nan,215,0,1052.3568835577087,nan,1.0,0.00011216675607291698,0.00011216675607291698,0.999887833243927
1,1000000,661.8618618618618,236.18677042801556,333,1028,1035.6661265834732,648.7541497209584,0.8020002475,0.05448517018097282,0.05448517018097282,0.9455148298190272
2,2000000,447.30046948356807,295.3187250996016,426,1004,1075.1765448541191,572.3077039808206,0.5545002475,0.02861351566729385,0.02861351566729385,0.9713864843327061
3,3000000,836.0576923076923,452.31866825208084,312,841,1045.471934536667,573.6123954517999,0.3070002475,0.07548957499520002,0.07548957499520002,0.9245104250048
4,4000000,1016.4502164502164,818.421052631579,231,589,1069.2271472217838,569.838530535375,0.05950024749999997,0.09724117256703803,0.09724117256703803,0.902758827432962
5,5000000,2070.2127659574467,1307.2619047619048,141,420,1044.384163889407,566.3963309203891,0.01,0.2243030839300938,0.2243030839300938,0.7756969160699062
6,6000000,2348.1481481481483,2023.7373737373737,135,297,1054.6720375663442,565.1220147259962,0.01,0.2578163274146779,0.2578163274146779,0.7421836725853221
7,7000000,2698.3050847457625,2401.908396946565,118,262,1058.9273448169106,561.0615003076406,0.01,0.3000379926863568,0.3000379926863568,0.6999620073136432
8,8000000,2438.4057971014495,2545.679012345679,138,243,1052.6018813499527,560.8021067184808,0.01,0.26869952818557746,0.26869952818557746,0.7313004718144225
9,9000000,2551.2605042016808,2467.5,119,260,1062.1465093922593,560.649538865192,0.01,0.2823074655687942,0.2823074655687942,0.7176925344312057
10,10000000,2359.1216216216217,2469.96336996337,148,273,1074.5082616828047,568.3049763881844,0.01,0.25913950075622755,0.25913950075622755,0.7408604992437724
11,11000000,2542.6573426573427,2482.007575757576,143,264,1074.910921376679,564.5430165110165,0.01,0.28127010269221453,0.28127010269221453,0.7187298973077855
12,12000000,2638.5714285714284,2573.4375,140,256,1049.4101361412513,571.7204493656845,0.01,0.2928353524617979,0.2928353524617979,0.7071646475382021
13,13000000,2765.4545454545455,2662.4,110,250,1064.8186438497248,557.1041444548739,0.01,0.3081348251545881,0.3081348251545881,0.6918651748454119
14,14000000,2642.063492063492,2760.714285714286,126,252,1068.3335408705066,560.0555316677306,0.01,0.29325642290324627,0.29325642290324627,0.7067435770967537
15,15000000,2956.451612903226,2725.3846153846152,124,260,1045.1279339329353,558.5972482327594,0.01,0.33116511074038396,0.33116511074038396,0.6688348892596161
16,16000000,3356.3829787234044,2859.251968503937,94,254,1039.9298835649388,554.8249272611627,0.01,0.37938853999293465,0.37938853999293465,0.6206114600070654
17,17000000,2964.3382352941176,2989.641434262948,136,251,1061.0755791657155,553.8245606357989,0.01,0.3321160738540892,0.3321160738540892,0.6678839261459109
18,18000000,3264.9484536082473,3110.0409836065573,97,244,1059.0777114507798,554.1891271030628,0.01,0.36836343236205704,0.36836343236205704,0.631636567637943
19,19000000,3692.1052631578946,3538.3408071748877,114,223,1087.515799899575,555.8265484201725,0.01,0.41986968554832155,0.41986968554832155,0.5801303144516785
20,20000000,4503.535353535353,3786.036036036036,99,222,1096.1961189382207,584.5547248771097,0.01,0.5177113276422357,0.5177113276422357,0.4822886723577643
21,21000000,4853.333333333333,4268.571428571428,90,210,1163.7080710669688,588.7902858665109,0.01,0.5598897101676453,0.5598897101676453,0.4401102898323547
22,22000000,3722.1774193548385,4251.576576576576,124,222,1156.8631386063594,586.4781875709463,0.01,0.42349576397270555,0.42349576397270555,0.5765042360272945
23,23000000,5535.1648351648355,4560.416666666667,91,216,1125.0107561654156,486.1181995281396,0.01,0.6421044499975687,0.6421044499975687,0.35789555000243134
24,24000000,4763.1578947368425,5239.0,114,200,1125.5959156958957,480.2696848748628,0.01,0.5490164222609628,0.5490164222609628,0.4509835777390372
25,25000000,4284.2342342342345,5016.350710900474,111,211,1085.930675249517,484.7862597355128,0.01,0.49126816035043164,0.49126816035043164,0.5087318396495684
26,26000000,5909.550561797752,5507.25,89,200,1052.1366043154133,483.700675279225,0.01,0.6872476049097166,0.6872476049097166,0.3127523950902834
27,27000000,5608.762886597938,5350.485436893204,97,206,1035.2152403478942,486.951674151697,0.01,0.650978848781298,0.650978848781298,0.34902115121870203
28,28000000,5140.404040404041,6108.510638297872,99,188,1012.130861616517,494.5756023210012,0.01,0.5945044843915017,0.5945044843915017,0.4054955156084983
29,29000000,7936.708860759493,6010.103626943005,79,193,963.0746605575533,507.7159848117316,0.01,0.9316808581336131,0.9316808581336131,0.06831914186638688
30,30000000,8136.585365853659,6704.14364640884,82,181,941.35364419335,520.9468134619177,0.01,0.9557818197645882,0.9557818197645882,0.0442181802354118
31,31000000,7845.3488372093025,6344.791666666667,86,192,932.3517497584891,535.0918141637819,0.01,0.920664733846515,0.920664733846515,0.07933526615348496
